fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
PATRISA, FI*PATRISA, F.I.*80852601*Semester 2 2009*2009-07-01*2009-12-31*484*barclayswealthmanagers.comunicaciones@barclays.es*n.d.*Alto*0.05*0.25**1078956.84*121*0.0*16382984*false*15.1841***0.76*0.08*-0.95*8.78*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Trimester 3 2012*2012-07-01*2012-09-30*484*barclayswealthmanagers.comunicaciones@barclays.es*AA- (S&P)*5 (escala de 1 al 7)*0.0*0.0**676969.22*98*0.0*9720641*false*14.3591*0.38**0.38*0.04*2.18*10.14*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Semester 1 2012*2012-01-01*2012-06-30*484*barclayswealthmanagers.comunicaciones@barclays.es*AA- (S&P)*Alto*0.09*0.03**684157.36*102*0.0*9614623*false*14.0532*0.75**0.75*0.07***0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Trimester 1 2012*2012-01-01*2012-03-31*484*barclayswealthmanagers.comunicaciones@barclays.es*AA- (S&P)*Alto*0.04*0.03**721179.72*104*0.0*10453263*false*14.4947*0.37**0.37*0.04*-0.09*6.11*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Semester 2 2011*2011-07-01*2011-12-31*484*barclayswealthmanagers.comunicaciones@barclays.es*AA- (S&P)*Alto*0.08*0.06**747972.46*104*0.0*10851004*false*14.5072*0.76**0.76*0.08*4.13*12.57*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Semester 2 2013*2013-07-01*2013-12-31*484*barclayswealthmanagers.comunicaciones@barclays.es*A+  (S&P)*5 (escala de 1 al 7)*0.07*0.0**662885.94*117*0.0*11418490*false*17.2254*0.76**0.76*0.08*7.57*6.16*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Trimester 3 2013*2013-07-01*2013-09-30*484*barclayswealthmanagers.comunicaciones@barclays.es*A+  (S&P)*5 (escala de 1 al 7)*0.0*0.01**662834.76*114*0.0*10613899*false*16.0129*0.38**0.38*0.04*4.55*6.31*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Semester 1 2013*2013-01-01*2013-06-30*484*barclayswealthmanagers.comunicaciones@barclays.es*A+  (S&P)*5 (escala de 1 al 7)*0.07*0.0**666152.67*113*0.0*10202931*false*15.3162*0.74**0.74*0.07*0.91*10.3*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Trimester 1 2013*2013-01-01*2013-03-31*484*barclayswealthmanagers.comunicaciones@barclays.es*AA- (S&P)*5 (escala de 1 al 7)*0.05*0.0**668740.68*113*0.0*10150665*false*15.1788*0.37**0.37*0.04*5.43*7.7*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Semester 2 2014*2014-07-01*2014-12-31*484*barclayswealthmanagers.comunicaciones@barclays.es*B   (S&P)*5 (escala de 1 al 7)*0.09*0.0**631640.68*120*0.0*11388966*false*18.0308*0.76**0.76*0.08*-0.65*11.99*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Trimester 3 2014*2014-07-01*2014-09-30*484*barclayswealthmanagers.comunicaciones@barclays.es*B   (S&P)*5 (escala de 1 al 7)*0.01*0.0**674693.27*125*0.0*12244248*false*18.1479*0.38**0.38*0.04*0.92*7.31*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Semester 1 2014*2014-01-01*2014-06-30*484*barclayswealthmanagers.comunicaciones@barclays.es*B   (S&P)*5 (escala de 1 al 7)*0.06*0.01**664566.29*120*0.0*11950468*false*17.9824*0.74**0.74*0.07*3.0*5.25*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Trimester 1 2014*2014-01-01*2014-03-31*484*barclayswealthmanagers.comunicaciones@barclays.es*A+  (S&P)*5 (escala de 1 al 7)*0.06*0.02**661412.44*120*0.0*11547221*false*17.4584*0.37**0.37*0.04*1.35*8.18*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Trimester 3 2015*2015-07-01*2015-09-30*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.3*0.02**644227.956883*136*0.0*11874536*false*18.4322*1.13*0.0*1.13*0.1*-4.68*16.39*1.27*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, FI*80852601*Semester 1 2015*2015-01-01*2015-06-30*484*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.0*0.02**643393.39*136*0.0*12441406*false*19.3372*0.74*0.0*0.74*0.07*-4.2*11.61*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, FI*80852601*Trimester 1 2015*2015-01-01*2015-03-31*484*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.0*0.0**635374.87*123*0.0*12825503*false*20.1857*0.37*0.0*0.37*0.04*11.95*10.24*0.15*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Semester 2 2014*2014-07-01*2014-12-31*484*barclayswealthmanagers.comunicaciones@barclays.es*B   (S&P)*5 (escala de 1 al 7)*0.09*0.0**631640.68*120*0.0*11388966*false*18.0308*0.76**0.76*0.08*-0.65*11.99*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Trimester 3 2016*2016-07-01*2016-09-30*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.0*-0.17**586585.646002*109*0.0*11172266*false*19.0463*0.37*0.0*0.37*0.02*1.61*7.72*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Semester 1 2016*2016-01-01*2016-06-30*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.07*-0.3**589707.620704*111*0.0*11053652*false*18.7443*0.75*0.0*0.75*0.04*2.49*13.73*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Trimester 1 2016*2016-01-01*2016-03-31*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.01*-0.21**590037.712277*108*0.0*10791548*false*18.2896*0.37*0.0*0.37*0.02*-4.02*16.1*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Semester 2 2015*2015-07-01*2015-12-31*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.33*0.02**602645.39025*105*0.0*11484085*false*19.0561*1.52*0.0*1.52*0.12*3.38*12.8*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Semester 2 2017*2017-07-01*2017-12-31*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.04*0.25**561952.638445*105*0.0*11354588*false*20.2056*0.76*0.0*0.76*0.04*-0.02*6.49*0.41*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Trimester 3 2017*2017-07-01*2017-09-30*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.0*0.25**563254.210806*107*0.0*11382916*false*20.2092*0.37*0.0*0.37*0.02*-0.69*6.46*0.41*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Semester 1 2017*2017-01-01*2017-06-30*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.0*0.25**571317.836722*97*0.0*11626638*false*20.3506*0.74*0.0*0.74*0.04*-0.11*6.0*0.4*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Trimester 1 2017*2017-01-01*2017-03-31*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.01*0.25**571353.871854*100*0.0*11640564*false*20.3737*0.37*0.0*0.37*0.02*4.49*5.41*0.4*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Trimester 3 2018*2018-07-01*2018-09-30*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.0*0.25**563677.070556*105*0.0*11850164*false*21.023*0.38*0.0*0.38*0.02*4.34*4.99*0.41*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Semester 1 2018*2018-01-01*2018-06-30*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.06*0.25**563677.070556*105*0.0*11356849*false*20.1478*0.74*0.0*0.74*0.04*3.4*7.26*0.4*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Trimester 1 2018*2018-01-01*2018-03-31*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.0*0.25**563689.906176*106*0.0*10984008*false*19.4859*0.37*0.0*0.37*0.02*-3.56*9.38*0.4*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Semester 2 2017*2017-07-01*2017-12-31*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.04*0.25**561952.638445*105*0.0*11354588*false*20.2056*0.76*0.0*0.76*0.04*-0.02*6.49*0.41*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI*80852601*Trimester 3 2019*2019-07-01*2019-09-30*484*gestora@renta4.es*ND*5*0.05*-0.4**562802.47*104*0.0*13083505*false*23.2471*0.38*0.0*0.38*0.02*2.79*8.1*0.41*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI*80852601*Semester 1 2019*2019-01-01*2019-06-30*484*gestora@renta4.es*ND*5*0.0*-0.25**563140.89*105*0.0*12736035*false*22.6161*0.74*0.0*0.74*0.04*2.47*7.07*0.4*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Trimester 1 2019*2019-01-01*2019-03-31*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.0*0.25**563140.891203*105*0.0*12428851*false*22.0706*0.37*0.0*0.37*0.02*10.39*6.84*0.4*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI *80852601*Semester 2 2018*2018-07-01*2018-12-31*484*gestora@renta4.es*NA*5, de una escala del 1 al 7*0.02*0.25**563140.891203*105*0.0*11259259*false*19.9937*0.76*0.0*0.76*0.04*-4.9*10.22*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI*80852601*Semester 2 2020*2020-07-01*2020-12-31*484*gestora@renta4.es*ND*5*0.0*-0.48**481601.82*107*0.0*11380405*false*23.6303*0.75*0.0*0.75*0.04*1.76*9.75*0.41*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI*80852601*Trimester 3 2020*2020-07-01*2020-09-30*484*gestora@renta4.es*ND*5*0.01*-0.49**583027.4*109*0.0*13539071*false*23.222*0.38*0.0*0.38*0.02*-1.89*10.58*0.41*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI*80852601*Semester 1 2020*2020-01-01*2020-06-30*484*gestora@renta4.es*ND*5*0.0*-0.47**582047.9*107*0.0*13777067*false*23.67*0.75*0.0*0.75*0.04*7.84*13.59*0.41*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA FI*80852601*Trimester 1 2020*2020-01-01*2020-03-31*484*gestora@renta4.es*ND*5*0.0*-0.47**578216.01*106*0.0*12691889*false*21.9501*0.37*0.0*0.37*0.02*-8.8*29.36*0.41*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
