fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Semester 2 2009*2009-07-01*2009-12-31*2027*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.0*0.08**13704536.62*3153*0.0*21910719*false*1.5988***0.83*0.05*7.63*15.05*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Trimester 3 2013*2013-07-01*2013-09-30*2027*kutxabankgestion@kutxabankgestion.es*BBB- (S&P)*6 en una escala del 1 al 7*0.14*0.07**10590887.81*5893*0.0*26846945*false*2.5349*0.37*0.0*0.37*0.01***0.39*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Semester 1 2013*2013-01-01*2013-06-30*2027*kutxabankgestion@kutxabankgestion.es*BBB- (S&P)*Muy Alto*0.74*0.06**9272534.33*4546*0.0*21515407*false*2.3203*0.82*0.0*0.82*0.05*2.71*13.06*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Trimester 1 2013*2013-01-01*2013-03-31*2027*bbk.gestion@kutxabankgestion.es*BBB- (S&P)*Muy Alto*0.47*0.06**7833601.51*3262*0.0*17696716*false*2.2591*0.41*0.0*0.41*0.02*5.21*10.66*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Semester 2 2012*2012-07-01*2012-12-31*2027*bbk.gestion@kutxabankgestion.es*BBB- (S&P)*Muy Alto*0.73*0.09**7929320.88*2841*0.0*17025132*false*2.1471*0.83*0.0*0.83*0.05*-5.09*14.86*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Semester 2 2014*2014-07-01*2014-12-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.76*0.05**8615751.07*830*0.0*28379550*false*3.2939*0.96*0.0*0.96*0.05*4.8*16.27*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Trimester 3 2014*2014-07-01*2014-09-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*6 en una escala del 1 al 7*0.37*0.06**8533621.55*772*0.0*26821418*false*3.143*0.48*0.0*0.48*0.03*6.1*10.27*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Semester 1 2014*2014-01-01*2014-06-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*6 en una escala del 1 al 7*1.11*0.11**8218685.36*743*0.0*24345977*false*2.9623*0.94*0.0*0.94*0.05*6.29*12.24*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Trimester 1 2014*2014-01-01*2014-03-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*6 en una escala del 1 al 7*0.47*0.11**8280439.85*793*0.0*23077682*false*2.787*0.47*0.0*0.47*0.02*-0.5*12.33*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Trimester 3 2015*2015-07-01*2015-09-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*1.18*0.02**7844768.88*763*0.0*25525448*false*3.2538*0.48*0.0*0.48*0.03*-4.78*24.04*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Semester 1 2015*2015-01-01*2015-06-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*1.53*0.01**8277050.62*775*0.0*28282758*false*3.417*0.94*0.0*0.94*0.05*0.44*12.61*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Trimester 1 2015*2015-01-01*2015-03-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.27*0.01**8312478.55*799*0.0*28278390*false*3.4019*0.47*0.0*0.47*0.02*3.28*14.44*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Semester 2 2014*2014-07-01*2014-12-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.76*0.05**8615751.07*830*0.0*28379550*false*3.2939*0.96*0.0*0.96*0.05*4.8*16.27*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Semester 2 2016*2016-07-01*2016-12-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.0*0.02**7996912.64*707*0.0*29771844*false*3.7229*0.96*0.0*0.96*0.05*0.47*11.77*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Trimester 3 2016*2016-07-01*2016-09-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.0*0.01**8111194.65*709*0.0*30057277*false*3.7057*0.48*0.0*0.48*0.03*8.99*9.93*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Semester 1 2016*2016-01-01*2016-06-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.14*0.01**8449688.4*721*0.0*28727732*false*3.3999*0.95*0.0*0.95*0.05*-1.7*14.79*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Trimester 1 2016*2016-01-01*2016-03-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.13*0.01**8494388.27*736*0.0*29378216*false*3.4585*0.47*0.0*0.47*0.02*-3.78*21.5*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE ESTANDAR*95077574*Semester 2 2017*2017-07-01*2017-12-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*0.03**4115107.62*1009*0.0*19241831*false*4.6759*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE CARTERA*95077574*Semester 2 2017*2017-07-01*2017-12-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*0.03**5676842.46*10*0.0*26544346*false*4.6759*0.45*0.0*0.45*0.02*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Trimester 3 2017*2017-07-01*2017-09-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*0.01**9397387.82*896*0.0*41339795*false*4.3991*0.48*0.0*0.48*0.03*4.91*10.87*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Semester 1 2017*2017-01-01*2017-06-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*0.05**9075568.31*844*0.0*38056059*false*4.1932*0.94*0.0*0.94*0.05*1.88*11.7*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*KUTXABANK BOLSA NUEVA ECONOMIA FI*95077574*Trimester 1 2017*2017-01-01*2017-03-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*5 en una escala del 1 al 7*0.0*0.07**8438007.84*791*0.0*34730966*false*4.116*0.47*0.0*0.47*0.02*10.56*7.13*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE ESTANDAR*95077574*Semester 2 2018*2018-07-01*2018-12-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.53*-0.19**5279963.13*1285*0.0*23881922*false*4.5231*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE CARTERA*95077574*Semester 2 2018*2018-07-01*2018-12-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.53*-0.19**5530775.69*10*0.0*25212651*false*4.5586*0.58*0.0*0.58*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE ESTANDAR*95077574*Trimester 3 2018*2018-07-01*2018-09-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.11**5043236.49*1273*0.0*27279835*false*5.4092*0.48*0.0*0.48*0.03*7.02*10.29*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE CARTERA*95077574*Trimester 3 2018*2018-07-01*2018-09-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.11**5529281.16*10*0.0*30078562*false*5.4399*0.29*0.0*0.29*0.03*7.22*10.29*0.32*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE ESTANDAR*95077574*Semester 1 2018*2018-01-01*2018-06-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.15*-0.1**4929634.97*1155*0.0*24915727*false*5.0543*0.94*0.0*0.94*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE CARTERA*95077574*Semester 1 2018*2018-01-01*2018-06-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.15*-0.1**5426083.9*10*0.0*27528876*false*5.0734*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE ESTANDAR*95077574*Trimester 1 2018*2018-01-01*2018-03-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.02*0.03**4580366.17*1112*0.0*21742597*false*4.7469*0.47*0.0*0.47*0.02*1.52*22.5*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE CARTERA*95077574*Trimester 1 2018*2018-01-01*2018-03-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.02*0.03**5731424.96*10*0.0*27259069*false*4.7561*0.28*0.0*0.28*0.02*1.71*22.49*0.31*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE ESTANDAR*95077574*Trimester 3 2019*2019-07-01*2019-09-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.0*-0.32**5226357.39*1281*0.0*27784343*false*5.3162*0.48*0.0*0.48*0.03*-0.96*16.39*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE CARTERA*95077574*Trimester 3 2019*2019-07-01*2019-09-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.0*-0.32**32211638.68*60008*0.0*173356762*false*5.3818*0.28*0.0*0.28*0.02*-0.88*16.48*0.32*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE ESTANDAR*95077574*Semester 1 2019*2019-01-01*2019-06-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.43*-0.17**5343524.09*1286*0.0*28681678*false*5.3676*0.94*0.0*0.94*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE CARTERA*95077574*Semester 1 2019*2019-01-01*2019-06-30*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.43*-0.17**7552446.12*3631*0.0*41007459*false*5.4297*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE ESTANDAR*95077574*Trimester 1 2019*2019-01-01*2019-03-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.47*-0.03**5419447.43*1277*0.0*28172625*false*5.1984*0.47*0.0*0.47*0.02*14.93*15.34*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE CARTERA*95077574*Trimester 1 2019*2019-01-01*2019-03-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.47*-0.03**5436354.8*10*0.0*28534457*false*5.2488*0.28*0.0*0.28*0.02*15.14*15.34*0.31*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE ESTANDAR*95077574*Semester 2 2018*2018-07-01*2018-12-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.53*-0.19**5279963.13*1285*0.0*23881922*false*4.5231*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE CARTERA*95077574*Semester 2 2018*2018-07-01*2018-12-31*2027*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.53*-0.19**5530775.69*10*0.0*25212651*false*4.5586*0.58*0.0*0.58*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE ESTANDAR*95077574*Semester 2 2020*2020-07-01*2020-12-31*2027*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.42**6776150.35*2015*0.0*50495476*false*7.4519*0.95*0.0*0.95*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE CARTERA*95077574*Semester 2 2020*2020-07-01*2020-12-31*2027*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.42**36694222.42*72344*0.0*279457056*false*7.6158*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE ESTANDAR*95077574*Trimester 3 2020*2020-07-01*2020-09-30*2027*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.42**6137712.56*1684*0.0*40316693*false*6.5687*0.48*0.0*0.48*0.03*6.61*18.5*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE CARTERA*95077574*Trimester 3 2020*2020-07-01*2020-09-30*2027*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.42**37934108.93*67643*0.0*254176138*false*6.7005*0.29*0.0*0.29*0.03*6.81*18.5*0.32*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE ESTANDAR*95077574*Semester 1 2020*2020-01-01*2020-06-30*2027*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.22*-0.21**5897454.68*1578*0.0*36336472*false*6.1614*0.94*0.0*0.94*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE CARTERA*95077574*Semester 1 2020*2020-01-01*2020-06-30*2027*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.22*-0.21**47164196.75*66746*0.0*295866439*false*6.2731*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE ESTANDAR*95077574*Trimester 1 2020*2020-01-01*2020-03-31*2027*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.05**5335018.69*1451*0.0*26025566*false*4.8783*0.47*0.0*0.47*0.02*-16.06*49.91*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*CLASE CARTERA*95077574*Trimester 1 2020*2020-01-01*2020-03-31*2027*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.05**50409941.55*65341*0.0*249901070*false*4.9574*0.28*0.0*0.28*0.02*-15.9*49.91*0.31*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
