fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GVC GAESCO RENTA FIJA, FI*"P&G
                Crecimiento F.I."*58242751*Semester 2 2009*2009-07-01*2009-12-31*16*info@gvcgaesco.es*BBB +*bajo*0.27*0.36**842475.21*391*0.0*17086759*false*20.2816***0.5*0.08*0.03*0.18*0.28*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*"P&G
                Crecimiento F.I."*58242751*Trimester 3 2009*2009-07-01*2009-09-30*16*info@gvcgaesco.es*BBB +*bajo*0.17*0.36**918838.47*392*0.0*18629295*false*20.2748***0.25*0.04*0.21*0.33*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*"P &
                G Crecimiento, F.I."*58242751*Semester 1 2009*2009-01-01*2009-06-30*16*info@gvcgaesco.es*BBB +*bajo*0.62*0.24**911986.05*395*0.0*18451527*false*20.2322***0.5*0.07*0.1*0.12*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 3 2012*2012-07-01*2012-09-30*16*info@gvcgaesco.es*BBB-*Bajo*0.04*1.3**443744.28*266*0.0*9254560*false*20.8556*0.25*0.0*0.25*0.04*1.14*1.74*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 1 2012*2012-01-01*2012-06-30*16*info@gvcgaesco.es*BBB-*Bajo*0.0*1.32**460743.39*273*0.0*9500343*false*20.6196*0.5*0.0*0.5*0.07*-1.14*1.35*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 1 2012*2012-01-01*2012-03-31*16*info@gvcgaesco.es*BBB-*Bajo*0.0*1.29**461663.66*272*0.0*9629304*false*20.8578*0.25*0.0*0.25*0.04*1.08*0.77*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 2 2011*2011-07-01*2011-12-31*16*info@gvcgaesco.es*A*Bajo*0.11*1.2**388792.13*265*0.0*8022323*false*20.634*0.5*0.0*0.5*0.08*0.59*1.54*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 2 2013*2013-07-01*2013-12-31*16*info@gvcgaesco.es*BB*2 (En una escala del 1 al 7)*0.0*2.0**691004.87*357*0.0*15056615*false*21.7894*0.5*0.0*0.5*0.08*0.75*0.42*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 3 2013*2013-07-01*2013-09-30*16*info@gvcgaesco.es*BB*2 (En una escala del 1 al 7)*0.0*1.02**613589.87*337*0.0*13270241*false*21.6272*0.25*0.0*0.25*0.04*0.88*0.47*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 1 2013*2013-01-01*2013-06-30*16*info@gvcgaesco.es*BB*2 (En una escala del 1 al 7)*0.0*2.0**511249.85*312*0.0*10960284*false*21.4382*0.5*0.0*0.5*0.07*0.43*0.71*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 1 2013*2013-01-01*2013-03-31*16*info@gvcgaesco.es*BB*Bajo*0.1*2.04**465347.32*290*0.0*9933558*false*21.3465*0.25*0.0*0.25*0.04*1.06*0.68*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 3 2014*2014-07-01*2014-09-30*16*info@gvcgaesco.es*BB*2 (En una escala del 1 al 7)*0.0*2.19**629887.01*351*0.0*13835684*false*21.9653*0.25*0.0*0.25*0.04*-0.16*0.42*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 1 2014*2014-01-01*2014-06-30*16*info@gvcgaesco.es*BB*2 (En una escala del 1 al 7)*0.0*2.0**659506.51*352*0.0*14509550*false*22.0006*0.5*0.0*0.5*0.07*0.2*0.32*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 1 2014*2014-01-01*2014-03-31*16*info@gvcgaesco.es*BB*2 (En una escala del 1 al 7)*0.0*1.99**699834.9*357*0.0*15365910*false*21.9565*0.25*0.0*0.25*0.04*0.77*0.47*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 2 2013*2013-07-01*2013-12-31*16*info@gvcgaesco.es*BB*2 (En una escala del 1 al 7)*0.0*2.0**691004.87*357*0.0*15056615*false*21.7894*0.5*0.0*0.5*0.08*0.75*0.42*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 2 2015*2015-07-01*2015-12-31*16*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.2**400965.81*288*0.0*8623247*false*21.5062*0.51*0.0*0.51*0.08*-0.62*2.27*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 3 2015*2015-07-01*2015-09-30*16*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.21**424555.55*298*0.0*9187085*false*21.6393*0.25*0.0*0.25*0.04*-1.6*1.84*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 1 2015*2015-01-01*2015-06-30*16*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.91**594532.44*623*0.0*13075041*false*21.9921*0.5*0.0*0.5*0.07*-0.0*0.69*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 1 2015*2015-01-01*2015-03-31*16*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.7**472408.49*298*0.0*10389747*false*21.9931*0.25*0.0*0.25*0.04*0.53*0.79*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 2 2016*2016-07-01*2016-12-31*16*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.06*0.0**291282.49*250*0.0*6276563*false*21.548*0.5*0.0*0.5*0.08*0.09*1.04*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 3 2016*2016-07-01*2016-09-30*16*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.01*0.0**328112.19*260*0.0*7063824*false*21.5287*0.25*0.0*0.25*0.04*1.15*1.43*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 1 2016*2016-01-01*2016-06-30*16*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.12*0.04**344841.34*258*0.0*7339372*false*21.2833*0.5*0.0*0.5*0.07*-0.13*1.16*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 1 2016*2016-01-01*2016-03-31*16*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.07**355041.52*267*0.0*7566429*false*21.3114*0.25*0.0*0.25*0.04*-0.91*2.44*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 2 2017*2017-07-01*2017-12-31*16*info@gvcgaesco.es*BBB-*3 (En una escala del 1 al 7)*0.84*0.0**330534.94*243*0.0*7174907*false*21.707*0.5*0.0*0.5*0.08*0.18*0.56*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 3 2017*2017-07-01*2017-09-30*16*info@gvcgaesco.es*BBB-*3 (En una escala del 1 al 7)*0.06*0.0**345506.12*254*0.0*7486635*false*21.6686*0.25*0.0*0.25*0.04*0.54*0.66*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 1 2017*2017-01-01*2017-06-30*16*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.4*0.0**309475.53*250*0.0*6669845*false*21.5521*0.5*0.0*0.5*0.07*0.07*0.75*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 1 2017*2017-01-01*2017-03-31*16*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.03*0.0**307643.34*246*0.0*6625915*false*21.5377*0.25*0.0*0.25*0.04*-0.05*0.84*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 2 2018*2018-07-01*2018-12-31*16*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**297993.2*232*0.0*6359668*false*21.3417*0.5*0.0*0.5*0.08*-0.79*1.52*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 3 2018*2018-07-01*2018-09-30*16*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**291068.7*237*0.0*6261620*false*21.5125*0.25*0.0*0.25*0.04*-0.4*1.23*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 1 2018*2018-01-01*2018-06-30*16*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.23*0.0**333597.79*244*0.0*7205608*false*21.5997*0.5*0.0*0.5*0.07*-0.67*2.02*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 1 2018*2018-01-01*2018-03-31*16*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.17*0.0**320182.72*245*0.0*6962000*false*21.745*0.25*0.0*0.25*0.04*0.18*0.62*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 2 2019*2019-07-01*2019-12-31*16*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**417509.91*270*0.0*9119096*false*21.8416*0.5*0.0*0.5*0.08*-0.21*0.57*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 3 2019*2019-07-01*2019-09-30*16*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**334986.14*248*0.0*7332089*false*21.8877*0.25*0.0*0.25*0.04*0.77*0.83*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 1 2019*2019-01-01*2019-06-30*16*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.06*0.0**305972.52*240*0.0*6646109*false*21.7213*0.5*0.0*0.5*0.07*0.68*0.72*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 1 2019*2019-01-01*2019-03-31*16*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.08*0.0**306191.03*235*0.0*6605780*false*21.574*0.25*0.0*0.25*0.04*1.09*0.95*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 2 2020*2020-07-01*2020-12-31*16*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.29*0.0**459179.74*280*0.0*10030045*false*21.8434*0.5*0.0*0.5*0.08*1.28*0.58*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 3 2020*2020-07-01*2020-09-30*16*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.14*0.0**473903.6*281*0.0*10220542*false*21.5667*0.25*0.0*0.25*0.04*1.25*0.76*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 1 2020*2020-01-01*2020-06-30*16*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**463386.06*281*0.0*9870313*false*21.3004*0.5*0.0*0.5*0.07*1.98*1.74*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 1 2020*2020-01-01*2020-03-31*16*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**447429.49*284*0.0*9345357*false*20.8868*0.25*0.0*0.25*0.04*-4.37*3.11*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
