fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 2 2009*2009-07-01*2009-12-31*4043*edm@edm.es*n.d.*Alto*0.0*0.1**20183885.33*244*0.0*22721944*false*1.1257***1.03*0.05*1.68*9.13*0.56*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 3 2012*2012-07-01*2012-09-30*4043*edm@edm.es*n.d.*Alto*0.0*0.0**11634654.6*353*0.0*13510937*false*1.1613*0.5**0.5*0.03*7.76*11.4*0.63*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 1 2012*2012-01-01*2012-06-30*4043*edm@edm.es*n.d.*Alto*0.18*0.07**12552308.97*356*0.0*13527367*false*1.0777*0.98**0.98*0.05*-4.05*13.35*0.62*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 1 2012*2012-01-01*2012-03-31*4043*edm@edm.es*n.d.*Alto*0.03*0.14**13580690.26*363*0.0*15252622*false*1.1231*0.49**0.49*0.02*7.4*9.17*0.65*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 2 2011*2011-07-01*2011-12-31*4043*edm@edm.es*n.d.*Alto*0.14*0.24**14111884.75*372*0.0*14757905*false*1.0458*1.0**1.0*0.05*5.28*19.13*0.68*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 2 2013*2013-07-01*2013-12-31*4043*edm@edm.es*n.d.*Alto*0.13*0.0**13415779.45*423*0.0*19362418*false*1.4433*1.02**1.02*0.05*7.42*7.84*0.62*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 3 2013*2013-07-01*2013-09-30*4043*edm@edm.es*n.d.*Alto*0.06*0.0**14333952.17*411*0.0*19258962*false*1.3436*0.51**0.51*0.03*8.11*8.18*0.62*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 1 2013*2013-01-01*2013-06-30*4043*edm@edm.es*n.d.*Alto*0.2*0.0**12959460.63*396*0.0*16106284*false*1.2428*0.99**0.99*0.05*-0.23*11.48*0.62*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 1 2013*2013-01-01*2013-03-31*4043*edm@edm.es*n.d.*Alto*0.13*0.0**12467907.34*378*0.0*15531585*false*1.2457*0.49**0.49*0.02*5.81*9.76*0.61*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 2 2014*2014-07-01*2014-12-31*4043*edm@edm.es*n.d.*Alto*0.37*0.0**10178484.86*427*0.0*14916905*false*1.4655*0.72**0.72*0.05*0.08*11.68*0.62*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 3 2014*2014-07-01*2014-09-30*4043*edm@edm.es*n.d.*Alto*0.34*0.0**10947653.99*414*0.0*16032051*false*1.4644*0.37**0.37*0.03*-2.53*8.5*0.61*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 1 2014*2014-01-01*2014-06-30*4043*edm@edm.es*n.d.*Alto*0.93*0.0**11586197.11*416*0.0*17407988*false*1.5025*0.86**0.86*0.05*5.77*6.71*0.58*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 1 2014*2014-01-01*2014-03-31*4043*edm@edm.es*n.d.*Alto*0.72*0.0**12031786.68*417*0.0*17091576*false*1.4205*0.46**0.46*0.02*-1.57*9.94*0.59*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 3 2015*2015-07-01*2015-09-30*4043*edm@edm.es*n.d.*Alto*0.0*0.0**10033479.11*404*0.0*14339576*false*1.4292*0.26**0.26*0.03*-10.48*16.1*0.51*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 1 2015*2015-01-01*2015-06-30*4043*edm@edm.es*n.d.*Alto*0.0*0.0**9913936.75*404*0.0*15827385*false*1.5965*0.51**0.51*0.05*-1.37*9.73*0.54*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 1 2015*2015-01-01*2015-03-31*4043*edm@edm.es*n.d.*Alto*0.0*0.0**9601812.56*403*0.0*15541412*false*1.6186*0.26**0.26*0.02*10.44*9.3*0.53*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 2 2014*2014-07-01*2014-12-31*4043*edm@edm.es*n.d.*Alto*0.37*0.0**10178484.86*427*0.0*14916905*false*1.4655*0.72**0.72*0.05*0.08*11.68*0.62*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 3 2016*2016-07-01*2016-09-30*4043*edm@edm.es*n.d.*Alto*0.0*0.0**9484986.03*397*0.0*14430904*false*1.5214*0.16**0.16*0.03*4.54*10.17*0.55*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 1 2016*2016-01-01*2016-06-30*4043*edm@edm.es*n.d.*Alto*0.0*0.0**8636681.62*399*0.0*12570040*false*1.4554*0.46**0.46*0.05***0.58*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 1 2016*2016-01-01*2016-03-31*4043*edm@edm.es*n.d.*Alto*0.03*0.0**9201700.65*408*0.0*13419803*false*1.4584*0.24**0.24*0.02*-4.85*16.09*0.5*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 2 2015*2015-07-01*2015-12-31*4043*edm@edm.es*n.d.*Alto*0.0*0.0**10079624.6*409*0.0*15450257*false*1.5328*0.51**0.51*0.05*7.25*12.34*0.52*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 3 2017*2017-07-01*2017-09-30*4043*edm@edm.es*n.d.*Alto*0.07*0.0**48437870.39*519*0.0*80853472*false*1.6692*0.36**0.36*0.03*1.3*4.44*0.59*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 1 2017*2017-01-01*2017-06-30*4043*edm@edm.es*n.d.*Alto*0.6*0.0**32723847.4*437*0.0*53924554*false*1.6479*0.52**0.52*0.04*1.22*4.09*0.44*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 1 2017*2017-01-01*2017-03-31*4043*edm@edm.es*n.d.*Alto*0.53*0.0**32065990.72*421*0.0*52203574*false*1.628*0.26**0.26*0.02*6.14*4.43*0.43*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 2 2016*2016-07-01*2016-12-31*4043*edm@edm.es*n.d.*Alto*0.25*0.0**32925903.63*433*0.0*50500274*false*1.5338*1.44**1.44*0.21*0.81*8.54*0.43*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA, FI*64923279*Trimester 3 2018*2018-07-01*2018-09-30*4043*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.0*0.0**72842249.67*676*0.0*124444656*false*1.7057*0.22*0.0*0.22*0.02*1.35*4.32*0.63*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 1 2018*2018-01-01*2018-06-30*4043*edm@edm.es*n.d.*Alto*0.06*0.0**56258192.77*638*0.0*94833568*false*1.6857*0.54**0.54*0.03*2.12*5.63*0.42*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Trimester 1 2018*2018-01-01*2018-03-31*4043*edm@edm.es*n.d.*Alto*0.06*0.0**52828287.05*594*0.0*87207308*false*1.6508*0.27**0.27*0.02*-1.31*7.43*0.42*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA F.I.*64923279*Semester 2 2017*2017-07-01*2017-12-31*4043*edm@edm.es*n.d.*Alto*0.12*0.0**50749590.7*553*0.0*84885938*false*1.6726*0.62**0.62*0.05*0.21*3.83*0.43*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA, FI*64923279*Trimester 3 2019*2019-07-01*2019-09-30*4043*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.05*-0.4**87971529.48*751*0.0*153479813*false*1.7447*0.22*0.0*0.22*0.02*0.91*7.22*0.25*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA, FI*64923279*Semester 1 2019*2019-01-01*2019-06-30*4043*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.0*-0.4**85339104.3*771*0.0*147542675*false*1.7289*0.43*0.0*0.43*0.03*2.01*5.98*0.25*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA, FI*64923279*Trimester 1 2019*2019-01-01*2019-03-31*4043*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.0*0.0**88339934.65*742*0.0*149722501*false*1.6948*0.22*0.0*0.22*0.02*8.12*6.62*0.26*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA, FI*64923279*Semester 2 2018*2018-07-01*2018-12-31*4043*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.03*0.0**77779912.04*703*0.0*121927578*false*1.5676*0.45*0.0*0.45*0.04*-8.24*8.7*0.38*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA CLASE L, FI*64923279*Semester 2 2020*2020-07-01*2020-12-31*4043*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.13*-0.36**85149104.21*778*0.0*160992717*false*1.8907*0.58*0.0*0.58*0.04*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA, FI*64923279*Trimester 3 2020*2020-07-01*2020-09-30*4043*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.08*-0.36**92350392.35*825*0.0*161406815*false*1.7478*0.29*0.0*0.29*0.02*2.7*8.07*0.41*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA, FI*64923279*Semester 1 2020*2020-01-01*2020-06-30*4043*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.16*-0.48**92079780.0*820*0.0*156704679*false*1.7018*0.44*0.0*0.44*0.03*12.37*15.8*0.33*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
EDM CARTERA, FI*EDM CARTERA, FI*64923279*Trimester 1 2020*2020-01-01*2020-03-31*4043*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.07*-0.48**92349044.23*804*0.0*139856847*false*1.5144*0.22*0.0*0.22*0.02*-16.8*28.2*0.34*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*
