fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 2 2009*2009-07-01*2009-12-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.53*0.0****0.0**false****0.88*0.05****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 1 2013*2013-01-01*2013-06-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*1.28*0.1**4239679.21*2708*0.0*76247000*false*17.9841*0.87**0.87*0.04*1.11*3.87*0.46*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Trimester 1 2013*2013-01-01*2013-03-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*MEDIO*0.73*0.1**3379667.58*2557*0.0*60112000*false*17.7862*0.43**0.43*0.02*1.47*3.21*0.45*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 2 2014*2014-07-01*2014-12-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*1.08*0.0**5795101.15*3992*0.0*111648000*false*19.2659*0.84**0.84*0.05*0.31*1.37*0.43*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Trimester 3 2014*2014-07-01*2014-09-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.7*0.0**5426043.68*3685*0.0*104213000*false*19.206*0.44**0.44*0.02*0.63*1.25*0.46*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 1 2014*2014-01-01*2014-06-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*1.1*0.13**4929912.53*3362*0.0*94090000*false*19.0854*0.87**0.87*0.04*0.99*1.54*0.46*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Trimester 1 2014*2014-01-01*2014-03-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.68*0.17**4731634.37*3062*0.0*89415000*false*18.8973*0.43**0.43*0.02*2.36*1.54*0.45*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Semester 2 2015*2015-07-01*2015-12-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.53*0.0**4778034.61*3541*0.0*91882000*false*19.2302*0.53**0.53*0.1*0.36*1.96*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Trimester 3 2015*2015-07-01*2015-09-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.2*0.0**4880956.56*3601*0.0*93521000*false*19.1603*0.26**0.26*0.05*1.11*2.23*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Semester 1 2015*2015-01-01*2015-06-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*1.29*0.0**5150063.21*3740*0.0*97588000*false*18.9488*0.52**0.52*0.1*-2.83*3.51*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA F.I.*79444402*Trimester 1 2015*2015-01-01*2015-03-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.7*0.0**5583407.1*3958*0.0*108889000*false*19.5022*0.26**0.26*0.05*1.22*1.64*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Semester 2 2016*2016-07-01*2016-12-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.58*0.0**5708764.85*4388*0.0*110528000*false*19.3611*0.53**0.53*0.1*-1.19*1.77*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Trimester 3 2016*2016-07-01*2016-09-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.21*0.0**5673718.9*4175*0.0*111174000*false*19.5946*0.26**0.26*0.05*0.33*1.04*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Semester 1 2016*2016-01-01*2016-06-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*1.01*0.0**5244799.09*3848*0.0*102423000*false*19.5284*0.52**0.52*0.1*0.6*1.1*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Trimester 1 2016*2016-01-01*2016-03-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.45*0.0**4886549.89*3548*0.0*94856000*false*19.4117*0.26**0.26*0.05*0.94*1.38*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Trimester 3 2017*2017-07-01*2017-09-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.29*0.0**4324781.48*3451*0.0*83338000*false*19.2699*0.26**0.26*0.05*0.04*0.79*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Semester 1 2017*2017-01-01*2017-06-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*1.33*0.0**4593250.27*3618*0.0*88469000*false*19.2607*0.52**0.52*0.1*0.2*0.75*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Trimester 1 2017*2017-01-01*2017-03-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.96*0.0**5241662.96*3992*0.0*100752000*false*19.2213*0.26**0.26*0.05*-0.72*1.41*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Semester 2 2016*2016-07-01*2016-12-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.58*0.0**5708764.85*4388*0.0*110528000*false*19.3611*0.53**0.53*0.1*-1.19*1.77*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Semester 2 2018*2018-07-01*2018-12-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.58*0.0**3250801.22*2661*0.0*61449000*false*18.9027*0.53**0.53*0.1*-0.32*1.06*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Trimester 3 2018*2018-07-01*2018-09-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.31*0.0**3422116.95*2800*0.0*64897000*false*18.964*0.26**0.26*0.05*-0.39*1.09*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Semester 1 2018*2018-01-01*2018-06-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*1.2*0.0**3614536.74*2926*0.0*68819000*false*19.0395*0.52**0.52*0.1*-1.39*2.93*0.32*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Trimester 1 2018*2018-01-01*2018-03-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.51*0.0**3806480.19*3090*0.0*73499000*false*19.309*0.26**0.26*0.05*0.1*0.76*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Semester 2 2019*2019-07-01*2019-12-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*0.67*0.0**2407072.64*2278*0.0*46042000*false*19.1276*0.53**0.53*0.1*-0.57*0.75*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Trimester 3 2019*2019-07-01*2019-09-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*0.26*0.0**2513325.88*2387*0.0*48354000*false*19.2389*0.27**0.27*0.05***0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Semester 1 2019*2019-01-01*2019-06-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*1.0*0.0**3036010.65*2485*0.0*58263000*false*19.1907*0.52**0.52*0.1*0.76*0.86*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Trimester 1 2019*2019-01-01*2019-03-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.43*0.0**3173189.81*2584*0.0*60433000*false*19.0448*0.26**0.26*0.05*0.75*0.77*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Semester 2 2020*2020-07-01*2020-12-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*0.44*-1.0**2126498.9*2016*0.0*40263000*false*18.9341*0.53**0.53*0.1*0.21*0.52*0.32*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Trimester 3 2020*2020-07-01*2020-09-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*0.18*-0.45**2217993.14*2098*0.0*41907000*false*18.8939*0.26**0.26*0.05*0.2*0.65*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Semester 1 2020*2020-01-01*2020-06-30*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*1.26*-0.44**2318488.07*2147*0.0*43716000*false*18.8556*0.52**0.52*0.1*1.61*1.28*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
FONDMAPFRE RENTA MEDIO, FI*FONDMAPFRE RENTA MEDIO F.I.*79444402*Trimester 1 2020*2020-01-01*2020-03-31*190*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*0.63*-0.43**2376623.86*2192*0.0*44102000*false*18.5565*0.26**0.26*0.05*-2.98*2.89*0.31*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138903036
