fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Trimester 3 2014*2014-07-01*2014-09-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.01*0.05**1575034.214619*64*0.0*17406197*false*11.0513*0.16*0.0*0.16*0.02*2.47*5.84*0.18*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Trimester 1 2016*2016-01-01*2016-03-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.85*0.27**925836.431891*56*0.0*9963214*false*10.7613*0.2*0.0*0.2*0.03*-0.16*5.53*0.23*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Trimester 1 2016*2016-01-01*2016-03-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.85*0.27**164555.005603*87*0.0*1757622*false*10.6811*0.34*0.0*0.34*0.03*-0.28*5.53*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Semester 2 2015*2015-07-01*2015-12-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.96*0.05**1402817.268993*58*0.0*15119917*false*10.7783*0.4*-0.02*0.38*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Semester 2 2015*2015-07-01*2015-12-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.96*0.05**1298856.185702*1061*0.0*13912291*false*10.7112*0.66*0.0*0.66*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Semester 2 2017*2017-07-01*2017-12-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.63*0.29**667516.472917*46*0.0*7509311*false*11.2496*0.41*-0.09*0.32*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Semester 2 2017*2017-07-01*2017-12-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.63*0.29**117268.595903*69*0.0*1299357*false*11.0802*0.66*-0.09*0.57*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Trimester 3 2017*2017-07-01*2017-09-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.19*0.32**762860.093438*47*0.0*8586241*false*11.2553*0.21*-0.07*0.14*0.03*-0.76*1.52*0.23*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Trimester 3 2017*2017-07-01*2017-09-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.19*0.32**143635.790707*86*0.0*1594374*false*11.1001*0.32*-0.07*0.25*0.02*-0.88*1.52*0.35*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Semester 1 2017*2017-01-01*2017-06-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.64*0.4**764047.734965*47*0.0*8665851*false*11.342*0.4*0.14*0.54*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Semester 1 2017*2017-01-01*2017-06-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.64*0.4**168576.964972*104*0.0*1887822*false*11.1986*0.64*0.11*0.75*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Trimester 1 2017*2017-01-01*2017-03-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.36*0.33**808873.049135*48*0.0*9180536*false*11.3498*0.2*0.15*0.35*0.02*1.65*1.75*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Trimester 1 2017*2017-01-01*2017-03-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.36*0.33**159986.305123*95*0.0*1794897*false*11.2191*0.32*0.15*0.47*0.02*1.52*1.76*0.34*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Semester 2 2018*2018-07-01*2018-12-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.91*0.25**791951.116524*128*0.0*8892457*false*11.2285*0.41*-0.14*0.27*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Semester 2 2018*2018-07-01*2018-12-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.91*0.25**814759.382437*444*0.0*8955446*false*10.9915*0.66*-0.01*0.65*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Trimester 3 2018*2018-07-01*2018-09-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.46*0.25**810031.992658*134*0.0*9233801*false*11.3993*0.2*-0.05*0.15*0.03*-0.56*1.19*0.23*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Trimester 3 2018*2018-07-01*2018-09-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.46*0.25**1174893.802442*556*0.0*13137900*false*11.1822*0.33*-0.01*0.32*0.02*-0.74*1.23*0.35*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Semester 1 2018*2018-01-01*2018-06-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.04*0.25**813195.041133*137*0.0*9321987*false*11.4634*0.4*0.16*0.56*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Semester 1 2018*2018-01-01*2018-06-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.04*0.25**547448.61796*256*0.0*6167043*false*11.2651*0.64*0.06*0.7*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Trimester 1 2018*2018-01-01*2018-03-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.46*0.25**665277.931703*49*0.0*7581876*false*11.3966*0.2*0.12*0.32*0.02*1.31*1.95*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Trimester 1 2018*2018-01-01*2018-03-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.46*0.25**135242.188817*88*0.0*1516365*false*11.2122*0.32*0.1*0.42*0.02*1.19*1.95*0.35*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*CLASE A*86025251*Trimester 3 2019*2019-07-01*2019-09-30*4783*gestora@renta4.es*ND*3*0.34*-0.34**595825.07*42*0.0*6648413*false*11.1583*0.2*-0.06*0.14*0.03*-1.35*2.88*0.23*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*CLASE B*86025251*Trimester 3 2019*2019-07-01*2019-09-30*4783*gestora@renta4.es*ND*3*0.34*-0.34**328118.53*175*0.0*3571772*false*10.8856*0.33*0.0*0.33*0.03*-1.54*2.93*0.35*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*CLASE A*86025251*Semester 1 2019*2019-01-01*2019-06-30*4783*gestora@renta4.es*ND*3*0.41*-0.4**607244.6*43*0.0*6868586*false*11.3111*0.4*0.06*0.45*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*CLASE B*86025251*Semester 1 2019*2019-01-01*2019-06-30*4783*gestora@renta4.es*ND*3*0.41*-0.4**430557.3*243*0.0*4760019*false*11.0555*0.65*0.0*0.65*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Trimester 1 2019*2019-01-01*2019-03-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.46*0.25**644288.61431*43*0.0*7282814*false*11.3037*0.2*0.05*0.25*0.02*0.67*1.53*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Trimester 1 2019*2019-01-01*2019-03-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.46*0.25**616036.081314*359*0.0*6811110*false*11.0564*0.32*0.0*0.32*0.02*0.59*1.63*0.35*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Semester 2 2018*2018-07-01*2018-12-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.91*0.25**791951.116524*128*0.0*8892457*false*11.2285*0.41*-0.14*0.27*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Semester 2 2018*2018-07-01*2018-12-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.91*0.25**814759.382437*444*0.0*8955446*false*10.9915*0.66*-0.01*0.65*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*CLASE A*86025251*Semester 2 2020*2020-07-01*2020-12-31*4783*gestora@renta4.es*ND*3*0.58*-0.44**491235.59*34*0.0*5773591*false*11.7532*0.4*0.12*0.52*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*CLASE B*86025251*Semester 2 2020*2020-07-01*2020-12-31*4783*gestora@renta4.es*ND*3*0.58*-0.44**207424.47*62*0.0*2365769*false*11.4055*0.65*0.08*0.74*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*CLASE A*86025251*Trimester 3 2020*2020-07-01*2020-09-30*4783*gestora@renta4.es*ND*3*0.17*-0.46**509231.82*36*0.0*5530690*false*10.8608*0.2*0.0*0.2*0.03*-0.28*3.72*0.24*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*CLASE B*86025251*Trimester 3 2020*2020-07-01*2020-09-30*4783*gestora@renta4.es*ND*3*0.17*-0.46**191931.43*77*0.0*2024787*false*10.5495*0.33*0.0*0.33*0.03*-0.41*3.72*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*CLASE A*86025251*Semester 1 2020*2020-01-01*2020-06-30*4783*gestora@renta4.es*ND*3*1.04*-0.43**531490.99*38*0.0*5788706*false*10.8914*0.4*0.03*0.43*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*CLASE B*86025251*Semester 1 2020*2020-01-01*2020-06-30*4783*gestora@renta4.es*ND*3*1.04*-0.43**214236.6*85*0.0*2269314*false*10.5926*0.65*0.06*0.7*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*CLASE A*86025251*Trimester 1 2020*2020-01-01*2020-03-31*4783*gestora@renta4.es*ND*3*0.47*-0.42**544096.98*38*0.0*5805027*false*10.6691*0.2*2.25*2.45*0.02*-7.16*7.75*0.24*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*CLASE B*86025251*Trimester 1 2020*2020-01-01*2020-03-31*4783*gestora@renta4.es*ND*3*0.47*-0.42**234632.71*98*0.0*2437532*false*10.3887*0.32*2.25*2.57*0.02*-7.3*7.75*0.36*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
