fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2009 S2*2009-07-01*2009-12-31*Alto*0.93*0.08**2071781.08*1048*0.0*9284756*false*4.4815***1.01*0.07*3.23*23.22*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2009 T3*2009-07-01*2009-09-30*Alto*0.43*0.06**2131772.67*1073*0.0*9254315*false*4.3411***0.5*0.04*18.47*19.28*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2009 S1*2009-01-01*2009-06-30*ALTO*1.34*1.02**2165822.67*1090*0.0*7936026*false*3.6642***0.99*0.07*16.82*25.84*0.57*False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2010 S2*2010-07-01*2010-12-31*Alto*0.55*0.21**1924307.09*969*0.0*8025189*false*4.1704***1.01*0.07*0.04*20.02*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2010 T3*2010-07-01*2010-09-30*Alto*0.14*0.16**1988060.61*996*0.0*8288046*false*4.1689***0.5*0.04*9.9*24.58*0.57*False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2010 S1*2010-01-01*2010-06-30*Alto*0.63*0.19**2019625.22*1005*0.0*7661306*false*3.7934***0.99*0.07*-13.4*44.25*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2010 T1*2010-01-01*2010-03-31*Alto*0.36*0.15**2062235.8*1032*0.0*9033868*false*4.3806***0.49*0.04*-2.25*22.29*0.55*False
ABANCA RENTA VARIABLE EUROPA, FI*Novacaixagalicia Europa Seleccion*2011 T3*2011-07-01*2011-09-30*Alto*0.73*0.9**1778550.31*893*0.0*5441452*false*3.0595***0.51*0.04*-28.84*51.01*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Novacaixagalicia Europa Seleccion*2011 S1*2011-01-01*2011-06-30*Alto*2.45*0.77**1835669.98*920*0.0*7891895*false*4.2992***0.99*0.07****False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2011 T1*2011-01-01*2011-03-31*Alto*0.74*0.55**1868951.42*942*0.0*8200603*false*4.3878***0.49*0.03*5.21*20.74*0.54*False
ABANCA RENTA VARIABLE EUROPA, FI*Novacaixagalicia Europ.Selección,FI*2014 T1*2014-01-01*2014-03-31*7, de una escala del 1 al 7*1.29*0.0**1364535.5*660*0.0*6119374*false*4.4846*0.49*0.0*0.49*0.04*3.92*16.02*0.55*False
ABANCA RENTA VARIABLE EUROPA, FI*Abanca Renta Variable Europa,F.I.*2015 S2*2015-07-01*2015-12-31*7, de una escala del 1 al 7*2.07*0.0**7431800.07*969*0.0*31053016*false*4.1784*0.68*-0.03*0.65*0.07*5.28*21.43*0.38*False
ABANCA RENTA VARIABLE EUROPA, FI*Abanca Renta Variable Europa,F.I.*2015 T3*2015-07-01*2015-09-30*7, de una escala del 1 al 7*1.21*0.0**7417877.61*955*0.0*29441410*false*3.969*0.34*-0.03*0.31*0.04*-12.36*32.16*0.38*False
ABANCA RENTA VARIABLE EUROPA, FI*Abanca Renta Variable Europa,F.I.*2015 S1*2015-01-01*2015-06-30*7, de una escala del 1 al 7*0.0*0.0**7297182.29*930*0.0*33047573*false*4.5288*0.67*0.03*0.7*0.07*-5.87*20.59*0.38*False
ABANCA RENTA VARIABLE EUROPA, FI*Abanca Renta Variable Europa,F.I.*2015 T1*2015-01-01*2015-03-31*7, de una escala del 1 al 7*0.0*0.0**7265742.04*932*0.0*34958613*false*4.8114*0.33*0.0*0.33*0.04*15.79*17.43*0.37*False
ABANCA RENTA VARIABLE EUROPA, FI*Abanca Renta Variable Europa,F.I.*2016 T3*2016-07-01*2016-09-30*7, de una escala del 1 al 7*0.39*0.0**7374390.95*949*0.0*28339913*false*3.843*0.34*0.0*0.34*0.04*4.4*14.84*0.38*False
ABANCA RENTA VARIABLE EUROPA, FI*Abanca Renta Variable Europa,F.I.*2016 S1*2016-01-01*2016-06-30*7, de una escala del 1 al 7*1.04*0.0**7403217.9*965*0.0*27250658*false*3.681*0.67*0.0*0.67*0.07*-5.32*28.6*0.38*False
ABANCA RENTA VARIABLE EUROPA, FI*Abanca Renta Variable Europa,F.I.*2016 T1*2016-01-01*2016-03-31*7, de una escala del 1 al 7*0.66*0.0**7445894.47*974*0.0*28948645*false*3.8879*0.34*0.0*0.34*0.04*-6.95*30.38*0.38*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2017 S2*2017-07-01*2017-12-31*6, de una escala del 1 al 7*0.77*-0.08**2174381.34*987*0.0*9719007*false*4.4698*0.69*0.09*0.78*0.07*-2.72*9.66*0.36*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2017 T3*2017-07-01*2017-09-30*6, de una escala del 1 al 7*0.5*-0.07**3619490.51*976*0.0*16629949*false*4.5946*0.34*-0.34*0.0*0.04*2.8*9.55*0.39*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2017 S1*2017-01-01*2017-06-30*6, de una escala del 1 al 7*1.16*-0.05**3587614.84*957*0.0*16033945*false*4.4692*0.67*0.54*1.21*0.07*1.01*9.24*0.39*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2017 T1*2017-01-01*2017-03-31*7, de una escala del 1 al 7*0.55*-0.09**7363883.26*922*0.0*32582127*false*4.4246*0.33*0.0*0.33*0.04*5.46*7.82*0.38*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2018 S2*2018-07-01*2018-12-31*6, de una escala del 1 al 7*1.18*0.09**2121264.09*944*0.0*7845791*false*3.6986*0.68*0.0*0.68*0.07*-15.39*16.07*0.39*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2018 T3*2018-07-01*2018-09-30*6, de una escala del 1 al 7*0.34*-0.02**2212178.62*962*0.0*9670705*false*4.3716*0.34*0.0*0.34*0.04*-0.16*11.72*0.4*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2018 S1*2018-01-01*2018-06-30*6, de una escala del 1 al 7*0.64*0.01**2128379.39*955*0.0*9319047*false*4.3785*0.67*0.0*0.67*0.07*1.97*12.71*0.38*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2018 T1*2018-01-01*2018-03-31*6, de una escala del 1 al 7*0.31*0.06**2176978.91*975*0.0*9347848*false*4.294*0.33*0.0*0.33*0.04*-3.93*15.09*0.38*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2019 S2*2019-07-01*2019-12-31*6, de una escala del 1 al 7*0.14*-0.06**1607760.38*874*0.0*7239257*false*4.5027*0.68*0.0*0.68*0.07*3.86*11.15*0.41*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2019 T3*2019-07-01*2019-09-30*6, de una escala del 1 al 7*0.16*-0.16**1825014.24*894*0.0*7912194*false*4.3354*0.34*0.0*0.34*0.04*1.48*12.61*0.41*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2019 S1*2019-01-01*2019-06-30*6, de una escala del 1 al 7*0.37*-0.1**2099437.43*932*0.0*8969552*false*4.2724*0.67*0.0*0.67*0.07*4.14*11.52*0.4*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2019 T1*2019-01-01*2019-03-31*6, de una escala del 1 al 7*0.2*-0.03**2105746.08*944*0.0*8638961*false*4.1026*0.33*0.0*0.33*0.04*10.92*12.6*0.4*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2020 S2*2020-07-01*2020-12-31*6, de una escala del 1 al 7*0.32*-0.05**1504613.68*775*0.0*6706126*false*4.457*0.68*0.0*0.68*0.07*12.87*20.96*0.41*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2020 T3*2020-07-01*2020-09-30*6, de una escala del 1 al 7*0.14*0.01**1574320.47*810*0.0*6216661*false*3.9488*0.34*0.0*0.34*0.04*-1.91*17.72*0.41*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2020 S1*2020-01-01*2020-06-30*6, de una escala del 1 al 7*0.58*-0.04**1573783.39*830*0.0*6335444*false*4.0256*0.67*0.0*0.67*0.07*13.96*27.74*0.41*False
ABANCA RENTA VARIABLE EUROPA, FI*ABANCA RENTA VARIABLE EUROPA, F.I.*2020 T1*2020-01-01*2020-03-31*6, de una escala del 1 al 7*0.38*-0.12**1560623.42*829*0.0*5512791*false*3.5324*0.34*0.0*0.34*0.04*-21.55*41.33*0.41*False
