fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 2 2009*2009-07-01*2009-12-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.58*0.0****0.0**false****0.51*0.02****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 3 2012*2012-07-01*2012-09-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.35*0.33**12332163.54*17975*0.0*180418000*false*14.6298*0.21**0.21*0.01*1.66*3.82*0.22*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 1 2012*2012-01-01*2012-06-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.67*0.79**12627567.34*18197*0.0*181718000*false*14.3906*0.42**0.42*0.02*-1.71*3.63*0.22*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 1 2012*2012-01-01*2012-03-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.27*1.08**12534378.69*18289*0.0*183527000*false*14.6419*0.21**0.21*0.01*1.51*2.11*0.22*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 2 2011*2011-07-01*2011-12-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.57*0.0**12878503.05*18477*0.0*185755000*false*14.4237*0.43**0.43*0.02*1.02*4.04*0.22*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 2 2013*2013-07-01*2013-12-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.87*0.0**17230264.43*21932*0.0*266010000*false*15.4385*0.43**0.43*0.02*0.53*1.01*0.22*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 3 2013*2013-07-01*2013-09-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.28*0.11**14915475.24*20355*0.0*229050000*false*15.3565*0.21**0.21*0.01*1.12*1.17*0.22*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 1 2013*2013-01-01*2013-06-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*1.13*0.11**13926327.07*19707*0.0*211475000*false*15.1853*0.42**0.42*0.02*0.7*1.97*0.22*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 1 2013*2013-01-01*2013-03-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.43*0.11**13172072.89*18713*0.0*198623000*false*15.0791*0.21**0.21*0.01*1.36*1.78*0.22*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 2 2014*2014-07-01*2014-12-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.43*0.0**24348252.68*28014*0.0*384764000*false*15.8025*0.34**0.34*0.02*-0.02*0.54*0.17*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 3 2014*2014-07-01*2014-09-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.32*0.0**22987749.23*26700*0.0*363345000*false*15.806*0.18**0.18*0.01*0.29*0.64*0.19*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 1 2014*2014-01-01*2014-06-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*1.2*0.12**21005072.92*25193*0.0*331043000*false*15.7601*0.41**0.41*0.02*0.6*0.87*0.21*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 1 2014*2014-01-01*2014-03-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.68*0.17**19047973.48*23462*0.0*298406000*false*15.666*0.21**0.21*0.01*1.47*1.0*0.22*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 2 2015*2015-07-01*2015-12-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.28*0.0**21354104.84*25850*0.0*339017000*false*15.876*0.21**0.21*0.02*0.21*0.72*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 3 2015*2015-07-01*2015-09-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.17*0.0**20799186.47*25909*0.0*329515000*false*15.8427*0.1**0.1*0.01*0.58*0.79*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 1 2015*2015-01-01*2015-06-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*1.15*0.0**21975569.01*26686*0.0*346118000*false*15.7501*0.2**0.2*0.02*-0.86*1.35*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 1 2015*2015-01-01*2015-03-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.71*0.0**23951244.48*27974*0.0*380526000*false*15.8875*0.1**0.1*0.01*0.53*0.65*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 2 2016*2016-07-01*2016-12-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.33*0.0**29278361.68*28344*0.0*465811000*false*15.9097*0.21**0.21*0.02*-0.22*0.81*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 3 2016*2016-07-01*2016-09-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.19*0.0**25683350.44*27478*0.0*409527000*false*15.9452*0.1**0.1*0.01*0.1*0.42*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 1 2016*2016-01-01*2016-06-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.91*0.0**23931310.56*26830*0.0*381175000*false*15.9279*0.2**0.2*0.02*0.18*0.85*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 1 2016*2016-01-01*2016-03-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.28*0.0**22009085.43*26019*0.0*349921000*false*15.8989*0.1**0.1*0.01*0.14*0.56*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO PLUS F.I.*79523718*Trimester 3 2017*2017-07-01*2017-09-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.45*0.0**32223985.4*26541*0.0*511716000*false*15.88*0.1**0.1*0.01***0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 1 2017*2017-01-01*2017-06-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.88*0.0**30345932.4*26894*0.0*482042000*false*15.8849*0.2**0.2*0.02*0.02*0.3*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 1 2017*2017-01-01*2017-03-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.43*0.0**29852234.62*27729*0.0*474088000*false*15.8812*0.1**0.1*0.01*-0.17*0.62*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 2 2016*2016-07-01*2016-12-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*3 en escala de 1 a 7*0.33*0.0**29278361.68*28344*0.0*465811000*false*15.9097*0.21**0.21*0.02*-0.22*0.81*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO PLUS F.I.*79523718*Semester 2 2018*2018-07-01*2018-12-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.49*0.0**25177189.94*21423*0.0*394322000*false*15.6619*0.21**0.21*0.02*-0.62*0.89*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO PLUS F.I.*79523718*Trimester 3 2018*2018-07-01*2018-09-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.33*0.0**26920738.73*22428*0.0*424293000*false*15.7608*0.1**0.1*0.01*-0.25*0.53*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO PLUS F.I.*79523718*Semester 1 2018*2018-01-01*2018-06-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.26*0.0**27992797.43*23325*0.0*442307000*false*15.8007*0.2**0.2*0.02*-0.37*1.19*0.12*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO PLUS F.I.*79523718*Trimester 1 2018*2018-01-01*2018-03-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.13*0.0**31589697.52*24583*0.0*500999000*false*15.8596*0.1**0.1*0.01*-0.06*0.61*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO PLUS F.I.*79523718*Semester 2 2019*2019-07-01*2019-12-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*0.17*0.0**20643759.98*18946*0.0*324664000*false*15.727*0.21**0.21*0.02*-0.32*0.26*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO PLUS F.I.*79523718*Trimester 3 2019*2019-07-01*2019-09-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*0.01*0.0**21882679.37*19522*0.0*345261000*false*15.7778*0.1**0.1*0.01*-0.05*0.53*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO PLUS F.I.*79523718*Semester 1 2019*2019-01-01*2019-06-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.74*0.0**24294983.93*20156*0.0*383533000*false*15.7865*0.2**0.2*0.02*0.11*0.38*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO PLUS F.I.*79523718*Trimester 1 2019*2019-01-01*2019-03-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.29*0.0**24077280.95*20651*0.0*379642000*false*15.7676*0.1**0.1*0.01*0.67*0.67*0.11*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
