fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO FI*80077902*Trimester 3 2009*2009-07-01*2009-09-30*274*departamento.marketing@credit-suisse.com*A*BAJO*0.13*0.23**21006244.61*398*0.0*252185424*false*12.0053***0.13*0.03*0.08*0.04*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO FI*80077902*Semester 1 2009*2009-01-01*2009-06-30*274*departamento.marketing@credit-suisse.com*A*BAJO*0.43*0.9**19506706.33*350*0.0*233993839*false*11.9956***0.25*0.05*0.23*0.08*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Semester 2 2014*2014-07-01*2014-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**40725418.04*1098*0.0*522389429*false*12.8271*0.25**0.25*0.05*0.1*0.09*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Trimester 3 2014*2014-07-01*2014-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*1. En una escala de 1 a 7*0.0*0.01**35456311.62*1047*0.0*454351304*false*12.8144*0.13**0.13*0.03*0.14*0.32*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Semester 1 2014*2014-01-01*2014-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*1. En una escala de 1 a 7*0.0*0.13**28280077.49*929*0.0*361870292*false*12.7959*0.25**0.25*0.05***0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Trimester 1 2014*2014-01-01*2014-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*1. En una escala de 1 a 7*0.0*0.12**27043263.81*889*0.0*345426268*false*12.7731*0.12**0.12*0.02*0.27*0.06*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Semester 2 2015*2015-07-01*2015-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**54850452.08*1325*0.0*706620509*false*12.8827*0.18**0.18*0.04*0.12*0.06*0.11*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Trimester 3 2015*2015-07-01*2015-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**44349082.28*1072*0.0*570671800*false*12.8677*0.09**0.09*0.02*0.08*0.08*0.11*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Semester 1 2015*2015-01-01*2015-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**38490701.56*1015*0.0*494885249*false*12.8573*0.18**0.18*0.04*0.06*0.06*0.11*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Trimester 1 2015*2015-01-01*2015-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**37107039.21*1052*0.0*476814654*false*12.8497*0.09**0.09*0.02*0.18*0.04*0.11*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Trimester 3 2016*2016-07-01*2016-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**74485979.77*1703*0.0*962182807*false*12.9176*0.08**0.08*0.01*0.07*0.06*0.09*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Semester 1 2016*2016-01-01*2016-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**70862440.57*1624*0.0*914716553*false*12.9083*0.16**0.16*0.03*0.06*0.05*0.09*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Trimester 1 2016*2016-01-01*2016-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**61456691.06*1515*0.0*792817645*false*12.9004*0.09**0.09*0.02*0.14*0.09*0.11*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Semester 2 2015*2015-07-01*2015-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**54850452.08*1325*0.0*706620509*false*12.8827*0.18**0.18*0.04*0.12*0.06*0.11*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Semester 2 2017*2017-07-01*2017-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**62027201.78*1646*0.0*805702411*false*12.9895*0.1**0.1*0.02*0.0*0.09*0.06*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Trimester 3 2017*2017-07-01*2017-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**63516535.91*1641*0.0*825072351*false*12.9899*0.05**0.05*0.01*0.12*0.05*0.06*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Semester 1 2017*2017-01-01*2017-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**61787757.47*1655*0.0*801650522*false*12.9743*0.09**0.09*0.02*0.22*0.12*0.06*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI*80077902*Trimester 1 2017*2017-01-01*2017-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**63270913.63*1627*0.0*819107118*false*12.946*0.05**0.05*0.01*0.05*0.11*0.06*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE A*80077902*Semester 2 2018*2018-07-01*2018-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**17079930.08*551*0.0*219133855*false*12.8299*0.08*[]*0.08*0.02*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE B*80077902*Semester 2 2018*2018-07-01*2018-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**32821606.9*933*0.0*420939805*false*12.8251*0.1*[]*0.1*0.02*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE A*80077902*Trimester 3 2018*2018-07-01*2018-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**18698255.32*536*0.0*241696714*false*12.9262*0.04*[]*0.04*0.01*0.0*0.78*0.05*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE B*80077902*Trimester 3 2018*2018-07-01*2018-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**39947303.52*986*0.0*516223557*false*12.9226*0.05*[]*0.05*0.01*-0.01*0.78*0.06*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE A*80077902*Semester 1 2018*2018-01-01*2018-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**16881600.51*517*0.0*218215686*false*12.9262*0.05*[]*0.05*0.01*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE B*80077902*Semester 1 2018*2018-01-01*2018-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**37937118.31*1025*0.0*490299228*false*12.924*0.1*[]*0.1*0.02*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE A*80077902*Trimester 1 2018*2018-01-01*2018-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**11650213.5*121*0.0*151221988*false*12.9802*0.01*[]*0.01*0.0*-0.05*0.11*0.01*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE B*80077902*Trimester 1 2018*2018-01-01*2018-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**52359010.95*1461*0.0*679606810*false*12.9797*0.05*[]*0.05*0.01*-0.08*0.13*0.06*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE A*80077902*Trimester 3 2019*2019-07-01*2019-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*-0.14**37709360.66*667*0.0*491838315*false*13.0429*0.04*[]*0.04*0.01*0.21*0.14*0.05*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE B*80077902*Trimester 3 2019*2019-07-01*2019-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*-0.14**36563711.76*1141*0.0*476574618*false*13.0341*0.05*[]*0.05*0.01*0.2*0.15*0.06*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE A*80077902*Semester 1 2019*2019-01-01*2019-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**28552015.3*650*0.0*371627183*false*13.0158*0.07*[]*0.07*0.02*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE B*80077902*Semester 1 2019*2019-01-01*2019-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**36181189.48*1090*0.0*470656989*false*13.0083*0.09*[]*0.09*0.02*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE A*80077902*Trimester 1 2019*2019-01-01*2019-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**22530901.81*614*0.0*292248697*false*12.971*0.04*[]*0.04*0.01*1.1*0.53*0.05*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE B*80077902*Trimester 1 2019*2019-01-01*2019-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**35395820.87*1005*0.0*458901987*false*12.9649*0.05*[]*0.05*0.01*1.09*0.53*0.06*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE A*80077902*Semester 2 2018*2018-07-01*2018-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**17079930.08*551*0.0*219133855*false*12.8299*0.08*[]*0.08*0.02*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CLASE B*80077902*Semester 2 2018*2018-07-01*2018-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*0.0**32821606.9*933*0.0*420939805*false*12.8251*0.1*[]*0.1*0.02*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CL A*80077902*Semester 2 2020*2020-07-01*2020-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*2. En una escala de 1 a 7*0.0*-0.24**32440521.05*660*0.0*423758803*false*13.0626*0.07*[]*0.07*0.02*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CL B*80077902*Semester 2 2020*2020-07-01*2020-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*2. En una escala de 1 a 7*0.0*-0.24**25513474.54*978*0.0*332836197*false*13.0455*0.1*[]*0.1*0.02*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CL A*80077902*Trimester 3 2020*2020-07-01*2020-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*-0.22**30135244.12*663*0.0*392589724*false*13.0276*0.03*[]*0.03*0.01*0.68*0.23*0.04*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CL B*80077902*Trimester 3 2020*2020-07-01*2020-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*-0.22**26393058.82*1010*0.0*343438942*false*13.0125*0.05*[]*0.05*0.01*0.67*0.22*0.06*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CL A*80077902*Semester 1 2020*2020-01-01*2020-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*-0.06**28868946.05*663*0.0*373548274*false*12.9394*0.07*[]*0.07*0.02*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CL B*80077902*Semester 1 2020*2020-01-01*2020-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*-0.06**26336362.6*1009*0.0*340433793*false*12.9264*0.09*[]*0.09*0.02*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CL A*80077902*Trimester 1 2020*2020-01-01*2020-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*-0.12**28549638.5*655*0.0*360999840*false*12.6446*0.04*[]*0.04*0.01*[]*[]*0.05*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CS CORTO PLAZO FI CL B*80077902*Trimester 1 2020*2020-01-01*2020-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*1. En una escala de 1 a 7*0.0*-0.12**29063744.89*1072*0.0*367179725*false*12.6336*0.05*[]*0.05*0.01*[]*[]*0.06*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
