fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 2 2009*2009-07-01*2009-12-31*85*N/D*A+ (S&P)*Medio-Bajo*0.32*0.26**166945309.8*463*0.0*563569434*false*3.3758***0.23*0.03*0.94*2.26*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 2 2012*2012-07-01*2012-12-31*85*gesnorte@gesnorte.es*A+ (S&P)*3 de una escala de 1 a 7*0.19*0.03**135673313.03*391*0.0*489629098*false*3.6089*0.23*0.0*0.23*0.03*2.61*2.66*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 3 2012*2012-07-01*2012-09-30*85*gesnorte@gesnorte.es*A+ (S&P)*3 en una escala de 1 a 7*0.1*0.04**155169126.96*392*0.0*545728239*false*3.517*0.11*0.0*0.11*0.02*3.89*5.44*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 1 2012*2012-01-01*2012-06-30*85*gesnorte@gesnorte.es*A+ (S&P)*Medio*0.38*0.16**155394254.82*400*0.0*526056766*false*3.3853*0.22*0.0*0.22*0.03*-2.29*5.37*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 1 2012*2012-01-01*2012-03-31*85*gesnorte@gesnorte.es*A+ (S&P)*Medio*0.23*0.16**156986896.4*401*0.0*543888609*false*3.4645*0.11*0.0*0.11*0.02*3.24*3.42*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 2 2013*2013-07-01*2013-12-31*85*gesnorte@gesnorte.es*A (S&P)*3 de una escala de 1 a 7*0.29*0.2**119861855.41*382*0.0*466664760*false*3.8934*0.23*0.0*0.23*0.03*2.63*3.07*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 3 2013*2013-07-01*2013-09-30*85*gesnorte@gesnorte.es*A (S&P)*3 de una escala de 1 a 7*0.22*0.18**122100461.76*389*0.0*463204760*false*3.7936*0.11*0.0*0.11*0.02*3.23*3.48*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 1 2013*2013-01-01*2013-06-30*85*gesnorte@gesnorte.es*A+ (S&P)*3 de una escala de 1 a 7*0.48*0.11**123086990.93*390*0.0*452351038*false*3.6751*0.22*0.0*0.22*0.03*0.28*4.83*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 1 2013*2013-01-01*2013-03-31*85*gesnorte@gesnorte.es*A+ (S&P)*3 de una escala de 1 a 7*0.3*0.05**129778977.61*392*0.0*475595487*false*3.6647*0.11*0.0*0.11*0.02*1.55*3.31*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 3 2014*2014-07-01*2014-09-30*85*gesnorte@gesnorte.es*A (S&P)*3 de una escala de 1 a 7*0.13*0.11**113255394.46*379*0.0*461478668*false*4.0747*0.11*0.0*0.11*0.02*0.73*3.7*0.17*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 1 2014*2014-01-01*2014-06-30*85*gesnorte@gesnorte.es*A (S&P)*3 de una escala de 1 a 7*0.49*0.27**116765659.25*379*0.0*472337378*false*4.0452*0.22*0.0*0.22*0.03*2.03*2.98*0.17*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 1 2014*2014-01-01*2014-03-31*85*gesnorte@gesnorte.es*A (S&P)*3 de una escala de 1 a 7*0.25*0.27**118880115.62*381*0.0*471326342*false*3.9647*0.11*0.0*0.11*0.02*1.83*3.73*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 2 2013*2013-07-01*2013-12-31*85*gesnorte@gesnorte.es*A (S&P)*3 de una escala de 1 a 7*0.29*0.2**119861855.41*382*0.0*466664760*false*3.8934*0.23*0.0*0.23*0.03*2.63*3.07*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 2 2015*2015-07-01*2015-12-31*85*gesnorte@gesnorte.es*BBB+ (S&P)*3 de una escala de 1 a 7*0.36*0.0**117766397.03*379*0.0*495397041*false*4.2065*0.23*0.0*0.23*0.03*2.06*5.46*0.17*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 3 2015*2015-07-01*2015-09-30*85*gesnorte@gesnorte.es*BBB+ (S&P)*3 de una escala de 1 a 7*0.16*0.0**114711409.39*378*0.0*472796186*false*4.1216*0.11*0.0*0.11*0.02*-2.55*7.54*0.17*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 1 2015*2015-01-01*2015-06-30*85*gesnorte@gesnorte.es*BBB+ (S&P)*3 de una escala de 1 a 7*0.5*0.03**113718179.65*377*0.0*480989984*false*4.2297*0.22*0.0*0.22*0.03*-1.77*5.43*0.17*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 1 2015*2015-01-01*2015-03-31*85*gesnorte@gesnorte.es*A (S&P)*3 de una escala de 1 a 7*0.22*0.07**115431791.73*374*0.0*497042004*false*4.3059*0.11*0.0*0.11*0.02*5.76*4.35*0.17*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 2 2016*2016-07-01*2016-12-31*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.22*0.0**114297227.77*370*0.0*488103107*false*4.2705*0.23*0.0*0.23*0.03*1.74*2.79*0.17*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 3 2016*2016-07-01*2016-09-30*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.11*0.0**113907493.7*373*0.0*478112038*false*4.1974*0.11*0.0*0.11*0.02*1.73*3.24*0.17*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 1 2016*2016-01-01*2016-06-30*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.45*0.0**113429026.17*374*0.0*467992233*false*4.1259*0.22*0.0*0.22*0.03*0.08*5.64*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 1 2016*2016-01-01*2016-03-31*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.25*0.0**114245296.97*374*0.0*470987327*false*4.1226*0.11*0.0*0.11*0.02*-2.0*6.85*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 2 2017*2017-07-01*2017-12-31*85*gesnorte@gesnorte.es*A- (S&P)*4 de una escala de 1 a 7*0.42*0.0**115613526.79*361*0.0*508424984*false*4.3976*0.23*0.0*0.23*0.03*-0.21*2.13*0.17*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 3 2017*2017-07-01*2017-09-30*85*gesnorte@gesnorte.es*A- (S&P)*4 de una escala de 1 a 7*0.17*0.0**114563483.65*364*0.0*504880878*false*4.407*0.11*0.0*0.11*0.02*0.93*2.58*0.17*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 1 2017*2017-01-01*2017-06-30*85*gesnorte@gesnorte.es*A- (S&P)*4 de una escala de 1 a 7*0.42*0.0**113622711.36*366*0.0*496138562*false*4.3665*0.22*0.0*0.22*0.03*0.2*2.68*0.17*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 1 2017*2017-01-01*2017-03-31*85*gesnorte@gesnorte.es*A- (S&P)*4 de una escala de 1 a 7*0.23*0.0**114190648.7*367*0.0*497640273*false*4.358*0.11*0.0*0.11*0.02*2.05*2.24*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 3 2018*2018-07-01*2018-09-30*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.13*0.0**114018426.76*362*0.0*498870459*false*4.3753*0.11*0.0*0.11*0.02*-0.1*2.52*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 1 2018*2018-01-01*2018-06-30*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.41*0.0**114060668.99*365*0.0*499556659*false*4.3797*0.22*0.0*0.22*0.03*0.65*3.3*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 1 2018*2018-01-01*2018-03-31*85*gesnorte@gesnorte.es*A- (S&P)*4 de una escala de 1 a 7*0.2*0.0**115394868.97*366*0.0*502151146*false*4.3516*0.11*0.0*0.11*0.02***0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 2 2017*2017-07-01*2017-12-31*85*gesnorte@gesnorte.es*A- (S&P)*4 de una escala de 1 a 7*0.42*0.0**115613526.79*361*0.0*508424984*false*4.3976*0.23*0.0*0.23*0.03*-0.21*2.13*0.17*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 2 2019*2019-07-01*2019-12-31*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.17*0.0**111210256.36*352*0.0*497700809*false*4.4753*0.23*0.0*0.23*0.03*1.17*2.55*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 3 2019*2019-07-01*2019-09-30*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.01*0.0**111219170.22*353*0.0*491975880*false*4.4235*0.11*0.0*0.11*0.02*0.92*2.92*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 1 2019*2019-01-01*2019-06-30*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.25*0.0**113056521.21*348*0.0*495554457*false*4.3832*0.22*0.0*0.22*0.03*1.29*2.49*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 1 2019*2019-01-01*2019-03-31*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.13*0.0**113019194.01*356*0.0*489091637*false*4.3275*0.11*0.0*0.11*0.02*3.22*2.53*0.15*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 3 2020*2020-07-01*2020-09-30*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.15*-0.17**109591399.36*346*0.0*472226310*false*4.309*0.11*0.0*0.11*0.02*0.63*3.44*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 1 2020*2020-01-01*2020-06-30*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.36*-0.08**110177107.9*347*0.0*471763136*false*4.2819*0.22*0.0*0.22*0.03*4.78*5.72*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 1 2020*2020-01-01*2020-03-31*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.17*0.0**110175852.49*347*0.0*450245210*false*4.0866*0.11*0.0*0.11*0.02*-8.69*10.76*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 2 2019*2019-07-01*2019-12-31*85*gesnorte@gesnorte.es*BBB+ (S&P)*4 de una escala de 1 a 7*0.17*0.0**111210256.36*352*0.0*497700809*false*4.4753*0.23*0.0*0.23*0.03*1.17*2.55*0.16*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
