fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 2 2009*2009-07-01*2009-12-31*1200*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.01*0.9**4812185.77*1971*0.0*41875763*false*8.702***0.6*0.1*0.26*1.51*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 2 2012*2012-07-01*2012-12-31*1200*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*4 (en una escala del 1 al 7)*0.03*0.77**3336840.6*1393*0.0*31151770*false*9.3357*0.6*0.0*0.6*0.1*3.16*2.95*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 3 2012*2012-07-01*2012-09-30*1200*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*4 (en una escala del 1 al 7)*0.03*0.79**3514425.11*1423*0.0*31803770*false*9.0495*0.3*0.0*0.3*0.05*3.75*6.28*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 1 2012*2012-01-01*2012-06-30*1200*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Medio*0.15*1.0**3612946.47*1456*0.0*31513939*false*8.7225*0.6*0.0*0.6*0.1*-3.52*5.73*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 1 2012*2012-01-01*2012-03-31*1200*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.11*1.0**3708342.09*1491*0.0*33527356*false*9.0411*0.3*0.0*0.3*0.05*2.08*3.27*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 2 2013*2013-07-01*2013-12-31*1200*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*4 (en una escala del 1 al 7)*0.39*0.46**4347426.46*1710*0.0*43010631*false*9.8934*0.6*0.0*0.6*0.1*1.44*1.93*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 3 2013*2013-07-01*2013-09-30*1200*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*4 (en una escala del 1 al 7)*0.09*0.5**3840523.76*1509*0.0*37455331*false*9.7527*0.3*0.0*0.3*0.05*2.2*2.12*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 1 2013*2013-01-01*2013-06-30*1200*participes.ibercajagestion@ibercaja.net*A1 (Moody's)*4 (en una escala del 1 al 7)*0.43*0.67**3539149.49*1452*0.0*33773739*false*9.5429*0.6*0.0*0.6*0.1*0.76*3.31*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 1 2013*2013-01-01*2013-03-31*1200*participes.ibercajagestion@ibercaja.net*Ba1 (Moody's)*4 (en una escala del 1 al 7)*0.13*0.74**3401465.89*1411*0.0*32216163*false*9.4713*0.3*0.0*0.3*0.05*1.45*2.64*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 2 2014*2014-07-01*2014-12-31*1200*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*4 (en una escala del 1 al 7)*0.0*0.09**12986324.6*4519*0.0*138757248*false*10.6849*0.6*0.0*0.6*0.1*0.79*1.93*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 3 2014*2014-07-01*2014-09-30*1200*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*4 (en una escala del 1 al 7)*0.04*0.15**12694337.18*4634*0.0*134568196*false*10.6006*0.3*0.0*0.3*0.05*1.8*2.18*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 1 2014*2014-01-01*2014-06-30*1200*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*4 (en una escala del 1 al 7)*0.0*0.24**9741993.54*3750*0.0*101449952*false*10.4137*0.59*0.0*0.59*0.1*1.99*2.42*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 1 2014*2014-01-01*2014-03-31*1200*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*4 (en una escala del 1 al 7)*0.01*0.25**6263669.57*2481*0.0*63953648*false*10.2103*0.29*0.0*0.29*0.05*3.2*1.87*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 2 2015*2015-07-01*2015-12-31*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.0*0.04**6910279.87*2613*0.0*73763427*false*10.6744*0.61*0.0*0.61*0.1*0.68*2.64*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 3 2015*2015-07-01*2015-09-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.0*0.05**7550804.47*2809*0.0*80053668*false*10.602*0.3*0.0*0.3*0.05*0.92*2.41*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 1 2015*2015-01-01*2015-06-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.03*0.05**9188011.47*3254*0.0*96523985*false*10.5054*0.6*0.0*0.6*0.1*-2.98*3.19*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 1 2015*2015-01-01*2015-03-31*1200*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*4 (en una escala del 1 al 7)*0.01*0.05**12718487.51*4222*0.0*137717219*false*10.8281*0.3*0.0*0.3*0.05*1.34*2.07*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 2 2016*2016-07-01*2016-12-31*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.03*-0.14**6787885.36*2651*0.0*73920761*false*10.8901*0.6*0.0*0.6*0.1*-1.12*1.82*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 3 2016*2016-07-01*2016-09-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.0*-0.09**7372416.96*2828*0.0*81193329*false*11.0131*0.3*0.0*0.3*0.05*0.65*1.27*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 1 2016*2016-01-01*2016-06-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.13*0.01**7022967.99*2676*0.0*76842763*false*10.9416*0.6*0.0*0.6*0.1*0.83*1.98*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 1 2016*2016-01-01*2016-03-31*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.0*0.01**6632336.36*2534*0.0*71971060*false*10.8515*0.3*0.0*0.3*0.05*1.66*2.42*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 2 2017*2017-07-01*2017-12-31*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.21**17198551.4*8573*0.0*188373211*false*10.9529*0.55*0.0*0.55*0.08*0.0*0.98*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 3 2017*2017-07-01*2017-09-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.27**17755476.25*8898*0.0*194474028*false*10.9529*0.28*0.0*0.28*0.05***0.33*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 1 2017*2017-01-01*2017-06-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.16*-0.17**5251508.26*2151*0.0*57297667*false*10.9107*0.6*0.0*0.6*0.1*0.5*1.62*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 1 2017*2017-01-01*2017-03-31*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.12*-0.15**5731647.01*2314*0.0*62222260*false*10.8559*0.3*0.0*0.3*0.05*-0.31*1.82*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 2 2018*2018-07-01*2018-12-31*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.07*-0.13**16924944.83*7341*0.0*181734814*false*10.7377*0.54*0.0*0.54*0.08*-0.04*1.36*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 3 2018*2018-07-01*2018-09-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.14**17087351.07*7604*0.0*183548880*false*10.7418*0.27*0.0*0.27*0.04*-0.61*1.22*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 1 2018*2018-01-01*2018-06-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.05*-0.13**16398855.73*7838*0.0*177239007*false*10.808*0.53*0.0*0.53*0.07*-1.47*2.61*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 1 2018*2018-01-01*2018-03-31*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.13**16600344.66*8186*0.0*182092944*false*10.9692*0.26*0.0*0.26*0.04*0.15*0.85*0.3*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 2 2019*2019-07-01*2019-12-31*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.63*-0.2**21021825.97*6854*0.0*234850485*false*11.1717*0.54*0.0*0.54*0.08*-0.69*1.48*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 3 2019*2019-07-01*2019-09-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.43*-0.25**20393129.8*7002*0.0*229401034*false*11.2489*0.27*0.0*0.27*0.04*1.48*1.74*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 1 2019*2019-01-01*2019-06-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.64*-0.12**16181169.74*7007*0.0*179370638*false*11.0851*0.53*0.0*0.53*0.07*1.45*1.42*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 1 2019*2019-01-01*2019-03-31*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.39*-0.12**16365972.48*7152*0.0*178825091*false*10.9266*0.26*0.0*0.26*0.04*1.76*1.43*0.3*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE CLASE A*50731199*Semester 2 2020*2020-07-01*2020-12-31*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.77*-0.14**10029487.16*6409*0.0*113472855*false*11.3139*0.54*0.0*0.54*0.08*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE CLASE B*50731199*Semester 2 2020*2020-07-01*2020-12-31*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.77*-0.14**13697342.8*4*0.0*155497582*false*11.3524*0.26*0.0*0.26*0.08*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE CLASE A*50731199*Trimester 3 2020*2020-07-01*2020-09-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.35*-0.15**10131231.92*6442*0.0*111648332*false*11.0202*0.27*0.0*0.27*0.04*1.79*1.32*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE CLASE B*50731199*Trimester 3 2020*2020-07-01*2020-09-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.35*-0.15**11614704.03*4*0.0*128256627*false*11.0426*0.13*0.0*0.13*0.04*1.93*1.32*0.17*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE CLASE A*50731199*Semester 1 2020*2020-01-01*2020-06-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.4*-0.17**10248730.38*6546*0.0*110954265*false*10.8261*0.53*0.0*0.53*0.07*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE CLASE B*50731199*Semester 1 2020*2020-01-01*2020-06-30*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.4*-0.17**10891700.96*4*0.0*117992735*false*10.8333*0.08*0.0*0.08*0.02*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 1 2020*2020-01-01*2020-03-31*1200*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.28*-0.08**20673761.24*6636*0.0*215599032*false*10.4286*0.27*0.0*0.27*0.04*-6.65*6.61*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
