fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2009 T3*2009-07-01*2009-09-30*MUY BAJO*0.0*0.25**288472.55*2059*0.0*252399567*false*874.9518***0.13*0.01*0.25*0.12*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2009 S1*2009-01-01*2009-06-30*MUY BAJO*0.0*0.91**279466.67*2101*0.0*243907660*false*872.7612***0.25*0.02*0.31*0.11*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2010 S2*2010-07-01*2010-12-31*Muy bajo*0.0*0.46**114561.06*1413*0.0*100402912*false*876.414***0.25*0.03*0.12*0.14*0.13
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2010 T3*2010-07-01*2010-09-30*Muy bajo*0.0*0.37**127382.83*1481*0.0*111507936*false*875.3765***0.13*0.01*0.19*0.08*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2010 S1*2010-01-01*2010-06-30*Muy bajo*0.0*0.27**146617.18*1549*0.0*128103967*false*873.7309***0.25*0.02*-0.18*0.09*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2010 T1*2010-01-01*2010-03-31*Muy bajo*0.0*0.24**196569.66*1700*0.0*172054966*false*875.2875***0.12*0.01*0.02*0.04*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2011 T3*2011-07-01*2011-09-30*Muy bajo*0.0*0.97**118680.96*1676*0.0*104862616*false*883.5673***0.13*0.01*0.25*0.25*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2011 S1*2011-01-01*2011-06-30*Muy bajo*0.05*0.75**107187.79*1325*0.0*94467213*false*881.3244***0.25*0.02*0.25*0.16*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2011 T1*2011-01-01*2011-03-31*Muy bajo*0.01*0.53**110618.16*1375*0.0*97249205*false*879.1432***0.12*0.01*0.31*0.13*0.14
BNP PARIBAS RENTA FIJA, FI*BNPP.RENTA FIJA CORTO PLAZO FI*2014 S1*2014-01-01*2014-06-30*2, en una escala del 1 al 7*0.0*0.15**51258.43*857*0.0*45755182*false*892.6372*0.25**0.25*0.02*0.37*0.32*0.14
BNP PARIBAS RENTA FIJA, FI*BNPP.RENTA FIJA CORTO PLAZO FI*2014 T1*2014-01-01*2014-03-31*2, en una escala del 1 al 7*0.0*0.15**60041.61*901*0.0*53395529*false*889.3088*0.12**0.12*0.01*0.13*0.12*0.14
BNP PARIBAS RENTA FIJA, FI*BNPP.RENTA FIJA CORTO PLAZO FI*2015 S2*2015-07-01*2015-12-31*2, en una escala del 1 al 7*0.18*-0.05**36264.35*659*0.0*32422120*false*894.0493*0.25**0.25*0.03*0.1*0.62*0.14
BNP PARIBAS RENTA FIJA, FI*BNPP.RENTA FIJA CORTO PLAZO FI*2015 T3*2015-07-01*2015-09-30*2, en una escala del 1 al 7*0.0*-0.01**39742.74*697*0.0*35496642*false*893.1604*0.13**0.13*0.01*0.19*0.54*0.14
BNP PARIBAS RENTA FIJA, FI*BNPP.RENTA FIJA CORTO PLAZO FI*2015 S1*2015-01-01*2015-06-30*2, en una escala del 1 al 7*0.0*0.0**42817.78*725*0.0*38169619*false*891.4432*0.25**0.25*0.02*-1.1*1.22*0.14
BNP PARIBAS RENTA FIJA, FI*BNPP.RENTA FIJA CORTO PLAZO FI*2015 T1*2015-01-01*2015-03-31*2, en una escala del 1 al 7*0.0*-0.01**46379.26*749*0.0*41804992*false*901.3725*0.12**0.12*0.01*0.6*0.78*0.14
BNP PARIBAS RENTA FIJA, FI*BNPP.RENTA FIJA FI*2016 S2*2016-07-01*2016-12-31*3, en una escala del 1 al 7*0.1*-0.01**30071.41*577*0.0*26963006*false*896.6326*0.25**0.25*0.03*0.12*0.9*0.17
BNP PARIBAS RENTA FIJA, FI*BNPP.RENTA FIJA FI*2016 T3*2016-07-01*2016-09-30*3, en una escala del 1 al 7*0.05*0.0**32904.25*594*0.0*29467403*false*895.5502*0.13**0.13*0.01***0.14
BNP PARIBAS RENTA FIJA, FI*BNPP.RENTA FIJA CORTO PLAZO FI*2016 S1*2016-01-01*2016-06-30*2, en una escala del 1 al 7*0.0*0.0**33482.03*607*0.0*29975048*false*895.2577*0.25**0.25*0.02*0.01*0.59*0.14
BNP PARIBAS RENTA FIJA, FI*BNPP.RENTA FIJA CORTO PLAZO FI*2016 T1*2016-01-01*2016-03-31*2, en una escala del 1 al 7*0.0*0.0**34817.21*625*0.0*31165910*false*895.1295*0.12**0.12*0.01*0.12*0.59*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI*2017 S2*2017-07-01*2017-12-31*2, en una escala del 1 al 7*0.21*-0.1**24916.64*477*0.0*22299103*false*894.9483*0.25**0.25*0.03*0.06*1.18*0.18
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI*2017 T3*2017-07-01*2017-09-30*2, en una escala del 1 al 7*0.16*-0.07**26591.99*505*0.0*23784743*false*894.4327*0.13**0.13*0.01*0.02*1.16*0.18
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI*2017 S1*2017-01-01*2017-06-30*2, en una escala del 1 al 7*0.29*-0.01**26694.09*539*0.0*23871344*false*894.2559*0.25**0.25*0.02*-0.32*0.92*0.17
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI*2017 T1*2017-01-01*2017-03-31*3, en una escala del 1 al 7*0.16*-0.02**28173.71*549*0.0*25276113*false*897.1525*0.12**0.12*0.01*0.06*1.02*0.16
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI A*2018 S 2*2018-07-01*2018-12-31*2, en una escala del 1 al 7*0.93*0.0**18757.63*391*0.0*16335492*false*870.8719*0.33*0.0*0.33*0.03*-1.34*1.5*0.21
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI L*2018 S 2*2018-07-01*2018-12-31*2, en una escala del 1 al 7*0.93*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_S22018_V-81577520_daq"" decimals=""2"" unitref=""pure"">-1.34</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S22018_V-81577520_daq"" decimals=""2"" unitref=""pure"">1.50</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_S22018_V-81577520_daq"" decimals=""2"" unitref=""pure"">0.21</iic-com:ratiototalgastos>]"
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI A*2018 T 3*2018-07-01*2018-09-30*2, en una escala del 1 al 7*0.52*-0.01**21517.65*421*0.0*18992805*false*882.6617*0.16*0.0*0.16*0.01*0.01*0.0*0.21
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI L*2018 T 3*2018-07-01*2018-09-30*2, en una escala del 1 al 7*0.52*-0.01**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T32018_V-81577520_da"" decimals=""2"" unitref=""pure"">0.01</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32018_V-81577520_da"" decimals=""2"" unitref=""pure"">0.00</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_T32018_V-81577520_da"" decimals=""2"" unitref=""pure"">0.21</iic-com:ratiototalgastos>]"
BNP PARIBAS RENTA FIJA, FI*BNP RENTA FIJA FI S/A*2018 S 1*2018-01-01*2018-06-30*2, en una escala del 1 al 7*0.84*-0.04**22942.9*432*0.0*20247871*false*882.5331*0.27*0.0*0.27*0.03*-1.33*2.68*0.35
BNP PARIBAS RENTA FIJA, FI*BNP RENTA FIJA FI S/L*2018 S 1*2018-01-01*2018-06-30*2, en una escala del 1 al 7*0.84*-0.04**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_S12018_V-81577520_daq"" decimals=""2"" unitref=""pure"">-1.33</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S12018_V-81577520_daq"" decimals=""2"" unitref=""pure"">2.68</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_S12018_V-81577520_daq"" decimals=""2"" unitref=""pure"">0.35</iic-com:ratiototalgastos>]"
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI*2018 T1*2018-01-01*2018-03-31*2, en una escala del 1 al 7*0.09*-0.05**23662.37*449*0.0*21164172*false*894.423*0.12**0.12*0.01*-0.06*1.18*0.18
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI A*2019 S 2*2019-07-01*2019-12-31*2, en una escala del 1 al 7*0.2*-0.4**15926.31*347*0.0*14160609*false*889.1329*0.33*0.0*0.33*0.03*-0.17*0.5*0.22
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI L*2019 S 2*2019-07-01*2019-12-31*2, en una escala del 1 al 7*0.2*-0.4**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*"[<iic-com:ratiototalgastos contextref=""FIM_S22019_V-81577520_daq"" decimals=""2"" unitref=""pure"">0.22</iic-com:ratiototalgastos>]"
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI A*2019 T 3*2019-07-01*2019-09-30*2, en una escala del 1 al 7*0.11*-0.4**16138.36*356*0.0*14373854*false*890.6639*0.16*0.0*0.16*0.01*0.39*0.74*0.22
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI L*2019 T 3*2019-07-01*2019-09-30*2, en una escala del 1 al 7*0.11*-0.4**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*"[<iic-com:ratiototalgastos contextref=""FIM_T32019_V-81577520_da"" decimals=""2"" unitref=""pure"">0.22</iic-com:ratiototalgastos>]"
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI A*2019 S 1*2019-01-01*2019-06-30*2, en una escala del 1 al 7*0.46*-0.22**16183.42*353*0.0*14357320*false*887.1625*0.32*0.0*0.32*0.02*0.86*0.77*0.21
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI L*2019 S 1*2019-01-01*2019-06-30*2, en una escala del 1 al 7*0.46*-0.22**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*"[<iic-com:ratiototalgastos contextref=""FIM_S12019_V-81577520_daq"" decimals=""2"" unitref=""pure"">0.21</iic-com:ratiototalgastos>]"
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI A*2019 T 1*2019-01-01*2019-03-31*2, en una escala del 1 al 7*0.24*-0.05**16836.88*374*0.0*14810017*false*879.6179*0.16*0.0*0.16*0.01*1.0*0.99*0.2
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI L*2019 T 1*2019-01-01*2019-03-31*2, en una escala del 1 al 7*0.24*-0.05**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T12019_V-81577520_da"" decimals=""2"" unitref=""pure"">1.00</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12019_V-81577520_da"" decimals=""2"" unitref=""pure"">0.99</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_T12019_V-81577520_da"" decimals=""2"" unitref=""pure"">0.20</iic-com:ratiototalgastos>]"
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI A*2020 S 2*2020-07-01*2020-12-31*2, en una escala del 1 al 7*0.54*-0.33**13085.86*311*0.0*11648590*false*890.1664*0.33*0.0*0.33*0.03*1.14*0.83*0.23
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI L*2020 S 2*2020-07-01*2020-12-31*2, en una escala del 1 al 7*0.54*-0.33**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_S22020_V-81577520_daq"" decimals=""2"" unitref=""pure"">1.14</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S22020_V-81577520_daq"" decimals=""2"" unitref=""pure"">0.83</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_S22020_V-81577520_daq"" decimals=""2"" unitref=""pure"">0.23</iic-com:ratiototalgastos>]"
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI A*2020 T 3*2020-07-01*2020-09-30*2, en una escala del 1 al 7*0.42*-0.26**13896.59*321*0.0*12230516*false*880.109*0.16*0.0*0.16*0.01*0.49*0.94*0.22
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI L*2020 T 3*2020-07-01*2020-09-30*2, en una escala del 1 al 7*0.42*-0.26**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T32020_V-81577520_da"" decimals=""2"" unitref=""pure"">0.49</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32020_V-81577520_da"" decimals=""2"" unitref=""pure"">0.94</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_T32020_V-81577520_da"" decimals=""2"" unitref=""pure"">0.22</iic-com:ratiototalgastos>]"
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI A*2020 S 1*2020-01-01*2020-06-30*2, en una escala del 1 al 7*0.55*-0.35**14575.36*334*0.0*12765013*false*875.7941*0.32*0.0*0.32*0.02*3.24*1.94*0.21
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI L*2020 S 1*2020-01-01*2020-06-30*2, en una escala del 1 al 7*0.55*-0.35**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_S12020_V-81577520_daq"" decimals=""2"" unitref=""pure"">3.24</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S12020_V-81577520_daq"" decimals=""2"" unitref=""pure"">1.94</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_S12020_V-81577520_daq"" decimals=""2"" unitref=""pure"">0.21</iic-com:ratiototalgastos>]"
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI A*2020 T 1*2020-01-01*2020-03-31*2, en una escala del 1 al 7*0.26*-0.4**15469.82*340*0.0*13123465*false*848.3271*0.16*0.0*0.16*0.01*-4.59*3.54*0.22
BNP PARIBAS RENTA FIJA, FI*BNP P. RENTA FIJA FI L*2020 T 1*2020-01-01*2020-03-31*2, en una escala del 1 al 7*0.26*-0.4**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*"[<iic-com:ratiototalgastos contextref=""FIM_T12020_V-81577520_da"" decimals=""2"" unitref=""pure"">0.22</iic-com:ratiototalgastos>]"
