fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TRUE VALUE, FI*TRUE VALUE, FI*86902186*Semester 2 2013*2013-07-01*2013-12-31*4683*jrivas@alphaplus.es*Baa2*7, en una escala del 1 al 7*0.0*0.0**30000.0*2*0.0*299076*false*9.9692*0.04*0.0*0.04*0.0****RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE, FI*86902186*Semester 2 2014*2014-07-01*2014-12-31*4683*info@alphaplus.es*n.d.*7, en una escala del 1 al 7*1.81*0.0**392136.57*105*0.0*4506761*false*11.4928*0.68*0.95*1.63*0.05*9.3*13.49*0.39*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE, FI*86902186*Trimester 3 2014*2014-07-01*2014-09-30*4683*info@alphaplus.es*Baa1*7, en una escala del 1 al 7*0.9*0.01**321359.51*70*0.0*3379232*false*10.5154*0.34*0.02*0.36*0.03*0.32*8.03*0.4*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE, FI*86902186*Semester 1 2014*2014-01-01*2014-06-30*4683*info@alphaplus.es*Baa1*7, en una escala del 1 al 7*3.09*0.16**303055.3*59*0.0*3176673*false*10.4822*0.66*0.55*1.21*0.05*2.66*8.74*0.4*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE, FI*86902186*Trimester 1 2014*2014-01-01*2014-03-31*4683*info@alphaplus.es*Baa1*7, en una escala del 1 al 7*2.36*0.2**271460.5*46*0.0*2771708*false*10.2104*0.33*0.32*0.65*0.02*2.42*13.47*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Semester 2 2015*2015-07-01*2015-12-31*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*4.78*0.02**859885.876491*896*0.0*11087223*false*12.8938*0.68*0.2*0.88*0.05*5.12*9.01*0.38*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Trimester 1 2017*2017-01-01*2017-03-31*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.41*0.45**2734575.775097*2610*0.0*43629194*false*15.9546*0.33*0.71*1.04*0.02*7.02*7.09*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Semester 2 2018*2018-07-01*2018-12-31*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*1.06*0.25**10779353.395758*10768*0.0*153911840*false*14.2784*0.68*0.0*0.68*0.05*-20.13*17.35*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Trimester 3 2018*2018-07-01*2018-09-30*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.57*0.25**11682408.196829*11755*0.0*208839720*false*17.8764*0.34*0.0*0.34*0.02*-0.69*4.98*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Semester 1 2018*2018-01-01*2018-06-30*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.69*0.25**11961608.641859*11822*0.0*215318128*false*18.0008*0.67*0.0*0.67*0.05*2.16*6.37*0.36*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Trimester 1 2018*2018-01-01*2018-03-31*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.34*0.25**11366327.943559*11037*0.0*200273243*false*17.6199*0.33*0.0*0.33*0.02*-2.06*8.32*0.36*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Trimester 3 2019*2019-07-01*2019-09-30*4683*gestora@renta4.es*ND*5*0.58*-0.42**8033742.14*8537*0.0*126144330*false*15.7018*0.34*0.0*0.34*0.03*-5.59*9.29*0.38*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Semester 1 2019*2019-01-01*2019-06-30*4683*gestora@renta4.es*ND*7*0.5*-0.27**8681234.01*9193*0.0*144381899*false*16.6315*0.67*0.0*0.67*0.05*7.53*8.21*0.38*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Trimester 1 2019*2019-01-01*2019-03-31*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.59*0.25**9593525.580563*9970*0.0*148388118*false*15.4675*0.33*0.0*0.33*0.02*8.33*11.25*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Semester 2 2018*2018-07-01*2018-12-31*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*1.06*0.25**10779353.395758*10768*0.0*153911840*false*14.2784*0.68*0.0*0.68*0.05*-20.13*17.35*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Semester 2 2020*2020-07-01*2020-12-31*4683*gestora@renta4.es*ND*6*0.79*-0.5**4888013.81*5758*0.0*97222711*false*19.89*0.68*0.96*1.64*0.05*29.07*20.37*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Trimester 3 2020*2020-07-01*2020-09-30*4683*gestora@renta4.es*ND*5*0.2*-0.5**5373599.18*6159*0.0*82807341*false*15.41*0.34*0.0*0.34*0.03*5.85*16.43*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Semester 1 2020*2020-01-01*2020-06-30*4683*gestora@renta4.es*ND*5*0.75*-0.58**6001078.43*6645*0.0*87363332*false*14.5579*0.67*0.0*0.67*0.05*23.51*33.45*0.34*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Trimester 1 2020*2020-01-01*2020-03-31*4683*gestora@renta4.es*ND*5*0.63*-0.66**6495288.34*7054*0.0*76559953*false*11.787*0.34*0.0*0.34*0.02*-30.48*52.15*0.38*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
