fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONRADAR INTERNACIONAL, FI*"Fondradar
                Internacional F.I."*61333258*Semester 2 2009*2009-07-01*2009-12-31*994*info@gvcgaesco.es*AA+*medio*3.95*0.36**600652.48*188*0.0*5346394*false*8.901***0.76*0.03*-1.3*6.57*1.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*"Fondradar
                Internacional F.I."*61333258*Trimester 3 2009*2009-07-01*2009-09-30*994*info@gvcgaesco.es*AA+*medio*10.21*0.36**119122.23*209*0.0*1074239*false*9.018***0.34*0.02*7.9*9.91*1.15*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*"Fondradar
                Internacional F.I."*61333258*Semester 1 2009*2009-01-01*2009-06-30*994*info@gvcgaesco.es*AA+*medio*4.77*0.6**117386.48*209*0.0*981102*false*8.3579***0.67*0.05*19.06*19.91*0.72*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 1 2012*2012-01-01*2012-06-30*994*info@gvcgaesco.es*A+*Medio*0.34*0.24**644551.87*159*0.0*5221239*false*8.1006*0.34*0.0*0.34*0.05*-5.61*13.34*0.21*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 1 2012*2012-01-01*2012-03-31*994*info@gvcgaesco.es*A+*Medio*0.16*0.24**653315.77*160*0.0*5606583*false*8.5817*0.17*0.0*0.17*0.02*5.85*10.37*0.21*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 2 2011*2011-07-01*2011-12-31*994*info@gvcgaesco.es*AA+*Medio*0.22*0.96**653319.44*165*0.0*5296843*false*8.1076*0.35*0.0*0.35*0.05*3.15*19.65*0.22*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 2 2013*2013-07-01*2013-12-31*994*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.19*0.24**681531.98*141*0.0*7447185*false*10.9271*0.34*0.72*1.06*0.05*6.09*7.51*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 3 2013*2013-07-01*2013-09-30*994*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.05*0.0**589726.74*144*0.0*6074220*false*10.3001*0.17*0.33*0.5*0.03*7.97*8.81*0.55*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 1 2013*2013-01-01*2013-06-30*994*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.05*0.0**589727.53*145*0.0*5625948*false*9.5399*0.34*0.09*0.43*0.05*2.31*10.7*0.21*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 1 2013*2013-01-01*2013-03-31*994*info@gvcgaesco.es*BBB*Medio*0.03*0.0**620116.49*152*0.0*5782525*false*9.3249*0.17*0.0*0.18*0.02*1.22*10.27*0.21*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 3 2014*2014-07-01*2014-09-30*994*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.04*0.01**668437.21*132*0.0*7651530*false*11.4469*0.17*0.07*0.24*0.03*0.6*8.03*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 1 2014*2014-01-01*2014-06-30*994*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.15*0.07**668396.32*136*0.0*7605224*false*11.3783*0.33*0.0*0.43*0.05*1.94*6.4*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 1 2014*2014-01-01*2014-03-31*994*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.09*0.04**675797.91*138*0.0*7543347*false*11.1621*0.16*0.0*0.19*0.02*2.15*9.16*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 2 2013*2013-07-01*2013-12-31*994*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.19*0.24**681531.98*141*0.0*7447185*false*10.9271*0.34*0.72*1.06*0.05*6.09*7.51*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 2 2015*2015-07-01*2015-12-31*994*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.17*0.0**645569.24*123*0.0*7492826*false*11.6065*0.33*0.0*0.33*0.05*2.69*8.52*0.22*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 3 2015*2015-07-01*2015-09-30*994*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.12*0.0**645570.24*124*0.0*7296294*false*11.3021*0.16*0.0*0.16*0.03*-7.19*10.89*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 1 2015*2015-01-01*2015-06-30*994*info@gvcgaesco.es*BBB+*5 (En una escala del 1 al 7)*0.45*0.0**651631.07*126*0.0*7935064*false*12.1772*0.32*0.16*0.48*0.05*-2.71*6.26*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 1 2015*2015-01-01*2015-03-31*994*info@gvcgaesco.es*BBB+*5 (En una escala del 1 al 7)*0.22*0.0**668010.98*126*0.0*8361083*false*12.5164*0.16*0.12*0.28*0.02*9.85*8.98*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 2 2016*2016-07-01*2016-12-31*994*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.1*-0.05**537380.36*119*0.0*6323013*false*11.7664*0.34*0.07*0.41*0.05*5.75*7.15*0.21*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 3 2016*2016-07-01*2016-09-30*994*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.0*0.0**537380.36*119*0.0*5979262*false*11.1267*0.17*0.0*0.17*0.03*4.29*9.51*0.21*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 1 2016*2016-01-01*2016-06-30*994*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.03*0.0**541180.74*119*0.0*5774084*false*10.6694*0.34*0.0*0.34*0.05*-3.21*16.38*0.21*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 1 2016*2016-01-01*2016-03-31*994*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.12*0.0**645546.76*121*0.0*7116292*false*11.0237*0.17*0.0*0.17*0.02*-5.02*12.74*0.21*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 2 2017*2017-07-01*2017-12-31*994*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.0*-0.3**526278.66*116*0.0*6335408*false*12.0381*0.34*0.08*0.42*0.05*0.14*5.41*0.22*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 3 2017*2017-07-01*2017-09-30*994*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.0*-0.3**528372.85*116*0.0*6351713*false*12.0213*0.17*0.04*0.21*0.03*0.64*6.77*0.22*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 1 2017*2017-01-01*2017-06-30*994*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.28*-0.3**522533.12*117*0.0*6241666*false*11.945*0.34*0.04*0.38*0.05*-0.77*6.12*0.22*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 1 2017*2017-01-01*2017-03-31*994*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.19*-0.3**537380.3*118*0.0*6469097*false*12.0382*0.17*0.03*0.2*0.02*2.31*5.48*0.21*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 2 2018*2018-07-01*2018-12-31*994*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.05*-0.3**311919.78*115*0.0*3360799*false*10.7746*0.35*0.0*0.35*0.05*-4.94*9.34*0.24*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 3 2018*2018-07-01*2018-09-30*994*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.3**312111.81*116*0.0*3537641*false*11.3345*0.18*0.0*0.18*0.03*-3.38*6.23*0.24*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 1 2018*2018-01-01*2018-06-30*994*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.3**361826.81*117*0.0*4244427*false*11.7305*0.34*0.0*0.34*0.05*-0.67*7.28*0.24*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 1 2018*2018-01-01*2018-03-31*994*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.01*-0.3**532241.34*117*0.0*6285000*false*11.8094*0.17*0.0*0.17*0.02*-1.9*8.48*0.22*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 2 2019*2019-07-01*2019-12-31*994*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.05*-0.4**246954.13*114*0.0*2931933*false*11.8724*0.35*0.0*0.35*0.05*4.87*9.16*0.26*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 3 2019*2019-07-01*2019-09-30*994*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.4**256000.3*114*0.0*2898272*false*11.3214*0.18*0.0*0.18*0.03*0.33*9.56*0.25*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 1 2019*2019-01-01*2019-06-30*994*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.3**272752.04*114*0.0*3077705*false*11.2839*0.35*0.0*0.35*0.05*0.53*7.54*0.25*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 1 2019*2019-01-01*2019-03-31*994*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.06*-0.3**306364.4*113*0.0*3438697*false*11.2242*0.17*0.0*0.17*0.02*4.17*7.63*0.24*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
