fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 2 2009*2009-07-01*2009-12-31*399*N/D*Aa3 (Moody's)*Alto*0.62*0.23**4135790.9*215*0.0*69897771*false*16.9007***0.38*0.05*1.22*5.28*0.21*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 2 2014*2014-07-01*2014-12-31*399*info@novobanco.es*B2 (Moody's)*6 en una escala del 1 al 7*0.54*0.07**3421108.55*165*0.0*66270302*false*19.371*0.38*0.0*0.38*0.05*-1.55*10.32*0.25*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 3 2014*2014-07-01*2014-09-30*399*info@grupobes.es*B2 (Moody's)*6 en una escala del 1 al 7*0.17*0.08**3440245.33*166*0.0*67687294*false*19.6751*0.19*0.0*0.19*0.03*1.81*5.7*0.25*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 1 2014*2014-01-01*2014-06-30*399*info@grupobes.es*Ba3 (Moody's)*6 en una escala del 1 al 7*0.43*0.06**3469956.66*170*0.0*67057915*false*19.3253*0.37*0.0*0.37*0.05*1.3*4.21*0.25*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 1 2014*2014-01-01*2014-03-31*399*info@grupobes.es*Ba3 (Moody's)*6 en una escala del 1 al 7*0.08*0.05**3502627.28*171*0.0*66822964*false*19.078*0.18*0.0*0.18*0.02*1.34*6.3*0.25*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 2 2015*2015-07-01*2015-12-31*399*info@gruponovobanco.es*B2 (Moody's)*6 en una escala del 1 al 7*0.69*0.06**2608467.93*159*0.0*49355294*false*18.9212*0.38*0.0*0.38*0.05*0.87*6.54*0.24*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 3 2015*2015-07-01*2015-09-30*399*info@gruponovobanco.es*B2 (Moody's)*6 en una escala del 1 al 7*0.45*0.07**2854591.38*162*0.0*53546900*false*18.7582*0.19*0.0*0.19*0.03*-6.13*10.31*0.26*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 1 2015*2015-01-01*2015-06-30*399*info@novobanco.es*B2 (Moody's)*6 en una escala del 1 al 7*0.94*0.06**3141655.99*165*0.0*62779100*false*19.9828*0.37*0.0*0.37*0.05*-4.19*8.04*0.27*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 1 2015*2015-01-01*2015-03-31*399*info@novobanco.es*B2 (Moody's)*6 en una escala del 1 al 7*0.48*0.05**3281828.44*165*0.0*68445921*false*20.856*0.19*0.0*0.19*0.02*7.67*9.17*0.26*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 2 2016*2016-07-01*2016-12-31*399*info@gruponovobanco.es*Caa1 (Moody's)*6 en una escala del 1 al 7*0.67*0.07**2498808.98*148*0.0*49582151*false*19.8423*0.38*0.0*0.38*0.05*2.28*4.79*0.26*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 3 2016*2016-07-01*2016-09-30*399*info@gruponovobanco.es*Caa1 (Moody's)*6 en una escala del 1 al 7*0.19*0.09**2548460.49*149*0.0*49437816*false*19.3991*0.19*0.0*0.19*0.03*0.82*3.29*0.25*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 1 2016*2016-01-01*2016-06-30*399*info@gruponovobanco.es*Caa1 (Moody's)*6 en una escala del 1 al 7*0.77*0.07**2556666.03*151*0.0*49191397*false*19.2404*0.37*0.0*0.37*0.05*1.64*4.32*0.25*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 1 2016*2016-01-01*2016-03-31*399*info@gruponovobanco.es*Caa1 (Moody's)*6 en una escala del 1 al 7*0.39*0.06**2579082.28*157*0.0*48820183*false*18.9293*0.19*0.0*0.19*0.02*0.04*5.94*0.25*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 3 2017*2017-07-01*2017-09-30*399*info@gruponovobanco.es*NR (S&P)*6 en una escala del 1 al 7*0.49*-0.5**2450071.28*145*0.0*50184668*false*20.4829*0.19*0.0*0.19*0.03*-0.31*3.04*0.26*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 1 2017*2017-01-01*2017-06-30*399*info@gruponovobanco.es*Caa1 (Moody's)*6 en una escala del 1 al 7*0.75*-0.02**2457531.93*148*0.0*50496155*false*20.5475*0.37*0.0*0.37*0.05*-0.1*3.45*0.25*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 1 2017*2017-01-01*2017-03-31*399*info@gruponovobanco.es*Caa1 (Moody's)*6 en una escala del 1 al 7*0.27*0.03**2491843.05*148*0.0*51253592*false*20.5685*0.18*0.0*0.18*0.02*3.66*4.53*0.25*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 2 2016*2016-07-01*2016-12-31*399*info@gruponovobanco.es*Caa1 (Moody's)*6 en una escala del 1 al 7*0.67*0.07**2498808.98*148*0.0*49582151*false*19.8423*0.38*0.0*0.38*0.05*2.28*4.79*0.26*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 2 2018*2018-07-01*2018-12-31*399*info@gruponovobanco.es*Caa2 (Moody's)*6 en una escala del 1 al 7*0.65*0.0**2322230.26*136*0.0*44524425*false*19.1731*0.38*0.0*0.38*0.05*-5.81*8.28*0.28*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 3 2018*2018-07-01*2018-09-30*399*info@gruponovobanco.es*Caa2 (Moody's)*6 en una escala del 1 al 7*0.06*0.0**2378877.89*139*0.0*48422088*false*20.355*0.19*0.0*0.19*0.03*-1.59*4.33*0.3*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 1 2018*2018-01-01*2018-06-30*399*info@gruponovobanco.es*NR (S&P)*6 en una escala del 1 al 7*0.57*0.0**2389381.33*140*0.0*49423511*false*20.6846*0.37*0.0*0.37*0.05*3.29*5.33*0.29*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 1 2018*2018-01-01*2018-03-31*399*info@gruponovobanco.es*NR (S&P)*6 en una escala del 1 al 7*0.47*0.07**2468671.82*142*0.0*49438696*false*20.0264*0.18*0.0*0.18*0.02*-3.32*7.81*0.27*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 2 2019*2019-07-01*2019-12-31*399*info@gruponovobanco.es*B2 (Moody's)*6 en una escala del 1 al 7*0.87*0.06**1824149.97*128*0.0*36913121*false*20.2358*0.38*0.0*0.38*0.05*1.58*4.86*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 3 2019*2019-07-01*2019-09-30*399*info@gruponovobanco.es*NR (S&P)*6 en una escala del 1 al 7*0.2*0.07**2186816.28*128*0.0*43562009*false*19.9203*0.19*0.0*0.19*0.03*0.04*5.19*0.31*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 1 2019*2019-01-01*2019-06-30*399*info@gruponovobanco.es*Caa2 (Moody's)*6 en una escala del 1 al 7*0.94*0.05**2199874.83*131*0.0*43802965*false*19.9116*0.37*0.0*0.37*0.05*-2.46*5.93*0.29*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 1 2019*2019-01-01*2019-03-31*399*info@gruponovobanco.es*Caa2 (Moody's)*6 en una escala del 1 al 7*0.52*0.04**2252984.08*133*0.0*45993468*false*20.4145*0.18*0.0*0.18*0.02*6.47*5.4*0.28*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 3 2020*2020-07-01*2020-09-30*399*info@gruponovobanco.es*Caa2 (Moody's)*6 en una escala del 1 al 7*0.42*0.03**1239963.64*117*0.0*24941230*false*20.1145*0.19*0.0*0.19*0.03*0.45*8.57*0.32*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 1 2020*2020-01-01*2020-06-30*399*info@gruponovobanco.es*Caa2 (Moody's)*6 en una escala del 1 al 7*1.43*0.06**1246482.81*118*0.0*24959392*false*20.0239*0.37*0.0*0.37*0.05*8.1*8.49*0.32*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 1 2020*2020-01-01*2020-03-31*399*info@gruponovobanco.es*B2 (Moody's)*6 en una escala del 1 al 7*0.89*0.05**1253943.7*120*0.0*23227748*false*18.5238*0.19*0.0*0.19*0.03*-8.46*13.83*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 2 2019*2019-07-01*2019-12-31*399*info@gruponovobanco.es*B2 (Moody's)*6 en una escala del 1 al 7*0.87*0.06**1824149.97*128*0.0*36913121*false*20.2358*0.38*0.0*0.38*0.05*1.58*4.86*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
