fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 2 2009*2009-07-01*2009-12-31*3328*35049900@bancopopular.es*Aa3*Medio*0.9*0.36**133122.78*1504*0.0*16677390*false*125.2783***0.65*0.05*3.74*3.93*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 2 2012*2012-07-01*2012-12-31*3328*35049900@bancopopular.es*BB+*Alto*0.42*0.14**154021.42*1534*0.0*24106822*false*156.516*0.65**0.65*0.05*3.86*1.99*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 3 2012*2012-07-01*2012-09-30*3328*35049900@bancopopular.es*BB+*Alto*0.14*0.16**157142.58*1876*0.0*23680386*false*150.6936*0.33**0.33*0.03*4.74*2.83*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 1 2012*2012-01-01*2012-06-30*3328*35049900@bancopopular.es*BBB-*Alto*0.56*0.43**170077.85*1894*0.0*24470830*false*143.8802*0.65**0.65*0.05*-0.16*3.78*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 1 2012*2012-01-01*2012-03-31*3328*35049900@bancopopular.es*BBB-*Alto*0.23*0.61**192464.92*1996*0.0*27735688*false*144.1078*0.32**0.32*0.02*6.32*3.12*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 2 2013*2013-07-01*2013-12-31*3328*35049900@bancopopular.es*BB-*Medio*0.49*0.13**218116.61*1819*0.0*36132279*false*165.6558*0.66**0.66*0.05*3.0*1.25*0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 3 2013*2013-07-01*2013-09-30*3328*35049900@bancopopular.es*BB-*Medio*0.31*0.12**201037.11*1763*0.0*32331583*false*160.824*0.33**0.33*0.03*2.24*2.0*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 1 2013*2013-01-01*2013-06-30*3328*35049900@bancopopular.es*BB-*Medio*0.58*0.11**208976.83*1794*0.0*32873373*false*157.3063*0.64**0.64*0.05*-1.32*3.57*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 1 2013*2013-01-01*2013-03-31*3328*35049900@bancopopular.es*BB+*Medio*0.23*0.11**196344.58*1733*0.0*31299769*false*159.4124*0.32**0.32*0.02*1.85*1.83*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 2 2014*2014-07-01*2014-12-31*3328*35049900@bancopopular.es*A+*Medio*0.48*0.02**241154.6*2440*0.0*40299341*false*167.11*0.66**0.66*0.05*-0.8*3.53*0.46*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 3 2014*2014-07-01*2014-09-30*3328*35049900@bancopopular.es*A+*Medio*0.26*0.03**255315.13*1960*0.0*43011877*false*168.4658*0.33**0.33*0.03*-2.11*3.17*0.46*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 1 2014*2014-01-01*2014-06-30*3328*35049900@bancopopular.es*A+*Medio*0.96*0.15**292580.98*2022*0.0*50352941*false*172.0992*0.64**0.64*0.05*1.92*0.9*0.46*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 1 2014*2014-01-01*2014-03-31*3328*35049900@bancopopular.es*B+*Medio*0.45*0.15**259923.02*1923*0.0*43889172*false*168.8545*0.32**0.32*0.02*1.93*1.76*0.49*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 2 2015*2015-07-01*2015-12-31*3328*35049900@bancopopular.es*A+*4*1.19*0.0**185860.07*2647*0.0*29966723*false*161.2327*0.66**0.66*0.05*-0.18*3.02*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 3 2015*2015-07-01*2015-09-30*3328*35049900@bancopopular.es*A+*4*0.41*0.0**185524.66*1255*0.0*29966421*false*161.5226*0.33**0.33*0.03*-4.23*3.36*0.47*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 1 2015*2015-01-01*2015-06-30*3328*35049900@bancopopular.es*A+*4*0.51*0.0**238071.14*2532*0.0*40150463*false*168.649*0.65**0.65*0.05*-0.96*2.16*0.48*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 1 2015*2015-01-01*2015-03-31*3328*35049900@bancopopular.es*A+*4*0.28*0.0**216714.9*2439*0.0*36904540*false*170.2907*0.32**0.32*0.02*1.9*2.09*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 2 2016*2016-07-01*2016-12-31*3328*35049900@bancopopular.es*A+*3*0.58*0.0**193633.94*2736*0.0*33978287*false*175.4769*0.65**0.65*0.05*0.98*1.98*0.44*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 3 2016*2016-07-01*2016-09-30*3328*35049900@bancopopular.es*A+*3*0.48*0.0**195187.48*2754*0.0*33918158*false*173.7722*0.33**0.33*0.03*3.55*2.44*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 1 2016*2016-01-01*2016-06-30*3328*35049900@bancopopular.es*A+*3*1.03*0.0**192742.02*2659*0.0*32345006*false*167.815*0.65**0.65*0.05*2.07*3.58*0.44*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 1 2016*2016-01-01*2016-03-31*3328*35049900@bancopopular.es*A+*3*0.73*0.0**181770.85*2622*0.0*29886663*false*164.4194*0.32**0.32*0.02*1.98*3.38*0.41*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 3 2017*2017-07-01*2017-09-30*3328*35049900@bancopopular.es*A+*3*0.21*0.0**168370.97*1656*0.0*30682537*false*182.2318*0.33**0.33*0.03*1.03*1.35*0.44*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 1 2017*2017-01-01*2017-06-30*3328*35049900@bancopopular.es*A+*3*0.41*0.0**189005.14*2624*0.0*34090133*false*180.3662*0.64**0.64*0.05*1.51*1.37*0.43*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 1 2017*2017-01-01*2017-03-31*3328*35049900@bancopopular.es*A+*3*0.24*0.0**217237.15*2841*0.0*38597662*false*177.6752*0.32**0.32*0.02*1.25*1.88*0.43*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 2 2016*2016-07-01*2016-12-31*3328*35049900@bancopopular.es*A+*3*0.58*0.0**193633.94*2736*0.0*33978287*false*175.4769*0.65**0.65*0.05*0.98*1.98*0.44*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 2 2018*2018-07-01*2018-12-31*3328*35049900@bancopopular.es*A+*3*0.65*0.0**125060.5*964*0.0*21504730*false*171.9546*0.66**0.66*0.05*-4.37*2.83*0.42*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 3 2018*2018-07-01*2018-09-30*3328*35049900@bancopopular.es*A+*3*0.08*0.0**126680.32*1054*0.0*22778524*false*179.8111*0.33**0.33*0.03*1.25*1.15*0.44*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 1 2018*2018-01-01*2018-06-30*3328*35049900@bancopopular.es*A+*3*0.36*0.0**131904.42*1114*0.0*23425912*false*177.5976*0.65**0.65*0.05*-1.04*1.73*0.43*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 1 2018*2018-01-01*2018-03-31*3328*35049900@bancopopular.es*A+*3*0.22*0.0**151844.05*1219*0.0*27249730*false*179.4587*0.32**0.32*0.02*-1.52*2.13*0.43*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 2 2019*2019-07-01*2019-12-31*3328*35049900@bancopopular.es*A+*3*0.15*0.0**103405.97*821*0.0*19264580*false*186.3005*0.66**0.66*0.05*1.46*1.55*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 3 2019*2019-07-01*2019-09-30*3328*35049900@bancopopular.es*A+*3*0.06*0.0**112639.97*889*0.0*20682292*false*183.6142*0.33**0.33*0.03*0.37*1.66*0.49*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Semester 1 2019*2019-01-01*2019-06-30*3328*35049900@bancopopular.es*A+*3*0.3*0.0**118561.14*943*0.0*21690058*false*182.9441*0.65**0.65*0.05*1.64*2.21*0.48*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
EUROVALOR BONOS ALTO RENDIMIENTO, FI*EV BONOS ALTO RENDIMIENTO*84542539*Trimester 1 2019*2019-01-01*2019-03-31*3328*35049900@bancopopular.es*A+*3*0.16*0.0**124575.87*965*0.0*22421751*false*179.9847*0.32**0.32*0.02*4.67*2.7*0.41*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133478034
