fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TREA BALANCED, FI*CLASE A TREA BALANCED, FI*88201397*Semester 2 2018*2018-07-01*2018-12-31*5306*N/D*BBB (S&P)*3 en una escala 7*0.0*-0.35**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE B TREA BALANCED, FI*88201397*Semester 2 2020*2020-07-01*2020-12-31*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.0*-0.51**54723.9*97*0.0*552585*false*10.0977*0.35*0.0*0.35*0.05*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE C TREA BALANCED, FI*88201397*Semester 2 2020*2020-07-01*2020-12-31*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.0*-0.51**4244.86*2*0.0*43697*false*10.294*0.5*0.0*0.5*0.05*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE A TREA BALANCED, FI*88201397*Trimester 3 2020*2020-07-01*2020-09-30*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.0*-0.6**50357.95*120*0.0*499617*false*9.9213*0.33*0.0*0.33*0.03*0.91*1.92*0.46*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE B TREA BALANCED, FI*88201397*Trimester 3 2020*2020-07-01*2020-09-30*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.0*-0.6**85628.82*109*0.0*846659*false*9.8875*0.18*0.0*0.18*0.03*1.06*1.92*0.28*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE C TREA BALANCED, FI*88201397*Trimester 3 2020*2020-07-01*2020-09-30*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.0*-0.6**1000.0*1*0.0*10087*false*10.0874*0.25*0.0*0.25*0.03*0.98*1.92*0.39*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE A TREA BALANCED, FI*88201397*Semester 1 2020*2020-01-01*2020-06-30*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.55*-0.53**51067.13*121*0.0*502107*false*9.8323*0.65*0.0*0.65*0.05*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE B TREA BALANCED, FI*88201397*Semester 1 2020*2020-01-01*2020-06-30*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.55*-0.53**94531.65*119*0.0*924904*false*9.7841*0.35*0.0*0.35*0.05*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE C TREA BALANCED, FI*88201397*Semester 1 2020*2020-01-01*2020-06-30*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.55*-0.53**1000.0*1*0.0*9990*false*9.9895*0.09*0.0*0.09*0.01*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE A TREA BALANCED, FI*88201397*Trimester 1 2020*2020-01-01*2020-03-31*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.23*-0.48**51674.9*122*0.0*510579*false*9.8806*0.32*0.0*0.32*0.02*-2.92*4.25*0.42*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE B TREA BALANCED, FI*88201397*Trimester 1 2020*2020-01-01*2020-03-31*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.23*-0.48**112867.82*141*0.0*1108076*false*9.8175*0.18*0.0*0.18*0.03*-2.77*4.25*0.27*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE C TREA BALANCED, FI*88201397*Trimester 1 2020*2020-01-01*2020-03-31*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.23*-0.48**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
