fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 2 2009*2009-07-01*2009-12-31*13*informesfondos@gruposantander.com*Aa2*Alto-Muy Alto*0.0*0.29**2731723.84*683*0.0*72377074*false*26.495***0.25*0.0*1.92*9.34*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 2 2012*2012-07-01*2012-12-31*13*informesfondos@gruposantander.com*Baa2*Alto-Muy Alto*0.16*0.15**2407294.44*510*0.0*62012899*false*25.7604*0.25**0.25*0.0*4.28*8.7*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 3 2012*2012-07-01*2012-09-30*13*informesfondos@gruposantander.com*Baa2*Alto-Muy Alto*0.0*0.18**2425149.11*523*0.0*59909974*false*24.7036*0.13**0.13*0.0*4.43*14.66*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 1 2012*2012-01-01*2012-06-30*13*informesfondos@gruposantander.com*Baa2*Alto-Muy Alto*0.15*0.26**2499389.73*538*0.0*59127126*false*23.6566*0.25**0.25*0.0*-4.7*14.36*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 1 2012*2012-01-01*2012-03-31*13*informesfondos@gruposantander.com*Aa3*Alto-Muy Alto*0.15*0.25**2520521.37*552*0.0*62568477*false*24.8236*0.12**0.12*0.0*2.27*11.43*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 2 2013*2013-07-01*2013-12-31*13*informesfondos@gruposantander.com*Baa2*Muy alto*0.02*0.09**2341402.35*524*0.0*71886348*false*30.7023*0.25**0.25*0.0*6.17*8.21*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 3 2013*2013-07-01*2013-09-30*13*informesfondos@gruposantander.com*Baa2*Muy alto*0.0*0.07**2318392.1*485*0.0*67043992*false*28.9183*0.13**0.13*0.0***0.14*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 1 2013*2013-01-01*2013-06-30*13*informesfondos@gruposantander.com*Baa2*Alto-Muy Alto*0.24*0.08**2404183.78*490*0.0*62950241*false*26.1836*0.25**0.25*0.0*0.54*12.16*0.14*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 1 2013*2013-01-01*2013-03-31*13*informesfondos@gruposantander.com*Baa2*Alto-Muy Alto*0.25*0.06**2402758.71*501*0.0*62573013*false*26.0422*0.12**0.12*0.0*1.09*10.47*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 2 2014*2014-07-01*2014-12-31*13*comsanassetm@gruposantander.com*Baa1*7 en una escala del 1 al 7*0.33*0.01**2110859.84*532*0.0*67667554*false*32.0569*0.25**0.25*0.0*-0.41*17.37*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 3 2014*2014-07-01*2014-09-30*13*comsanassetm@gruposantander.com*Baa1*7 en una escala del 1 al 7*0.34*0.01**2119070.03*545*0.0*68208229*false*32.1878*0.13**0.13*0.0*-0.48*9.97*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 1 2014*2014-01-01*2014-06-30*13*informesfondos@gruposantander.com*Baa1*7 en una escala del 1 al 7*0.1*0.19**2259624.8*533*0.0*73086103*false*32.3444*0.25**0.25*0.0*3.05*7.07*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 1 2014*2014-01-01*2014-03-31*13*informesfondos@gruposantander.com*Baa1*7 en una escala del 1 al 7*0.14*0.19**2326684.37*522*0.0*73029212*false*31.3877*0.12**0.12*0.0*2.23*10.16*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 2 2015*2015-07-01*2015-12-31*13*comsanassetm@gruposantander.com*A 3*5 en una escala del 1 al 7*0.02*-0.17**2053803.27*553*0.0*70328932*false*34.2433*0.25**0.25*0.0*3.08*12.9*0.17*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 3 2015*2015-07-01*2015-09-30*13*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.03*-0.16**2042807.85*541*0.0*67864347*false*33.2211*0.13**0.13*0.0*-5.91*19.23*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 1 2015*2015-01-01*2015-06-30*13*comsanassetm@gruposantander.com*A 3*5 en una escala del 1 al 7*0.0*-0.07**2043018.22*538*0.0*72130923*false*35.3061*0.25**0.25*0.0*-2.68*12.04*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 1 2015*2015-01-01*2015-03-31*13*comsanassetm@gruposantander.com*Baa1*5 en una escala del 1 al 7*0.0*-0.01**2041488.47*534*0.0*74059159*false*36.277*0.12**0.12*0.0*13.16*13.42*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 2 2016*2016-07-01*2016-12-31*13*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.05*-0.35**1963183.17*538*0.0*70799363*false*36.0636*0.25**0.25*0.0*3.98*7.57*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 3 2016*2016-07-01*2016-09-30*13*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.07*-0.36**1978912.96*543*0.0*68637444*false*34.6844*0.13**0.13*0.0*3.52*9.14*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 1 2016*2016-01-01*2016-06-30*13*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.0*-0.32**1981980.99*535*0.0*66403932*false*33.5038*0.25**0.25*0.0*0.52*17.08*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 1 2016*2016-01-01*2016-03-31*13*comsanassetm@gruposantander.com*A 3*5 en una escala del 1 al 7*0.01*0.0**2047041.0*548*0.0*68231017*false*33.3315*0.12**0.12*0.0*-2.66*16.39*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*Inverbanser, F.I.*78277720*Semester 2 2017*2017-07-01*2017-12-31*13*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.02*-0.39**1951233.62*597*0.0*74101414*false*37.9767*0.25**0.25*0.0*-0.72*4.82*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*Inverbanser, F.I.*78277720*Trimester 3 2017*2017-07-01*2017-09-30*13*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.02*-0.38**1982356.61*593*0.0*75830388*false*38.2526*0.13**0.13*0.0*1.2*5.33*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Semester 1 2017*2017-01-01*2017-06-30*13*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.31*-0.38**1982071.88*578*0.0*74923910*false*37.8008*0.25**0.25*0.0*0.74*6.42*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*INVERBANSER,  F.I.*78277720*Trimester 1 2017*2017-01-01*2017-03-31*13*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.0*-0.37**1970035.94*557*0.0*73923364*false*37.5239*0.12**0.12*0.0*4.05*5.53*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*Inverbanser, F.I.*78277720*Trimester 3 2018*2018-07-01*2018-09-30*13*comsanassetm@gruposantander.com*A2*5 en una escala del 1 al 7*0.09*-0.3**1979219.73*600*0.0*75015095*false*37.9013*0.13**0.13*0.0*0.23*4.86*0.16*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*Inverbanser, F.I.*78277720*Semester 1 2018*2018-01-01*2018-06-30*13*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.36*-0.37**1946445.28*603*0.0*73601529*false*37.8133*0.25**0.25*0.0*1.12*5.34*0.15*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*Inverbanser, F.I.*78277720*Trimester 1 2018*2018-01-01*2018-03-31*13*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.1*-0.43**1959751.33*619*0.0*73282085*false*37.3936*0.12**0.12*0.0*-1.54*7.29*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*Inverbanser, F.I.*78277720*Semester 2 2017*2017-07-01*2017-12-31*13*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.02*-0.39**1951233.62*597*0.0*74101414*false*37.9767*0.25**0.25*0.0*-0.72*4.82*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*Inverbanser, F.I.*78277720*Semester 2 2019*2019-07-01*2019-12-31*13*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.0*-0.34**2000969.84*545*0.0*78380310*false*39.1712*0.25**0.25*0.0*2.77*5.34*0.19*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*Inverbanser, F.I.*78277720*Trimester 3 2019*2019-07-01*2019-09-30*13*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.0*-0.3**2009644.97*566*0.0*76599695*false*38.116*0.13**0.13*0.0*0.89*6.18*0.19*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*Inverbanser, F.I.*78277720*Semester 1 2019*2019-01-01*2019-06-30*13*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.4*-0.3**2040855.59*575*0.0*77104067*false*37.7803*0.25**0.25*0.0*1.17*4.84*0.17*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
INVERBANSER, FI*Inverbanser, F.I.*78277720*Trimester 1 2019*2019-01-01*2019-03-31*13*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.0*-0.3**1971584.19*577*0.0*73628950*false*37.3451*0.12**0.12*0.0*6.36*5.9*0.16*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0155844030
