fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Semester 2 2015*2015-07-01*2015-12-31*4879*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1al 7,*0.47*0.0**100326.73*62*0.0*853487*false*8.5071*1.0*0.0*1.0*0.05*-0.74*17.85*1.38*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Semester 2 2018*2018-07-01*2018-12-31*4879*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al 7,*0.14*0.0**539599.13*307*0.0*4835549*false*8.9614*1.01*0.0*1.01*0.04*-5.77*16.39*0.72*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Trimester 3 2018*2018-07-01*2018-09-30*4879*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al 7,*0.05*0.0**521709.09*291*0.0*4961456*false*9.51*0.5*0.0*0.5*0.02*-1.45*11.76*0.71*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Semester 1 2018*2018-01-01*2018-06-30*4879*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al 7,*0.27*0.0**512623.12*276*0.0*4947016*false*9.6504*0.99*0.0*0.99*0.04*-4.84*11.36*0.7*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Trimester 1 2018*2018-01-01*2018-03-31*4879*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1 al 7*0.0*0.0**500255.89*271*0.0*5073150*false*10.1411*0.49*0.0*0.49*0.02*0.34*13.91*0.69*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Semester 2 2019*2019-07-01*2019-12-31*4879*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al 7*0.09*-0.05**584958.86*333*0.0*6220587*false*10.6342*1.01*0.0*1.01*0.04*6.39*8.76*0.74*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Trimester 3 2019*2019-07-01*2019-09-30*4879*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al 7,*0.0*0.0**575345.1*321*0.0*5750907*false*9.9956*0.5*0.0*0.5*0.02*-0.86*13.18*0.73*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Semester 1 2019*2019-01-01*2019-06-30*4879*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al 7,*0.03*0.0**572214.25*308*0.0*5769186*false*10.0822*0.99*0.0*0.99*0.04*-0.12*11.44*0.72*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Trimester 1 2019*2019-01-01*2019-03-31*4879*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al 7,*0.01*0.0**558239.06*309*0.0*5634769*false*10.0938*0.49*0.0*0.49*0.02*12.64*12.11*0.7*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Semester 2 2020*2020-07-01*2020-12-31*4879*atencionalcliente@gesiuris.com*Aa3 (Moody's)*6 en una escala del 1al 7,*0.33*-0.33**594626.22*342*0.0*6638746*false*11.1646*1.01*0.0*1.01*0.04*12.27*11.61*0.75*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Trimester 3 2020*2020-07-01*2020-09-30*4879*atencionalcliente@gesiuris.com*Aa3 (Moody's)*6 en una escala del 1al 7,*0.2*-0.33**594601.66*347*0.0*5913174*false*9.9448*0.5*0.0*0.5*0.02*5.3*14.45*0.74*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Semester 1 2020*2020-01-01*2020-06-30*4879*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al 7,*0.23*-0.32**596705.13*341*0.0*5635503*false*9.4444*0.99*0.0*0.99*0.04*14.39*20.06*0.73*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
CATALANA OCCIDENTE EMERGENTES, FI*CO EMERGENTES FI*66549346*Trimester 1 2020*2020-01-01*2020-03-31*4879*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al  7*0.16*-0.25**593401.3*333*0.0*4899103*false*8.256*0.5*0.0*0.5*0.02*-22.36*41.36*0.73*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116882004
