fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
INTERMONEY VARIABLE EURO, FI*Intermoney Variable F.I.*82955923*Semester 2 2009*2009-07-01*2009-12-31*2402*iic@grupocimd.com*N.D*Alto*0.0*0.27**33781.78*100*0.0*3481207*false*103.05***0.28*0.04*3.28*20.83*0.3*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 1 2007*2007-01-01*2011-12-31*2402*iic@grupocimd.com*n.d.*Alto*****************INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Trimester 3 2012*2012-07-01*2012-09-30*2402*iic@grupocimd.com*n.d.*ALTO*0.15*0.17**32931.19*108*0.0*2983870*false *90.6093*0.24*0.0*0.24*0.03*8.33*21.44*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 1 2012*2012-01-01*2012-06-30*2402*iic@grupocimd.com*n.d.*ALTO*0.95*0.22**32950.54*108*0.0*2755966*false *83.6395*0.47*0.0*0.47*0.06*-6.22*23.4*0.31*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Trimester 1 2012*2012-01-01*2012-03-31*2402*iic@grupocimd.com*n.d.*ALTO*0.55*0.2**32926.35*108*0.0*2936755*false *89.1916*0.24*0.0*0.24*0.03*7.14*17.22*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 1 2008*2008-01-01*2012-12-31*2402*iic@grupocimd.com*nd*7 en una escala del 1 al 7*****************INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 1 2008*2008-01-01*2012-12-31*2402*iic@grupocimd.com*n/d*7 en una escala del 1 al 7*****************INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 1 2008*2008-01-01*2012-12-31*2402*iic@grupocimd.com*N.D*7 en una escala del 1 al 7*****************INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 1 2010*2010-01-01*2010-12-31*2402*iic@grupocimd.com*ND*Alto**************-4.82*22.99*1.07*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 2 2014*2014-07-01*2014-12-31*2402*iic@grupocimd.com*ND*7 en una escala del 1 al 7*0.4*0.0**35106.41*110*0.0*4165364*false*118.6497*0.48*0.0*0.48*0.06*0.07*20.9*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Trimester 3 2014*2014-07-01*2014-09-30*2402*iic@grupocimd.com*ND*7 en una escala del 1 al 7*0.22*0.0**36830.84*111*0.0*4367041*false*118.5702*0.24*0.0*0.24*0.03*-4.29*13.48*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 1 2014*2014-01-01*2014-06-30*2402*iic@grupocimd.com*ND*7 en una escala del 1 al 7*1.21*0.03**36769.77*107*0.0*4555007*false*123.8791*0.47*0.0*0.47*0.06*3.32*10.43*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 1 2013*2013-01-01*2013-12-31*2402*iic@grupocimd.com*ND*7 en una escala del 1 al 7*0.84*1.03************21.47*15.75*1.18*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Trimester 3 2015*2015-07-01*2015-09-30*2402*iic@grupocimd.com*n/d*7 en una escala del 1 al 7*0.0*0.0**52227.48*129*0.0*6506961*false*124.5888*0.24*0.0*0.24*0.03*-8.34*26.4*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 1 2015*2015-01-01*2015-06-30*2402*iic@grupocimd.com*n.d.*7 en una escala del 1 al 7*0.32*0.0**41969.49*112*0.0*5704741*false*135.9259*0.47*0.0*0.47*0.06*-4.46*17.71*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Trimester 1 2015*2015-01-01*2015-03-31*2402*iic@grupocimd.com*N/D*7 en una escala del 1 al 7*0.21*0.0**34824.01*110*0.0*4954511*false*142.2728*0.23*0.0*0.23*0.03*19.91*16.13*0.28*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 2 2014*2014-07-01*2014-12-31*2402*iic@grupocimd.com*ND*7 en una escala del 1 al 7*0.4*0.0**35106.41*110*0.0*4165364*false*118.6497*0.48*0.0*0.48*0.06*0.07*20.9*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 2 2016*2016-07-01*2016-12-31*2402*iic@grupocimd.com*n/d*6 en una escala del 1 al 7*0.0*0.0**164312.12*179*0.0*23913798*false*145.5389*0.75*0.0*0.75*0.06*7.32*9.58*0.41*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Trimester 3 2016*2016-07-01*2016-09-30*2402*iic@grupocimd.com*N/D*6 en una escala del 1 al 7*0.0*0.0**84581.76*171*0.0*11470429*false*135.6135*0.38*0.0*0.38*0.03*10.02*14.28*0.41*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 1 2016*2016-01-01*2016-06-30*2402*iic@grupocimd.com*n/d*6 en una escala del 1 al 7*0.03*0.0**75574.42*162*0.0*9315186*false*123.2585*0.75*0.0*0.75*0.06*-4.45*25.43*0.42*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Trimester 1 2016*2016-01-01*2016-03-31*2402*iic@grupocimd.com*ND*6 en una escala del 1 al 7*0.06*0.0**65670.91*151*0.0*8471060*false*128.9926*0.37*0.0*0.37*0.03*-4.23*25.15*0.43*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO FI*82955923*Trimester 3 2017*2017-07-01*2017-09-30*2402*N/D*ND*6 en una escala de 1 a 7*0.15*0.0**271775.54*238*0.0*45053925*false*165.7762*0.38*0.0*0.38*0.03*0.94*8.22*0.41*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO FI*82955923*Semester 1 2017*2017-01-01*2017-06-30*2402*N/D*ND*6 en una escala de 1 a 7*0.0*0.0**248665.8*219*0.0*40837932*false*164.2282*0.74*0.0*0.74*0.06*4.66*9.46*0.71*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Trimester 1 2017*2017-01-01*2017-03-31*2402*iic@grupocimd.com*N.D*6 en una escala del 1 al 7*0.12*0.0**222453.67*208*0.0*34906896*false*156.9176*0.37*0.0*0.37*0.03*7.82*8.06*0.4*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO F.I.*82955923*Semester 2 2016*2016-07-01*2016-12-31*2402*iic@grupocimd.com*n/d*6 en una escala del 1 al 7*0.0*0.0**164312.12*179*0.0*23913798*false*145.5389*0.75*0.0*0.75*0.06*7.32*9.58*0.41*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*CLASE A INTERMONEY VARIABLE EURO*82955923*Semester 2 2018*2018-07-01*2018-12-31*2402*N/D*ND*6 en una escala de 1 a 7*0.62*0.0**2120.43*5*0.0*277563*false*130.8995*1.14*0.0*1.14*0.05*[]*[]*[]*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*CLASE E INTERMONEY VARIABLE EURO*82955923*Semester 2 2018*2018-07-01*2018-12-31*2402*N/D*ND*6 en una escala de 1 a 7*0.62*0.0**9041.72*48*0.0*1182035*false*130.7312*0.5*0.0*0.5*0.05*[]*[]*[]*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*CLASE I INTERMONEY VARIABLE EURO*82955923*Semester 2 2018*2018-07-01*2018-12-31*2402*N/D*ND*6 en una escala de 1 a 7*0.62*0.0**284382.3*216*0.0*37529711*false*131.9692*0.76*0.0*0.76*0.05*[]*[]*[]*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*CLASE A INTERMONEY VARIABLE EURO*82955923*Trimester 3 2018*2018-07-01*2018-09-30*2402*N/D*ND*6 en una escala de 1 a 7*0.29*0.0**3052.31*6*0.0*481571*false*157.7725*0.57*0.0*0.57*0.03*-4.2*8.17*0.61*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*CLASE E INTERMONEY VARIABLE EURO*82955923*Trimester 3 2018*2018-07-01*2018-09-30*2402*N/D*ND*6 en una escala de 1 a 7*0.29*0.0**8798.5*42*0.0*1382016*false*157.074*0.25*0.0*0.25*0.03*-3.9*8.17*0.29*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*CLASE I INTERMONEY VARIABLE EURO*82955923*Trimester 3 2018*2018-07-01*2018-09-30*2402*N/D*ND*6 en una escala de 1 a 7*0.29*0.0**314000.52*228*0.0*49851764*false*158.7633*0.38*0.0*0.38*0.03*-4.02*8.17*0.41*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*CLASE A INTERMONEY VARIABLE EURO*82955923*Semester 1 2018*2018-01-01*2018-06-30*2402*N/D*ND*6 en una escala de 1 a 7*0.38*0.0**3009.19*5*0.0*495583*false*164.6898*0.27*0.0*0.27*0.01*[]*[]*[]*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*CLASE E INTERMONEY VARIABLE EURO*82955923*Semester 1 2018*2018-01-01*2018-06-30*2402*N/D*ND*6 en una escala de 1 a 7*0.38*0.0**7759.14*34*0.0*1268191*false*163.4448*0.11*0.0*0.11*0.01*[]*[]*[]*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*CLASE I INTERMONEY VARIABLE EURO*82955923*Semester 1 2018*2018-01-01*2018-06-30*2402*N/D*ND*6 en una escala de 1 a 7*0.38*0.0**315236.2*238*0.0*52143519*false*165.4109*0.74*0.0*0.74*0.06*[]*[]*[]*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
INTERMONEY VARIABLE EURO, FI*INTERMONEY VARIABLE EURO FI*82955923*Trimester 1 2018*2018-01-01*2018-03-31*2402*N/D*ND*6 en una escala de 1 a 7*0.31*0.0**302050.15*258*0.0*47768458*false*158.1474*0.37*0.0*0.37*0.03*-4.39*11.2*0.4*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
