fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Semester 2 2009*2009-07-01*2009-12-31*339*pbp@privatbank.es*AA (S&P)*Medio-Alto*0.06*0.26**1568314.26*103*0.0*16479589*false*10.5078***0.81*0.05*0.86*1.31*0.43*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Semester 2 2012*2012-07-01*2012-12-31*339*pbp@privatbank.es*AA- (S&P)*4 en una escala del 1 al 7*0.42*0.05**797286.06*100*0.0*7760726*false*9.7339*0.8*0.0*0.8*0.05*-0.66*3.96*0.43*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Trimester 3 2012*2012-07-01*2012-09-30*339*pbp@privatbank.es*AA- (S&P)*Medio-Alto*0.21*0.07**824334.08*101*0.0*8077146*false*9.7984*0.4*0.0*0.4*0.03*4.38*9.08*0.44*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Semester 1 2012*2012-01-01*2012-06-30*339*pbp@privatbank.es*AA- (S&P)*Medio-Alto*0.0*0.15**830489.84*101*0.0*7795889*false*9.3871*0.8*0.0*0.8*0.05*-3.58*7.93*0.44*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Trimester 1 2012*2012-01-01*2012-03-31*339*pbp@privatbank.es*AA (S&P)*Medio-Alto*0.05*0.12**1431370.67*102*0.0*13935542*false*9.7358*0.4*0.0*0.4*0.02*-0.68*5.0*0.43*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Semester 2 2013*2013-07-01*2013-12-31*339*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.0*0.04**634094.51*101*0.0*6286178*false*9.9136*0.4*0.0*0.4*0.05*2.74*2.82*0.45*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Trimester 3 2013*2013-07-01*2013-09-30*339*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.0*0.03**634094.51*101*0.0*6118322*false*9.6489*0.2*0.0*0.2*0.03*1.81*3.54*0.45*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Semester 1 2013*2013-01-01*2013-06-30*339*pbp@privatbank.es*A+ (S&P)*4 en una escala del 1 al 7*1.15*0.02**635011.75*100*0.0*6018503*false*9.4778*0.66*0.0*0.66*0.05***0.42*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Trimester 1 2013*2013-01-01*2013-03-31*339*pbp@privatbank.es*A+ (S&P)*4 en una escala del 1 al 7*0.0*0.01**635643.98*101*0.0*6065517*false*9.5423*0.4*0.0*0.4*0.02*-1.97*5.28*0.43*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT FONDOS MIXTO GLOBAL F.I.*60094075*Semester 2 2014*2014-07-01*2014-12-31*339*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.0*0.0**871207.79*120*0.0*9648774*false*11.0752*0.4*0.0*0.4*0.05*2.93*10.8*0.41*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT FONDOS MIXTO GLOBAL F.I.*60094075*Trimester 3 2014*2014-07-01*2014-09-30*339*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.08*0.01**602533.7*100*0.0*6483443*false*10.7603*0.2*0.0*0.2*0.03*3.6*6.41*0.42*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT FONDOS MIXTO GLOBAL F.I.*60094075*Semester 1 2014*2014-01-01*2014-06-30*339*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.34*0.11**602859.43*100*0.0*6261658*false*10.3866*0.4*0.0*0.4*0.05***0.45*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT FONDOS MIXTO GLOBAL F.I.*60094075*Trimester 1 2014*2014-01-01*2014-03-31*339*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.29*0.1**634094.51*101*0.0*6377119*false*10.057*0.2*0.0*0.2*0.02*1.45*3.94*0.44*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT FONGLOBAL F.I.*60094075*Semester 2 2015*2015-07-01*2015-12-31*339*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.5*0.0**1156125.45*117*0.0*13638162*false*11.7964*0.4*0.0*0.4*0.05*5.23*11.85*0.42*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT FONGLOBAL F.I.*60094075*Trimester 3 2015*2015-07-01*2015-09-30*339*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.25*0.0**1154665.32*116*0.0*12943593*false*11.2098*0.2*0.0*0.2*0.03***0.4*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT FONDOS MIXTO GLOBAL F.I.*60094075*Semester 1 2015*2015-01-01*2015-06-30*339*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.99*0.0**1154665.32*116*0.0*13843730*false*11.9894*0.39*0.0*0.39*0.05*-3.12*10.6*0.43*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT FONDOS MIXTO GLOBAL F.I.*60094075*Trimester 1 2015*2015-01-01*2015-03-31*339*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.47*0.0**1155395.43*120*0.0*14298246*false*12.3752*0.2*0.0*0.2*0.02*11.74*8.4*0.42*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL F.I.*60094075*Semester 2 2016*2016-07-01*2016-12-31*339*dpg@degroofpetercam.com*A+ (S&P)*5 en una escala del 1 al 7*0.17*-0.19**1156124.11*113*0.0*13708802*false*11.8576*0.4*0.0*0.4*0.05*4.14*8.17*0.42*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL F.I.*60094075*Trimester 3 2016*2016-07-01*2016-09-30*339*dpg@degroofpetercam.com*A+ (S&P)*5 en una escala del 1 al 7*0.13*0.0**1156124.57*114*0.0*13163283*false*11.3857*0.2*0.0*0.2*0.03*3.03*7.31*0.41*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL F.I.*60094075*Semester 1 2016*2016-01-01*2016-06-30*339*dpg@degroofpetercam.com*A (S&P)*5 en una escala del 1 al 7*0.19*0.0**1156124.57*114*0.0*12775635*false*11.0504*0.4*0.0*0.4*0.05*0.6*12.52*0.42*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT FONGLOBAL F.I.*60094075*Trimester 1 2016*2016-01-01*2016-03-31*339*pbp@privatbank.es*A (S&P)*5 en una escala del 1 al 7*0.03*0.0**1156124.57*114*0.0*12699547*false*10.9846*0.2*0.0*0.2*0.02*-6.88*16.82*0.42*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL F.I.*60094075*Trimester 3 2017*2017-07-01*2017-09-30*339*dpg@degroofpetercam.com*A+ (S&P)*5 en una escala del 1 al 7*0.15*-0.17**1156116.59*103*0.0*14468504*false*12.5147*0.2*0.0*0.2*0.03*0.68*5.34*0.38*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL F.I.*60094075*Semester 1 2017*2017-01-01*2017-06-30*339*dpg@degroofpetercam.com*A+ (S&P)*5 en una escala del 1 al 7*0.27*-0.33**1156118.91*107*0.0*14370265*false*12.4297*0.4*0.0*0.4*0.05*-0.24*5.28*0.41*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL F.I.*60094075*Trimester 1 2017*2017-01-01*2017-03-31*339*dpg@degroofpetercam.com*A+ (S&P)*5 en una escala del 1 al 7*0.02*-0.38**1156124.11*113*0.0*14405040*false*12.4598*0.2*0.0*0.2*0.02*5.08*6.43*0.41*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL F.I.*60094075*Semester 2 2016*2016-07-01*2016-12-31*339*dpg@degroofpetercam.com*A+ (S&P)*5 en una escala del 1 al 7*0.17*-0.19**1156124.11*113*0.0*13708802*false*11.8576*0.4*0.0*0.4*0.05*4.14*8.17*0.42*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL FI*60094075*Semester 2 2018*2018-07-01*2018-12-31*339*dpg@degroofpetercam.com*A+*5 en una escala del 1 al 7.*0.28*0.0**1155223.78*115*0.0*13299214*false*11.5122*0.4**0.4*0.05*-11.68*14.0*0.44*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL FI*60094075*Trimester 3 2018*2018-07-01*2018-09-30*339*dpg@degroofpetercam.com*A+*5 en una escala del 1 al 7.*0.17*0.0**1155223.78*115*0.0*15058042*false*13.0347*0.2**0.2*0.03*1.6*5.57*0.44*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL FI*60094075*Semester 1 2018*2018-01-01*2018-06-30*339*dpg@degroofpetercam.com*A+*5 en una escala del 1 al 7.*1.59*0.0**1156121.4*108*0.0*14832278*false*12.8293*0.4**0.4*0.05*4.19*7.21*0.38*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL FI*60094075*Trimester 1 2018*2018-01-01*2018-03-31*339*dpg@degroofpetercam.com*A+*5 en una escala del 1 al 7.*0.89*0.0**1156115.26*101*0.0*14235303*false*12.3131*0.2**0.2*0.02*-2.56*9.54*0.42*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL FI*60094075*Semester 2 2019*2019-07-01*2019-12-31*339*dpg@degroofpetercam.com*A+*5 en una escala del 1 al 7.*0.05*-0.48**1154539.38*112*0.0*16152240*false*13.9902*0.4**0.4*0.05*5.1*7.16*0.39*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL FI*60094075*Trimester 3 2019*2019-07-01*2019-09-30*339*dpg@degroofpetercam.com*A+*5 en una escala del 1 al 7.*0.03*-0.43**1154539.38*112*0.0*15368811*false*13.3116*0.2**0.2*0.03*1.32*8.54*0.38*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL FI*60094075*Semester 1 2019*2019-01-01*2019-06-30*339*dpg@degroofpetercam.com*A+*5 en una escala del 1 al 7.*0.39*-0.39**1154540.42*113*0.0*15168704*false*13.1383*0.4**0.4*0.05*1.57*6.58*0.38*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL FI*60094075*Trimester 1 2019*2019-01-01*2019-03-31*339*dpg@degroofpetercam.com*A+*5 en una escala del 1 al 7.*0.34*-0.4**1154540.42*113*0.0*14933781*false*12.9348*0.2**0.2*0.02*12.36*8.11*0.39*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL FI*60094075*Semester 2 2020*2020-07-01*2020-12-31*339*dpg@degroofpetercam.com*A+*5 en una escala del 1 al 7.*0.01*-0.56**1174457.7*111*0.0*18658955*false*15.8873*0.4**0.4*0.05*7.63*10.77*0.41*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL FI*60094075*Trimester 3 2020*2020-07-01*2020-09-30*339*dpg@degroofpetercam.com*A+*5 en una escala del 1 al 7.*0.02*-0.57**1154538.35*111*0.0*17042152*false*14.761*0.2**0.2*0.03*4.81*12.3*0.41*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL FI*60094075*Semester 1 2020*2020-01-01*2020-06-30*339*dpg@degroofpetercam.com*A+*5 en una escala del 1 al 7.*0.29*-0.55**1154538.35*111*0.0*16260633*false*14.0841*0.4**0.4*0.05*17.13*16.13*0.4*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*DP FONGLOBAL FI*60094075*Trimester 1 2020*2020-01-01*2020-03-31*339*dpg@degroofpetercam.com*A+*5 en una escala del 1 al 7.*0.24*-0.55**1154539.38*112*0.0*13882577*false*12.0243*0.2**0.2*0.02*-14.05*31.77*0.39*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
