fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 2 2009*2009-07-01*2009-12-31*1175*informesfondos@gruposantander.com*Aa2*Alto*1.22*0.28**1549993.78*104*0.0*10940098*false*7.0582***0.35*0.05*1.4*7.76*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 3 2012*2012-07-01*2012-09-30*1175*informesfondos@gruposantander.com*Baa2*Alto*0.02*0.16**2076614.78*103*0.0*14413663*false*6.9409*0.1**0.1*0.01*2.9*4.71*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 1 2012*2012-01-01*2012-06-30*1175*informesfondos@gruposantander.com*Baa2*Alto*0.36*0.33**2083214.78*103*0.0*14051690*false*6.7452*0.21**0.21*0.03*-2.23*3.98*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 1 2012*2012-01-01*2012-03-31*1175*informesfondos@gruposantander.com*Aa3*Alto*0.08*0.32**2100314.78*103*0.0*14490819*false*6.8994*0.11**0.11*0.01*0.83*1.93*0.14*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 2 2011*2011-07-01*2011-12-31*1175*informesfondos@gruposantander.com*Aa3*Alto*0.43*1.1**2105114.78*103*0.0*14404335*false*6.8425*0.35**0.35*0.05*2.86*5.98*0.23*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 2 2013*2013-07-01*2013-12-31*1175*informesfondos@gruposantander.com*Baa2*Muy alto*0.24*0.1**2019823.78*103*0.0*15548839*false*7.6981*0.2**0.2*0.03*2.7*2.09*0.14*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 3 2013*2013-07-01*2013-09-30*1175*informesfondos@gruposantander.com*Baa2*Muy alto*0.12*0.09**2036623.78*103*0.0*15266298*false*7.4959*0.1**0.1*0.01*3.33*2.88*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 1 2013*2013-01-01*2013-06-30*1175*informesfondos@gruposantander.com*Baa2*Muy alto*0.88*0.11**2043123.78*103*0.0*14820815*false*7.254*0.2**0.2*0.02*1.34*4.71*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 1 2013*2013-01-01*2013-03-31*1175*informesfondos@gruposantander.com*Baa2*Muy alto*0.76*0.09**2060564.78*103*0.0*14749418*false*7.1579*0.1**0.1*0.01***0.12*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 2 2014*2014-07-01*2014-12-31*1175*comsanassetm@gruposantander.com*Baa1*7 en una escala del 1 al 7*0.55*0.01**2362666.35*105*0.0*19361087*false*8.1946*0.2**0.2*0.03*0.08*4.0*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 3 2014*2014-07-01*2014-09-30*1175*comsanassetm@gruposantander.com*Baa1*7 en una escala del 1 al 7*0.47*0.01**2376970.97*103*0.0*19462052*false*8.1878*0.1**0.1*0.01*0.96*2.94*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 1 2014*2014-01-01*2014-06-30*1175*informesfondos@gruposantander.com*Baa1*7 en una escala del 1 al 7*0.29*0.22**2379771.78*104*0.0*19299340*false*8.1097*0.2**0.2*0.02*2.35*2.78*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 1 2014*2014-01-01*2014-03-31*1175*informesfondos@gruposantander.com*Baa1*7 en una escala del 1 al 7*0.2*0.23**2397721.78*104*0.0*18997750*false*7.9233*0.1**0.1*0.01*2.92*2.65*0.12*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 2 2015*2015-07-01*2015-12-31*1175*comsanassetm@gruposantander.com*A 3*7 en una escala del 1 al 7*0.29*-0.22**3054774.7*102*0.0*24804275*false*8.1198*0.2**0.2*0.03*0.91*6.32*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 3 2015*2015-07-01*2015-09-30*1175*comsanassetm@gruposantander.com*A3*7 en una escala del 1 al 7*0.3*-0.25**3377265.97*102*0.0*27175532*false*8.0466*0.1**0.1*0.01*-2.96*6.58*0.12*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 1 2015*2015-01-01*2015-06-30*1175*comsanassetm@gruposantander.com*A 3*7 en una escala del 1 al 7*0.35*-0.07**2502347.5*102*0.0*20748822*false*8.2917*0.2**0.2*0.02*-1.73*4.26*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 1 2015*2015-01-01*2015-03-31*1175*comsanassetm@gruposantander.com*Baa1*7 en una escala del 1 al 7*0.06*-0.01**2511122.55*103*0.0*21188474*false*8.4378*0.1**0.1*0.01*2.97*3.28*0.14*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 2 2016*2016-07-01*2016-12-31*1175*comsanassetm@gruposantander.com*A3*7 en una escala del 1 al 7*0.75*-0.61**1436871.69*102*0.0*12047866*false*8.3848*0.2**0.2*0.03*1.94*2.85*0.2*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 3 2016*2016-07-01*2016-09-30*1175*comsanassetm@gruposantander.com*A3*7 en una escala del 1 al 7*0.0*-0.67**2037091.18*102*0.0*16755104*false*8.225*0.1**0.1*0.01*1.8*3.35*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 1 2016*2016-01-01*2016-06-30*1175*comsanassetm@gruposantander.com*A3*7 en una escala del 1 al 7*0.3*-0.6**2477346.68*102*0.0*20016248*false*8.0797*0.2**0.2*0.02*0.84*5.58*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 1 2016*2016-01-01*2016-03-31*1175*comsanassetm@gruposantander.com*A 3*7 en una escala del 1 al 7*0.17*0.0**2790150.98*102*0.0*22355890*false*8.0124*0.1**0.1*0.01*-1.32*7.33*0.14*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*Fondaneto, F.I.*81820060*Semester 2 2017*2017-07-01*2017-12-31*1175*comsanassetm@gruposantander.com*A3*7 en una escala del 1 al 7*0.71*-0.47**1146944.08*102*0.0*9878193*false*8.6126*0.2**0.2*0.03*0.25*1.62*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*Fondaneto, F.I.*81820060*Trimester 3 2017*2017-07-01*2017-09-30*1175*comsanassetm@gruposantander.com*A3*7 en una escala del 1 al 7*0.73*-0.53**1152960.69*102*0.0*9905620*false*8.5915*0.1**0.1*0.01*0.58*2.1*0.29*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 1 2017*2017-01-01*2017-06-30*1175*comsanassetm@gruposantander.com*A3*7 en una escala del 1 al 7*0.0*-0.42**1130280.14*102*0.0*9654953*false*8.5421*0.2**0.2*0.02*0.39*2.5*0.3*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 1 2017*2017-01-01*2017-03-31*1175*comsanassetm@gruposantander.com*A3*7 en una escala del 1 al 7*0.0*-0.44**1138828.98*102*0.0*9690147*false*8.5089*0.1**0.1*0.01*1.48*2.23*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*Fondaneto, F.I.*81820060*Trimester 3 2018*2018-07-01*2018-09-30*1175*comsanassetm@gruposantander.com*A2*7 en una escala del 1 al 7*0.0*-0.3**1103198.23*102*0.0*9338301*false*8.4648*0.1**0.1*0.01*0.03*1.69*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*Fondaneto, F.I.*81820060*Semester 1 2018*2018-01-01*2018-06-30*1175*comsanassetm@gruposantander.com*A 2*7 en una escala del 1 al 7*0.0*-0.37**1109439.88*102*0.0*9387931*false*8.4619*0.2**0.2*0.02*-0.85*2.34*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*Fondaneto, F.I.*81820060*Trimester 1 2018*2018-01-01*2018-03-31*1175*comsanassetm@gruposantander.com*A3*7 en una escala del 1 al 7*0.0*-0.45**1117493.87*102*0.0*9536915*false*8.5342*0.1**0.1*0.01*-0.91*2.62*0.28*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*Fondaneto, F.I.*81820060*Semester 2 2017*2017-07-01*2017-12-31*1175*comsanassetm@gruposantander.com*A3*7 en una escala del 1 al 7*0.71*-0.47**1146944.08*102*0.0*9878193*false*8.6126*0.2**0.2*0.03*0.25*1.62*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*Fondaneto, F.I.*81820060*Semester 2 2019*2019-07-01*2019-12-31*1175*comsanassetm@gruposantander.com*A 2*7 en una escala del 1 al 7*0.61*-0.34**1002165.86*105*0.0*8716683*false*8.6978*0.2**0.2*0.03*0.89*1.32*0.22*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*Fondaneto, F.I.*81820060*Trimester 3 2019*2019-07-01*2019-09-30*1175*comsanassetm@gruposantander.com*A 2*7 en una escala del 1 al 7*0.39*-0.3**1003219.79*106*0.0*8648649*false*8.6209*0.1**0.1*0.01*0.61*1.37*0.22*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*Fondaneto, F.I.*81820060*Semester 1 2019*2019-01-01*2019-06-30*1175*comsanassetm@gruposantander.com*A 2*7 en una escala del 1 al 7*0.99*-0.3**1019264.66*106*0.0*8733785*false*8.5687*0.2**0.2*0.02*1.12*1.36*0.21*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*Fondaneto, F.I.*81820060*Trimester 1 2019*2019-01-01*2019-03-31*1175*comsanassetm@gruposantander.com*A 2*7 en una escala del 1 al 7*0.33*-0.3**1021860.63*106*0.0*8659466*false*8.4742*0.1**0.1*0.01*4.18*2.72*0.21*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
