fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Semester 2 2015*2015-07-01*2015-12-31*4846*gestora@fineco.com*A+  (S&P)*7 en una escala de 1 a 7*2.46*0.0**6301596.47*240*0.0*61849035*false*9.8148*0.25**0.25*0.03*7.16*21.75*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Semester 2 2016*2016-07-01*2016-12-31*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*0.09*0.0**6705320.69*243*0.0*70264852*false*10.479*0.25**0.25*0.03*14.67*16.88*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Semester 2 2018*2018-07-01*2018-12-31*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*0.4*-0.36**14547308.11*1653*0.0*150889205*false*10.3723*0.25**0.25*0.02*-15.8*22.28*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Trimester 3 2018*2018-07-01*2018-09-30*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*0.28*-0.36**12950068.16*1449*0.0*159520013*false*12.3181*0.13**0.13*0.01*0.32*15.12*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Semester 1 2018*2018-01-01*2018-06-30*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*0.8*-0.36**10213510.63*1122*0.0*125413024*false*12.2791*0.25**0.25*0.02*4.68*16.5*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Trimester 1 2018*2018-01-01*2018-03-31*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*0.52*-0.36**7801777.83*863*0.0*91519216*false*11.7306*0.12**0.12*0.01*-5.1*18.47*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Trimester 3 2019*2019-07-01*2019-09-30*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*0.03*-0.38**15673081.38*1955*0.0*207247196*false*13.2231*0.13*0.0*0.13*0.01*3.44*16.1*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Semester 1 2019*2019-01-01*2019-06-30*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*0.09*-0.36**16900870.03*1953*0.0*216057661*false*12.7838*0.33*0.56*0.89*0.02*7.21*13.72*0.17*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Trimester 1 2019*2019-01-01*2019-03-31*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*0.1*-0.37**16307801.27*1861*0.0*194450593*false*11.9238*0.17*0.57*0.74*0.01*14.96*16.13*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Semester 2 2018*2018-07-01*2018-12-31*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*0.4*-0.36**14547308.11*1653*0.0*150889205*false*10.3723*0.25**0.25*0.02*-15.8*22.28*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Semester 2 2020*2020-07-01*2020-12-31*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*38.85*-0.47**16192255.88*2118*0.0*208874272*false*12.8996*0.25**0.25*0.02*8.72*18.09*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Trimester 3 2020*2020-07-01*2020-09-30*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*17.39*-0.47**14576953.34*2047*0.0*172958151*false*11.8652*0.13**0.13*0.01*-0.8*14.48*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Semester 1 2020*2020-01-01*2020-06-30*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*19.49*-0.45**13067215.39*1930*0.0*156301927*false*11.9614*0.25**0.25*0.02*14.55*29.26*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Trimester 1 2020*2020-01-01*2020-03-31*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*17.66*-0.45**12564533.95*1945*0.0*131202718*false*10.4423*0.12**0.12*0.01*-24.64*46.32*0.13*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
