fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL PERFIL DECIDIDO, FI*RURAL CESTA MODERADA 60 FI*83021683*Semester 2 2009*2009-07-01*2009-12-31*2465*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.13*0.45**5360.14*274*0.0*3654576*false*681.806***0.0*0.04*2.77*7.33*0.05*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Semester 1 2018*2018-01-01*2018-06-30*2465*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.11*-0.17**31571.96*1422*0.0*30835200*false*976.664*0.87**0.87*0.05*1.22*6.31*0.59*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Trimester 1 2018*2018-01-01*2018-03-31*2465*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.12*-0.26**29062.1*1351*0.0*28042965*false*964.9326*0.43**0.43*0.02*-2.43*7.76*0.59*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Trimester 3 2019*2019-07-01*2019-09-30*2465*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.0*-0.13**32331.83*1388*0.0*31610015*false*977.6747*0.44**0.44*0.03*2.12*7.77*0.61*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Semester 1 2019*2019-01-01*2019-06-30*2465*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.02*-0.11**32771.55*1407*0.0*31374324*false*957.3646*0.87**0.87*0.05*2.09*7.11*0.6*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Trimester 1 2019*2019-01-01*2019-03-31*2465*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.11*-0.12**33018.72*1429*0.0*30963025*false*937.7415*0.43**0.43*0.02*8.89*7.59*0.58*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Semester 2 2018*2018-07-01*2018-12-31*2465*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.39*-0.13**32961.66*1437*0.0*28386042*false*861.1836*0.88**0.88*0.05*-10.95*9.82*0.6*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL PERFIL DECIDIDO FI*83021683*Semester 2 2020*2020-07-01*2020-12-31*2465*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.08*-0.44**33230.64*1573*0.0*34838077*false*1048.3722*0.88**0.88*0.05*6.68*8.33*0.59*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL PERFIL DECIDIDO FI*83021683*Trimester 3 2020*2020-07-01*2020-09-30*2465*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.09*-0.44**32541.14*1520*0.0*31977773*false*982.6877*0.44**0.44*0.02*2.13*8.45*0.58*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL PERFIL DECIDIDO FI*83021683*Semester 1 2020*2020-01-01*2020-06-30*2465*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.0*-0.31**32762.75*1517*0.0*31524081*false*962.1927*0.87**0.87*0.05*12.51*14.5*0.59*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL PERFIL DECIDIDO FI*83021683*Trimester 1 2020*2020-01-01*2020-03-31*2465*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.0*-0.21**31810.39*1467*0.0*27204816*false*855.218*0.43**0.43*0.02*-15.38*23.07*0.59*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
