fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GVC GAESCO EUROPA, FI*Gaescoquant F.I.*61637435*Semester 2 2009*2009-07-01*2009-12-31*1474*info@gvcgaesco.es*BBB +*alto*0.04*0.36**3590681.37*944*0.0*10182638*false*2.8359***1.13*0.05*-4.2*15.23*0.69*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa, F.I.*61637435*Semester 2 2011*2011-07-01*2011-12-31*1474*info@gvcgaesco.es*A*Muy alto*0.54*1.33**4237727.38*994*0.0*10814032*false*2.5518*1.14*0.0*1.14*0.05*5.86*38.68*0.61*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Semester 2 2013*2013-07-01*2013-12-31*1474*info@gvcgaesco.es*BB*7 (En una escala del 1 al 7)*0.08*1.99**5586822.23*1194*0.0*22507547*false*4.0287*1.13*0.0*1.13*0.05*11.9*13.12*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 3 2013*2013-07-01*2013-09-30*1474*info@gvcgaesco.es*BB*7 (En una escala del 1 al 7)*0.0*1.97**5043359.77*1089*0.0*18157457*false*3.6003*0.57*0.0*0.57*0.03*11.72*16.04*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Semester 1 2013*2013-01-01*2013-06-30*1474*info@gvcgaesco.es*BB*7 (En una escala del 1 al 7)*0.0*0.27**4510547.27*1063*0.0*14535573*false*3.2226*1.12*0.0*1.12*0.05*-0.07*21.16*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 1 2013*2013-01-01*2013-03-31*1474*info@gvcgaesco.es*BB*Muy alto*0.0*1.81**4436774.3*1072*0.0*14308427*false*3.225*0.55*0.0*0.55*0.02*-1.71*17.68*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 3 2014*2014-07-01*2014-09-30*1474*info@gvcgaesco.es*BB*7 (En una escala del 1 al 7)*0.12*2.06**6882965.12*1451*0.0*28184485*false*4.0948*0.57*0.0*0.57*0.03*0.34*17.03*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Semester 1 2014*2014-01-01*2014-06-30*1474*info@gvcgaesco.es*BB*7 (En una escala del 1 al 7)*0.15*2.01**7335790.04*1469*0.0*29935469*false*4.0807*1.12*0.0*1.12*0.05*1.02*13.08*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 1 2014*2014-01-01*2014-03-31*1474*info@gvcgaesco.es*BB*7 (En una escala del 1 al 7)*0.0*1.94**7311762.7*1462*0.0*29536460*false*4.0396*0.56*0.0*0.56*0.02*0.27*17.36*0.58*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Semester 2 2013*2013-07-01*2013-12-31*1474*info@gvcgaesco.es*BB*7 (En una escala del 1 al 7)*0.08*1.99**5586822.23*1194*0.0*22507547*false*4.0287*1.13*0.0*1.13*0.05*11.9*13.12*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Semester 2 2015*2015-07-01*2015-12-31*1474*info@gvcgaesco.es*BB+*7 (En una escala del 1 al 7)*0.1*0.2**8423376.58*1671*0.0*32807663*false*3.8948*1.13*0.0*1.13*0.05*4.36*22.65*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 3 2015*2015-07-01*2015-09-30*1474*info@gvcgaesco.es*BB+*7 (En una escala del 1 al 7)*0.05*0.21**8313981.47*1660*0.0*31027390*false*3.732*0.57*0.0*0.57*0.03*-16.87*30.36*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Semester 1 2015*2015-01-01*2015-06-30*1474*info@gvcgaesco.es*BB+*7 (En una escala del 1 al 7)*0.13*0.91**8425974.25*1601*0.0*37828159*false*4.4895*1.12*0.0*1.12*0.05*-5.39*17.63*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 1 2015*2015-01-01*2015-03-31*1474*info@gvcgaesco.es*BB+*7 (En una escala del 1 al 7)*0.0*1.44**7899111.8*1512*0.0*37481401*false*4.745*0.55*0.0*0.55*0.02*19.33*20.07*0.58*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Semester 2 2016*2016-07-01*2016-12-31*1474*info@gvcgaesco.es*BB+*7 (En una escala del 1 al 7)*0.15*0.0**7824636.7*1598*0.0*31670724*false*4.0476*1.13*0.0*1.13*0.05*14.56*17.93*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 3 2016*2016-07-01*2016-09-30*1474*info@gvcgaesco.es*BB+*7 (En una escala del 1 al 7)*0.03*0.0**8102760.84*1637*0.0*28629238*false*3.5333*0.57*0.0*0.57*0.03*8.7*23.79*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Semester 1 2016*2016-01-01*2016-06-30*1474*info@gvcgaesco.es*BB+*7 (En una escala del 1 al 7)*0.25*0.04**8398180.5*1665*0.0*27298710*false*3.2506*1.12*0.0*1.12*0.05*-7.05*41.33*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 1 2016*2016-01-01*2016-03-31*1474*info@gvcgaesco.es*BB+*7 (En una escala del 1 al 7)*0.09*0.07**8351058.76*1688*0.0*29205849*false*3.4973*0.56*0.0*0.56*0.02*-10.21*38.31*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Semester 2 2017*2017-07-01*2017-12-31*1474*info@gvcgaesco.es*BBB-*7 (En una escala del 1 al 7)*0.05*0.0**8674173.71*1652*0.0*40444090*false*4.6626*1.13*0.0*1.13*0.05*2.57*8.89*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 3 2017*2017-07-01*2017-09-30*1474*info@gvcgaesco.es*BBB-*7 (En una escala del 1 al 7)*0.0*0.0**8541688.8*1657*0.0*38828169*false*4.5457*0.57*0.0*0.57*0.03*2.88*13.09*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Semester 1 2017*2017-01-01*2017-06-30*1474*info@gvcgaesco.es*BB+*7 (En una escala del 1 al 7)*0.0*0.0**8536030.79*1634*0.0*37717084*false*4.4186*1.12*0.0*1.12*0.05*1.77*11.14*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 1 2017*2017-01-01*2017-03-31*1474*info@gvcgaesco.es*BB+*7 (En una escala del 1 al 7)*0.02*0.0**8229061.88*1630*0.0*35727254*false*4.3416*0.55*0.0*0.55*0.02*7.26*12.49*0.58*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Semester 2 2018*2018-07-01*2018-12-31*1474*info@gvcgaesco.es*BBB*7 (En una escala del 1 al 7)*0.02*0.0**8483538.28*1708*0.0*30406698*false*3.5842*1.13*0.0*1.13*0.05*-18.57*23.42*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 3 2018*2018-07-01*2018-09-30*1474*info@gvcgaesco.es*BBB*7 (En una escala del 1 al 7)*0.03*0.0**8796024.82*1716*0.0*38715380*false*4.4015*0.57*0.0*0.57*0.03*-0.84*12.77*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Semester 1 2018*2018-01-01*2018-06-30*1474*info@gvcgaesco.es*BBB*7 (En una escala del 1 al 7)*0.07*0.0**8865389.31*1738*0.0*39350570*false*4.4387*1.12*0.0*1.12*0.05*2.91*15.33*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 1 2018*2018-01-01*2018-03-31*1474*info@gvcgaesco.es*BBB*7 (En una escala del 1 al 7)*0.0*0.0**8970760.62*1718*0.0*38692000*false*4.3131*0.55*0.0*0.55*0.02*-7.5*16.96*0.58*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
