fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
INTERMONEY RENTA FIJA AHORRO, FI*Intermoney Renta Fija Corto Plazo F.I.*82876681*Semester 2 2009*2009-07-01*2009-12-31*2311*iic@grupocimd.com*N.D*Bajo*0.45*0.28**61222.86*143*0.0*7630487*false*124.6346***0.06*0.03*0.08*0.08*0.1*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 1 2007*2007-01-01*2011-12-31*2311*iic@grupocimd.com*n.d.*Bajo*****************INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO F.I.*82876681*Trimester 3 2012*2012-07-01*2012-09-30*2311*iic@grupocimd.com*n.d.*BAJO*0.05*0.29**47079.08*122*0.0*6150405*false *130.6399*0.06*0.0*0.06*0.03*1.07*0.92*0.1*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO F.I.*82876681*Semester 1 2012*2012-01-01*2012-06-30*2311*iic@grupocimd.com*n.d.*BAJO*0.65*0.21**46802.62*124*0.0*6049332*false *129.252*0.12*0.0*0.12*0.05*-0.13*0.81*0.1*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO F.I.*82876681*Trimester 1 2012*2012-01-01*2012-03-31*2311*iic@grupocimd.com*n.d.*BAJO*0.22*0.2**47012.91*124*0.0*6084458*false *129.421*0.06*0.0*0.06*0.02*1.07*0.38*0.1*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 1 2008*2008-01-01*2012-12-31*2311*iic@grupocimd.com*ND*3 en una escala del 1 al 7*****************INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 1 2008*2008-01-01*2012-12-31*2311*iic@grupocimd.com*n/d*3 en una escala del 1 al 7*****************INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 1 2008*2008-01-01*2012-12-31*2311*iic@grupocimd.com*N.D*3 en una escala del 1 al 7*****************INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 1 2010*2010-01-01*2010-12-31*2311*iic@grupocimd.com*ND*Bajo**************0.62*0.1*0.38*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 2 2014*2014-07-01*2014-12-31*2311*iic@grupocimd.com*ND*3 en una escala del 1 al 7*0.0*0.0**41294.1*114*0.0*5566761*false*134.8077*0.13*0.0*0.13*0.05*0.15*0.03*0.11*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Trimester 3 2014*2014-07-01*2014-09-30*2311*iic@grupocimd.com*ND*3 en una escala del 1 al 7*0.0*0.01**41347.2*114*0.0*5565798*false*134.6113*0.06*0.0*0.06*0.03*0.19*0.04*0.11*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 1 2014*2014-01-01*2014-06-30*2311*iic@grupocimd.com*ND*3 en una escala del 1 al 7*0.0*0.12**42326.21*114*0.0*5686512*false*134.3497*0.12*0.0*0.12*0.05*0.25*0.04*0.11*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 1 2013*2013-01-01*2013-12-31*2311*iic@grupocimd.com*ND*3 en una escala del 1 al 7*0.64*1.33**************0.43*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Trimester 3 2015*2015-07-01*2015-09-30*2311*iic@grupocimd.com*n/d*3 en una escala del 1 al 7*0.0*0.0**44768.84*120*0.0*6038262*false*134.8764*0.06*0.0*0.06*0.03*-0.01*0.04*0.11*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 1 2015*2015-01-01*2015-06-30*2311*iic@grupocimd.com*n.d*3 en una escala del 1 al 7*0.2*0.01**39420.7*111*0.0*5317655*false*134.895*0.12*0.0*0.12*0.05*-0.02*0.03*0.12*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Trimester 1 2015*2015-01-01*2015-03-31*2311*iic@grupocimd.com*N/D*3 en una escala del 1 al 7*0.12*0.0**41267.95*112*0.0*5567974*false*134.9225*0.06*0.0*0.06*0.02*0.09*0.06*0.11*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 2 2014*2014-07-01*2014-12-31*2311*iic@grupocimd.com*ND*3 en una escala del 1 al 7*0.0*0.0**41294.1*114*0.0*5566761*false*134.8077*0.13*0.0*0.13*0.05*0.15*0.03*0.11*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 2 2016*2016-07-01*2016-12-31*2311*iic@grupocimd.com*N/D*3 en una escala del 1 al 7*0.0*0.0**40781.42*101*0.0*5486695*false*134.5391*0.13*0.0*0.13*0.05*-0.07*0.02*0.11*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Trimester 3 2016*2016-07-01*2016-09-30*2311*iic@grupocimd.com*N/D*3 en una escala del 1 al 7*0.0*0.0**43028.02*99*0.0*5793215*false*134.6382*0.06*0.0*0.06*0.03*-0.06*0.02*0.1*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 1 2016*2016-01-01*2016-06-30*2311*iic@grupocimd.com*N/D*3 en una escala del 1 al 7*0.0*0.0**45826.49*108*0.0*6173805*false*134.7213*0.12*0.0*0.12*0.05*-0.05*0.02*0.11*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Trimester 1 2016*2016-01-01*2016-03-31*2311*iic@grupocimd.com*N/D*3 en una escala del 1 al 7*0.0*0.0**50522.17*118*0.0*6809779*false*134.7879*0.06*0.0*0.06*0.02*-0.05*0.04*0.12*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 2 2017*2017-07-01*2017-12-31*2311*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**26753.76*105*0.0*3582161*false*133.8937*0.13*0.0*0.13*0.05*-0.13*0.01*0.12*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Trimester 3 2017*2017-07-01*2017-09-30*2311*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**29827.07*106*0.0*3998779*false*134.0654*0.06*0.0*0.06*0.03*-0.12*0.03*0.13*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 1 2017*2017-01-01*2017-06-30*2311*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**29497.15*107*0.0*3959440*false*134.2313*0.12*0.0*0.12*0.05*-0.13*0.09*0.24*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Trimester 1 2017*2017-01-01*2017-03-31*2311*iic@grupocimd.com*n.d*3 en una escala del 1 al 7*0.0*0.0**55422.36*113*0.0*7449266*false*134.409*0.06*0.0*0.06*0.02*-0.1*0.01*0.11*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 2 2018*2018-07-01*2018-12-31*2311*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**22283.76*103*0.0*2966379*false*133.1184*0.13*0.0*0.13*0.05*-0.15*0.02*0.15*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Trimester 3 2018*2018-07-01*2018-09-30*2311*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**22534.75*106*0.0*3004294*false*133.3183*0.06*0.0*0.06*0.03*-0.15*0.02*0.15*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Semester 1 2018*2018-01-01*2018-06-30*2311*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**24935.46*105*0.0*3329358*false*133.519*0.12*0.0*0.12*0.05*-0.14*0.02*0.14*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
INTERMONEY RENTA FIJA AHORRO, FI*INTERMONEY RENTA FIJA CORTO PLAZO FI*82876681*Trimester 1 2018*2018-01-01*2018-03-31*2311*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**26541.85*107*0.0*3548852*false*133.7078*0.06*0.0*0.06*0.02*-0.14*0.01*0.12*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0155171038
