fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 2 2009*2009-07-01*2009-12-31*1285*fondos@segurosbilbao.com*ND*Moderado*0.04*0.28**680891.13*222*0.0*6440856*false*9.4595***0.73*0.04*0.96*4.85*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 3 2012*2012-07-01*2012-09-30*1285*fondos@segurosbilbao.com*ND*Moderado*0.0*0.22**556392.32*159*0.0*4920615*false*8.8438*0.36*0.0*0.36*0.02*2.73*8.35*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 1 2012*2012-01-01*2012-06-30*1285*fondos@segurosbilbao.com*ND*Moderado*0.02*0.3**614523.81*163*0.0*5290447*false*8.609*0.72*0.0*0.72*0.04*-2.76*7.18*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 1 2012*2012-01-01*2012-03-31*1285*fondos@segurosbilbao.com*ND*Moderado*0.02*0.31**621846.27*167*0.0*5505406*false*8.8533*0.36*0.0*0.36*0.02*-0.02*4.95*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 2 2013*2013-07-01*2013-12-31*1285*fondos@segurosbilbao.com*BBB- (S&P)*Moderado*0.18*0.33**505283.64*146*0.0*4961518*false*9.8193*0.73*0.0*0.73*0.04*3.13*4.08*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 3 2013*2013-07-01*2013-09-30*1285*fondos@segurosbilbao.com*BBB- (S&P)*Moderado*0.02*0.36**509576.07*145*0.0*4851642*false*9.5209*0.37*0.0*0.37*0.02*4.76*4.74*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 1 2013*2013-01-01*2013-06-30*1285*fondos@segurosbilbao.com*BBB- (S&P)*Moderado*0.34*0.2**527404.92*148*0.0*4793401*false*9.0887*0.72*0.0*0.72*0.04*-0.18*5.61*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 1 2013*2013-01-01*2013-03-31*1285*fondos@segurosbilbao.com*BBB- (S&P)*Moderado*0.09*0.13**537946.52*149*0.0*4898180*false*9.1053*0.36*0.0*0.36*0.02*0.29*5.47*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 3 2014*2014-07-01*2014-09-30*1285*fondos@segurosbilbao.com*BBB (S&P)*Moderado*0.0*0.25**541926.59*163*0.0*5561314*false*10.2621*0.37*0.0*0.37*0.02*-0.12*4.76*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 1 2014*2014-01-01*2014-06-30*1285*fondos@segurosbilbao.com*BBB (S&P)*Moderado*0.0*0.25**541894.54*163*0.0*5567871*false*10.2748*0.72*0.0*0.72*0.04*2.48*4.08*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 1 2014*2014-01-01*2014-03-31*1285*fondos@segurosbilbao.com*BBB- (S&P)*Moderado*0.0*0.25**543461.01*153*0.0*5449080*false*10.0266*0.36*0.0*0.36*0.02*2.11*5.01*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 2 2013*2013-07-01*2013-12-31*1285*fondos@segurosbilbao.com*BBB- (S&P)*Moderado*0.18*0.33**505283.64*146*0.0*4961518*false*9.8193*0.73*0.0*0.73*0.04*3.13*4.08*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 2 2015*2015-07-01*2015-12-31*1285*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderado*0.03*0.15**593738.5*165*0.0*6039556*false*10.1721*0.73*0.0*0.73*0.03*0.57*5.54*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 3 2015*2015-07-01*2015-09-30*1285*fondos@catalanaoccidente.com*BBB (S&P)*Moderado*0.02*0.17**593419.59*165*0.0*6001876*false*10.1141*0.37*0.0*0.37*0.02*-2.2*7.28*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 1 2015*2015-01-01*2015-06-30*1285*fondos@catalanaoccidente.com*BBB (S&P)*Moderado*0.05*0.15**615034.49*170*0.0*6360534*false*10.3418*0.72*0.0*0.72*0.03*-2.34*5.74*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 1 2015*2015-01-01*2015-03-31*1285*fondos@catalanaoccidente.com*BBB (S&P)*Moderado*0.04*0.15**597002.92*167*0.0*6322038*false*10.5896*0.36*0.0*0.36*0.02*3.9*4.93*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 2 2016*2016-07-01*2016-12-31*1285*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderado*0.05*0.0**578118.97*156*0.0*5873822*false*10.1602*0.73*0.0*0.73*0.03*0.93*3.83*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 3 2016*2016-07-01*2016-09-30*1285*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderado*0.0*0.0**576131.32*155*0.0*5799467*false*10.0662*0.36*0.0*0.36*0.02*2.0*4.6*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 1 2016*2016-01-01*2016-06-30*1285*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderado*0.29*0.02**579407.57*157*0.0*5718364*false*9.8693*0.72*0.0*0.72*0.03*-1.01*9.15*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 1 2016*2016-01-01*2016-03-31*1285*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderado*0.22*0.04**593642.89*162*0.0*5918881*false*9.9704*0.36*0.0*0.36*0.01*-1.98*7.22*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 2 2017*2017-07-01*2017-12-31*1285*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderado*0.0*-0.38**666903.25*194*0.0*6823984*false*10.2323*0.73*0.0*0.73*0.03*-0.89*3.69*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 3 2017*2017-07-01*2017-09-30*1285*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderado*0.0*-0.38**662655.42*180*0.0*6841433*false*10.3243*0.37*0.0*0.37*0.01*-1.09*3.07*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 1 2017*2017-01-01*2017-06-30*1285*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderado*0.0*-0.19**638132.83*173*0.0*6661026*false*10.4383*0.72*0.0*0.72*0.03*0.1*3.52*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 1 2017*2017-01-01*2017-03-31*1285*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderado*0.0*0.0**593768.55*156*0.0*6191705*false*10.4278*0.36*0.0*0.36*0.01*2.63*2.81*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*GCO Mixto, FI*48941942*Semester 2 2018*2018-07-01*2018-12-31*1285*fondos@catalanaoccidente.com*A- (S&P)*Moderado*0.08*-0.36**761356.55*189*0.0*7473486*false*9.816*0.73*0.0*0.73*0.03*-2.41*4.16*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*GCO Mixto, FI*48941942*Trimester 3 2018*2018-07-01*2018-09-30*1285*fondos@catalanaoccidente.com*A- (S&P)*Moderado*0.1*-0.01**777039.8*198*0.0*7815911*false*10.0586*0.37*0.0*0.37*0.01*-0.78*2.64*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*GCO Mixto, FI*48941942*Semester 1 2018*2018-01-01*2018-06-30*1285*fondos@catalanaoccidente.com*A- (S&P)*Moderado*0.0*-0.01**772777.53*203*0.0*7834067*false*10.1375*0.72*0.0*0.72*0.03*0.22*3.19*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 1 2018*2018-01-01*2018-03-31*1285*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderado*0.0*-0.01**727810.45*200*0.0*7362039*false*10.1153*0.36*0.0*0.36*0.01*-1.14*4.13*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*GCO Mixto, FI*48941942*Semester 2 2019*2019-07-01*2019-12-31*1285*fondos@catalanaoccidente.com*A- (S&P)*Moderado*0.0*-0.35**881854.21*203*0.0*9025834*false*10.2351*0.73*0.0*0.73*0.03*0.03*3.06*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*GCO Mixto, FI*48941942*Trimester 3 2019*2019-07-01*2019-09-30*1285*fondos@catalanaoccidente.com*A- (S&P)*Moderado*0.0*-0.38**1027897.82*202*0.0*10517937*false*10.2325*0.37*0.0*0.37*0.01*0.33*3.13*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*GCO Mixto, FI*48941942*Semester 1 2019*2019-01-01*2019-06-30*1285*fondos@catalanaoccidente.com*A- (S&P)*Moderado*0.0*-0.31**802927.45*198*0.0*8188562*false*10.1984*0.72*0.0*0.72*0.03*0.57*2.97*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*GCO Mixto, FI*48941942*Trimester 1 2019*2019-01-01*2019-03-31*1285*fondos@catalanaoccidente.com*A- (S&P)*Moderado*0.0*-0.3**803183.21*196*0.0*8144769*false*10.1406*0.36*0.0*0.36*0.01*3.31*3.03*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*GCO Mixto, FI*48941942*Semester 2 2020*2020-07-01*2020-12-31*1285*fondos@catalanaoccidente.com*A- (S&P)*Moderado*0.0*-0.47**1209624.78*185*0.0*12055179*false*9.966*0.73*0.0*0.73*0.03*4.34*6.04*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*GCO Mixto, FI*48941942*Trimester 3 2020*2020-07-01*2020-09-30*1285*fondos@catalanaoccidente.com*A- (S&P)*Moderado*0.0*-0.48**1158263.7*188*0.0*11063599*false*9.5519*0.36*0.0*0.36*0.01*-1.57*4.81*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*GCO Mixto, FI*48941942*Semester 1 2020*2020-01-01*2020-06-30*1285*fondos@catalanaoccidente.com*A- (S&P)*Moderado*0.0*-0.46**1204824.53*193*0.0*11691646*false*9.704*0.72*0.0*0.72*0.03*2.8*6.36*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*GCO Mixto, FI*48941942*Trimester 1 2020*2020-01-01*2020-03-31*1285*fondos@catalanaoccidente.com*A- (S&P)*Moderado*0.0*-0.44**1218664.88*190*0.0*11503671*false*9.4396*0.36*0.0*0.36*0.01*-7.77*11.04*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
