fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 2 2009*2009-07-01*2009-12-31*40*fondos@bankoa-gestion.es*ND*Medio-alto*0.35*0.25**165325.68*778*0.0*38684218*false*233.988***1.13*0.05*1.24*9.32*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 2 2012*2012-07-01*2012-12-31*40*fondos@creditagricole-mercagestion.com*Ba1 (Moody's)*5 (de una escala del 1 al 7)*0.58*0.15**108112.52*527*0.0*22944704*false*212.2298*1.13*0.0*1.13*0.05*5.05*7.72*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 3 2012*2012-07-01*2012-09-30*40*fondos@creditagricole-mercagestion.com*Ba1 (Moody's)*Medio-Alto*0.24*0.18**109302.02*536*0.0*22082983*false*202.0364*0.57*0.0*0.57*0.03*6.03*14.13*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 1 2012*2012-01-01*2012-06-30*40*fondos@creditagricole-mercagestion.com*Ba1 (Moody's)*Medio-Alto*0.28*0.29**114519.17*558*0.0*21821151*false*190.5458*1.12*0.0*1.12*0.05*-5.17*11.44*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 1 2012*2012-01-01*2012-03-31*40*fondos@creditagricole-mercagestion.com*A3 (Moody's)*Medio-Alto*0.16*0.26**117535.51*572*0.0*23616042*false*200.9269*0.56*0.0*0.56*0.02*-0.9*8.9*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 2 2013*2013-07-01*2013-12-31*40*fondos@creditagricole-mercagestion.com*Ba1 (Moody's)*5 (de una escala del 1 al 7)*0.29*0.11**102660.73*502*0.0*24374110*false*237.4239*1.13*0.0*1.13*0.05*4.68*6.82*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 3 2013*2013-07-01*2013-09-30*40*fondos@creditagricole-mercagestion.com*Ba1 (Moody's)*5 (de una escala del 1 al 7)*0.1*0.08**101904.22*500*0.0*23113660*false*226.8175*0.57*0.0*0.57*0.03*7.48*7.22*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 1 2013*2013-01-01*2013-06-30*40*fondos@creditagricole-mercagestion.com*Ba1 (Moody's)*5 (de una escala del 1 al 7)*0.49*0.1**103756.6*507*0.0*21895746*false*211.0299*1.12*0.0*1.12*0.05*-0.77*9.09*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 1 2013*2013-01-01*2013-03-31*40*fondos@creditagricole-mercagestion.com*Ba1 (Moody's)*5 (de una escala del 1 al 7)*0.26*0.05**106647.27*525*0.0*22681076*false*212.6738*0.56*0.0*0.56*0.02*0.21*9.21*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 2 2014*2014-07-01*2014-12-31*40*fondos@creditagricole-mercagestion.com*Baa3 (Moody's)*5 (de una escala del 1 al 7)*0.09*0.02**112058.34*570*0.0*28456708*false*253.9455*1.13*0.0*1.13*0.05*-1.3*11.43*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 3 2014*2014-07-01*2014-09-30*40*fondos@creditagricole-mercagestion.com*Ba1 (Moody's)*5 (de una escala del 1 al 7)*0.0*0.02**110358.84*568*0.0*28393103*false*257.2798*0.57*0.0*0.57*0.03*0.86*7.62*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 1 2014*2014-01-01*2014-06-30*40*fondos@creditagricole-mercagestion.com*Ba1 (Moody's)*5 (de una escala del 1 al 7)*0.21*0.18**109003.76*546*0.0*27805025*false*255.0832*1.12*0.0*1.12*0.05*4.69*6.68*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 1 2014*2014-01-01*2014-03-31*40*fondos@creditagricole-mercagestion.com*Ba1 (Moody's)*5 (de una escala del 1 al 7)*0.09*0.17**104065.38*524*0.0*25356674*false*243.661*0.55*0.0*0.55*0.02*2.63*8.69*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 3 2015*2015-07-01*2015-09-30*40*fondos@creditagricole-mercagestion.com*Baa3 (Moody's)*5 (de una escala del 1 al 7)*0.01*0.0**106275.52*567*0.0*26443801*false*248.8231*0.57*0.0*0.57*0.03*-4.83*12.88*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 1 2015*2015-01-01*2015-06-30*40*fondos@creditagricole-mercagestion.com*Baa3 (Moody's)*5 (de una escala del 1 al 7)*0.36*0.0**107066.99*575*0.0*27992540*false*261.4488*1.12*0.0*1.12*0.05*-4.53*10.53*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 1 2015*2015-01-01*2015-03-31*40*fondos@creditagricole-mercagestion.com*Baa3 (Moody's)*5 (de una escala del 1 al 7)*0.19*0.0**112267.3*583*0.0*30743378*false*273.8409*0.55*0.0*0.55*0.02*7.83*8.56*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 2 2014*2014-07-01*2014-12-31*40*fondos@creditagricole-mercagestion.com*Baa3 (Moody's)*5 (de una escala del 1 al 7)*0.09*0.02**112058.34*570*0.0*28456708*false*253.9455*1.13*0.0*1.13*0.05*-1.3*11.43*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 2 2016*2016-07-01*2016-12-31*40*fondos@creditagricole-mercagestion.com*Baa2 (Moody's)*5 (de una escala del 1 al 7)*0.0*0.11**91732.53*510*0.0*22646633*false*246.8768*1.13*0.0*1.13*0.05*3.19*7.62*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 3 2016*2016-07-01*2016-09-30*40*fondos@creditagricole-mercagestion.com*Baa2 (Moody's)*5 (de una escala del 1 al 7)*0.0*0.16**96772.71*534*0.0*23151432*false*239.2351*0.57*0.0*0.57*0.03*3.59*8.96*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 1 2016*2016-01-01*2016-06-30*40*fondos@creditagricole-mercagestion.com*Baa2 (Moody's)*5 (de una escala del 1 al 7)*0.19*0.06**99754.98*537*0.0*23038186*false*230.9477*1.12*0.0*1.12*0.05*-2.42*16.92*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 1 2016*2016-01-01*2016-03-31*40*fondos@creditagricole-mercagestion.com*Baa3 (Moody's)*5 (de una escala del 1 al 7)*0.08*0.0**103615.81*550*0.0*24524123*false*236.6832*0.56*0.0*0.56*0.02*-5.15*15.49*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 2 2017*2017-07-01*2017-12-31*40*fondos@creditagricole-mercagestion.com*Baa2 (Moody's)*5 (de una escala del 1 al 7)*0.1*0.02**83300.64*466*0.0*21032780*false*252.4924*1.13*0.0*1.13*0.05*-1.84*6.53*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 3 2017*2017-07-01*2017-09-30*40*fondos@creditagricole-mercagestion.com*Baa2 (Moody's)*5 (de una escala del 1 al 7)*0.1*0.02**84357.19*475*0.0*21699540*false*257.234*0.57*0.0*0.57*0.03*-0.41*6.04*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 1 2017*2017-01-01*2017-06-30*40*fondos@creditagricole-mercagestion.com*Baa2 (Moody's)*5 (de una escala del 1 al 7)*0.43*0.01**85618.56*480*0.0*22114379*false*258.2895*1.12*0.0*1.12*0.05*-0.28*6.73*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 1 2017*2017-01-01*2017-03-31*40*fondos@creditagricole-mercagestion.com*Baa2 (Moody's)*5 (de una escala del 1 al 7)*0.15*0.01**88008.18*487*0.0*22795406*false*259.0146*0.56*0.0*0.56*0.02*4.92*5.69*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 2 2018*2018-07-01*2018-12-31*40*fondos@creditagricole-mercagestion.com*Baa1 (Moody's)*5 (de una escala del 1 al 7)*0.2*0.0**79969.2*430*0.0*18599476*false*232.583*1.13*0.0*1.13*0.05*-5.38*8.19*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 3 2018*2018-07-01*2018-09-30*40*fondos@creditagricole-mercagestion.com*Baa1 (Moody's)*5 (de una escala del 1 al 7)*0.11*0.0**80445.24*440*0.0*19773470*false*245.8004*0.57*0.0*0.57*0.03*-1.43*5.17*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 1 2018*2018-01-01*2018-06-30*40*fondos@creditagricole-mercagestion.com*Baa1 (Moody's)*5 (de una escala del 1 al 7)*0.55*0.0**81415.09*449*0.0*20302684*false*249.3725*1.12*0.0*1.12*0.05*1.6*6.05*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 1 2018*2018-01-01*2018-03-31*40*fondos@creditagricole-mercagestion.com*Baa2 (Moody's)*5 (de una escala del 1 al 7)*0.29*0.0**82078.66*457*0.0*20145502*false*245.4414*0.56*0.0*0.56*0.02*-2.79*7.52*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 2 2019*2019-07-01*2019-12-31*40*fondos@creditagricole-mercagestion.com*Baa1 (Moody's)*5 (de una escala del 1 al 7)*0.11*0.0**73230.65*378*0.0*18366686*false*250.806*1.13*0.0*1.13*0.05*0.93*4.97*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 3 2019*2019-07-01*2019-09-30*40*fondos@creditagricole-mercagestion.com*Baa1 (Moody's)*5 (de una escala del 1 al 7)*0.06*0.0**74612.41*396*0.0*18540470*false*248.4904*0.57*0.0*0.57*0.03*1.27*4.66*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 1 2019*2019-01-01*2019-06-30*40*fondos@creditagricole-mercagestion.com*Baa1 (Moody's)*5 (de una escala del 1 al 7)*0.41*0.0**76933.44*407*0.0*18877276*false*245.3715*1.12*0.0*1.12*0.05*0.51*4.5*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 1 2019*2019-01-01*2019-03-31*40*fondos@creditagricole-mercagestion.com*Baa1 (Moody's)*5 (de una escala del 1 al 7)*0.21*0.0**78328.48*420*0.0*19122517*false*244.1324*0.55*0.0*0.55*0.02*4.97*5.58*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 2 2020*2020-07-01*2020-12-31*40*fondos@creditagricole-mercagestion.com*A- (Fitch)*5 (de una escala del 1 al 7)*0.11*-0.05**62395.27*344*0.0*14687640*false*235.3967*1.13*0.0*1.13*0.05*9.94*12.79*0.62*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 3 2020*2020-07-01*2020-09-30*40*fondos@creditagricole-mercagestion.com*A- (Fitch)*5 (de una escala del 1 al 7)*0.0*-0.05**66151.0*351*0.0*14164221*false*214.1195*0.57*0.0*0.57*0.03*-2.46*7.12*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 1 2020*2020-01-01*2020-06-30*40*fondos@creditagricole-mercagestion.com*A- (Fitch)*5 (de una escala del 1 al 7)*0.17*-0.05**70676.6*363*0.0*15514342*false*219.5117*1.12*0.0*1.12*0.05*4.15*12.57*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 1 2020*2020-01-01*2020-03-31*40*fondos@creditagricole-mercagestion.com*Baa1 (Moody's)*5 (de una escala del 1 al 7)*0.12*-0.05**70864.04*365*0.0*14935367*false*210.7609*0.56*0.0*0.56*0.02*-15.97*19.66*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
