fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 2 2009*2009-07-01*2009-12-31*315*ayuda@openbank.es*Aa2*Bajo*1.17*0.29**506257868.78*2119*0.0*82399165*false*0.1628***0.05*0.05*0.21*0.11*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 2 2013*2013-07-01*2013-12-31*315*ayuda@openbank.es*Baa2*Bajo*0.87*0.08**349793507.93*1832*0.0*61689785*false*0.1764*0.05**0.05*0.05*0.32*0.19*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 3 2013*2013-07-01*2013-09-30*315*ayuda@openbank.es*Baa2*Bajo*0.55*0.07**359530908.48*1821*0.0*63206049*false*0.1758*0.03**0.03*0.03*0.49*0.19*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 1 2013*2013-01-01*2013-06-30*315*ayuda@openbank.es*Baa2*Bajo*0.88*0.11**346901893.79*1764*0.0*60690384*false*0.1749*0.05**0.05*0.05*0.36*0.28*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 1 2013*2013-01-01*2013-03-31*315*ayuda@openbank.es*Baa2*Bajo*0.49*0.11**349191546.85*1696*0.0*60873499*false*0.1743*0.02**0.02*0.02*0.73*0.32*0.05*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 2 2014*2014-07-01*2014-12-31*315*ayuda@openbank.es*Baa1*2 en una escala del 1 al 7*0.58*0.02**331377866.35*1720*0.0*59020938*false*0.1781*0.05**0.05*0.05*0.01*0.26*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 3 2014*2014-07-01*2014-09-30*315*ayuda@openbank.es*Baa1*2 en una escala del 1 al 7*0.31*0.01**338888813.05*1771*0.0*60349986*false*0.1781*0.03**0.03*0.03*0.25*0.21*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 1 2014*2014-01-01*2014-06-30*315*ayuda@openbank.es*Baa1*2 en una escala del 1 al 7*0.88*0.19**335390046.38*1746*0.0*59576218*false*0.1776*0.05**0.05*0.05*0.35*0.22*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 1 2014*2014-01-01*2014-03-31*315*ayuda@openbank.es*Baa1*2 en una escala del 1 al 7*0.6*0.2**337081415.22*1769*0.0*59670675*false*0.177*0.02**0.02*0.02*0.37*0.2*0.05*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 2 2015*2015-07-01*2015-12-31*315*ayuda@openbank.es*A 3*2 en una escala del 1 al 7*0.57*-0.07**346376255.66*1511*0.0*61855613*false*0.1786*0.05**0.05*0.05*0.09*0.16*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 3 2015*2015-07-01*2015-09-30*315*ayuda@openbank.es*A3*2 en una escala del 1 al 7*0.08*-0.04**323017393.41*1552*0.0*57632469*false*0.1784*0.03**0.03*0.03*0.04*0.19*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 1 2015*2015-01-01*2015-06-30*315*ayuda@openbank.es*A 3*2 en una escala del 1 al 7*0.44*-0.01**320717999.0*1593*0.0*57197787*false*0.1783*0.05**0.05*0.05*-0.14*0.25*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 1 2015*2015-01-01*2015-03-31*315*ayuda@openbank.es*Baa1*2 en una escala del 1 al 7*0.32*0.0**323553748.44*1638*0.0*57784431*false*0.1786*0.02**0.02*0.02*0.27*0.16*0.05*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 2 2016*2016-07-01*2016-12-31*315*ayuda@openbank.es*A3*2 en una escala del 1 al 7*0.83*-0.05**326238781.09*1406*0.0*58362376*false*0.1789*0.05**0.05*0.05*0.01*0.2*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 3 2016*2016-07-01*2016-09-30*315*ayuda@openbank.es*A3*2 en una escala del 1 al 7*0.45*0.0**335889685.58*1448*0.0*60081576*false*0.1789*0.03**0.03*0.03*0.08*0.12*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 1 2016*2016-01-01*2016-06-30*315*ayuda@openbank.es*A3*2 en una escala del 1 al 7*1.17*0.0**339755701.57*1480*0.0*60724264*false*0.1787*0.05**0.05*0.05*0.04*0.22*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 1 2016*2016-01-01*2016-03-31*315*ayuda@openbank.es*A 3*2 en una escala del 1 al 7*0.46*0.0**351232806.8*1516*0.0*62751773*false*0.1787*0.02**0.02*0.02*0.05*0.16*0.05*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Corto Plazo, F.I.*80283781*Semester 2 2017*2017-07-01*2017-12-31*315*ayuda@openbank.es*A3*1 en una escala del 1 al 7*0.2*-0.34**337278561.59*1240*0.0*60361939*false*0.179*0.05**0.05*0.05*0.0*0.12*0.05*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Corto Plazo, F.I.*80283781*Trimester 3 2017*2017-07-01*2017-09-30*315*ayuda@openbank.es*A3*1 en una escala del 1 al 7*0.1*-0.41**330161927.1*1278*0.0*59088507*false*0.179*0.03**0.03*0.03*0.05*0.1*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 1 2017*2017-01-01*2017-06-30*315*ayuda@openbank.es*A3*1 en una escala del 1 al 7*0.91*-0.27**302476707.08*1291*0.0*54106814*false*0.1789*0.05**0.05*0.05*0.05*0.14*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 1 2017*2017-01-01*2017-03-31*315*ayuda@openbank.es*A3*1 en una escala del 1 al 7*0.53*-0.27**309286943.14*1350*0.0*55297260*false*0.1788*0.02**0.02*0.02*-0.06*0.17*0.05*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Corto Plazo, F.I.*80283781*Trimester 3 2018*2018-07-01*2018-09-30*315*ayuda@openbank.es*A2*1 en una escala del 1 al 7*0.08*-0.3**278894363.44*1114*0.0*49501787*false*0.1775*0.03**0.03*0.03*-0.02*0.47*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Corto Plazo, F.I.*80283781*Semester 1 2018*2018-01-01*2018-06-30*315*ayuda@openbank.es*A 2*1 en una escala del 1 al 7*0.78*-0.29**293376972.09*1150*0.0*52084125*false*0.1775*0.05**0.05*0.05*-0.67*1.39*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Corto Plazo, F.I.*80283781*Trimester 1 2018*2018-01-01*2018-03-31*315*ayuda@openbank.es*A3*1 en una escala del 1 al 7*0.4*-0.28**324584455.88*1196*0.0*58014747*false*0.1787*0.02**0.02*0.02*-0.13*0.15*0.05*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Corto Plazo, F.I.*80283781*Semester 2 2017*2017-07-01*2017-12-31*315*ayuda@openbank.es*A3*1 en una escala del 1 al 7*0.2*-0.34**337278561.59*1240*0.0*60361939*false*0.179*0.05**0.05*0.05*0.0*0.12*0.05*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Ahorro, F.I.*80283781*Semester 2 2019*2019-07-01*2019-12-31*315*ayuda@openbank.es*A 2*1 en una escala del 1 al 7*0.46*-0.34**244140969.77*970*0.0*43429848*false*0.1779*0.05**0.05*0.05*-0.08*0.09*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Ahorro, F.I.*80283781*Trimester 3 2019*2019-07-01*2019-09-30*315*ayuda@openbank.es*A 2*1 en una escala del 1 al 7*0.21*-0.3**258345289.37*1006*0.0*45991553*false*0.178*0.03**0.03*0.03*0.01*0.11*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Corto Plazo, F.I.*80283781*Semester 1 2019*2019-01-01*2019-06-30*315*ayuda@openbank.es*A 2*1 en una escala del 1 al 7*0.62*-0.3**263341727.42*1011*0.0*46877359*false*0.178*0.05**0.05*0.05*0.1*0.13*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Corto Plazo, F.I.*80283781*Trimester 1 2019*2019-01-01*2019-03-31*315*ayuda@openbank.es*A 2*1 en una escala del 1 al 7*0.33*-0.3**264916065.62*1017*0.0*47111777*false*0.1778*0.02**0.02*0.02*0.49*0.27*0.05*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Ahorro, F.I.*80283781*Semester 2 2020*2020-07-01*2020-12-31*315*ayuda@openbank.es*A2*2 en una escala del 1 al 7*0.35*-0.5**190737019.17*877*0.0*33889536*false*0.1777*0.05**0.05*0.05*0.06*0.09*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Ahorro, F.I.*80283781*Trimester 3 2020*2020-07-01*2020-09-30*315*ayuda@openbank.es*A2*2 en una escala del 1 al 7*0.11*-0.5**198426900.94*890*0.0*35234438*false*0.1776*0.03**0.03*0.03*0.32*0.11*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Ahorro, F.I.*80283781*Semester 1 2020*2020-01-01*2020-06-30*315*ayuda@openbank.es*A2*1 en una escala del 1 al 7*0.22*-0.47**203591626.71*912*0.0*36035684*false*0.177*0.05**0.05*0.05*1.06*0.49*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*Openbank Ahorro, F.I.*80283781*Trimester 1 2020*2020-01-01*2020-03-31*315*ayuda@openbank.es*A2*1 en una escala del 1 al 7*0.09*-0.45**211982807.92*931*0.0*37125953*false*0.1751*0.02**0.02*0.02*-1.55*0.98*0.05*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
