fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Semester 2 2010*2010-07-01*2010-12-31*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*1.09*0.5**131973.39*197*0.0*13360289*false*101.2347***0.59*0.04****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER PATRIMONIO DECIDIDO, F.I.*85932945*Trimester 3 2010*2010-07-01*2010-09-30*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*1.13*0.44**32994.54*2*0.0*3292503*false*99.7893***0.13*0.02****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Trimester 3 2011*2011-07-01*2011-09-30*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.09*0.87**682179.32*1036*0.0*61067258*false*89.5179***0.43*0.02*-12.92*16.13*0.47*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Semester 1 2011*2011-01-01*2011-06-30*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.24*0.69**759916.66*1163*0.0*78116881*false*102.7966***0.84*0.05*0.7*6.62*0.47*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Trimester 1 2011*2011-01-01*2011-03-31*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.07*0.58**678525.71*1042*0.0*69266667*false*102.0841***0.41*0.02*0.84*6.5*0.48*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Semester 2 2010*2010-07-01*2010-12-31*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*1.09*0.5**131973.39*197*0.0*13360289*false*101.2347***0.59*0.04****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 3 2012*2012-07-01*2012-09-30*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.08*0.13**527722.92*862*0.0*52748424*false*99.9548*0.43*[]*0.43*0.02*1.43*8.71*0.66*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Semester 1 2013*2013-01-01*2013-06-30*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.88*0.06**779402.95*1268*0.0*80795513*false*103.6633*0.84*[]*0.84*0.04*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Semester 1 2013*2013-01-01*2013-06-30*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.88*0.06**19568.76*221*0.0*2024481*false*103.4548*0.93*[]*0.93*0.04*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 1 2013*2013-01-01*2013-03-31*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.29*0.04**665056.4*1058*0.0*68673160*false*103.2592*0.42*[]*0.42*0.02*0.58*7.92*0.62*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Trimester 1 2013*2013-01-01*2013-03-31*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.29*0.04**11709.1*124*0.0*1207124*false*103.0928*0.46*[]*0.46*0.02*0.54*7.92*0.66*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Semester 2 2014*2014-07-01*2014-12-31*4253*comsanassetm@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.98*0.02**2553924.59*4409*0.0*303885256*false*118.9876*0.86*[]*0.86*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Semester 2 2014*2014-07-01*2014-12-31*4253*comsanassetm@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.98*0.02**153456.09*1788*0.0*18170378*false*118.4077*0.96*[]*0.96*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 3 2014*2014-07-01*2014-09-30*4253*comsanassetm@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.46*0.02**2411841.75*4136*0.0*281427304*false*116.6856*0.43*[]*0.43*0.02*0.47*4.82*0.6*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Trimester 3 2014*2014-07-01*2014-09-30*4253*comsanassetm@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.46*0.02**134475.15*1619*0.0*15622630*false*116.1748*0.48*[]*0.48*0.02*0.42*4.82*0.64*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Semester 1 2014*2014-01-01*2014-06-30*4253*informesfondos@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.17*0.1**2133432.84*3714*0.0*247778736*false*116.1409*0.84*[]*0.84*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Semester 1 2014*2014-01-01*2014-06-30*4253*informesfondos@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.17*0.1**111623.21*1320*0.0*12913673*false*115.6899*0.94*[]*0.94*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 1 2014*2014-01-01*2014-03-31*4253*informesfondos@gruposantander.com*Baa1*5 en una escala del 1 al 7*0.17*0.09**1714630.53*2922*0.0*196366197*false*114.5239*0.42*[]*0.42*0.02*1.55*5.76*0.58*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Trimester 1 2014*2014-01-01*2014-03-31*4253*informesfondos@gruposantander.com*Baa1*5 en una escala del 1 al 7*0.17*0.09**86266.69*1006*0.0*9846034*false*114.1348*0.47*[]*0.47*0.02*1.5*5.76*0.62*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Semester 2 2015*2015-07-01*2015-12-31*4253*comsanassetm@gruposantander.com*A 3*4 en una escala del 1 al 7*0.37*-0.02**3697262.04*6911*0.0*453009263*false*122.5256*0.86*[]*0.86*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Semester 2 2015*2015-07-01*2015-12-31*4253*comsanassetm@gruposantander.com*A 3*4 en una escala del 1 al 7*0.37*-0.02**274338.98*3297*0.0*33383437*false*121.6868*0.96*[]*0.96*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 3 2015*2015-07-01*2015-09-30*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.27*-0.04**3611688.51*6714*0.0*426438418*false*118.0718*0.43*[]*0.43*0.03*-5.27*12.89*0.58*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Trimester 3 2015*2015-07-01*2015-09-30*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.27*-0.04**258641.08*3092*0.0*30344119*false*117.3213*0.48*[]*0.48*0.03*-5.31*12.89*0.63*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Semester 1 2015*2015-01-01*2015-06-30*4253*comsanassetm@gruposantander.com*A 3*4 en una escala del 1 al 7*1.09*-0.02**3459688.52*6361*0.0*431196755*false*124.6346*0.84*[]*0.84*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Semester 1 2015*2015-01-01*2015-06-30*4253*comsanassetm@gruposantander.com*A 3*4 en una escala del 1 al 7*1.09*-0.02**240656.45*2900*0.0*29818433*false*123.9046*0.94*[]*0.94*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 1 2015*2015-01-01*2015-03-31*4253*comsanassetm@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.97*0.0**2849381.08*5213*0.0*365155800*false*128.1527*0.42*[]*0.42*0.02*7.7*6.78*0.57*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Trimester 1 2015*2015-01-01*2015-03-31*4253*comsanassetm@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.97*0.0**190200.13*2258*0.0*24244018*false*127.4658*0.47*[]*0.47*0.02*7.65*6.78*0.61*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Semester 2 2016*2016-07-01*2016-12-31*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.73*-0.05**3105711.38*5991*0.0*392776342*false*126.469*0.85*[]*0.85*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Semester 2 2016*2016-07-01*2016-12-31*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.73*-0.05**255095.79*3016*0.0*31978549*false*125.359*0.96*[]*0.96*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 3 2016*2016-07-01*2016-09-30*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.23*0.0**3156160.0*6080*0.0*387880470*false*122.8963*0.43*[]*0.43*0.02*2.35*4.74*0.56*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Trimester 3 2016*2016-07-01*2016-09-30*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.23*0.0**255428.55*3039*0.0*31130899*false*121.8771*0.48*[]*0.48*0.02*2.3*4.74*0.61*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Semester 1 2016*2016-01-01*2016-06-30*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.89*0.0**3247915.09*6236*0.0*389973324*false*120.0688*0.85*[]*0.85*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Semester 1 2016*2016-01-01*2016-06-30*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.89*0.0**256386.09*3082*0.0*30543626*false*119.1314*0.95*[]*0.95*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 1 2016*2016-01-01*2016-03-31*4253*comsanassetm@gruposantander.com*A 3*4 en una escala del 1 al 7*0.31*0.0**3463724.9*6567*0.0*409469454*false*118.2165*0.42*[]*0.42*0.02*-3.52*11.69*0.57*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Trimester 1 2016*2016-01-01*2016-03-31*4253*comsanassetm@gruposantander.com*A 3*4 en una escala del 1 al 7*0.31*0.0**268144.65*3215*0.0*31466842*false*117.3503*0.47*[]*0.47*0.02*-3.56*11.69*0.62*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Semester 2 2017*2017-07-01*2017-12-31*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.42*-0.27**3152353.85*6345*0.0*413620464*false*131.21*0.86*[]*0.86*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Semester 2 2017*2017-07-01*2017-12-31*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.42*-0.27**282194.95*3253*0.0*36630681*false*129.8063*0.96*[]*0.96*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 3 2017*2017-07-01*2017-09-30*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.26*-0.27**3055038.81*6202*0.0*392588946*false*128.5054*0.43*[]*0.43*0.03*0.68*4.69*0.56*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Trimester 3 2017*2017-07-01*2017-09-30*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.26*-0.27**278155.17*3168*0.0*35379299*false*127.1927*0.48*[]*0.48*0.03*0.63*4.69*0.61*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Semester 1 2017*2017-01-01*2017-06-30*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.2*-0.27**3146494.66*6266*0.0*401596969*false*127.6331*0.84*[]*0.84*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Semester 1 2017*2017-01-01*2017-06-30*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.2*-0.27**276576.12*3199*0.0*34956729*false*126.391*0.94*[]*0.94*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 1 2017*2017-01-01*2017-03-31*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.06*-0.27**3155024.41*6183*0.0*407292308*false*129.0932*0.42*[]*0.42*0.02*2.07*4.66*0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Trimester 1 2017*2017-01-01*2017-03-31*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.06*-0.27**271041.18*3171*0.0*34665832*false*127.8988*0.47*[]*0.47*0.02*2.03*4.66*0.59*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase S*85932945*Trimester 3 2018*2018-07-01*2018-09-30*4253*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.15*-0.3**4144172.27*8077*0.0*551057768*false*132.9717*0.43*[]*0.43*0.03*1.68*3.78*0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase A*85932945*Trimester 3 2018*2018-07-01*2018-09-30*4253*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.15*-0.3**359973.96*4148*0.0*47285331*false*131.3576*0.48*[]*0.48*0.03*1.63*3.78*0.59*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase S*85932945*Semester 1 2018*2018-01-01*2018-06-30*4253*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.4*-0.29**3628717.31*7205*0.0*474566329*false*130.7807*0.84*[]*0.84*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Mi Fondo Santander Decidido, F.I. - Clase A*85932945*Semester 1 2018*2018-01-01*2018-06-30*4253*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.4*-0.29**318215.52*3686*0.0*41131589*false*129.257*0.94*[]*0.94*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Santander Select Decidido, F.I. - Clase S*85932945*Trimester 1 2018*2018-01-01*2018-03-31*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.0*-0.28**3408373.58*6804*0.0*437189153*false*128.2691*0.42*[]*0.42*0.02*-2.24*8.26*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*Santander Select Decidido, F.I. - Clase A*85932945*Trimester 1 2018*2018-01-01*2018-03-31*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.0*-0.28**301680.41*3471*0.0*38264000*false*126.8362*0.47*[]*0.47*0.02*-2.29*8.26*0.58*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Semester 2 2017*2017-07-01*2017-12-31*4253*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.42*-0.27**3152353.85*6345*0.0*413620464*false*131.21*0.86*[]*0.86*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
