fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Euro, F.I.*79489316*Semester 2 2009*2009-07-01*2009-12-31*3605*acgestionclientes@ahorro.com*AA-   FITCH*Medio*0.61*0.17**9997.33*1212*0.0*13553476*false*1355.7094***0.5*0.02*0.3*2.64*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Semester 2 2012*2012-07-01*2012-12-31*3605*acgestionclientes@ahorro.com*;Ba1  MOODY'S;BBB-  FITCH*4, de una*1.53*0.04**7579.69*1246*0.0*10896231*false*1437.557*0.51*0.25*0.76*0.02*2.85*0.83*0.29*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Trimester 3 2012*2012-07-01*2012-09-30*3605*acgestionclientes@ahorro.com*BBB-  STANDARD&POOR'S;Ba1  MOODY'S;BBB  FITCH*4, de una*0.38*0.03**6786.97*1192*0.0*9486593*false*1397.7664*0.25*0.01*0.26*0.01*1.74*1.27*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Semester 1 2012*2012-01-01*2012-06-30*3605*acgestionclientes@ahorro.com*BBB-  STANDARD&POOR'S;Ba1  MOODY'S;BBB  FITCH*Medio*1.58*0.23**7559.97*1240*0.0*10386533*false*1373.8861*0.5*0.0*0.5*0.02***0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Euro, F.I.*79489316*Trimester 1 2012*2012-01-01*2012-03-31*3605*acgestionclientes@ahorro.com*BBB  STANDARD&POOR'S;A2  MOODY'S;BBB+  FITCH*Medio*0.74*0.27**3773.08*769*0.0*5243021*false*1389.5875*0.25*0.0*0.25*0.01*2.27*0.81*0.29*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Semester 2 2013*2013-07-01*2013-12-31*3605*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*1.27*0.03**38417.82*4289*0.0*60739067*false*1581.0128*0.5*0.53*1.03*0.02*3.98*1.16*0.26*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Trimester 3 2013*2013-07-01*2013-09-30*3605*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*0.52*0.01**33972.77*3952*0.0*51655429*false*1520.4953*0.25*0.16*0.41*0.01*2.45*2.12*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Semester 1 2013*2013-01-01*2013-06-30*3605*acgestionclientes@ahorro.com*;Ba1  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*4.95*0.07**27964.34*3275*0.0*41500951*false*1484.0668*0.5*0.0*0.5*0.02*0.54*2.94*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Trimester 1 2013*2013-01-01*2013-03-31*3605*acgestionclientes@ahorro.com*;Ba1  MOODY'S;BBB-  FITCH*4, de una*1.28*0.08**7159.68*1185*0.0*10567896*false*1476.0297*0.25*0.24*0.49*0.01*2.68*1.88*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Trimester 3 2014*2014-07-01*2014-09-30*3605*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*0.52*0.01**31732.25*3768*0.0*54266801*false*1710.1466*0.25*0.2*0.45*0.01*2.23*2.05*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Semester 1 2014*2014-01-01*2014-06-30*3605*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*1.26*0.02**33256.71*3837*0.0*55632500*false*1672.8203*0.5*0.51*1.01*0.02*1.78*1.95*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Trimester 1 2014*2014-01-01*2014-03-31*3605*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*0.6*0.02**34011.97*3920*0.0*55901462*false*1643.5819*0.25*0.35*0.6*0.01*3.96*1.53*0.26*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Semester 2 2013*2013-07-01*2013-12-31*3605*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*1.27*0.03**38417.82*4289*0.0*60739067*false*1581.0128*0.5*0.53*1.03*0.02*3.98*1.16*0.26*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Trimester 3 2015*2015-07-01*2015-09-30*3605*imantiaclientes@imantia.com*;Baa2  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*0.49*0.67**33071.18*5082*0.0*56915343*false*1720.9952*0.25*0.0*0.25*0.02*-0.72*2.49*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Semester 1 2015*2015-01-01*2015-06-30*3605*acgestionclientes@ahorro.com*;Baa2  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*0.92*0.01**30868.27*5034*0.0*53507023*false*1733.3987*0.5*0.0*0.5*0.02***0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Trimester 1 2015*2015-01-01*2015-03-31*3605*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*0.54*0.01**34624.73*5535*0.0*61903663*false*1787.8454*0.25*0.29*0.54*0.01*3.3*2.66*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Flexible, F.I.*79489316*Semester 2 2014*2014-07-01*2014-12-31*3605*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*1.01*0.01**32038.62*3813*0.0*55451782*false*1730.7796*0.5*0.3*0.8*0.02*1.21*2.26*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*Imantia Renta Fija Flexible, F.I.*79489316*Trimester 3 2016*2016-07-01*2016-09-30*3605*imantiaclientes@imantia.com*;Baa2  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*0.72*0.62**36444.05*5342*0.0*64867726*false*1779.9261*0.25*0.09*0.34*0.02*1.02*0.68*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*Imantia Renta Fija Flexible, F.I.*79489316*Semester 1 2016*2016-01-01*2016-06-30*3605*imantiaclientes@imantia.com*;Baa2  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*1.95*0.76**35899.52*5297*0.0*63256387*false*1762.0397*0.5*0.11*0.61*0.04*0.78*1.23*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*Imantia Renta Fija Flexible, F.I.*79489316*Trimester 1 2016*2016-01-01*2016-03-31*3605*imantiaclientes@imantia.com*;Baa2  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*0.78*0.91**29329.48*4672*0.0*51277774*false*1748.3358*0.25*0.05*0.3*0.02*0.67*2.56*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*Imantia Renta Fija Flexible, F.I.*79489316*Semester 2 2015*2015-07-01*2015-12-31*3605*imantiaclientes@imantia.com*;Baa2  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7*0.87*1.36**31342.4*4849*0.0*54429738*false*1736.6168*0.5*0.0*0.5*0.04*0.91*1.06*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*MINORISTA*79489316*Trimester 3 2017*2017-07-01*2017-09-30*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*0.45*0.08**36198.38*4911*0.0*66005336*false*1823.4335*0.25*0.07*0.32*0.02*0.57*0.42*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*INSTITUCIONAL*79489316*Trimester 3 2017*2017-07-01*2017-09-30*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*0.45*0.08**23752.21*3*0.0*43581356*false*1834.8337*0.13*0.0*0.13*0.02*0.77*0.47*0.15*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*MINORISTA*79489316*Semester 1 2017*2017-01-01*2017-06-30*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*1.55*-0.16**36197.78*4991*0.0*65628754*false*1813.06*0.5*0.16*0.66*0.04*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*INSTITUCIONAL*79489316*Semester 1 2017*2017-01-01*2017-06-30*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*1.55*-0.16**23476.61*3*0.0*42748194*false*1820.8843*0.07*0.0*0.07*0.01*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*MINORISTA*79489316*Trimester 1 2017*2017-01-01*2017-03-31*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*1.29*-0.06**35637.5*5035*0.0*64077501*false*1798.0358*0.25*0.07*0.33*0.02*0.82*0.5*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*INSTITUCIONAL*79489316*Trimester 1 2017*2017-01-01*2017-03-31*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*1.29*-0.06**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*1.1*0.5*0.0*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*IMANTIA RENTA FIJA FLEXIBLE MINORISTA*79489316*Semester 2 2016*2016-07-01*2016-12-31*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*1.63*0.19**35631.09*5128*0.0*63544536*false*1783.4015*0.93*0.16*1.09*0.07*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*IMANTIA RENTA FIJA FLEXIBLE INSTITUCIONAL*79489316*Semester 2 2016*2016-07-01*2016-12-31*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*1.63*0.19**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*MINORISTA*79489316*Semester 2 2018*2018-07-01*2018-12-31*3605*imantiaclientes@imantia.com*BBB*3, de una escala del 1 al 7*0.62*-0.06**32982.81*4496*0.0*58877005*false*1785.0818*0.5*0.0*0.5*0.04*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*INSTITUCIONAL*79489316*Semester 2 2018*2018-07-01*2018-12-31*3605*imantiaclientes@imantia.com*BBB*3, de una escala del 1 al 7*0.62*-0.06**19980.95*9*0.0*36128250*false*1808.1347*0.25*0.0*0.25*0.04*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*K*79489316*Semester 2 2018*2018-07-01*2018-12-31*3605*imantiaclientes@imantia.com*BBB*3, de una escala del 1 al 7*0.62*-0.06**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*MINORISTA*79489316*Trimester 3 2018*2018-07-01*2018-09-30*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*0.27*0.0**34184.75*4629*0.0*61687281*false*1804.5264*0.25*0.0*0.25*0.02*0.2*0.67*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*INSTITUCIONAL*79489316*Trimester 3 2018*2018-07-01*2018-09-30*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*0.27*0.0**27052.68*9*0.0*49385426*false*1825.5282*0.13*0.0*0.13*0.02*0.33*0.67*0.15*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*K*79489316*Trimester 3 2018*2018-07-01*2018-09-30*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*0.27*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*MINORISTA*79489316*Semester 1 2018*2018-01-01*2018-06-30*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*0.8*-0.01**35978.89*4763*0.0*64794707*false*1800.9091*0.5*0.0*0.5*0.04*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*INSTITUCIONAL*79489316*Semester 1 2018*2018-01-01*2018-06-30*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*0.8*-0.01**30026.05*7*0.0*54634616*false*1819.5742*0.25*0.0*0.25*0.04*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*K*79489316*Semester 1 2018*2018-01-01*2018-06-30*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*0.8*-0.01**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*MINORISTA*79489316*Trimester 1 2018*2018-01-01*2018-03-31*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*0.35*0.2**37727.26*4894*0.0*68790050*false*1823.3514*0.25*0.0*0.25*0.02*-0.29*0.63*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*INSTITUCIONAL*79489316*Trimester 1 2018*2018-01-01*2018-03-31*3605*imantiaclientes@imantia.com*BBB- (Fitch)*3, de una escala del 1 al 7*0.35*0.2**32257.01*6*0.0*59351407*false*1839.9539*0.12*0.0*0.12*0.02*-0.17*0.69*0.15*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*MINORISTA*79489316*Semester 2 2019*2019-07-01*2019-12-31*3605*imantiaclientes@imantia.com*BBB+*3, de una escala del 1 al 7*1.07*-0.16**34601.39*5441*0.0*63638692*false*1839.1946*0.5*0.1*0.61*0.04*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*INSTITUCIONAL*79489316*Semester 2 2019*2019-07-01*2019-12-31*3605*imantiaclientes@imantia.com*BBB+*3, de una escala del 1 al 7*1.07*-0.16**11544.67*7*0.0*21636682*false*1874.1708*0.25*0.0*0.25*0.04*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*K*79489316*Semester 2 2019*2019-07-01*2019-12-31*3605*imantiaclientes@imantia.com*BBB+*3, de una escala del 1 al 7*1.07*-0.16**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*MINORISTA*79489316*Trimester 3 2019*2019-07-01*2019-09-30*3605*imantiaclientes@imantia.com*BBB+*3, de una escala del 1 al 7*0.76*0.0**30449.68*4185*0.0*55873691*false*1834.9519*0.25*0.06*0.31*0.02*0.76*0.82*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*INSTITUCIONAL*79489316*Trimester 3 2019*2019-07-01*2019-09-30*3605*imantiaclientes@imantia.com*BBB+*3, de una escala del 1 al 7*0.76*0.0**12088.74*8*0.0*22565729*false*1866.6738*0.13*0.0*0.13*0.02*0.95*0.87*0.15*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*K*79489316*Trimester 3 2019*2019-07-01*2019-09-30*3605*imantiaclientes@imantia.com*BBB+*3, de una escala del 1 al 7*0.76*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*MINORISTA*79489316*Semester 1 2019*2019-01-01*2019-06-30*3605*imantiaclientes@imantia.com*BBB+*3, de una escala del 1 al 7*1.02*-0.12**31182.93*4266*0.0*56787161*false*1821.0979*0.5*0.0*0.5*0.04*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*INSTITUCIONAL*79489316*Semester 1 2019*2019-01-01*2019-06-30*3605*imantiaclientes@imantia.com*BBB+*3, de una escala del 1 al 7*1.02*-0.12**15695.65*9*0.0*29024320*false*1849.1953*0.25*0.0*0.25*0.04*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*K*79489316*Semester 1 2019*2019-01-01*2019-06-30*3605*imantiaclientes@imantia.com*BBB+*3, de una escala del 1 al 7*1.02*-0.12**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*MINORISTA*79489316*Trimester 1 2019*2019-01-01*2019-03-31*3605*imantiaclientes@imantia.com*BBB*3, de una escala del 1 al 7*0.63*0.0**32127.42*4370*0.0*57907819*false*1802.442*0.25*0.0*0.25*0.02*0.97*0.62*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*INSTITUCIONAL*79489316*Trimester 1 2019*2019-01-01*2019-03-31*3605*imantiaclientes@imantia.com*BBB*3, de una escala del 1 al 7*0.63*0.0**18577.4*9*0.0*33958954*false*1827.9714*0.12*0.0*0.12*0.02*1.1*0.62*0.15*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*K*79489316*Trimester 1 2019*2019-01-01*2019-03-31*3605*imantiaclientes@imantia.com*BBB*3, de una escala del 1 al 7*0.63*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*MINORISTA*79489316*Semester 2 2020*2020-07-01*2020-12-31*3605*imantiaclientes@imantia.com*BBB+*3, de una escala del 1 al 7*0.55*-0.19**37494.15*6224*0.0*69269642*false*1847.4788*0.5*0.06*0.56*0.04*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*INSTITUCIONAL*79489316*Semester 2 2020*2020-07-01*2020-12-31*3605*imantiaclientes@imantia.com*BBB+*3, de una escala del 1 al 7*0.55*-0.19**7940.7*6*0.0*15037856*false*1893.7701*0.25*0.0*0.25*0.04*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*K*79489316*Semester 2 2020*2020-07-01*2020-12-31*3605*imantiaclientes@imantia.com*BBB+*3, de una escala del 1 al 7*0.55*-0.19**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
