fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 2 2014*2014-07-01*2014-12-31*4741*DWS.ES@DB.COM*Aa3*4*0.0*0.41**12779675.83*3084*0.0*133743411*false*10.4653*0.13**0.13*0.03*1.48*4.08*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Trimester 3 2017*2017-07-01*2017-09-30*4741*DWS.ES@DB.COM*Aa3*4*0.01*0.0**8661166.3*2350*0.0*97923761*false*11.3061*0.06**0.06*0.01*-0.32*1.97*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 1 2017*2017-01-01*2017-06-30*4741*DWS.ES@DB.COM*Aa3*4*0.01*0.0**8758131.75*2383*0.0*99333118*false*11.3418*0.12**0.12*0.02*1.07*1.98*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Trimester 1 2017*2017-01-01*2017-03-31*4741*DWS.ES@DB.COM*Aa3*4*0.01*0.0**9070997.92*2460*0.0*101788528*false*11.2213*0.06**0.06*0.01*1.44*2.39*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 2 2016*2016-07-01*2016-12-31*4741*DWS.ES@DB.COM*Aa3*4*0.0*0.0**9626192.27*2551*0.0*106483436*false*11.0618*0.13**0.13*0.03*0.29*2.84*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 2 2018*2018-07-01*2018-12-31*4741*dws.iberia@dws.com*BBB+(S&p)*3*0.0*0.0**7665018.24*2116*0.0*82485956*false*10.7614*0.13**0.13*0.03*-2.68*3.13*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Trimester 3 2018*2018-07-01*2018-09-30*4741*dws.iberia@dws.com*BBB+(S&p)*3*0.0*0.0**8005280.71*2182*0.0*88516799*false*11.0573*0.06**0.06*0.01*-0.39*1.99*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 1 2018*2018-01-01*2018-06-30*4741*dws.iberia@dws.com*BBB+(S&p)*3*0.0*0.0**8161723.67*2218*0.0*90597141*false*11.1002*0.12**0.12*0.02*-0.63*3.58*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Trimester 1 2018*2018-01-01*2018-03-31*4741*dws.iberia@dws.com*BBB+(S&p)*3*0.0*0.0**8404470.31*2277*0.0*93880923*false*11.1704*0.06**0.06*0.01*-2.03*3.22*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 2 2019*2019-07-01*2019-12-31*4741*dbwm.spain@db.com*BBB+*3/7*0.0*-0.08**6933315.16*1957*0.0*80152996*false*11.5606*0.13**0.13*0.03*0.61*1.2*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Trimester 3 2019*2019-07-01*2019-09-30*4741*dbwm.spain@db.com*BBB+(S&p)*3/7*0.0*0.0**7147538.47*2013*0.0*82129181*false*11.4906*0.06**0.06*0.01*1.52*1.69*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 1 2019*2019-01-01*2019-06-30*4741*dbwm.spain@db.com*BBB+(S&p)*3/7*0.0*0.0**7322109.32*2040*0.0*82871522*false*11.318*0.12**0.12*0.02*1.28*1.71*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Trimester 1 2019*2019-01-01*2019-03-31*4741*dbwm.spain@db.com*BBB+(S&p)*3/7*0.0*0.0**7485320.51*2083*0.0*83647233*false*11.1748*0.06**0.06*0.01*3.84*1.8*0.08*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DEUTSCHE WEALTH SOSTENIBLE A*86997350*Semester 2 2020*2020-07-01*2020-12-31*4741*dbwm.spain@db.com*A+  (FITCH)*4/7*1.65*-0.48**5240830.21*1562*0.0*59248127*false*11.3051*0.15*[]*0.15*0.02*[]*[]*[]*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DEUTSCHE WEALTH SOSTENIBLE B*86997350*Semester 2 2020*2020-07-01*2020-12-31*4741*dbwm.spain@db.com*A+  (FITCH)*4/7*1.65*-0.48**0.0*0*0.0*0*false*0.0*0.0*[]*0.0*0.0*[]*[]*[]*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Trimester 3 2020*2020-07-01*2020-09-30*4741*dbwm.spain@db.com*A+  (FITCH)*3/7*0.48*-0.51**6213639.26*1799*0.0*70584499*false*11.3596*0.06**0.06*0.01*0.06*0.7*0.06*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Semester 1 2020*2020-01-01*2020-06-30*4741*dbwm.spain@db.com*A+  (FITCH)*3/7*0.37*-2.4**6253804.11*1822*0.0*70997235*false*11.3526*0.12**0.12*0.02*1.08*2.58*0.07*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
DEUTSCHE WEALTH SOSTENIBLE, FI*DB MULTIESTRELLAS FI*86997350*Trimester 1 2020*2020-01-01*2020-03-31*4741*dbwm.spain@db.com*BBB+ (FITCH)*3/7*0.32*0.0**6665646.85*1899*0.0*74864668*false*11.2314*0.06**0.06*0.01*-2.85*3.07*0.07*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
