fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*66641283*Semester 2 2015*2015-07-01*2015-12-31*4929*N/D*ND*6 en una escala de 1 a 7*0.0*0.0**33267.87*9*0.0*330885*false*9.9461*0.1*0.0*0.1*0.01***0.3*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*66641283*Semester 1 2018*2018-01-01*2018-06-30*4929*N/D*BBB (S&P)*6 en una escala de 1 a 7*1.44*-0.07**1735831.71*1001*0.0*17655590*false*10.1713*0.87*0.0*0.87*0.05*2.42*11.99*0.48*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*66641283*Trimester 1 2018*2018-01-01*2018-03-31*4929*N/D*BBB (S&P)*6 en una escala de 1 a 7*0.74*-0.07**1680838.41*969*0.0*16691529*false*9.9305*0.43*0.0*0.43*0.02*-3.44*13.94*0.47*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*66641283*Trimester 3 2019*2019-07-01*2019-09-30*4929*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*0.24*-0.5**1902935.89*1119*0.0*18396235*false*9.6673*0.44*0.0*0.44*0.03*0.97*12.12*0.48*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*66641283*Semester 1 2019*2019-01-01*2019-06-30*4929*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*1.18*-0.32**1942925.4*1121*0.0*18601479*false*9.574*0.87*0.0*0.87*0.05*0.93*12.44*0.49*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*66641283*Trimester 1 2019*2019-01-01*2019-03-31*4929*N/D*BBB (S&P)*6 en una escala de 1 a 7*0.57*-0.35**2175019.24*1102*0.0*20630925*false*9.4854*0.43*0.0*0.43*0.02*9.56*12.5*0.47*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*66641283*Semester 2 2018*2018-07-01*2018-12-31*4929*N/D*BBB (S&P)*6 en una escala de 1 a 7*0.98*-0.35**2059715.59*1055*0.0*17831927*false*8.6575*0.88*0.0*0.88*0.05*-15.2*16.05*0.49*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RV EUROPA FI, Clase A*66641283*Semester 2 2020*2020-07-01*2020-12-31*4929*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*0.81*-0.28**1443775.31*939*0.0*13702311*false*9.4906*0.88*0.0*0.88*0.05*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RV EUROPA FI, Clase B*66641283*Semester 2 2020*2020-07-01*2020-12-31*4929*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*0.81*-0.28**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*66641283*Trimester 3 2020*2020-07-01*2020-09-30*4929*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*0.44*-0.24**1575746.44*985*0.0*13114513*false*8.3227*0.44*0.0*0.44*0.03*0.01*18.16*0.49*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*66641283*Semester 1 2020*2020-01-01*2020-06-30*4929*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*2.47*-0.54**1695127.53*1024*0.0*14106933*false*8.322*0.87*0.0*0.87*0.05*17.98*27.18*0.49*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*66641283*Trimester 1 2020*2020-01-01*2020-03-31*4929*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*1.57*-0.58**1698576.78*1019*0.0*11981093*false*7.0536*0.43*0.0*0.43*0.02*-29.94*42.15*0.49*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
