fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Semester 2 2009*2009-07-01*2009-12-31*2164*informesfondos@gruposantander.com*Aa2*Alto*0.16*0.24**43933935.28*9990*0.0*270429398*false*6.1554***0.96*0.05*4.55*15.52*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Trimester 3 2012*2012-07-01*2012-09-30*2164*informesfondos@gruposantander.com*Baa2*Alto*0.13*0.18**33044392.92*8012*0.0*197138106*false*5.9659*0.48**0.48*0.03*6.06*17.51*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Semester 1 2012*2012-01-01*2012-06-30*2164*informesfondos@gruposantander.com*Baa2*Alto*0.22*0.26**34019846.72*8211*0.0*191367809*false*5.6252*0.95**0.95*0.05*-3.92*19.27*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Trimester 1 2012*2012-01-01*2012-03-31*2164*informesfondos@gruposantander.com*Aa3*Alto*0.08*0.27**35307941.94*8480*0.0*206708621*false*5.8545*0.47**0.47*0.02*3.35*15.42*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Semester 2 2011*2011-07-01*2011-12-31*2164*informesfondos@gruposantander.com*Aa3*Alto*0.32*1.42**37076485.16*8759*0.0*210027633*false*5.6647*0.96**0.96*0.05*9.31*26.52*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 3 2013*2013-07-01*2013-09-30*2164*informesfondos@gruposantander.com*Baa2*Alto*0.26*0.05**37803110.94*9888*0.0*267293218*false*7.0707*0.48*[]*0.48*0.04*6.15*9.79*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 3 2013*2013-07-01*2013-09-30*2164*informesfondos@gruposantander.com*Baa2*Alto*0.26*0.05**16060992.3*2228*0.0*113781532*false*7.0843*0.35*[]*0.35*0.04*6.29*9.79*0.4*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 1 2013*2013-01-01*2013-06-30*2164*informesfondos@gruposantander.com*Baa2*Alto*0.23*0.04**39238804.46*9789*0.0*261359208*false*6.6607*0.94*[]*0.94*0.06*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 1 2013*2013-01-01*2013-06-30*2164*informesfondos@gruposantander.com*Baa2*Alto*0.23*0.04**10966561.81*1777*0.0*73096388*false*6.6654*0.3*[]*0.3*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Trimester 1 2013*2013-01-01*2013-03-31*2164*informesfondos@gruposantander.com*Baa2*Alto*0.0*0.01**31993629.36*7831*0.0*213900034*false*6.6857*0.47**0.47*0.02*9.32*8.8*0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Semester 2 2012*2012-07-01*2012-12-31*2164*informesfondos@gruposantander.com*Baa2*Alto*1.54*0.15**31695321.21*7831*0.0*193831500*false*6.1155*0.96**0.96*0.05*2.51*11.46*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 2 2014*2014-07-01*2014-12-31*2164*comsanassetm@gruposantander.com*Baa1*5 en una escala del 1 al 7*0.53*0.01**33121754.1*10109*0.0*266552748*false*8.0477*0.96*[]*0.96*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 2 2014*2014-07-01*2014-12-31*2164*comsanassetm@gruposantander.com*Baa1*5 en una escala del 1 al 7*0.53*0.01**36852901.98*4382*0.0*299055095*false*8.1148*0.71*[]*0.71*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 3 2014*2014-07-01*2014-09-30*2164*comsanassetm@gruposantander.com*Baa1*6 en una escala del 1 al 7*0.0*0.01**34153815.33*10156*0.0*267249173*false*7.8249*0.48*[]*0.48*0.04*0.47*9.42*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 3 2014*2014-07-01*2014-09-30*2164*comsanassetm@gruposantander.com*Baa1*6 en una escala del 1 al 7*0.0*0.01**33122716.33*4036*0.0*261005184*false*7.8799*0.35*[]*0.35*0.04*0.6*9.42*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 1 2014*2014-01-01*2014-06-30*2164*informesfondos@gruposantander.com*Baa1*6 en una escala del 1 al 7*0.68*0.14**34578241.4*10155*0.0*269293140*false*7.7879*0.94*[]*0.94*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 1 2014*2014-01-01*2014-06-30*2164*informesfondos@gruposantander.com*Baa1*6 en una escala del 1 al 7*0.68*0.14**30848147.2*3787*0.0*241628110*false*7.8328*0.69*[]*0.69*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 1 2014*2014-01-01*2014-03-31*2164*informesfondos@gruposantander.com*Baa1*6 en una escala del 1 al 7*0.0*0.14**35573467.17*10087*0.0*267561266*false*7.5214*0.47*[]*0.47*0.04*2.16*10.12*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 1 2014*2014-01-01*2014-03-31*2164*informesfondos@gruposantander.com*Baa1*6 en una escala del 1 al 7*0.0*0.14**26534152.69*3368*0.0*200468566*false*7.5551*0.34*[]*0.34*0.04*2.29*10.12*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 2 2015*2015-07-01*2015-12-31*2164*comsanassetm@gruposantander.com*A 3*5 en una escala del 1 al 7*0.09*0.0**32603413.95*12699*0.0*295430791*false*9.0613*0.96*[]*0.96*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 2 2015*2015-07-01*2015-12-31*2164*comsanassetm@gruposantander.com*A 3*5 en una escala del 1 al 7*0.09*0.0**77169899.11*9576*0.0*708521755*false*9.1813*0.7*[]*0.7*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 3 2015*2015-07-01*2015-09-30*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.0*0.0**32162629.36*11892*0.0*277585158*false*8.6307*0.48*[]*0.48*0.04*-5.23*23.15*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 3 2015*2015-07-01*2015-09-30*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.0*0.0**62809545.64*7819*0.0*548585963*false*8.7341*0.35*[]*0.35*0.04*-5.12*23.15*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 1 2015*2015-01-01*2015-06-30*2164*comsanassetm@gruposantander.com*A 3*5 en una escala del 1 al 7*0.04*0.0**32250972.13*11577*0.0*293716905*false*9.1072*0.94*[]*0.94*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 1 2015*2015-01-01*2015-06-30*2164*comsanassetm@gruposantander.com*A 3*5 en una escala del 1 al 7*0.04*0.0**56403230.76*7129*0.0*519191132*false*9.205*0.69*[]*0.69*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 1 2015*2015-01-01*2015-03-31*2164*comsanassetm@gruposantander.com*Baa1*5 en una escala del 1 al 7*0.02*0.0**32768019.22*11059*0.0*305472190*false*9.3223*0.47*[]*0.47*0.04*15.84*13.23*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 1 2015*2015-01-01*2015-03-31*2164*comsanassetm@gruposantander.com*Baa1*5 en una escala del 1 al 7*0.02*0.0**49437440.1*6074*0.0*465240760*false*9.4107*0.34*[]*0.34*0.04*15.97*13.23*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 2 2016*2016-07-01*2016-12-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.3*-0.05**29509582.67*12233*0.0*253506831*false*8.5907*0.96*[]*0.96*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 2 2016*2016-07-01*2016-12-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.3*-0.05**65816898.76*8779*0.0*575776722*false*8.7482*0.7*[]*0.7*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*S. Dividendo Europa - Clase D*82068164*Semester 2 2016*2016-07-01*2016-12-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.3*-0.05**73673.87*18*0.0*681582*true*9.2513*0.21*[]*0.21*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 3 2016*2016-07-01*2016-09-30*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.0*0.0**30804507.94*12677*0.0*258487961*false*8.3912*0.48*[]*0.48*0.04*1.58*10.92*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 3 2016*2016-07-01*2016-09-30*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.0*0.0**73008045.42*9464*0.0*623077606*false*8.5344*0.35*[]*0.35*0.04*1.71*10.92*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 1 2016*2016-01-01*2016-06-30*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.23*0.0**31849673.78*12922*0.0*263092217*false*8.2604*0.95*[]*0.95*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 1 2016*2016-01-01*2016-06-30*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.23*0.0**77924493.79*9810*0.0*653846853*false*8.3908*0.7*[]*0.7*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 1 2016*2016-01-01*2016-03-31*2164*comsanassetm@gruposantander.com*A 3*5 en una escala del 1 al 7*0.0*0.0**32696519.6*13009*0.0*278229054*false*8.5094*0.47*[]*0.47*0.04*-6.09*20.8*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 1 2016*2016-01-01*2016-03-31*2164*comsanassetm@gruposantander.com*A 3*5 en una escala del 1 al 7*0.0*0.0**82575123.27*10055*0.0*712865656*false*8.6329*0.35*[]*0.35*0.04*-5.97*20.8*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 2 2017*2017-07-01*2017-12-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.44*-0.27**25799993.03*11398*0.0*230926492*false*8.9506*0.96*[]*0.96*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 2 2017*2017-07-01*2017-12-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.44*-0.27**55649278.28*8061*0.0*509770927*false*9.1604*0.71*[]*0.71*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*S. Dividendo Europa - Clase D*82068164*Semester 2 2017*2017-07-01*2017-12-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.44*-0.27**790354.73*127*0.1*7468140*true*9.4491*0.71*[]*0.71*0.08*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa - Clase Cartera*82068164*Semester 2 2017*2017-07-01*2017-12-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.44*-0.27**399664.87*20*0.0*3939001*false*9.8558*0.03*[]*0.03*0.01*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 3 2017*2017-07-01*2017-09-30*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.11*-0.27**27843862.18*11685*0.0*250269262*false*8.9883*0.48*[]*0.48*0.04*0.47*8.33*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 3 2017*2017-07-01*2017-09-30*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.11*-0.27**56815936.68*8096*0.0*521990493*false*9.1874*0.35*[]*0.35*0.04*0.6*8.33*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*S. Dividendo Europa - Clase D*82068164*Trimester 3 2017*2017-07-01*2017-09-30*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.11*-0.27**1113307.43*98*0.0*10667248*true*9.5816*0.35*[]*0.35*0.04*0.6*8.33*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 1 2017*2017-01-01*2017-06-30*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.0*-0.27**28177106.4*11836*0.0*252080123*false*8.9463*0.94*[]*0.94*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Semester 1 2017*2017-01-01*2017-06-30*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.0*-0.27**58298025.52*8207*0.0*532430696*false*9.1329*0.69*[]*0.69*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*S. Dividendo Europa - Clase D*82068164*Semester 1 2017*2017-01-01*2017-06-30*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.0*-0.27**1023536.96*91*0.14*9748945*true*9.5248*0.69*[]*0.69*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 1 2017*2017-01-01*2017-03-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.0*-0.27**28491450.44*11893*0.0*255068380*false*8.9525*0.47*[]*0.47*0.04*4.21*6.95*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 1 2017*2017-01-01*2017-03-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.0*-0.27**59799368.18*8363*0.0*545838546*false*9.1278*0.35*[]*0.35*0.04*4.34*6.95*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*S. Dividendo Europa - Clase D*82068164*Trimester 1 2017*2017-01-01*2017-03-31*2164*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.0*-0.27**291641.31*56*0.0*2815169*true*9.6528*0.34*[]*0.34*0.04*4.34*6.95*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Trimester 3 2018*2018-07-01*2018-09-30*2164*comsanassetm@gruposantander.com*A2*5 en una escala del 1 al 7*0.19*-0.3**23045994.08*10499*0.0*201664618*false*8.7505*0.48*[]*0.48*0.04*0.7*7.02*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase B*82068164*Trimester 3 2018*2018-07-01*2018-09-30*2164*comsanassetm@gruposantander.com*A2*5 en una escala del 1 al 7*0.19*-0.3**45040100.15*6900*0.0*404873073*false*8.9892*0.35*[]*0.35*0.04*0.83*7.02*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase D*82068164*Trimester 3 2018*2018-07-01*2018-09-30*2164*comsanassetm@gruposantander.com*A2*5 en una escala del 1 al 7*0.19*-0.3**2107022.11*139*0.0*19029698*true*9.0316*0.35*[]*0.35*0.04*0.83*7.02*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase Cartera*82068164*Trimester 3 2018*2018-07-01*2018-09-30*2164*comsanassetm@gruposantander.com*A2*5 en una escala del 1 al 7*0.19*-0.3**1992915.18*24*0.0*19419214*false*9.7441*0.11*[]*0.11*0.03*1.09*7.02*0.14*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*Santander Dividendo Europa, F.I. - Clase A*82068164*Semester 1 2018*2018-01-01*2018-06-30*2164*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.4*-0.29**23720122.38*10802*0.0*206111467*false*8.6893*0.94*[]*0.94*0.07*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
