fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 2 2009*2009-07-01*2009-12-31*529*informesfondos@gruposantander.com*Aa2*Medio*0.44*0.24**4271935.02*1388*0.0*56307677*false*13.1808***0.63*0.05*0.6*0.95*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 1 2014*2014-01-01*2014-03-31*529*informesfondos@gruposantander.com*Baa1*3 en una escala del 1 al 7*0.54*0.19**4282288.35*1368*0.0*67089019*false*15.6666*0.31**0.31*0.02*2.84*2.46*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 2 2015*2015-07-01*2015-12-31*529*comsanassetm@gruposantander.com*A 3*3 en una escala del 1 al 7*0.74*-0.22**10017030.08*3356*0.0*158530346*false*15.8261*0.63**0.63*0.05*0.89*3.62*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 3 2015*2015-07-01*2015-09-30*529*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.5*-0.15**10830691.91*3630*0.0*169900729*false*15.687*0.32**0.32*0.03*-1.5*4.97*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 1 2015*2015-01-01*2015-06-30*529*comsanassetm@gruposantander.com*A 3*3 en una escala del 1 al 7*0.61*-0.03**11673689.36*3860*0.0*185911569*false*15.9257*0.62**0.62*0.05*-3.21*4.83*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 1 2015*2015-01-01*2015-03-31*529*comsanassetm@gruposantander.com*Baa1*3 en una escala del 1 al 7*0.07*0.01**11384191.45*3566*0.0*187318606*false*16.4543*0.31**0.31*0.02*3.02*3.07*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 2 2016*2016-07-01*2016-12-31*529*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.12*-0.73**7899097.95*2719*0.0*125845194*false*15.9316*0.63**0.63*0.05*0.99*2.13*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 3 2016*2016-07-01*2016-09-30*529*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.11*-0.12**8390131.64*2885*0.0*132359314*false*15.7756*0.31**0.31*0.03*0.85*2.53*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 1 2016*2016-01-01*2016-06-30*529*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.15*-0.26**8704555.57*2992*0.0*136157139*false*15.6421*0.62**0.62*0.05*-0.11*4.55*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 1 2016*2016-01-01*2016-03-31*529*comsanassetm@gruposantander.com*A 3*3 en una escala del 1 al 7*0.07*0.0**9263868.49*3151*0.0*145059922*false*15.6587*0.31**0.31*0.02*-1.06*5.07*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*Inveractivo Confianza, F.I.*81009284*Semester 2 2017*2017-07-01*2017-12-31*529*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.39*-0.27**6660056.76*2294*0.0*106726455*false*16.0249*0.63**0.63*0.05*-0.78*1.42*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*Inveractivo Confianza, F.I.*81009284*Trimester 3 2017*2017-07-01*2017-09-30*529*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.0*-0.27**6813028.48*2363*0.0*110039121*false*16.1513*0.32**0.32*0.03*0.65*1.93*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 1 2017*2017-01-01*2017-06-30*529*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.94*-0.4**6982633.72*2427*0.0*112045912*false*16.0464*0.62**0.62*0.05*0.05*2.4*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 1 2017*2017-01-01*2017-03-31*529*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.5*-0.38**7354634.2*2547*0.0*117952100*false*16.0378*0.31**0.31*0.02*0.67*1.67*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*Inveractivo Confianza, F.I.*81009284*Trimester 3 2018*2018-07-01*2018-09-30*529*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7*0.29*-0.3**5762329.71*2040*0.0*90963961*false*15.786*0.32**0.32*0.03*-0.49*1.45*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*Inveractivo Confianza, F.I.*81009284*Semester 1 2018*2018-01-01*2018-06-30*529*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7*1.18*-0.29**5971780.53*2106*0.0*94733660*false*15.8636*0.62**0.62*0.05*-0.62*3.06*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*Inveractivo Confianza, F.I.*81009284*Trimester 1 2018*2018-01-01*2018-03-31*529*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.34*-0.28**6176073.29*2169*0.0*98583100*false*15.9621*0.31**0.31*0.02*-0.39*2.71*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*Inveractivo Confianza, F.I.*81009284*Semester 2 2017*2017-07-01*2017-12-31*529*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.39*-0.27**6660056.76*2294*0.0*106726455*false*16.0249*0.63**0.63*0.05*-0.78*1.42*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*Inveractivo Confianza, F.I.*81009284*Semester 2 2019*2019-07-01*2019-12-31*529*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7*0.89*-0.34**4829255.01*1721*0.0*77430984*false*16.0337*0.63**0.63*0.05*-0.25*1.87*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*Inveractivo Confianza, F.I.*81009284*Trimester 3 2019*2019-07-01*2019-09-30*529*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7*1.08*-0.3**5090602.88*1801*0.0*81827745*false*16.0743*0.32**0.32*0.03*0.91*2.08*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*Inveractivo Confianza, F.I.*81009284*Semester 1 2019*2019-01-01*2019-06-30*529*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7*2.17*-0.3**5226305.08*1839*0.0*83247587*false*15.9286*0.62**0.62*0.05*0.62*1.95*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*Inveractivo Confianza, F.I.*81009284*Trimester 1 2019*2019-01-01*2019-03-31*529*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7*1.34*-0.3**5337734.54*1872*0.0*84500608*false*15.8308*0.31**0.31*0.02*2.06*2.16*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
