fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Semester 2 2010*2010-07-01*2010-12-31*4198*clientes@mutuactivos.com*AAA*Muy Alto*0.07*0.43**423989.57*138*0.0*42878529*false*101.1311***0.3*0.03*-3.23*7.23*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Trimester 1 2012*2012-01-01*2012-03-31*4198*clientes@mutuactivos.com*AA-*Muy Alto*0.09*0.29**423181.7*136*0.0*44225861*false*104.508*0.15**0.15*0.01*13.79*6.61*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Trimester 3 2013*2013-07-01*2013-09-30*4198*clientes@mutuactivos.com*A+*6,en una escala de 1 a 7.*0.0*0.05**722743.28*157*0.0*89952093*false*124.4593*0.15**0.15*0.01*3.05*2.34*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Semester 1 2013*2013-01-01*2013-06-30*4198*clientes@mutuactivos.com*A1+*6 en una escala de 1 a 7.*0.02*0.05**423487.92*135*0.0*51148564*false*120.7793*0.3**0.3*0.02*1.85*3.38*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Trimester 1 2013*2013-01-01*2013-03-31*4198*clientes@mutuactivos.com*A1+*Muy Alto*0.0*0.02**423095.42*135*0.0*50172434*false*118.5842*0.15**0.15*0.01*1.52*3.24*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Semester 2 2012*2012-07-01*2012-12-31*4198*clientes@mutuactivos.com*A1+*Muy Alto*0.12*0.1**423095.42*135*0.0*49423295*false*116.8136*0.3**0.3*0.02*7.55*3.79*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO DEUDA SUBORDINADAFI*-8589205*Semester 2 2014*2014-07-01*2014-12-31*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.36*0.0**965245.19*250*0.0*132914518*false*137.7003*0.3**0.3*0.03*1.11*1.1*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO DEUDA SUBORDINADAFI*-8589205*Trimester 3 2014*2014-07-01*2014-09-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.04*0.01**965266.59*251*0.0*131454114*false*136.1843*0.15**0.15*0.01*0.16*1.12*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO DEUDA SUBORDINADAFI*-8589205*Semester 1 2014*2014-01-01*2014-06-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.21*0.13**965664.82*252*0.0*131297538*false*135.966*0.3**0.3*0.02*2.47*0.98*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO DEUDA SUBORDINADAFI*-8589205*Trimester 1 2014*2014-01-01*2014-03-31*4198*clientes@mutuactivos.com*A+*5,en una escala de 1 a 7.*0.18*0.12**965664.82*252*0.0*128133009*false*132.6889*0.15**0.15*0.01*2.9*1.47*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO DEUDA SUBORDINADAFI*-8589205*Semester 2 2015*2015-07-01*2015-12-31*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.12*0.0**960217.14*242*0.0*135229902*false*140.8326*0.3**0.3*0.03*1.22*1.44*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO DEUDA SUBORDINADAFI*-8589205*Trimester 3 2015*2015-07-01*2015-09-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.12*0.0**961506.47*244*0.0*133774256*false*139.1299*0.15**0.15*0.01*0.06*1.61*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO DEUDA SUBORDINADAFI*-8589205*Semester 1 2015*2015-01-01*2015-06-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.18*0.0**961793.35*247*0.0*133736045*false*139.0486*0.3**0.3*0.03*-0.79*1.55*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO DEUDA SUBORDINADAFI*-8589205*Trimester 1 2015*2015-01-01*2015-03-31*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.07*0.0**963111.61*250*0.0*134980996*false*140.1509*0.15**0.15*0.01*1.78*1.37*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO DEUDA SUBORDINADAFI*-8589205*Semester 2 2016*2016-07-01*2016-12-31*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.0*-0.19**898662.87*162*0.0*128081371*false*142.5244*0.3**0.3*0.02*-0.33*0.62*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO DEUDA SUBORDINADAFI*-8589205*Trimester 3 2016*2016-07-01*2016-09-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.0*0.0**953172.89*232*0.0*136305097*false*143.0014*0.15**0.15*0.01*1.21*0.8*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO DEUDA SUBORDINADAFI*-8589205*Semester 1 2016*2016-01-01*2016-06-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.07*0.0**954146.32*236*0.0*134814466*false*141.293*0.3**0.3*0.02*0.56*1.11*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO DEUDA SUBORDINADAFI*-8589205*Trimester 1 2016*2016-01-01*2016-03-31*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.04*0.0**956853.3*238*0.0*134445917*false*140.5084*0.15**0.15*0.01*-0.23*2.12*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Semester 2 2017*2017-07-01*2017-12-31*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.51*-0.27**168595.49*111*0.0*25474206*false*151.0966*0.3**0.3*0.02*3.18*2.79*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Trimester 3 2017*2017-07-01*2017-09-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.42*-0.4**153192.19*79*0.0*22433034*false*146.4372*0.15**0.15*0.01***0.18*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Semester 1 2017*2017-01-01*2017-06-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.0*-0.41**150751.68*71*0.0*21668957*false*143.7394*0.25**0.25*0.01***0.11*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO DEUDA SUBORDINADAFI*-8589205*Trimester 1 2017*2017-01-01*2017-03-31*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.03*-0.4**505031.6*125*0.0*72508939*false*143.5731*0.15**0.15*0.0*0.74*0.69*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Semester 2 2018*2018-07-01*2018-12-31*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.11*-0.4**165153.23*108*0.0*23653208*false*143.2198*0.3*0.0*0.3*0.03*-3.66*4.56*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Trimester 3 2018*2018-07-01*2018-09-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.0*-0.4**165251.21*110*0.0*24566749*false*148.663*0.15**0.15*0.01*1.82*2.61*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Semester 1 2018*2018-01-01*2018-06-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.0*-0.39**165267.38*110*0.0*24130993*false*146.0118*0.3**0.3*0.02*-2.69*4.46*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Trimester 1 2018*2018-01-01*2018-03-31*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.0*-0.39**165918.93*112*0.0*24895841*false*150.0482*0.15**0.15*0.01*-0.69*3.91*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Semester 2 2019*2019-07-01*2019-12-31*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.2*-0.41**161833.63*106*0.0*26198442*false*161.885*0.3*0.0*0.3*0.03*2.19*2.1*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Trimester 3 2019*2019-07-01*2019-09-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.08*-0.43**161833.63*106*0.0*25637934*false*158.4215*0.15*0.0*0.15*0.01*1.51*2.85*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Semester 1 2019*2019-01-01*2019-06-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.24*-0.4**165110.89*107*0.0*25768804*false*156.0697*0.3*0.0*0.3*0.03*3.79*3.55*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Trimester 1 2019*2019-01-01*2019-03-31*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.13*-0.39**165110.89*107*0.0*24827958*false*150.3714*0.15*0.0*0.15*0.01*4.99*4.38*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Semester 2 2020*2020-07-01*2020-12-31*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.1*-0.34**161281.27*110*0.0*26371278*false*163.5111*0.3*0.0*0.3*0.03*3.03*2.62*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Trimester 3 2020*2020-07-01*2020-09-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.01*-0.25**161413.14*111*0.0*25617890*false*158.7101*0.15*0.0*0.15*0.01*2.82*3.26*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Semester 1 2020*2020-01-01*2020-06-30*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.13*-0.33**161833.63*106*0.0*24979973*false*154.3559*0.3*0.0*0.3*0.03*10.1*10.0*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO B.SUBORDINADOS IIFI*-8589205*Trimester 1 2020*2020-01-01*2020-03-31*4198*clientes@mutuactivos.com*A+*4, en una escala de 1 a 7.*0.06*-0.45**161833.63*106*0.0*22688427*false*140.196*0.15*0.0*0.15*0.01*-13.4*18.82*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
