fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 3 2009*2009-07-01*2009-09-30*2050*gestora@fineco.com*AA  (S&P)*alto*0.0*0.22**838739.99*234*0.0*6542710*false*7.8006***0.44*0.04*21.35*19.15*0.49*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 3 2013*2013-07-01*2013-09-30*2050*gestora@fineco.com*A+  (S&P)*alto*0.0*0.01**2173126.95*373*0.0*19548180*false*8.9954*0.44**0.44*0.04*9.66*12.63*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 1 2013*2013-01-01*2013-06-30*2050*gestora@fineco.com*A+  (S&P)*alto*0.5*0.03**2053345.13*355*0.0*16842955*false*8.2027*0.87**0.87*0.07*1.79*17.32*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 1 2013*2013-01-01*2013-03-31*2050*gestora@fineco.com*A+  (S&P)*alto*0.07*0.03**1866505.75*336*0.0*15041349*false*8.0586*0.43**0.43*0.04*0.81*15.12*0.47*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 2 2014*2014-07-01*2014-12-31*2050*gestora@fineco.com*BBB+*6 en una escala de 1 a 7*0.49*0.0**3418022.68*516*0.0*32827719*false*9.6043*0.88**0.88*0.08*-3.8*22.95*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 3 2014*2014-07-01*2014-09-30*2050*gestora@fineco.com*A+  (S&P)*6 en una escala de 1 a 7*0.0*0.0**3572113.43*513*0.0*35663113*false*9.9838*0.44**0.44*0.04*-1.03*14.91*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 1 2014*2014-01-01*2014-06-30*2050*gestora@fineco.com*A+  (S&P)*alto*0.33*0.13**3666261.13*501*0.0*36985436*false*10.0881*0.87**0.87*0.07*2.78*11.21*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 1 2014*2014-01-01*2014-03-31*2050*gestora@fineco.com*A+  (S&P)*alto*0.0*0.13**3489278.7*494*0.0*34246566*false*9.8148*0.43**0.43*0.04*1.62*15.1*0.47*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 2 2015*2015-07-01*2015-12-31*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.18*0.0**4005954.57*603*0.0*41074491*false*10.2534*0.88**0.88*0.07*5.91*19.64*0.47*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 3 2015*2015-07-01*2015-09-30*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.0*0.0**3968453.96*592*0.0*38419632*false*9.6813*0.44**0.44*0.04*-11.31*29.18*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 1 2015*2015-01-01*2015-06-30*2050*gestora@fineco.com*BBB+*6 en una escala de 1 a 7*0.15*0.0**3689648.13*569*0.0*40275287*false*10.9158*0.87**0.87*0.07*-4.64*18.51*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 1 2015*2015-01-01*2015-03-31*2050*gestora@fineco.com*BBB+*6 en una escala de 1 a 7*0.0*0.0**3762004.5*529*0.0*43061281*false*11.4464*0.43**0.43*0.04*19.18*18.5*0.47*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 2 2016*2016-07-01*2016-12-31*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.49*0.0**3075183.99*513*0.0*31849158*false*10.3568*0.88**0.88*0.05*10.35*11.91*0.47*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 3 2016*2016-07-01*2016-09-30*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.0*0.0**3299713.54*531*0.0*30969626*false*9.3855*0.44**0.44*0.03*5.79*15.91*0.47*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 1 2016*2016-01-01*2016-06-30*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.34*0.0**3620597.4*576*0.0*32122316*false*8.8721*0.87**0.87*0.05*-4.65*28.46*0.46*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 1 2016*2016-01-01*2016-03-31*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.0*0.0**3927054.16*605*0.0*36540152*false*9.3047*0.44**0.44*0.02*-9.25*28.05*0.46*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 2 2017*2017-07-01*2017-12-31*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.74*-0.3**4053372.42*694*0.0*45965559*false*11.3401*0.88**0.88*0.02*-1.48*7.84*0.47*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 3 2017*2017-07-01*2017-09-30*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.29*-0.3**4073147.75*683*0.0*46885407*false*11.5109*0.44**0.44*0.01*3.0*9.39*0.47*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 1 2017*2017-01-01*2017-06-30*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.2*-0.3**3059889.86*587*0.0*34194586*false*11.1751*0.87**0.87*0.03*0.82*10.59*0.46*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 1 2017*2017-01-01*2017-03-31*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.0*0.0**2800397.54*540*0.0*31041271*false*11.0846*0.43**0.43*0.02*7.03*9.66*0.46*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 2 2018*2018-07-01*2018-12-31*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.13*-0.3**3431428.83*524*0.0*31549145*false*9.1942*0.88**0.88*0.02*-15.19*17.45*0.46*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 3 2018*2018-07-01*2018-09-30*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.04*-0.3**3650313.81*573*0.0*39574453*false*10.8414*0.44**0.44*0.01*-2.08*9.92*0.46*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 1 2018*2018-01-01*2018-06-30*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.73*-0.3**3864692.62*615*0.0*42788676*false*11.0717*0.87**0.87*0.02*0.42*12.13*0.46*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 1 2018*2018-01-01*2018-03-31*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.0*-0.3**3804790.54*635*0.0*41949944*false*11.0256*0.43**0.43*0.01*-2.77*14.14*0.45*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 3 2019*2019-07-01*2019-09-30*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.45*-0.3**4281931.08*717*0.0*43945600*false*10.263*0.32*0.01*0.33*0.01*0.33*14.61*0.33*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 1 2019*2019-01-01*2019-06-30*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.9*-0.3**4325692.67*736*0.0*44248844*false*10.2293*0.63*0.34*0.97*0.02*1.78*12.54*0.32*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 1 2019*2019-01-01*2019-03-31*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.93*-0.3**4813957.07*726*0.0*48382779*false*10.0505*0.32*0.26*0.58*0.01*9.31*14.49*0.33*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 2 2018*2018-07-01*2018-12-31*2050*gestora@fineco.com*A-*6 en una escala de 1 a 7*0.13*-0.3**3431428.83*524*0.0*31549145*false*9.1942*0.88**0.88*0.02*-15.19*17.45*0.46*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 2 2020*2020-07-01*2020-12-31*2050*gestora@fineco.com*A+*6 en una escala de 1 a 7*36.76*-0.4**2549534.63*457*0.0*24761474*false*9.7122*0.63**0.63*0.02*14.35*21.95*0.33*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 3 2020*2020-07-01*2020-09-30*2050*gestora@fineco.com*A+*6 en una escala de 1 a 7*19.86*-0.4**3059443.92*583*0.0*25986050*false*8.4937*0.32**0.32*0.01*-2.26*19.75*0.33*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 1 2020*2020-01-01*2020-06-30*2050*gestora@fineco.com*A+*6 en una escala de 1 a 7*56.8*-0.4**4100024.45*774*0.0*35630902*false*8.6904*0.62**0.62*0.02*15.67*31.4*0.33*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 1 2020*2020-01-01*2020-03-31*2050*gestora@fineco.com*A+*6 en una escala de 1 a 7*35.76*-0.4**4551490.25*801*0.0*34196198*false*7.5132*0.31**0.31*0.01*-29.78*46.98*0.33*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
