fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Trimester 3 2009*2009-07-01*2009-09-30*3180*departamento.marketing@credit-suisse.com*A*ALTO*2.02*0.2**649726.77*138*0.0*8100447*false*12.4675***0.3*0.03****CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Trimester 3 2014*2014-07-01*2014-09-30*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*3 en una escala del 1 al 7.*1.69*0.01**1075460.69*199*0.0*15585256*false*14.4917*0.34*0.17*0.51*0.03*2.08*8.22*0.46*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Semester 1 2014*2014-01-01*2014-06-30*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*4 en una escala del 1 al 7.*1.93*0.14**1055721.2*196*0.0*14988150*false*14.1971*0.67*0.47*1.14*0.05*1.72*11.31*0.45*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Trimester 1 2014*2014-01-01*2014-03-31*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*4 en una escala del 1 al 7.*0.86*0.13**1075170.01*189*0.0*15005949*false*13.9568*0.33*0.34*0.67*0.02*4.39*14.02*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Semester 2 2015*2015-07-01*2015-12-31*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*3.19*0.0**1433936.16*280*0.0*21890088*false*15.2657*0.65*-0.59*0.06*0.05*-1.8*4.99*0.42*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Trimester 3 2015*2015-07-01*2015-09-30*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*1.68*0.0**1432116.59*287*0.0*22263311*false*15.5457*0.32*-0.45*-0.13*0.03*-5.18*10.47*0.43*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Semester 1 2015*2015-01-01*2015-06-30*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*1.9*0.0**1366687.16*283*0.0*22406989*false*16.3951*0.66*0.56*1.22*0.05*-3.25*10.97*0.47*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Trimester 1 2015*2015-01-01*2015-03-31*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*5 en una escala del 1 al 7.*0.67*0.0**1423296.49*246*0.0*24118235*false*16.9453*0.33*0.94*1.27*0.02*12.34*9.23*0.45*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Semester 2 2016*2016-07-01*2016-12-31*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*4.27*0.0**1378076.71*252*0.0*21405048*false*15.5326*0.66*0.11*0.77*0.05*2.32*6.86*0.47*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Trimester 3 2016*2016-07-01*2016-09-30*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*1.84*0.0**1301751.62*259*0.0*19761022*false*15.1803*0.32**0.32*0.03*1.6*6.05*0.44*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Semester 1 2016*2016-01-01*2016-06-30*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*3.55*0.0**1326665.16*265*0.0*19822787*false*14.9418*0.63**0.63*0.05*1.03*4.26*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Trimester 1 2016*2016-01-01*2016-03-31*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*1.45*0.0**1479518.53*280*0.0*21881380*false*14.7895*0.32**0.32*0.02*-3.12*6.04*0.4*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Trimester 3 2017*2017-07-01*2017-09-30*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*2.19*0.0**1393416.53*249*0.0*22163269*false*15.9057*0.33*0.21*0.54*0.03*3.1*5.7*0.47*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Semester 1 2017*2017-01-01*2017-06-30*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*4.0*0.0**1377652.73*247*0.0*21253727*false*15.4275*0.66**0.66*0.05*-0.61*6.08*0.49*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Trimester 1 2017*2017-01-01*2017-03-31*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*2.06*0.0**1374195.37*250*0.0*21330769*false*15.5224*0.33**0.33*0.02*-0.07*6.22*0.48*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Semester 2 2016*2016-07-01*2016-12-31*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*4.27*0.0**1378076.71*252*0.0*21405048*false*15.5326*0.66*0.11*0.77*0.05*2.32*6.86*0.47*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Semester 2 2018*2018-07-01*2018-12-31*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*3.89*-0.16**1512791.33*251*0.0*21953362*false*14.5118*0.67**0.67*0.05*-10.23*10.54*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Trimester 3 2018*2018-07-01*2018-09-30*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*2.03*-0.06**1626639.4*251*0.0*26296742*false*16.1663*0.34*0.09*0.43*0.03***0.42*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Semester 1 2018*2018-01-01*2018-06-30*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*4.01*-0.06**1569749.66*251*0.0*24755810*false*15.7705*0.66**0.66*0.05*0.21*6.19*0.42*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Trimester 1 2018*2018-01-01*2018-03-31*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*2.02*0.0**1541445.44*254*0.0*24258778*false*15.7377*0.32**0.32*0.02*-1.76*9.02*0.5*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Trimester 3 2019*2019-07-01*2019-09-30*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*2.3*0.0**1246417.05*233*0.0*18236686*false*14.6313*0.34**0.34*0.03*0.27*7.95*0.47*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Semester 1 2019*2019-01-01*2019-06-30*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*2.89*-0.26**1272314.93*237*0.0*18565464*false*14.5919*0.66**0.66*0.05*-1.45*5.9*0.43*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Trimester 1 2019*2019-01-01*2019-03-31*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*1.34*-0.42**1364337.55*241*0.0*20201086*false*14.8065*0.33**0.33*0.02*2.03*2.37*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Semester 2 2018*2018-07-01*2018-12-31*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*3.89*-0.16**1512791.33*251*0.0*21953362*false*14.5118*0.67**0.67*0.05*-10.23*10.54*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Semester 2 2020*2020-07-01*2020-12-31*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*2.29*-0.17**1046116.41*196*0.0*15120539*false*14.454*0.66**0.66*0.05*8.37*16.34*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Trimester 3 2020*2020-07-01*2020-09-30*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*0.96*-0.31**1058585.18*203*0.0*14119510*false*13.3381*0.33**0.33*0.03*0.85*7.51*0.44*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Semester 1 2020*2020-01-01*2020-06-30*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*3.01*-0.28**1085203.34*203*0.0*14352312*false*13.2255*0.66**0.66*0.05*2.1*4.53*0.42*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Trimester 1 2020*2020-01-01*2020-03-31*3180*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5 en una escala del 1 al 7.*1.55*0.0**1125769.52*216*0.0*14582785*false*12.9536*0.33**0.33*0.02*-10.21*15.02*0.48*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
