fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IM 93 RENTA, FI*"IM 93
                Renta F.I."*60180791*Semester 2 2009*2009-07-01*2009-12-31*373*info@gvcgaesco.es*BBB +*alto*1.14*0.36**545702.83*103*0.0*5852015*false*10.7238***0.76*0.05*0.53*7.43*0.46*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*"IM 93
                Renta F.I."*60180791*Trimester 3 2009*2009-07-01*2009-09-30*373*info@gvcgaesco.es*BBB +*alto*0.79*0.36**544241.02*102*0.0*5805341*false*10.6669***0.38*0.02*10.58*8.54*0.44*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*"IM 93
                Renta F.I."*60180791*Semester 1 2009*2009-01-01*2009-06-30*373*info@gvcgaesco.es*BBB +*alto*1.03*0.12**544238.01*99*0.0*5249833*false*9.6462***0.74*0.05*7.06*11.56*0.41*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 3 2012*2012-07-01*2012-09-30*373*info@gvcgaesco.es*BBB-*Muy alto*0.12*1.54**1417428.06*98*0.0*16124224*false*11.3757*0.15*0.0*0.15*0.03*4.76*15.02*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 1 2012*2012-01-01*2012-06-30*373*info@gvcgaesco.es*BBB-*Muy alto*0.48*0.94**1417429.87*98*0.0*15390942*false*10.8583*0.3*0.0*0.3*0.05*-4.33*14.86*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 1 2012*2012-01-01*2012-03-31*373*info@gvcgaesco.es*BBB-*Muy alto*0.26*0.95**1417441.88*105*0.0*16087076*false*11.3494*0.15*0.0*0.15*0.02*8.69*11.78*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 2 2011*2011-07-01*2011-12-31*373*info@gvcgaesco.es*A*Muy alto*0.26*1.04**1417615.3*115*0.0*14802748*false*10.442*0.3*0.0*0.3*0.05*4.2*21.96*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 3 2013*2013-07-01*2013-09-30*373*info@gvcgaesco.es*BB*5 (En una escala del 1 al 7)*0.03*0.93**1305416.73*99*0.0*16742240*false*12.8252*0.06*0.0*0.06*0.03*0.45*0.25*0.1*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 1 2013*2013-01-01*2013-06-30*373*info@gvcgaesco.es*BB*5 (En una escala del 1 al 7)*0.76*1.95**1305503.35*99*0.0*16668529*false*12.7679*0.27*0.0*0.27*0.05*4.09*6.62*0.16*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 1 2013*2013-01-01*2013-03-31*373*info@gvcgaesco.es*BB*Muy alto*0.12*1.9**1354371.65*96*0.0*16612321*false*12.2657*0.15*0.0*0.15*0.02*-0.03*10.96*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 2 2012*2012-07-01*2012-12-31*373*info@gvcgaesco.es*BB*Muy alto*0.28*1.51**1409715.87*98*0.0*17296982*false*12.2698*0.3*0.0*0.3*0.05*7.86*8.76*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 3 2014*2014-07-01*2014-09-30*373*info@gvcgaesco.es*BB*5 (En una escala del 1 al 7)*0.01*2.01**1267483.27*98*0.0*16484315*false*13.0055*0.06*0.0*0.06*0.03*0.23*0.12*0.1*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 1 2014*2014-01-01*2014-06-30*373*info@gvcgaesco.es*BB*5 (En una escala del 1 al 7)*0.01*2.36**1267486.7*100*0.0*16446105*false*12.9754*0.12*0.0*0.12*0.05*0.29*0.11*0.1*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 1 2014*2014-01-01*2014-03-31*373*info@gvcgaesco.es*BB*5 (En una escala del 1 al 7)*0.01*2.76**1267490.31*101*0.0*16398552*false*12.9378*0.06*0.0*0.06*0.02*0.44*0.17*0.09*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 2 2013*2013-07-01*2013-12-31*373*info@gvcgaesco.es*BB*5 (En una escala del 1 al 7)*0.04*1.95**1279122.12*103*0.0*16476848*false*12.8814*0.13*0.0*0.13*0.05*0.44*0.28*0.09*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 2 2015*2015-07-01*2015-12-31*373*info@gvcgaesco.es*BB+*5 (En una escala del 1 al 7)*0.0*0.2**1263175.5*102*0.0*16469436*false*13.0381*0.13*0.0*0.13*0.05*-0.01*0.05*0.1*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 3 2015*2015-07-01*2015-09-30*373*info@gvcgaesco.es*BB+*5 (En una escala del 1 al 7)*0.0*0.21**1263171.5*98*0.0*16471818*false*13.04*0.06*0.0*0.06*0.03*0.04*0.05*0.1*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 1 2015*2015-01-01*2015-06-30*373*info@gvcgaesco.es*BB+*5 (En una escala del 1 al 7)*0.0*0.91**1263345.77*96*0.0*16467258*false*13.0346*0.12*0.0*0.12*0.05*-0.01*0.09*0.09*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 1 2015*2015-01-01*2015-03-31*373*info@gvcgaesco.es*BB+*5 (En una escala del 1 al 7)*0.0*1.44**1267481.56*97*0.0*16523097*false*13.0362*0.06*0.0*0.06*0.02*0.15*0.08*0.09*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 2 2016*2016-07-01*2016-12-31*373*info@gvcgaesco.es*BB+*5 (En una escala del 1 al 7)*0.0*0.0**69182.69*100*0.0*902178*false*13.0405*0.13*0.0*0.13*0.05*0.11*0.34*0.1*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 3 2016*2016-07-01*2016-09-30*373*info@gvcgaesco.es*BB+*5 (En una escala del 1 al 7)*0.0*0.0**1263175.5*102*0.0*16454243*false*13.0261*0.06*0.0*0.06*0.03*-0.05*0.02*0.1*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 1 2016*2016-01-01*2016-06-30*373*info@gvcgaesco.es*BB+*5 (En una escala del 1 al 7)*0.0*0.04**1263175.5*102*0.0*16461709*false*13.032*0.12*0.0*0.12*0.05*-0.02*0.04*0.1*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 1 2016*2016-01-01*2016-03-31*373*info@gvcgaesco.es*BB+*5 (En una escala del 1 al 7)*0.0*0.07**1263175.5*102*0.0*16465365*false*13.0349*0.06*0.0*0.06*0.02*-0.02*0.03*0.09*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 2 2017*2017-07-01*2017-12-31*373*info@gvcgaesco.es*BBB-*5 (En una escala del 1 al 7)*0.0*0.0**272728.73*102*0.0*3532076*false*12.9509*0.13*0.0*0.13*0.05*-0.02*2.71*0.13*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 3 2017*2017-07-01*2017-09-30*373*info@gvcgaesco.es*BBB-*5 (En una escala del 1 al 7)*0.0*0.0**272728.73*102*0.0*3532895*false*12.9539*0.06*0.0*0.06*0.03*0.63*2.05*0.14*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 1 2017*2017-01-01*2017-06-30*373*info@gvcgaesco.es*BB+*5 (En una escala del 1 al 7)*0.0*0.0**15924.85*100*0.0*205001*false*12.873*0.13*0.0*0.13*0.05*-0.69*0.01*0.68*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 1 2017*2017-01-01*2017-03-31*373*info@gvcgaesco.es*BB+*5 (En una escala del 1 al 7)*0.0*0.0**15925.86*101*0.0*206438*false*12.9625*0.06*0.0*0.06*0.02*-0.6*0.34*0.32*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 2 2018*2018-07-01*2018-12-31*373*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.23*0.0**272726.98*99*0.0*3430155*false*12.5773*0.13*0.0*0.13*0.05*-4.25*6.6*0.14*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 3 2018*2018-07-01*2018-09-30*373*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.11*0.0**272726.98*99*0.0*3582544*false*13.136*0.06*0.0*0.06*0.03*0.5*3.82*0.13*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 1 2018*2018-01-01*2018-06-30*373*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.26*0.0**272726.98*99*0.0*3564883*false*13.0713*0.12*0.0*0.12*0.05*2.61*4.96*0.12*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 1 2018*2018-01-01*2018-03-31*373*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.12*0.0**272728.73*100*0.0*3474000*false*12.7382*0.06*0.0*0.06*0.02*-1.64*6.45*0.12*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
