fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UBS CORTO PLAZO,FI*UBS EUROGOBIERNOS C.PLAZO FI*85539096*Semester 2 2009*2009-07-01*2009-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Muy bajo*0.0*0.27**11790102.49*290*0.0*59811761*false*5.073***0.13*0.04*0.07*0.12*0.08*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Semester 1 2014*2014-01-01*2014-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo.*0.35*0.15**20968483.85*598*0.0*112842112*false*5.3815*0.25**0.25*0.05*1.44*1.22*0.17*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Trimester 1 2014*2014-01-01*2014-03-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo.*0.39*0.13**16442011.55*471*0.0*87223849*false*5.3049*0.12**0.12*0.02*1.9*0.72*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Semester 2 2013*2013-07-01*2013-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo.*0.23*0.06**10872824.98*349*0.0*56604196*false*5.206*0.25**0.25*0.05*1.67*0.72*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Semester 2 2015*2015-07-01*2015-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo.*0.0*0.0**27283842.31*673*0.0*150037088*false*5.4991*0.25**0.25*0.05*2.39*2.3*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Trimester 3 2015*2015-07-01*2015-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo.*0.0*0.0**25071594.47*649*0.0*134647658*false*5.3705*0.13**0.13*0.03*-1.18*2.91*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Semester 1 2015*2015-01-01*2015-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo.*0.2*0.0**25674818.11*658*0.0*139537775*false*5.4348*0.25**0.25*0.05*-0.95*2.81*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Trimester 1 2015*2015-01-01*2015-03-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo.*0.03*0.0**26793008.52*678*0.0*147013991*false*5.487*0.12**0.12*0.02*1.82*1.67*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Trimester 3 2016*2016-07-01*2016-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.0**16384964.44*542*0.0*89686972*false*5.4737*0.13**0.13*0.03*3.11*2.72*0.17*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Semester 1 2016*2016-01-01*2016-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.0**19620356.29*585*0.0*104152950*false*5.3084*0.25**0.25*0.05*-0.32*5.45*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Trimester 1 2016*2016-01-01*2016-03-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.0**22053488.42*633*0.0*117446430*false*5.3255*0.12**0.12*0.02*-3.16*6.45*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Semester 2 2015*2015-07-01*2015-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio-Bajo.*0.0*0.0**27283842.31*673*0.0*150037088*false*5.4991*0.25**0.25*0.05*2.39*2.3*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Trimester 3 2017*2017-07-01*2017-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.13*0.0**15175571.13*555*0.0*88950736*false*5.8614*0.13**0.13*0.03*1.37*1.81*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Semester 1 2017*2017-01-01*2017-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.09*0.0**15489527.2*558*0.0*89566974*false*5.7824*0.25**0.25*0.05*0.77*2.93*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Trimester 1 2017*2017-01-01*2017-03-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.0**15865040.2*561*0.0*91039698*false*5.7384*0.12**0.12*0.02*2.27*1.44*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Semester 2 2016*2016-07-01*2016-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.0**15073482.14*523*0.0*84581380*false*5.6113*0.25**0.25*0.05*2.51*2.0*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE P*85539096*Trimester 3 2018*2018-07-01*2018-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*0.0**8638367.54*391*0.0*51545259*false*5.967*0.13*[]*0.13*0.03*1.14*1.45*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE Q*85539096*Trimester 3 2018*2018-07-01*2018-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*0.0**6848992.67*152*0.0*40911725*false*5.9734*0.06*[]*0.06*0.03*1.21*1.45*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE P*85539096*Semester 1 2018*2018-01-01*2018-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*0.0**8547202.68*391*0.0*50424814*false*5.8996*0.28*[]*0.28*0.06*[]*[]*[]*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE Q*85539096*Semester 1 2018*2018-01-01*2018-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*0.0**6447512.9*126*0.0*38054226*false*5.9022*0.06*[]*0.06*0.02*[]*[]*[]*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Trimester 1 2018*2018-01-01*2018-03-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.04*0.0**14111367.7*509*0.0*84576976*false*5.9935*0.12**0.12*0.02*0.61*2.57*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO EURO FI*85539096*Semester 2 2017*2017-07-01*2017-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.03*0.0**14426477.97*512*0.0*85939139*false*5.957*0.25**0.25*0.05*1.63*1.51*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE P*85539096*Semester 2 2019*2019-07-01*2019-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.19*-0.31**8057648.41*415*0.0*49637494*false*6.1603*0.25*[]*0.25*0.05*[]*[]*[]*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE Q*85539096*Semester 2 2019*2019-07-01*2019-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.19*-0.31**4988322.94*137*0.0*30858837*false*6.1862*0.13*[]*0.13*0.05*[]*[]*[]*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE P*85539096*Trimester 3 2019*2019-07-01*2019-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*-0.27**8685270.9*430*0.0*52900773*false*6.0909*0.13*[]*0.13*0.03*0.47*1.15*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE Q*85539096*Trimester 3 2019*2019-07-01*2019-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*-0.27**5206540.2*144*0.0*31825678*false*6.1126*0.06*[]*0.06*0.03*0.53*1.16*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE P*85539096*Semester 1 2019*2019-01-01*2019-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*-0.08**8856743.94*425*0.0*53692319*false*6.0623*0.25*[]*0.25*0.05*[]*[]*[]*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE Q*85539096*Semester 1 2019*2019-01-01*2019-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*-0.08**5678891.26*142*0.0*34528503*false*6.0801*0.12*[]*0.12*0.05*[]*[]*[]*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE P*85539096*Trimester 1 2019*2019-01-01*2019-03-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*0.0**7751438.93*395*0.0*46308413*false*5.9742*0.12*[]*0.12*0.02*2.57*1.92*0.17*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE Q*85539096*Trimester 1 2019*2019-01-01*2019-03-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*0.0**5958168.61*146*0.0*35677613*false*5.988*0.06*[]*0.06*0.02*2.63*1.93*0.11*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE P*85539096*Semester 2 2020*2020-07-01*2020-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*-0.42**4707191.38*287*0.0*29546311*false*6.2768*0.25*[]*0.25*0.05*[]*[]*[]*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE Q*85539096*Semester 2 2020*2020-07-01*2020-12-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*-0.42**5885779.82*125*0.0*37192437*false*6.319*0.13*[]*0.13*0.05*[]*[]*[]*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE P*85539096*Trimester 3 2020*2020-07-01*2020-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*-0.52**5447561.77*319*0.0*33195350*false*6.0936*0.13*[]*0.13*0.03*2.23*2.44*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE Q*85539096*Trimester 3 2020*2020-07-01*2020-09-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*-0.52**5194166.94*129*0.0*31843975*false*6.1307*0.06*[]*0.06*0.03*2.29*2.44*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE P*85539096*Semester 1 2020*2020-01-01*2020-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*-0.4**5706845.51*334*0.0*34017045*false*5.9607*0.25*[]*0.25*0.05*[]*[]*[]*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE Q*85539096*Semester 1 2020*2020-01-01*2020-06-30*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*-0.4**4673340.1*130*0.0*28008589*false*5.9933*0.12*[]*0.12*0.05*[]*[]*[]*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE P*85539096*Trimester 1 2020*2020-01-01*2020-03-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*-0.34**6928947.6*353*0.0*37977974*false*5.4811*0.12*[]*0.12*0.02*-11.03*10.99*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS CORTO PLAZO,FI*UBS CORTO PLAZO FI_CLASE Q*85539096*Trimester 1 2020*2020-01-01*2020-03-31*4067*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*-0.34**4128293.67*124*0.0*22736757*false*5.5075*0.06*[]*0.06*0.02*-10.97*11.0*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
