fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO F.I.*81715617*Semester 2 2009*2009-07-01*2009-12-31*956*N/D*BBB+ (Fitch Rating)*BAJO*1.24*0.48**318278.34*1024*0.0*28609074*false*89.887***0.55*0.08*0.52*1.37*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Semester 2 2012*2012-07-01*2012-12-31*956*InformesParticipes@gesduero.es*B3  (MOODY'S)*2 (de una escala de 1 a 7)*0.79*0.57**366540.88*1372*0.0*35808129*false*97.692*0.55**0.55*0.08***0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Trimester 3 2012*2012-07-01*2012-09-30*956*InformesParticipes@gesduero.es*B1  (MOODY'S)*2 (de una escala de 1 a 7)*0.73*0.73**379630.95*1443*0.0*36309183*false*95.6434*0.27**0.27*0.04*3.65*5.48*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO, FI*81715617*Semester 1 2012*2012-01-01*2012-06-30*956*InformesParticipes@gesduero.es*B1  (MOODY'S)*BAJO*0.59*0.33**241383.04*781*0.0*22273887*false*92.2761*0.55**0.55*0.07*-1.95*4.5*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO F.I.*81715617*Trimester 1 2012*2012-01-01*2012-03-31*956*N/D*Baa3 (Moody´s)*BAJO*0.0*1.44**250980.0*816*0.0*23620789*false*94.1142*0.27*0.0*0.27*0.04*2.43*1.38*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Semester 2 2013*2013-07-01*2013-12-31*956*InformesParticipes@gesduero.es*n.d.*2 (de una escala de 1 a 7)*0.0*0.34**400530.12*1251*0.0*40962031*false*102.2695*0.55**0.55*0.08*1.06*1.53*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Trimester 3 2013*2013-07-01*2013-09-30*956*InformesParticipes@gesduero.es*B3  (MOODY'S)*2 (de una escala de 1 a 7)*0.0*0.34**363085.19*1256*0.0*36743347*false*101.1976*0.28**0.28*0.04*1.51*1.51*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Semester 1 2013*2013-01-01*2013-06-30*956*InformesParticipes@gesduero.es*B3  (MOODY'S)*2 (de una escala de 1 a 7)*0.18*0.33**349224.16*1299*0.0*34814782*false*99.6918*0.55**0.55*0.07*0.76*2.42*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Trimester 1 2013*2013-01-01*2013-03-31*956*InformesParticipes@gesduero.es*B3  (MOODY'S)*2 (de una escala de 1 a 7)*0.16*0.34**344642.1*1350*0.0*34097540*false*98.9361*0.27**0.27*0.04*0.73*2.22*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Trimester 3 2014*2014-07-01*2014-09-30*956*InformesParticipes@gesduero.es*B2  (MOODY'S)*2 (de una escala de 1 a 7)*0.07*0.26**672167.54*1356*0.0*71491726*false*106.36*0.28**0.28*0.04*0.76*1.6*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Semester 1 2014*2014-01-01*2014-06-30*956*InformesParticipes@gesduero.es*n.d.*2 (de una escala de 1 a 7)*0.03*0.38**626720.25*1263*0.0*66155013*false*105.5575*0.55**0.55*0.07*1.05*2.0*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Trimester 1 2014*2014-01-01*2014-03-31*956*InformesParticipes@gesduero.es*n.d.*2 (de una escala de 1 a 7)*0.0*0.34**570859.62*1268*0.0*59632012*false*104.46*0.27**0.27*0.04*2.14*1.59*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Semester 2 2013*2013-07-01*2013-12-31*956*InformesParticipes@gesduero.es*n.d.*2 (de una escala de 1 a 7)*0.0*0.34**400530.12*1251*0.0*40962031*false*102.2695*0.55**0.55*0.08*1.06*1.53*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Semester 2 2015*2015-07-01*2015-12-31*956*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 (de una escala de 1 a 7)*0.62*0.02**686585.64*1256*0.0*72719026*false*105.914*0.55**0.55*0.08*0.49*2.23*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Trimester 3 2015*2015-07-01*2015-09-30*956*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 (de una escala de 1 a 7)*0.3*0.04**684846.28*1266*0.0*72183638*false*105.4012*0.28**0.28*0.04*0.64*1.65*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Semester 1 2015*2015-01-01*2015-06-30*956*InformesParticipes@gesduero.es*n.d.*2 (de una escala de 1 a 7)*0.97*0.1**663224.83*1328*0.0*69457512*false*104.7269*0.55**0.55*0.07*-2.2*1.97*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA-DUERO RENTA FIJA LARGO PLAZO*81715617*Trimester 1 2015*2015-01-01*2015-03-31*956*InformesParticipes@gesduero.es*n.d.*2 (de una escala de 1 a 7)*0.54*0.14**702614.2*1434*0.0*75241465*false*107.0879*0.27**0.27*0.04*0.78*1.64*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*UNIFOND RENTA FIJA LARGO PLAZO*81715617*Semester 2 2016*2016-07-01*2016-12-31*956*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 (de una escala de 1 a 7)*1.08*-0.01**656390.53*1615*0.0*69145142*false*105.3415*0.55**0.55*0.08*-1.18*1.3*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*UNIFOND RENTA FIJA LARGO PLAZO*81715617*Trimester 3 2016*2016-07-01*2016-09-30*956*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 (de una escala de 1 a 7)*0.41*-0.01**667457.97*1652*0.0*71148172*false*106.5957*0.28**0.28*0.04***0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*UNIFOND RENTA FIJA LARGO PLAZO*81715617*Semester 1 2016*2016-01-01*2016-06-30*956*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 (de una escala de 1 a 7)*0.67*0.0**581154.42*1319*0.0*61738267*false*106.2338*0.55**0.55*0.07*-0.01*1.36*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*UNIFOND RENTA FIJA LARGO PLAZO*81715617*Trimester 1 2016*2016-01-01*2016-03-31*956*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 (de una escala de 1 a 7)*0.15*0.0**558563.35*1231*0.0*59342665*false*106.2416*0.27**0.27*0.04*0.31*1.85*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*UNIFOND RENTA FIJA LARGO PLAZO*81715617*Semester 2 2017*2017-07-01*2017-12-31*956*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 (de una escala de 1 a 7)*0.48*0.0**608380.7*1339*0.0*64540203*false*106.0852*0.55**0.55*0.08*0.2*0.73*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*UNIFOND RENTA FIJA LARGO PLAZO*81715617*Trimester 3 2017*2017-07-01*2017-09-30*956*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 (de una escala de 1 a 7)*0.13*0.0**615984.29*1393*0.0*65215599*false*105.8722*0.28**0.28*0.04*0.6*0.83*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*UNIFOND RENTA FIJA LARGO PLAZO*81715617*Semester 1 2017*2017-01-01*2017-06-30*956*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 (de una escala de 1 a 7)*0.92*0.0**651278.6*1447*0.0*68538164*false*105.2363*0.55**0.55*0.07*0.22*0.76*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*UNIFOND RENTA FIJA LARGO PLAZO*81715617*Trimester 1 2017*2017-01-01*2017-03-31*956*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 (de una escala de 1 a 7)*0.31*0.0**647306.48*1527*0.0*67969279*false*105.0032*0.27**0.27*0.04*-0.32*0.74*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CLASE A*81715617*Semester 2 2018*2018-07-01*2018-12-31*956*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 (de una escala de 1 a 7)*0.3*0.0**411932.23*1344*0.0*42958249*false*104.2847*0.55*[]*0.55*0.08*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CLASE C*81715617*Semester 2 2018*2018-07-01*2018-12-31*956*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 (de una escala de 1 a 7)*0.3*0.0**174521.11*2*0.0*18288183*false*104.7907*0.15*[]*0.15*0.02*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CLASE A*81715617*Trimester 3 2018*2018-07-01*2018-09-30*956*apoyoredunigest@grupounicaja.es*BBB (Standard & Poor's)*3 (de una escala de 1 a 7)*0.15*0.0**430991.72*1365*0.0*45346182*false*105.2136*0.28*[]*0.28*0.04*-0.17*0.61*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CLASE C*81715617*Trimester 3 2018*2018-07-01*2018-09-30*956*apoyoredunigest@grupounicaja.es*BBB (Standard & Poor's)*3 (de una escala de 1 a 7)*0.15*0.0**174521.11*2*0.0*18408333*false*105.4791*0.08*[]*0.08*0.01*0.06*0.61*0.09*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CLASE A*81715617*Semester 1 2018*2018-01-01*2018-06-30*956*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 (de una escala de 1 a 7)*0.0*0.0**439700.7*1377*0.0*46341045*false*105.3922*0.55*[]*0.55*0.07*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CLASE C*81715617*Semester 1 2018*2018-01-01*2018-06-30*956*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 (de una escala de 1 a 7)*0.0*0.0**174521.11*2*0.0*18396882*false*105.4135*0.01*[]*0.01*0.0*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*UNIFOND RENTA FIJA LARGO PLAZO*81715617*Trimester 1 2018*2018-01-01*2018-03-31*956*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 (de una escala de 1 a 7)*0.18*0.0**589895.89*1322*0.0*62720438*false*106.3246*0.27**0.27*0.04*0.23*0.77*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL A FI*81715617*Trimester 3 2019*2019-07-01*2019-09-30*956*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.33*-0.17**411289.68*1416*0.0*43704759*false*106.2627*0.28*[]*0.28*0.04*0.23*1.2*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL C FI*81715617*Trimester 3 2019*2019-07-01*2019-09-30*956*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.33*-0.17**174521.11*2*0.0*18763730*false*107.5155*0.08*[]*0.08*0.01*0.46*1.21*0.09*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL A FI*81715617*Semester 1 2019*2019-01-01*2019-06-30*956*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.65*-0.17**401412.55*1337*0.0*42556385*false*106.0166*0.55*[]*0.55*0.07*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL C FI*81715617*Semester 1 2019*2019-01-01*2019-06-30*956*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.65*-0.17**174521.11*2*0.0*18676906*false*107.018*0.15*[]*0.15*0.01*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL A FI*81715617*Trimester 1 2019*2019-01-01*2019-03-31*956*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 a 7*0.48*-0.18**406438.22*1318*0.0*42792367*false*105.2863*0.27*[]*0.27*0.04*0.96*0.78*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL C FI*81715617*Trimester 1 2019*2019-01-01*2019-03-31*956*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 a 7*0.48*-0.18**174521.11*2*0.0*18505753*false*106.0373*0.07*[]*0.07*0.01*1.19*0.78*0.08*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CLASE A*81715617*Semester 2 2018*2018-07-01*2018-12-31*956*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 (de una escala de 1 a 7)*0.3*0.0**411932.23*1344*0.0*42958249*false*104.2847*0.55*[]*0.55*0.08*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CLASE C*81715617*Semester 2 2018*2018-07-01*2018-12-31*956*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 (de una escala de 1 a 7)*0.3*0.0**174521.11*2*0.0*18288183*false*104.7907*0.15*[]*0.15*0.02*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL A FI*81715617*Trimester 3 2020*2020-07-01*2020-09-30*956*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 a 7*0.23*-0.25**396122.53*1459*0.0*41826491*false*105.5898*0.28*[]*0.28*0.04*1.26*1.15*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL C FI*81715617*Trimester 3 2020*2020-07-01*2020-09-30*956*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 a 7*0.23*-0.25**174521.11*2*0.0*18817351*false*107.8228*0.08*[]*0.08*0.01*1.5*1.15*0.09*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL A FI*81715617*Semester 1 2020*2020-01-01*2020-06-30*956*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*1.08*-0.21**392389.79*1437*0.0*40914890*false*104.271*0.55*[]*0.55*0.07*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL C FI*81715617*Semester 1 2020*2020-01-01*2020-06-30*956*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*1.08*-0.21**174521.11*2*0.0*18539411*false*106.2302*0.15*[]*0.15*0.01*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL A FI*81715617*Trimester 1 2020*2020-01-01*2020-03-31*956*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.55*-0.2**403220.7*1466*0.0*40420156*false*100.2433*0.27*[]*0.27*0.04*-4.89*6.15*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL C FI*81715617*Trimester 1 2020*2020-01-01*2020-03-31*956*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.55*-0.2**174521.11*2*0.0*17782547*false*101.8934*0.07*[]*0.07*0.01*-4.68*6.15*0.08*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL A FI*81715617*Semester 2 2019*2019-07-01*2019-12-31*956*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.69*-0.2**411205.31*1489*0.0*43341847*false*105.402*0.55*[]*0.55*0.08*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*U.RTA FIJA LARGO PLAZO CL C FI*81715617*Semester 2 2019*2019-07-01*2019-12-31*956*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.69*-0.2**174521.11*2*0.0*18654949*false*106.8922*0.15*[]*0.15*0.02*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
