fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Semester 2 2016*2016-07-01*2016-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.04**342627.75*246*[]*3321000*false*9.6919*0.5*0.0*0.5*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Semester 1 2016*2016-01-01*2016-06-30*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.03**0.0*0*[]*0*false*9.8018*0.0*0.0*0.0*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Trimester 1 2016*2016-01-01*2016-03-31*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.06**92075.27*31*[]*911000*false*9.8992*0.06*0.0*0.06*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Trimester 1 2016*2016-01-01*2016-03-31*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.06**1976636.39*414*[]*19571000*false*9.9011*0.11*0.0*0.11*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Trimester 1 2016*2016-01-01*2016-03-31*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.06**29694.11*1*[]*294000*false*9.9025*0.02*0.0*0.02*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Trimester 1 2016*2016-01-01*2016-03-31*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.06**8457622.72*18954*[]*83731000*false*9.9*0.06*0.0*0.06*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Trimester 1 2016*2016-01-01*2016-03-31*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.06**2628.85*2*[]*26000*false*9.9*0.04*0.0*0.04*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Trimester 1 2016*2016-01-01*2016-03-31*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.06**0.0*0*[]*0*false*9.9008*0.0*0.0*0.0*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Semester 1 2012*2012-01-01*2012-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Semester 1 2012*2012-01-01*2012-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Semester 1 2012*2012-01-01*2012-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Semester 1 2012*2012-01-01*2012-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Semester 1 2012*2012-01-01*2012-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Semester 1 2012*2012-01-01*2012-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Trimester 3 2017*2017-07-01*2017-09-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.29**541111.57*385*[]*5293000*false*9.7815*0.25*0.0*0.25*0.01*0.39*1.38*0.49*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Trimester 3 2017*2017-07-01*2017-09-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.29**3692253.13*482*[]*36226000*false*9.8114*0.2*0.0*0.2*0.01*0.44*1.38*0.41*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Trimester 3 2017*2017-07-01*2017-09-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.29**102159.16*1*[]*1006000*false*9.8433*0.15*0.0*0.15*0.01*0.49*1.38*0.34*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Trimester 3 2017*2017-07-01*2017-09-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.29**12753782.28*19833*[]*124931000*false*9.7956*0.23*0.0*0.23*0.01*0.42*1.38*0.46*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Trimester 3 2017*2017-07-01*2017-09-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.29**58341.01*15*[]*571000*false*9.7956*0.23*0.0*0.23*0.01*0.42*1.38*0.45*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Trimester 3 2017*2017-07-01*2017-09-30*4964*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.29**66261.84*1*[]*650000*false*9.8111*0.2*0.0*0.2*0.01*0.44*1.38*0.43*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Semester 1 2017*2017-01-01*2017-06-30*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**488747.71*387*[]*4762000*false*9.7433*0.5*0.0*0.5*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Semester 1 2017*2017-01-01*2017-06-30*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**3581220.83*577*[]*34982000*false*9.7681*0.4*0.0*0.4*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Semester 1 2017*2017-01-01*2017-06-30*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**133326.31*2*[]*1306000*false*9.795*0.12*0.0*0.12*0.01*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Semester 1 2017*2017-01-01*2017-06-30*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**12268844.37*19594*[]*119681000*false*9.7549*0.45*0.0*0.45*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Semester 1 2017*2017-01-01*2017-06-30*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**46033.19*13*[]*449000*false*9.7549*0.45*0.0*0.45*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Semester 1 2017*2017-01-01*2017-06-30*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**66261.84*1*[]*647000*false*9.7678*0.02*0.0*0.02*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Trimester 1 2017*2017-01-01*2017-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**341398.31*307*[]*3321000*false*9.7271*0.25*0.0*0.25*0.01*0.36*1.29*0.45*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Trimester 1 2017*2017-01-01*2017-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**2179696.06*292*[]*21247000*false*9.7476*0.2*0.0*0.2*0.01*0.42*1.29*0.39*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Trimester 1 2017*2017-01-01*2017-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**0.0*0*[]*0*false*9.7694*0.0*0.0*0.0*0.0*0.47*1.29*0.0*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Trimester 1 2017*2017-01-01*2017-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**11015586.13*19013*[]*107256000*false*9.7367*0.22*0.0*0.22*0.01*0.39*1.29*0.45*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Trimester 1 2017*2017-01-01*2017-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**38996.97*8*[]*380000*false*9.7367*0.22*0.0*0.22*0.01*0.39*1.29*0.46*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Trimester 1 2017*2017-01-01*2017-03-31*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.15**0.0*0*[]*0*false*9.7472*0.0*0.0*0.0*0.0*0.42*1.29*0.0*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Semester 2 2018*2018-07-01*2018-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.53*0.15**468247.31*307*[]*4381000*false*9.3566*0.5*0.0*0.5*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Semester 2 2018*2018-07-01*2018-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.53*0.15**1487446.0*88*[]*13995000*false*9.4085*0.4*0.0*0.4*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Semester 2 2018*2018-07-01*2018-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.53*0.15**294337.3*2*[]*2785000*false*9.4629*0.3*0.0*0.3*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Semester 2 2018*2018-07-01*2018-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.53*0.15**12634390.12*17492*[]*119026000*false*9.4208*0.25*0.0*0.25*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Semester 2 2018*2018-07-01*2018-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.53*0.15**50530.45*11*[]*474000*false*9.3817*0.45*0.0*0.45*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Semester 2 2018*2018-07-01*2018-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.*0.53*0.15**157611.49*3*[]*1483000*false*9.4083*0.4*0.0*0.4*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Semester 1 2013*2013-01-01*2013-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Semester 1 2013*2013-01-01*2013-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Semester 1 2013*2013-01-01*2013-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Semester 1 2013*2013-01-01*2013-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Semester 1 2013*2013-01-01*2013-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Semester 1 2013*2013-01-01*2013-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Semester 1 2013*2013-01-01*2013-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*3, en una escala del 1 al 7.****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
