fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Semester 2 2009*2009-07-01*2009-12-31*1948*N/D*A+ (S&P)*MODERADO*0.0*0.54**10651988.59*125*0.0*68167086*false*6.3995***0.13*0.03*-0.06*0.19*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Semester 2 2012*2012-07-01*2012-12-31*1948*N/D*BBB- (S&P)*MODERADO*0.24*0.11**4492274.31*126*0.0*29971999*false*6.6719*0.13*0.0*0.13*0.03*0.77*0.24*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Trimester 3 2012*2012-07-01*2012-09-30*1948*N/D*BBB- (S&P)*MODERADO*0.09*0.14**3955922.33*123*0.0*26191709*false*6.6209*0.06*0.0*0.06*0.01*1.05*0.57*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Semester 1 2012*2012-01-01*2012-06-30*1948*N/D*BBB (IBCA)*MODERADO*0.48*0.89**4084599.83*127*0.0*26761577*false*6.5518*0.12*0.0*0.12*0.02*-0.07*0.58*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Trimester 1 2012*2012-01-01*2012-03-31*1948*N/D*A- (IBCA)*MODERADO*0.24*0.96**4385505.14*129*0.0*28753571*false*6.5565*0.06*0.0*0.06*0.01*0.91*0.25*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 2 2013*2013-07-01*2013-12-31*1948*kutxabankgestion@kutxabankgestion.es*BBB- (S&P)*2 en una escala del 1 al 7*0.0*0.1**9746100.46*365*0.0*66085419*false*6.7807*0.08*0.0*0.08*0.05*0.24*0.17*0.05*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 3 2013*2013-07-01*2013-09-30*1948*kutxabankgestion@kutxabankgestion.es*BBB- (S&P)*2 en una escala del 1 al 7*0.0*0.08**8379108.35*306*0.0*56678301*false*6.7642*0.05*0.0*0.05*0.02***0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 1 2013*2013-01-01*2013-06-30*1948*kutxabankgestion@kutxabankgestion.es*BBB- (S&P)*MODERADO*0.6*0.08**6592706.84*250*0.0*44409581*false*6.7362*0.1*0.0*0.1*0.02*0.24*0.2*0.05*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Trimester 1 2013*2013-01-01*2013-03-31*1948*bbk.gestion@kutxabankgestion.es*BBB- (S&P)*MODERADO*0.34*0.07**4504913.97*126*0.0*30271998*false*6.7198*0.06*0.0*0.06*0.01*0.72*0.25*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 2 2014*2014-07-01*2014-12-31*1948*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*1 en una escala del 1 al 7*0.0*0.01**8322635.09*353*0.0*56791462*false*6.8237*0.08*0.0*0.08*0.05*0.07*0.15*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 3 2014*2014-07-01*2014-09-30*1948*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*2 en una escala del 1 al 7*0.0*0.02**9756359.13*359*0.0*66526910*false*6.8188*0.04*0.0*0.04*0.03*0.13*0.09*0.06*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 1 2014*2014-01-01*2014-06-30*1948*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*2 en una escala del 1 al 7*0.0*0.18**10197913.75*366*0.0*69447576*false*6.81*0.07*0.0*0.07*0.05*0.23*0.1*0.06*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 1 2014*2014-01-01*2014-03-31*1948*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*2 en una escala del 1 al 7*0.0*0.18**11003840.53*373*0.0*74760996*false*6.7941*0.04*0.0*0.04*0.02*0.2*0.14*0.06*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 3 2015*2015-07-01*2015-09-30*1948*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*1 en una escala del 1 al 7*0.0*0.0**6422512.04*317*0.0*43904574*false*6.836*0.04*0.0*0.04*0.03*0.03*0.08*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 1 2015*2015-01-01*2015-06-30*1948*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*1 en una escala del 1 al 7*0.0*0.0**6363671.58*313*0.0*43490212*false*6.8341*0.07*0.0*0.07*0.05*-0.05*0.12*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 1 2015*2015-01-01*2015-03-31*1948*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*1 en una escala del 1 al 7*0.0*0.0**7142652.33*324*0.0*48836591*false*6.8373*0.04*0.0*0.04*0.02*0.2*0.1*0.06*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 2 2014*2014-07-01*2014-12-31*1948*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*1 en una escala del 1 al 7*0.0*0.01**8322635.09*353*0.0*56791462*false*6.8237*0.08*0.0*0.08*0.05*0.07*0.15*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 2 2016*2016-07-01*2016-12-31*1948*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*1 en una escala del 1 al 7*0.0*0.0**6080518.09*356*0.0*41520962*false*6.8285*0.08*0.0*0.08*0.05*-0.07*0.08*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 3 2016*2016-07-01*2016-09-30*1948*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*1 en una escala del 1 al 7*0.01*0.0**6439176.44*367*0.0*44002624*false*6.8336*0.04*0.0*0.04*0.03*-0.04*0.07*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 1 2016*2016-01-01*2016-06-30*1948*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*1 en una escala del 1 al 7*0.0*0.0**6796614.32*364*0.0*46462194*false*6.8361*0.07*0.0*0.07*0.05*0.0*0.11*0.06*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 1 2016*2016-01-01*2016-03-31*1948*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*1 en una escala del 1 al 7*0.15*0.0**7472686.42*365*0.0*51085734*false*6.8363*0.04*0.0*0.04*0.02*0.01*0.08*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 2 2017*2017-07-01*2017-12-31*1948*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*1 en una escala del 1 al 7*0.2*0.0**3743694.98*267*0.0*25468971*false*6.8032*0.08*0.0*0.08*0.05*-0.1*0.11*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 3 2017*2017-07-01*2017-09-30*1948*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*1 en una escala del 1 al 7*0.15*0.0**4115949.14*288*0.0*28028915*false*6.8098*0.04*0.0*0.04*0.03*-0.08*0.09*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 1 2017*2017-01-01*2017-06-30*1948*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*1 en una escala del 1 al 7*0.0*0.0**4584875.22*302*0.0*31248268*false*6.8155*0.07*0.0*0.07*0.05*-0.09*0.09*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 1 2017*2017-01-01*2017-03-31*1948*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*1 en una escala del 1 al 7*0.0*0.0**5156235.64*327*0.0*35174671*false*6.8218*0.04*0.0*0.04*0.02*-0.1*0.07*0.06*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 2 2018*2018-07-01*2018-12-31*1948*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*1 en una escala del 1 al 7*0.15*0.0**3199879.76*198*0.0*21656649*false*6.768*0.08*0.0*0.08*0.05*-0.08*0.13*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 3 2018*2018-07-01*2018-09-30*1948*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*1 en una escala del 1 al 7*0.25*-0.01**3066121.64*210*0.0*20768026*false*6.7734*0.04*0.0*0.04*0.03*-0.13*0.12*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 1 2018*2018-01-01*2018-06-30*1948*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*1 en una escala del 1 al 7*0.0*0.0**3809261.07*215*0.0*25834307*false*6.782*0.07*0.0*0.07*0.05*-0.22*0.43*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 1 2018*2018-01-01*2018-03-31*1948*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*1 en una escala del 1 al 7*0.0*0.0**3214107.12*233*0.0*21845282*false*6.7967*0.04*0.0*0.04*0.02*-0.1*0.1*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 3 2019*2019-07-01*2019-09-30*1948*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*1 en una escala del 1 al 7*0.0*0.0**2082056.37*165*0.0*14080607*false*6.7628*0.04*0.0*0.04*0.03*-0.07*0.1*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 1 2019*2019-01-01*2019-06-30*1948*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*1 en una escala del 1 al 7*0.0*-0.01**2259476.75*173*0.0*15291394*false*6.7677*0.07*0.0*0.07*0.05*-0.02*0.09*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 1 2019*2019-01-01*2019-03-31*1948*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*1 en una escala del 1 al 7*0.0*-0.03**2262816.56*182*0.0*15316464*false*6.7688*0.04*0.0*0.04*0.02*0.01*0.09*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 2 2018*2018-07-01*2018-12-31*1948*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*1 en una escala del 1 al 7*0.15*0.0**3199879.76*198*0.0*21656649*false*6.768*0.08*0.0*0.08*0.05*-0.08*0.13*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 2 2020*2020-07-01*2020-12-31*1948*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*1 en una escala del 1 al 7*0.43*-0.34**1945959.98*116*0.0*13084735*false*6.7241*0.08*0.0*0.08*0.05*-0.05*0.06*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 3 2020*2020-07-01*2020-09-30*1948*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*1 en una escala del 1 al 7*0.21*-0.36**1906646.55*124*0.0*12826793*false*6.7274*0.04*0.0*0.04*0.03*-0.01*0.06*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Semester 1 2020*2020-01-01*2020-06-30*1948*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*1 en una escala del 1 al 7*0.19*-0.16**1887771.09*129*0.0*12700452*false*6.7277*0.07*0.0*0.07*0.05*0.18*0.35*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXABANK RENTA FIJA EMPRESAS, FI*20674750*Trimester 1 2020*2020-01-01*2020-03-31*1948*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*1 en una escala del 1 al 7*0.0*-0.04**2077740.39*135*0.0*13953132*false*6.7155*0.04*0.0*0.04*0.02*-0.59*0.34*0.07*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
