fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Semester 2 2009*2009-07-01*2009-12-31*3966*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.0*0.91**3330985.53*638*0.0*21179791*false*6.3584***0.2*0.05*0.2*0.08*0.13*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Trimester 1 2013*2013-01-01*2013-03-31*3966*participes.ibercajagestion@ibercaja.net*Ba1 (Moody's)*Medio*0.5*0.75**4991244.25*1151*0.0*33577890*false*6.7274*0.16*0.0*0.16*0.02*0.36*0.26*0.19*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Semester 2 2014*2014-07-01*2014-12-31*3966*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*5 (en una escala del 1 al 7)*0.0*0.09**2183548.25*566*0.0*15867430*false*7.2668*0.43*0.0*0.43*0.05*1.35*3.43*0.24*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 2021 CLASE A*99198038*Trimester 3 2014*2014-07-01*2014-09-30*3966*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*5 (en una escala del 1 al 7)*0.0*0.15**2195393.7*557*0.0*15740232*false*7.1697*0.21*0.0*0.21*0.03*3.22*4.16*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 2021 CLASE 3*99198038*Trimester 3 2014*2014-07-01*2014-09-30*3966*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*5 (en una escala del 1 al 7)*0.0*0.15**33306.44*16*0.0*238796*false*7.1697*0.21*0.0*0.21*0.03*3.22*4.16*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 2021 CLASE A*99198038*Semester 1 2014*2014-01-01*2014-06-30*3966*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*5 (en una escala del 1 al 7)*0.3*0.24**2272269.81*559*0.0*15783863*false*6.9463*0.35*0.0*0.35*0.05*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 2021 CLASE 3*99198038*Semester 1 2014*2014-01-01*2014-06-30*3966*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*5 (en una escala del 1 al 7)*0.3*0.24**33306.44*16*0.0*231356*false*6.9463*0.12*0.0*0.12*0.01*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO 1 CLASE A*99198038*Trimester 1 2014*2014-01-01*2014-03-31*3966*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*3 (en una escala del 1 al 7)*0.0*0.24**3119609.2*776*0.0*21257323*false*6.8141*0.16*0.0*0.16*0.02*[]*[]*0.19*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO 1 CLASE 3*99198038*Trimester 1 2014*2014-01-01*2014-03-31*3966*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*3 (en una escala del 1 al 7)*0.0*0.24**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*0.0*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Semester 2 2015*2015-07-01*2015-12-31*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*0.04**1973169.27*533*0.0*14574469*false*7.3863*0.43*0.0*0.43*0.05*1.25*3.23*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Trimester 3 2015*2015-07-01*2015-09-30*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*0.05**2039451.28*550*0.0*14877617*false*7.2949*0.21*0.0*0.21*0.03*2.35*3.21*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Semester 1 2015*2015-01-01*2015-06-30*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.02*0.05**2053811.69*555*0.0*14638391*false*7.1274*0.42*0.0*0.42*0.05*-3.77*4.97*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Trimester 1 2015*2015-01-01*2015-03-31*3966*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*5 (en una escala del 1 al 7)*0.01*0.05**2161017.81*560*0.0*16005969*false*7.4067*0.21*0.0*0.21*0.02*1.92*3.62*0.24*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Semester 2 2016*2016-07-01*2016-12-31*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.07**1799165.33*502*0.0*13520896*false*7.5151*0.43*0.0*0.43*0.05*-0.99*2.14*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Trimester 3 2016*2016-07-01*2016-09-30*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.03**1831707.27*513*0.0*13903447*false*7.5904*0.21*0.0*0.21*0.03*0.29*1.49*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Semester 1 2016*2016-01-01*2016-06-30*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*0.01**1844887.49*514*0.0*13962889*false*7.5684*0.42*0.0*0.42*0.05*1.01*2.53*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Trimester 1 2016*2016-01-01*2016-03-31*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*0.01**1967109.84*530*0.0*14739062*false*7.4927*0.21*0.0*0.21*0.02*1.44*2.61*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Semester 2 2017*2017-07-01*2017-12-31*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.15**1628225.38*475*0.0*12225764*false*7.5086*0.43*0.0*0.43*0.05*-0.22*1.15*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Trimester 3 2017*2017-07-01*2017-09-30*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.13**1681662.99*492*0.0*12654918*false*7.5252*0.21*0.0*0.21*0.03*-0.03*1.38*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Semester 1 2017*2017-01-01*2017-06-30*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.15**1698743.47*493*0.0*12787086*false*7.5274*0.42*0.0*0.42*0.05*0.27*1.41*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Trimester 1 2017*2017-01-01*2017-03-31*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.1**1790746.51*510*0.0*13442767*false*7.5068*0.21*0.0*0.21*0.02*-0.11*1.96*0.24*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Semester 2 2018*2018-07-01*2018-12-31*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.16*-0.2**1550077.27*459*0.0*11550279*false*7.4514*0.34*0.0*0.34*0.04*0.7*1.4*0.15*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Trimester 3 2018*2018-07-01*2018-09-30*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.22**1595500.37*475*0.0*11805599*false*7.3993*0.21*0.0*0.21*0.03*-0.71*1.39*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Semester 1 2018*2018-01-01*2018-06-30*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.18**1601890.76*472*0.0*11937269*false*7.452*0.42*0.0*0.42*0.05*-1.24*3.75*0.25*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Trimester 1 2018*2018-01-01*2018-03-31*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.11**1623260.13*474*0.0*12247787*false*7.5452*0.21*0.0*0.21*0.02*0.49*0.9*0.24*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Trimester 3 2019*2019-07-01*2019-09-30*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.09**3407585.39*886*0.0*26099275*false*7.6592*0.15*0.0*0.15*0.01*1.31*2.32*0.17*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Semester 1 2019*2019-01-01*2019-06-30*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*1.21*-0.2**3432772.72*886*0.0*25951861*false*7.56*0.29*0.0*0.29*0.02*0.73*1.75*0.17*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Trimester 1 2019*2019-01-01*2019-03-31*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*1.21*-0.26**3337913.61*871*0.0*25051402*false*7.5051*0.14*0.0*0.14*0.01***0.16*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Semester 2 2018*2018-07-01*2018-12-31*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.16*-0.2**1550077.27*459*0.0*11550279*false*7.4514*0.34*0.0*0.34*0.04*0.7*1.4*0.15*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA DEUDA CORPORATIVA 2024 CLASE B*99198038*Semester 2 2020*2020-07-01*2020-12-31*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.52*-0.37**9985082.03*4624*0.0*76241849*false*7.6356*0.02*0.0*0.02*0.0*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA DEUDA CORPORATIVA 2024 CLASE C*99198038*Semester 2 2020*2020-07-01*2020-12-31*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.52*-0.37**1008547.15*40*0.0*7700716*false*7.6355*0.02*0.0*0.02*0.0*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA DEUDA CORPORATIVA 2024 CLASE A*99198038*Semester 2 2020*2020-07-01*2020-12-31*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.52*-0.37**3643462.67*1016*0.0*27814485*false*7.6341*0.23*0.0*0.23*0.02*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Trimester 3 2020*2020-07-01*2020-09-30*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.29**2986894.97*803*0.0*22692294*false*7.5973*0.15*0.0*0.15*0.01*0.09*0.31*0.17*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Semester 1 2020*2020-01-01*2020-06-30*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.01*-0.23**3016738.14*807*0.0*22898970*false*7.5906*0.3*0.0*0.3*0.02*0.65*1.55*0.17*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RENTA FIJA 2021*99198038*Trimester 1 2020*2020-01-01*2020-03-31*3966*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.01*-0.17**3121353.87*827*0.0*23539946*false*7.5416*0.15*0.0*0.15*0.01*-1.1*3.56*0.17*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
