fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 2 2009*2009-07-01*2009-12-31*2187*N/D*ND*Medio*0.5*0.24**140349.38*106*0.0*17727056*false*126.3066***0.11*0.04*0.24*0.23*0.09*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 3 2018*2018-07-01*2018-09-30*2187*fondosfi@inverseguros.es*ND*4 (en una escala del 1 al 7)*0.25*0.0**138106.95*99*0.0*18856173*false*136.5331*0.04*0.0*0.04*0.02*0.21*0.79*0.07*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 1 2018*2018-01-01*2018-06-30*2187*fondosfi@inverseguros.es*ND*4 (en una escala del 1 al 7)*1.35*0.0**138128.92*100*0.0*18818842*false*136.2411*0.13*0.0*0.13*0.05*-1.69*2.3*0.11*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 1 2018*2018-01-01*2018-03-31*2187*fondosfi@inverseguros.es*ND*4 (en una escala del 1 al 7)*0.94*0.0**138143.36*98*0.0*19143643*false*138.5781*0.05*0.0*0.05*0.02*-0.23*1.18*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 2 2019*2019-07-01*2019-12-31*2187*valoracion@dunascapital.com*ND*3 En una escala del 1 al 7*0.8*0.0**138067.92*99*0.0*19146226*false*138.6725*0.2*0.0*0.2*0.04*0.72*0.75*0.13*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 3 2019*2019-07-01*2019-09-30*2187*valoracion@dunascapital.com*ND*3 En una escala del 1 al 7*0.38*0.0**138089.02*101*0.0*19013023*false*137.6867*0.1*0.0*0.1*0.02*0.34*1.08*0.13*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 1 2019*2019-01-01*2019-06-30*2187*valoracion@dunascapital.com*ND*3 En una escala del 1 al 7*1.36*0.0**138088.77*100*0.0*18949294*false*137.2255*0.18*0.0*0.18*0.04*0.64*0.96*0.13*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 1 2019*2019-01-01*2019-03-31*2187*valoracion@dunascapital.com*ND*3 En una escala del 1 al 7*0.94*0.0**138088.48*97*0.0*18829382*false*136.3574*0.08*0.0*0.08*0.02***0.12*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 2 2020*2020-07-01*2020-12-31*2187*valoracion@dunascapital.com*ND*3 En una escala del 1 al 7*0.87*0.0**138068.16*102*0.0*19170709*false*138.8496*0.2*0.0*0.2*0.04*1.86*2.35*0.13*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 3 2020*2020-07-01*2020-09-30*2187*valoracion@dunascapital.com*ND*3 En una escala del 1 al 7*0.52*0.0**138068.13*100*0.0*18821453*false*136.32*0.1*0.0*0.1*0.02*-0.17*1.45*0.13*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 1 2020*2020-01-01*2020-06-30*2187*valoracion@dunascapital.com*ND*3 En una escala del 1 al 7*0.93*-0.19**138068.0*100*0.0*18854027*false*136.5561*0.2*0.0*0.2*0.04*2.58*3.41*0.13*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 1 2020*2020-01-01*2020-03-31*2187*valoracion@dunascapital.com*ND*3 En una escala del 1 al 7*0.53*-0.34**138068.0*100*0.0*18379212*false*133.1171*0.1*0.0*0.1*0.02*-4.01*4.85*0.13*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
