fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 2 2009*2009-07-01*2009-12-31*283*N/D*Aa3 (Moody's)*Moderado*0.44*0.19**1352213.67*257*0.0*15280385*false*11.3003***0.88*0.05*-0.13*2.35*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 3 2012*2012-07-01*2012-09-30*283*info@grupobes.es*Ba3 (Moody's)*Moderado*0.07*0.09**938018.69*199*0.0*9555303*false*10.1867*0.44*0.0*0.44*0.03*-0.65*5.9*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 1 2012*2012-01-01*2012-06-30*283*info@grupobes.es*Ba3 (Moody's)*Moderado*0.88*0.19**964419.84*206*0.0*9888660*false*10.2535*0.87*0.0*0.87*0.05*-2.51*4.99*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 1 2012*2012-01-01*2012-03-31*283*info@grupobes.es*Ba3 (Moody's)*Moderado*0.68*0.26**1016815.98*213*0.0*10694190*false*10.5173*0.44*0.0*0.44*0.02*3.65*4.14*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 2 2011*2011-07-01*2011-12-31*283*info@grupobes.es*Ba1 (Moody's)*Moderado*0.59*0.99**1037631.09*214*0.0*10528457*false*10.1466*0.88*0.0*0.88*0.05*1.25*9.98*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 2 2013*2013-07-01*2013-12-31*283*info@grupobes.es*Ba3 (Moody's)*4 en una escala del 1 al 7*0.63*0.1**1172522.55*208*0.0*12713540*false*10.8429*0.88*0.0*0.88*0.05*1.73*2.78*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 3 2013*2013-07-01*2013-09-30*283*info@grupobes.es*Ba3 (Moody's)*4 en un rango del 1 al 7*0.53*0.1**930415.77*192*0.0*9916510*false*10.6581*0.44*0.0*0.44*0.03*4.02*3.24*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 1 2013*2013-01-01*2013-06-30*283*info@grupobes.es*Ba3 (Moody's)*4 en un rango del 1 al 7*0.64*0.1**902903.38*188*0.0*9251092*false*10.2459*0.87*0.0*0.87*0.05*-0.07*4.59*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 1 2013*2013-01-01*2013-03-31*283*info@grupobes.es*Ba3 (Moody's)*4 en un rango del 1 al 7*0.35*0.1**910236.07*191*0.0*9333122*false*10.2535*0.43*0.0*0.43*0.02***0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 2 2014*2014-07-01*2014-12-31*283*info@novobanco.es*B2 (Moody's)*4 en una escala del 1 al 7*0.14*0.1**1428169.37*232*0.0*15850693*false*11.0986*0.88*0.0*0.88*0.05*-1.45*4.67*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 3 2014*2014-07-01*2014-09-30*283*info@grupobes.es*B2 (Moody's)*4 en una escala del 1 al 7*0.16*0.09**1411311.16*222*0.0*15893748*false*11.2617*0.44*0.0*0.44*0.03*-0.29*3.15*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 1 2014*2014-01-01*2014-06-30*283*info@grupobes.es*Ba3 (Moody's)*4 en una escala del 1 al 7*0.65*0.1**1405634.58*230*0.0*15876508*false*11.2949*0.87*0.0*0.87*0.05*1.46*2.69*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 1 2014*2014-01-01*2014-03-31*283*info@grupobes.es*Ba3 (Moody's)*4 en una escala del 1 al 7*0.27*0.1**1339587.33*226*0.0*14913098*false*11.1326*0.43*0.0*0.43*0.02*2.67*3.05*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 3 2015*2015-07-01*2015-09-30*283*info@gruponovobanco.es*B2 (Moody's)*4 en una escala del 1 al 7*0.01*0.1**1447806.49*214*0.0*15765790*false*10.8894*0.44*0.0*0.44*0.03*-3.42*6.34*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 1 2015*2015-01-01*2015-06-30*283*info@novobanco.es*B2 (Moody's)*4 en una escala del 1 al 7*0.28*0.1**1382252.66*214*0.0*15584685*false*11.2748*0.87*0.0*0.87*0.05*-0.78*3.33*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 1 2015*2015-01-01*2015-03-31*283*info@novobanco.es*B2 (Moody's)*4 en una escala del 1 al 7*0.12*0.1**1392279.68*217*0.0*15821911*false*11.364*0.43*0.0*0.43*0.02*2.39*3.44*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 2 2014*2014-07-01*2014-12-31*283*info@novobanco.es*B2 (Moody's)*4 en una escala del 1 al 7*0.14*0.1**1428169.37*232*0.0*15850693*false*11.0986*0.88*0.0*0.88*0.05*-1.45*4.67*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 2 2016*2016-07-01*2016-12-31*283*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*0.21*0.1**1545201.69*213*0.0*17775961*false*11.504*0.88*0.0*0.88*0.05*0.62*1.78*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 3 2016*2016-07-01*2016-09-30*283*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*0.08*0.09**1530771.8*214*0.0*17501224*false*11.4329*0.44*0.0*0.44*0.03*1.6*2.35*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 1 2016*2016-01-01*2016-06-30*283*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*0.31*0.1**1546839.48*218*0.0*17405798*false*11.2525*0.87*0.0*0.87*0.05*1.66*5.38*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 1 2016*2016-01-01*2016-03-31*283*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*0.21*0.1**1472343.7*211*0.0*16296862*false*11.0687*0.44*0.0*0.44*0.02*0.99*7.33*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 3 2017*2017-07-01*2017-09-30*283*info@gruponovobanco.es*NR (S&P)*4 en una escala del 1 al 7*1.03*0.11**1554844.97*216*0.0*18010589*false*11.5835*0.44*0.0*0.44*0.03*-0.01*1.04*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 1 2017*2017-01-01*2017-06-30*283*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*0.55*0.1**1564479.47*216*0.0*18124655*false*11.5851*0.87*0.0*0.87*0.05*-0.51*1.73*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 1 2017*2017-01-01*2017-03-31*283*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*0.29*0.1**1553562.99*213*0.0*18090390*false*11.6445*0.43*0.0*0.43*0.02*1.22*1.31*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 2 2016*2016-07-01*2016-12-31*283*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*0.21*0.1**1545201.69*213*0.0*17775961*false*11.504*0.88*0.0*0.88*0.05*0.62*1.78*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 2 2018*2018-07-01*2018-12-31*283*info@gruponovobanco.es*Caa2 (Moody's)*4 en una escala del 1 al 7*0.43*0.0**1587579.96*195*0.0*17235117*false*10.8562*0.88*0.0*0.88*0.05*-3.49*2.15*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 3 2018*2018-07-01*2018-09-30*283*info@gruponovobanco.es*Caa2 (Moody's)*4 en una escala del 1 al 7*0.36*0.0**1626971.77*204*0.0*18301947*false*11.2491*0.44*0.0*0.44*0.03*-0.45*1.86*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 1 2018*2018-01-01*2018-06-30*283*info@gruponovobanco.es*NR (S&P)*4 en una escala del 1 al 7*0.32*0.0**1644634.64*205*0.0*18584354*false*11.3*0.87*0.0*0.87*0.05*-2.54*3.16*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 1 2018*2018-01-01*2018-03-31*283*info@gruponovobanco.es*NR (S&P)*4 en una escala del 1 al 7*0.23*0.1**1610205.1*204*0.0*18669527*false*11.5945*0.43*0.0*0.43*0.02*-0.32*1.74*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 2 2019*2019-07-01*2019-12-31*283*info@gruponovobanco.es*B2 (Moody's)*4 en una escala del 1 al 7*0.14*0.1**1572971.01*178*0.0*17637058*false*11.2126*0.88*0.0*0.88*0.05*0.13*1.24*0.49*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 3 2019*2019-07-01*2019-09-30*283*info@gruponovobanco.es*NR (S&P)*4 en una escala del 1 al 7*0.03*0.1**1585803.96*182*0.0*17757708*false*11.1979*0.44*0.0*0.44*0.03*-0.08*1.51*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 1 2019*2019-01-01*2019-06-30*283*info@gruponovobanco.es*Caa2 (Moody's)*4 en una escala del 1 al 7*0.18*0.1**1599451.29*186*0.0*17924188*false*11.2065*0.87*0.0*0.87*0.05*0.32*1.58*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 1 2019*2019-01-01*2019-03-31*283*info@gruponovobanco.es*Caa2 (Moody's)*4 en una escala del 1 al 7*0.08*0.1**1576360.32*188*0.0*17608429*false*11.1703*0.43*0.0*0.43*0.02*2.89*2.09*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS FI*80116478*Semester 2 2020*2020-07-01*2020-12-31*283*info.spain@andbank.com*ND*4 en una escala de 1 a 7*0.12*0.0**1416723.91*157*0.0*15814704*false*11.1629*0.88*0.0*0.88*0.05*3.21*3.51*0.49*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 3 2020*2020-07-01*2020-09-30*283*info@gruponovobanco.es*Caa2 (Moody's)*4 en una escala del 1 al 7*0.1*0.1**1502287.47*167*0.0*16247949*false*10.8155*0.44*0.0*0.44*0.03*0.77*2.76*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 1 2020*2020-01-01*2020-06-30*283*info@gruponovobanco.es*Caa2 (Moody's)*4 en una escala del 1 al 7*0.11*0.1**1520803.79*171*0.0*16322058*false*10.7325*0.87*0.0*0.87*0.05*3.46*6.88*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 1 2020*2020-01-01*2020-03-31*283*info@gruponovobanco.es*B2 (Moody's)*4 en una escala del 1 al 7*0.05*0.1**1533687.77*174*0.0*15910395*false*10.3739*0.44*0.0*0.44*0.02*-7.48*6.63*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
