fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Trimester 3 2009*2009-07-01*2009-09-30*965*gestora@fineco.com*AA  (S&P)*medio alto*0.02*0.23**2226926.71*286*0.0*19553635*false*8.7805***0.58*0.01*8.04*9.93*0.6*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Trimester 3 2012*2012-07-01*2012-09-30*965*gestora@fineco.com*A-  (S&P)*Medio / Alto*0.0*0.13**3552339.8*366*0.0*32905081*false*9.2629*0.21**0.21*0.01*9.01*22.42*0.23*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Semester 1 2012*2012-01-01*2012-06-30*965*gestora@fineco.com*A-  (S&P)*Medio / Alto*0.0*0.24**3587634.74*364*0.0*30484407*false*8.4971*0.42**0.42*0.02*-6.79*22.34*0.25*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Trimester 1 2012*2012-01-01*2012-03-31*965*gestora@fineco.com*A+  (S&P)*Medio / Alto*0.0*0.22**3522015.02*358*0.0*32105267*false*9.1156*0.2**0.2*0.01*7.23*18.65*0.23*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Semester 2 2013*2013-07-01*2013-12-31*965*gestora@fineco.com*A+  (S&P)*Medio / Alto*0.08*0.03**773001.11*144*0.0*8337595*false*10.786*0.35*0.5*0.85*0.03*3.33*13.28*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Trimester 3 2013*2013-07-01*2013-09-30*965*gestora@fineco.com*A+  (S&P)*Medio / Alto*0.0*0.02**1308679.99*228*0.0*13659908*false*10.4379*0.18*0.27*0.45*0.01*5.08*11.75*0.2*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Semester 1 2013*2013-01-01*2013-06-30*965*gestora@fineco.com*A+  (S&P)*Medio / Alto*0.04*0.03**2107129.17*318*0.0*20931314*false*9.9336*0.37*0.01*0.38*0.02*1.02*13.99*0.2*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Trimester 1 2013*2013-01-01*2013-03-31*965*gestora@fineco.com*A+  (S&P)*Medio / Alto*0.03*0.03**2590322.88*348*0.0*25472262*false*9.8336*0.18**0.18*0.01*0.1*14.28*0.2*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 2 2014*2014-07-01*2014-12-31*965*gestora@fineco.com*BBB+*4 en una escala del 1 al 7*0.02*0.0**5012403.87*374*0.0*55754834*false*11.1234*0.34*-0.04*0.3*0.03*-1.35*13.22*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 3 2014*2014-07-01*2014-09-30*965*gestora@fineco.com*A+  (S&P)*4 en una escala del 1 al 7*0.09*0.01**4632638.84*305*0.0*52237783*false*11.276*0.17*0.03*0.2*0.01*0.55*8.98*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 1 2014*2014-01-01*2014-06-30*965*gestora@fineco.com*A+  (S&P)*4 en una escala del 1 al 7*0.0*0.12**4017369.58*236*0.0*45052217*false*11.2144*0.3*0.4*0.7*0.02*4.41*6.56*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 1 2014*2014-01-01*2014-03-31*965*gestora@fineco.com*A+  (S&P)*4 en una escala del 1 al 7*0.0*0.12**927.76*1*0.0*9965*false*10.7406*0.05**0.05*0.01*-0.42*0.3*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 2 2015*2015-07-01*2015-12-31*965*gestora@fineco.com*A-*4 en una escala del 1 al 7*0.59*0.0**6196384.65*540*0.0*72775540*false*11.7448*0.32*-0.01*0.31*0.03*3.43*11.31*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 3 2015*2015-07-01*2015-09-30*965*gestora@fineco.com*A-*4 en una escala del 1 al 7*0.04*0.0**5686450.3*494*0.0*64573456*false*11.3557*0.16*-0.18*-0.02*0.01*-3.5*16.1*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 1 2015*2015-01-01*2015-06-30*965*gestora@fineco.com*BBB+*4 en una escala del 1 al 7*0.0*0.0**5375450.8*466*0.0*63258727*false*11.7681*0.31*0.26*0.57*0.02*-2.72*10.97*0.17*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 1 2015*2015-01-01*2015-03-31*965*gestora@fineco.com*BBB+*4 en una escala del 1 al 7*0.0*0.0**5145719.32*425*0.0*62249671*false*12.0974*0.16*0.42*0.58*0.01*8.76*10.33*0.17*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 2 2016*2016-07-01*2016-12-31*965*gestora@fineco.com*A-*4 en una escala del 1 al 7*0.0*0.0**6170771.33*605*0.0*74412082*false*12.0588*0.33*0.13*0.46*0.03*5.93*8.27*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 3 2016*2016-07-01*2016-09-30*965*gestora@fineco.com*A-*4 en una escala del 1 al 7*0.0*0.0**6639411.11*602*0.0*75580767*false*11.3837*0.17**0.17*0.01*2.89*10.45*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 1 2016*2016-01-01*2016-06-30*965*gestora@fineco.com*A-*4 en una escala del 1 al 7*0.0*0.0**6458835.39*572*0.0*71459077*false*11.0638*0.33**0.33*0.02*-1.33*17.62*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 1 2016*2016-01-01*2016-03-31*965*gestora@fineco.com*A-*4 en una escala del 1 al 7*0.0*0.0**6392997.55*568*0.0*71684887*false*11.213*0.17**0.17*0.01*-4.53*17.36*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 3 2017*2017-07-01*2017-09-30*965*gestora@fineco.com*A-*4 en una escala del 1 al 7*0.0*-0.3**11562836.21*931*0.0*151253404*false*13.081*0.15*0.16*0.31*0.01*3.34*7.08*0.17*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 1 2017*2017-01-01*2017-06-30*965*gestora@fineco.com*A-*4 en una escala del 1 al 7*0.0*-0.3**10931042.96*859*0.0*138365538*false*12.658*0.3*0.18*0.48*0.02*0.7*7.64*0.17*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 1 2017*2017-01-01*2017-03-31*965*gestora@fineco.com*A-*4 en una escala del 1 al 7*0.04*0.0**7215961.43*672*0.0*90704414*false*12.57*0.15*0.22*0.37*0.01*4.24*6.31*0.17*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 2 2016*2016-07-01*2016-12-31*965*gestora@fineco.com*A-*4 en una escala del 1 al 7*0.0*0.0**6170771.33*605*0.0*74412082*false*12.0588*0.33*0.13*0.46*0.03*5.93*8.27*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 2 2018*2018-07-01*2018-12-31*965*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**3075675.26*371*0.0*38832122*false*12.6256*0.18*0.0*0.18*0.01*-6.18*8.36*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 3 2018*2018-07-01*2018-09-30*965*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**3441605.64*417*0.0*46314229*false*13.4572*0.03*0.03*0.06*0.0***0.04*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 1 2018*2018-01-01*2018-06-30*965*gestora@fineco.com*A-*4 en una escala del 1 al 7*0.28*-0.3**6957166.36*686*0.0*92942218*false*13.3592*0.28*0.16*0.44*0.02*6.78*9.74*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 1 2018*2018-01-01*2018-03-31*965*gestora@fineco.com*A-*4 en una escala del 1 al 7*0.0*-0.3**9703747.55*798*0.0*121407226*false*12.5114*0.14**0.14*0.01*-3.43*12.27*0.16*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 2 2019*2019-07-01*2019-12-31*965*gestora@fineco.com*A+*5 en una escala del 1 al 7*26.94*-0.33**1169005.23*196*0.0*16550485*false*14.1578*0.35*0.15*0.5*0.02*2.16*5.73*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 3 2019*2019-07-01*2019-09-30*965*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**1302697.44*225*0.0*18052480*false*13.8578*0.18*0.05*0.23*0.01*1.13*6.58*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 1 2019*2019-01-01*2019-06-30*965*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**1595075.95*243*0.0*21857588*false*13.7032*0.35*0.04*0.39*0.02*2.66*6.23*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 1 2019*2019-01-01*2019-03-31*965*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**2169445.01*295*0.0*28958071*false*13.3481*0.17**0.17*0.01*5.72*6.26*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 2 2020*2020-07-01*2020-12-31*965*gestora@fineco.com*A+*5 en una escala del 1 al 7*55.61*-0.4**1334030.85*160*0.0*18432550*false*13.8172*0.35**0.35*0.02*5.15*10.49*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 3 2020*2020-07-01*2020-09-30*965*gestora@fineco.com*A+*5 en una escala del 1 al 7*55.69*-0.4**1008876.41*154*0.0*13257567*false*13.1409*0.18**0.18*0.01*-0.54*10.23*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Semester 1 2020*2020-01-01*2020-06-30*965*gestora@fineco.com*A+*5 en una escala del 1 al 7*1.35*-0.4**1089121.24*168*0.0*14390482*false*13.2129*0.35**0.35*0.02*7.6*15.31*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EUROLIDER FI*48899678*Trimester 1 2020*2020-01-01*2020-03-31*965*gestora@fineco.com*A+*5 en una escala del 1 al 7*0.0*-0.4**1123077.47*181*0.0*13791572*false*12.2802*0.17**0.17*0.01*-13.26*20.45*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
