fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Trimester 3 2015*2015-07-01*2015-09-30*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.07*0.0**58147.79*23*0.0*5759711*false*99.053*0.15*0.0*0.15*0.02*-3.28*9.43*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Semester 2 2017*2017-07-01*2017-12-31*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.4**65491.11*142*0.0*7547541*false*115.2453*0.3*0.0*0.3*0.02*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Semester 2 2017*2017-07-01*2017-12-31*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.4**69887.93*16*1.569*7510662*false*107.4672*0.3*0.0*0.3*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Trimester 3 2017*2017-07-01*2017-09-30*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.05*-0.4**99392.76*191*0.0*11269513*false*113.3836*0.15*0.0*0.15*0.01*1.16*4.34*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Trimester 3 2017*2017-07-01*2017-09-30*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.05*-0.4**64601.54*15*0.0*6923077*false*107.1658*0.15*0.0*0.15*0.01*1.24*4.59*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Semester 1 2017*2017-01-01*2017-06-30*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*0.0**97254.42*188*0.0*10900444*false*112.0817*0.3*0.0*0.3*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Semester 1 2017*2017-01-01*2017-06-30*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*0.0**64601.54*15*1.57*6838308*false*105.8536*0.3*0.0*0.3*0.04*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Trimester 1 2017*2017-01-01*2017-03-31*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.0*-0.3**66264.52*141*0.0*7449457*false*112.42*0.15*0.0*0.15*0.02*2.86*4.43*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Trimester 1 2017*2017-01-01*2017-03-31*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.0*-0.3**64601.54*15*0.0*6961087*false*107.7542*0.15*0.0*0.15*0.02*3.0*4.62*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Semester 2 2018*2018-07-01*2018-12-31*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.4**90936.1*232*0.0*10032458*false*110.3243*0.3*0.0*0.3*0.04*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Semester 2 2018*2018-07-01*2018-12-31*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.4**69920.37*16*0.0*7061808*false*100.9979*0.3*0.0*0.3*0.03*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Trimester 3 2018*2018-07-01*2018-09-30*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.4**86334.92*205*0.0*10087202*false*116.838*0.15*0.0*0.15*0.02*1.13*3.35*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Trimester 3 2018*2018-07-01*2018-09-30*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.4**70200.52*18*0.0*7545020*true*107.4781*0.15*0.0*0.15*0.02*1.24*3.63*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Semester 1 2018*2018-01-01*2018-06-30*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.4**73021.03*179*0.0*8436485*false*115.535*0.3*0.0*0.3*0.04*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Semester 1 2018*2018-01-01*2018-06-30*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.4**70168.07*18*1.61*7449468*false*106.1661*0.3*0.0*0.3*0.04*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Trimester 1 2018*2018-01-01*2018-03-31*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.4**70460.08*157*0.0*8050000*false*114.2525*0.15*0.0*0.15*0.02*-0.86*7.32*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Trimester 1 2018*2018-01-01*2018-03-31*4826*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.4**69887.93*16*0.0*7442000*false*106.4889*0.15*0.0*0.15*0.02*-0.91*7.83*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
