fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2009*2009-07-01*2009-12-31*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Medio-Alto*0.42*0.26**1641289.75*1812*0.0*23837271*false*14.5235***1.13*0.05*2.48*3.58*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2009*2009-07-01*2009-09-30*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Medio-Alto*0.28*0.26**1647162.44*1800*0.0*23342907*false*14.1716***0.57*0.03*1.75*4.15*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2009*2009-01-01*2009-06-30*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Medio-Alto*0.34*1.07**1687547.23*1843*0.0*23504364*false*13.9281***1.12*0.05*6.48*4.42*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2010*2010-07-01*2010-12-31*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Muy Alto*0.27*0.42**1430233.88*1668*0.0*21788433*false*15.2342***1.14*0.05*5.97*8.25*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2010*2010-07-01*2010-09-30*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Alto*0.03*0.32**1448844.55*1680*0.0*20828547*false*14.376***0.57*0.03*2.91*9.22*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2010*2010-01-01*2010-06-30*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Alto*0.3*0.26**1608416.78*1730*0.0*22468475*false*13.9693***1.12*0.05*-6.05*16.77*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2010*2010-01-01*2010-03-31*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Medio-Alto*0.09*0.21**1615908.1*1766*0.0*24027153*false*14.8691***0.56*0.02*2.38*6.42*0.58*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2011*2011-07-01*2011-09-30*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Muy Alto*0.43*1.16**1404424.2*1615*0.0*18469718*false*13.1511***0.57*0.03*-16.05*32.48*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2011*2011-01-01*2011-06-30*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Muy Alto*0.65*0.7**1439375.42*1629*0.0*22548621*false*15.6656***1.12*0.05*0.0*9.49*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2011*2011-01-01*2011-03-31*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Muy Alto*0.21*0.51**1418703.42*1637*0.0*22225817*false*15.6663***0.55*0.02*2.84*10.16*0.58*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2010*2010-07-01*2010-12-31*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Muy Alto*0.27*0.42**1430233.88*1668*0.0*21788433*false*15.2342***1.14*0.05*5.97*8.25*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2012*2012-07-01*2012-09-30*2689*atencionalcliente@gesiuris.com*Baa2 (Moody's)*Muy Alto*0.28*0.0**1261506.58*1432*0.0*18154218*false*14.3909*0.57*0.0*0.57*0.03*2.61*10.16*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2012*2012-01-01*2012-06-30*2689*atencionalcliente@gesiuris.com*Baa2 (Moody's)*Muy Alto*0.78*0.18**1288009.89*1469*0.0*18063998*false*14.0247*1.12*0.0*1.12*0.05*-4.7*17.75*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2012*2012-01-01*2012-03-31*2689*atencionalcliente@gesiuris.com*A (IBCA)*Muy Alto*0.24*0.25**1316132.34*1527*0.0*19369365*false*14.7169*0.56*0.0*0.56*0.02*3.04*7.88*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2011*2011-07-01*2011-12-31*2689*atencionalcliente@gesiuris.com*AA- (IBCA)*Muy Alto*0.86*1.06**1384584.69*1616*0.0*19775250*false*14.2824*1.14*0.0*1.14*0.05*8.6*17.53*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2016*2016-01-01*2016-06-30*2689*atencionalcliente@gesiuris.com*A3 (Moody's)*5 en una escala del 1al 7,*0.15*0.0**1181572.07*1409*0.0*18341423*false*15.5229*1.12*0.0*1.12*0.05*0.18*13.54*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2016*2016-01-01*2016-03-31*2689*atencionalcliente@gesiuris.com*A3 (Moody's)*5 en una escala del 1al 7,*0.15*0.0**1275866.37*1418*0.0*19768996*false*15.4946*0.56*0.0*0.56*0.02*-3.13*13.67*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2017*2017-07-01*2017-12-31*2689*atencionalcliente@gesiuris.com*A3 (Moody's)*4 en una escala del 1 al 7,*0.16*0.0**1215805.64*1483*0.0*21000774*false*17.2731*1.13*0.0*1.13*0.04*-1.0*4.15*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2017*2017-07-01*2017-09-30*2689*atencionalcliente@gesiuris.com*A3 (Moody's)*4 en una escala del 1 al 7,*0.11*0.0**1181781.6*1422*0.0*20620185*false*17.4484*0.57*0.0*0.57*0.02*1.75*4.53*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2017*2017-01-01*2017-06-30*2689*atencionalcliente@gesiuris.com*A3 (Moody's)*4 en una escala del 1al 7,*0.12*0.0**1146391.18*1402*0.0*19658774*false*17.1484*1.12*0.0*1.12*0.04*0.67*5.35*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2017*2017-01-01*2017-03-31*2689*atencionalcliente@gesiuris.com*A3 (Moody's)*4 en una escala del 1al 7,*0.03*0.0**1093017.19*1389*0.0*18619329*false*17.0348*0.55*0.0*0.55*0.02*4.5*4.51*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2018*2018-07-01*2018-12-31*2689*atencionalcliente@gesiuris.com*A2 (Moody's)*4 en una escala del 1 al 7,*0.4*-0.1**1284958.3*1595*0.0*20494424*false*15.9495*1.13*0.0*1.13*0.04*-7.7*9.03*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2018*2018-07-01*2018-09-30*2689*atencionalcliente@gesiuris.com*A2 (Moody's)*4 en una escala del 1 al 7,*0.18*-0.02**1275798.8*1569*0.0*22045087*false*17.2794*0.57*0.0*0.57*0.02*0.18*5.72*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2018*2018-01-01*2018-06-30*2689*atencionalcliente@gesiuris.com*A2 (Moody's)*4 en una escala del 1 al 7,*0.18*-0.03**1294332.98*1558*0.0*22324620*false*17.248*1.12*0.0*1.12*0.04*1.38*5.79*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2018*2018-01-01*2018-03-31*2689*atencionalcliente@gesiuris.com*A3 (Moody's)*4 en una escala del 1 al 7*0.16*0.0**1280834.35*1545*0.0*21790298*false*17.0126*0.55*0.0*0.55*0.02*-1.51*7.26*0.58*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2019*2019-07-01*2019-12-31*2689*atencionalcliente@gesiuris.com*A2 (Moody's)*4 en una escala del 1 al 7*0.54*-0.14**1280364.84*1561*0.0*22207375*false*17.3446*1.13*0.0*1.13*0.04*1.56*4.43*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2019*2019-07-01*2019-09-30*2689*atencionalcliente@gesiuris.com*A2 (Moody's)*4 en una escala del 1 al 7,*0.25*-0.04**1260186.45*1577*0.0*21522076*false*17.0785*0.57*0.0*0.57*0.02*-1.05*6.36*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2019*2019-01-01*2019-06-30*2689*atencionalcliente@gesiuris.com*A2 (Moody's)*4 en una escala del 1 al 7,*0.23*-0.12**1274012.89*1588*0.0*21989684*false*17.2602*1.12*0.0*1.12*0.04*2.53*5.84*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2019*2019-01-01*2019-03-31*2689*atencionalcliente@gesiuris.com*A2 (Moody's)*4 en una escala del 1 al 7,*0.1*-0.09**1231668.96*1581*0.0*20733394*false*16.8336*0.56*0.0*0.56*0.02*5.54*6.71*0.58*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2020*2020-07-01*2020-12-31*2689*atencionalcliente@gesiuris.com*Aa3 (Moody's)*5 en una escala del 1al 7,*0.07*-0.4**1077597.52*1426*0.0*16272403*false*15.1006*1.13*0.0*1.13*0.04*4.24*12.23*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2020*2020-07-01*2020-09-30*2689*atencionalcliente@gesiuris.com*Aa3 (Moody's)*5 en una escala del 1al 7,*0.0*-0.4**1110230.11*1461*0.0*16082725*false*14.4859*0.57*0.0*0.57*0.02*-1.85*10.45*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2020*2020-01-01*2020-06-30*2689*atencionalcliente@gesiuris.com*A2 (Moody's)*5 en una escala del 1 al 7,*0.58*-0.4**1190422.08*1488*0.0*17570065*false*14.7595*1.12*0.0*1.12*0.04*8.32*13.49*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2020*2020-01-01*2020-03-31*2689*atencionalcliente@gesiuris.com*A2 (Moody's)*4 en una escala del 1 al 7*0.16*-0.4**1214875.8*1517*0.0*16554415*false*13.6264*0.56*0.0*0.56*0.02*-21.44*28.89*0.58*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
