fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Semester 2 2009*2009-07-01*2009-12-31*2231*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.71*0.25**1196434.04*3736*0.0*74670891*false*62.4112***0.75*0.05*2.39*3.49*0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Trimester 3 2014*2014-07-01*2014-09-30*2231*comsanassetm@gruposantander.com*Baa1*5 en una escala del 1 al 7*0.42*0.03**1073656.49*3450*0.0*72249016*false*67.2925*0.4**0.4*0.03*1.09*2.93*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Semester 1 2014*2014-01-01*2014-06-30*2231*informesfondos@gruposantander.com*Baa1*5 en una escala del 1 al 7*0.9*0.22**1164055.69*3612*0.0*77490522*false*66.5694*0.79**0.79*0.05*0.56*2.36*0.48*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Trimester 1 2014*2014-01-01*2014-03-31*2231*informesfondos@gruposantander.com*Baa1*5 en una escala del 1 al 7*0.6*0.18**1356548.8*3918*0.0*89797950*false*66.1959*0.4**0.4*0.02*0.8*2.81*0.49*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER MULTIGESTIï¿½N, F.I.*82759937*Semester 2 2015*2015-07-01*2015-12-31*2231*comsanassetm@gruposantander.com*A 3*5 en una escala del 1 al 7*1.36*-0.1**865046.09*3009*0.0*56393459*false*65.1913*0.76**0.76*0.05***0.4*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Trimester 3 2015*2015-07-01*2015-09-30*2231*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*1.09*-0.13**704691.23*2713*0.0*45684419*false*64.829*0.4**0.4*0.03*-2.41*3.0*0.43*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Semester 1 2015*2015-01-01*2015-06-30*2231*comsanassetm@gruposantander.com*A 3*5 en una escala del 1 al 7*0.31*-0.03**753680.77*2827*0.0*50069096*false*66.4328*0.79**0.79*0.05*-0.35*2.61*0.43*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Trimester 1 2015*2015-01-01*2015-03-31*2231*comsanassetm@gruposantander.com*Baa1*5 en una escala del 1 al 7*0.08*0.01**877087.49*3060*0.0*58474733*false*66.6692*0.4**0.4*0.02*0.39*2.32*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER MULTIGESTIï¿½N, F.I.*82759937*Semester 2 2016*2016-07-01*2016-12-31*2231*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.29*-0.05**694835.7*2653*0.0*44712050*false*64.3491*0.7**0.7*0.05*0.0*1.58*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER MULTIGESTIÓN, F.I.*82759937*Trimester 3 2016*2016-07-01*2016-09-30*2231*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.08*0.0**734362.44*2730*0.0*47256191*false*64.35*0.35**0.35*0.03*1.28*1.81*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER MULTIGESTIÓN, F.I.*82759937*Semester 1 2016*2016-01-01*2016-06-30*2231*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.54*-0.01**752132.86*2786*0.0*47786080*false*63.5341*0.7**0.7*0.05*0.03*2.53*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER MULTIGESTIÓN, F.I.*82759937*Trimester 1 2016*2016-01-01*2016-03-31*2231*comsanassetm@gruposantander.com*A 3*5 en una escala del 1 al 7*0.37*0.0**809943.37*2894*0.0*51443406*false*63.5148*0.35**0.35*0.02***0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Multigestiï¿½n, F.I.*82759937*Semester 2 2017*2017-07-01*2017-12-31*2231*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.26*-0.27**613482.73*2386*0.0*40268011*false*65.6384*0.71**0.71*0.05*0.75*1.54*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Multigestión, F.I.*82759937*Trimester 3 2017*2017-07-01*2017-09-30*2231*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.21*-0.27**614433.6*2434*0.0*40030773*false*65.1507*0.35**0.35*0.03*0.7*1.72*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER MULTIGESTIÓN, F.I.*82759937*Semester 1 2017*2017-01-01*2017-06-30*2231*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.67*-0.27**628437.78*2474*0.0*40660322*false*64.7006*0.69**0.69*0.05*0.1*1.72*0.57*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER MULTIGESTIÓN, F.I.*82759937*Trimester 1 2017*2017-01-01*2017-03-31*2231*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.22*-0.27**659633.51*2563*0.0*42636000*false*64.6359*0.35**0.35*0.02*0.45*1.37*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Retorno Absoluto, F.I.*82759937*Trimester 3 2018*2018-07-01*2018-09-30*2231*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*1.72*-0.49**559981.96*2208*0.0*35624631*false*63.6175*0.23*0.0*0.23*0.03***0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Multigestión, F.I.*82759937*Semester 1 2018*2018-01-01*2018-06-30*2231*comsanassetm@gruposantander.com*A 2*5 en una escala del 1 al 7*0.64*-0.34**589655.29*2304*0.0*38020143*false*64.4786*0.69**0.69*0.05*-0.84*1.69*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Multigestión, F.I.*82759937*Trimester 1 2018*2018-01-01*2018-03-31*2231*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.24*-0.31**610581.67*2340*0.0*39700983*false*65.0216*0.35**0.35*0.02*-0.94*2.69*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Multigestiï¿½n, F.I.*82759937*Semester 2 2017*2017-07-01*2017-12-31*2231*comsanassetm@gruposantander.com*A3*5 en una escala del 1 al 7*0.26*-0.27**613482.73*2386*0.0*40268011*false*65.6384*0.71**0.71*0.05*0.75*1.54*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Retorno Absoluto, F.I.*82759937*Semester 2 2019*2019-07-01*2019-12-31*2231*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.0*-0.34**502433.33*1925*0.0*31216506*false*62.1306*0.45*0.0*0.45*0.05*0.15*2.13*0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Retorno Absoluto, F.I.*82759937*Trimester 3 2019*2019-07-01*2019-09-30*2231*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.0*-0.3**530440.61*1993*0.0*32907176*false*62.0374*0.23*0.0*0.23*0.03*-0.13*2.35*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Retorno Absoluto, F.I.*82759937*Semester 1 2019*2019-01-01*2019-06-30*2231*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.22*-0.3**545092.28*2022*0.0*33860971*false*62.1197*0.45*0.0*0.45*0.05*-1.22*2.06*0.58*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Retorno Absoluto, F.I.*82759937*Trimester 1 2019*2019-01-01*2019-03-31*2231*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.0*-0.3**587299.88*2070*0.0*36934123*false*62.888*0.22*0.0*0.22*0.02*-0.19*2.9*0.57*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Retorno Absoluto, F.I.*82759937*Semester 2 2020*2020-07-01*2020-12-31*2231*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.19*-0.5**380310.78*1768*0.0*24397449*false*64.1513*0.45*0.0*0.45*0.05*6.88*4.96*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Retorno Absoluto, F.I.*82759937*Trimester 3 2020*2020-07-01*2020-09-30*2231*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.03*-0.5**392788.56*1799*0.0*23575729*false*60.0214*0.23*0.0*0.23*0.03*0.39*3.68*0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Retorno Absoluto, F.I.*82759937*Semester 1 2020*2020-01-01*2020-06-30*2231*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.6*-0.53**397042.99*1817*0.0*23739200*false*59.79*0.45*0.0*0.45*0.05*5.24*5.18*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*Santander Retorno Absoluto, F.I.*82759937*Trimester 1 2020*2020-01-01*2020-03-31*2231*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.38*-0.55**465945.15*1826*0.0*26471783*false*56.8131*0.22*0.0*0.22*0.02*-8.56*9.83*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
