fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 2 2009*2009-07-01*2009-12-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.0*0.0****0.0**false****1.13*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 3 2012*2012-07-01*2012-09-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.08*0.31**571348.68*2222*0.0*26056000*false*45.6039*0.57**0.57*0.05*5.86*20.75*0.62*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 1 2012*2012-01-01*2012-06-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.15*0.78**588943.88*2279*0.0*25370000*false*43.0775*1.12**1.12*0.1*-4.71*20.77*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 1 2012*2012-01-01*2012-03-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.1*1.06**618054.28*2371*0.0*27941000*false*45.2079*0.56**0.56*0.05*2.55*14.93*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 2 2011*2011-07-01*2011-12-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.06*0.0**659518.2*2451*0.0*29073000*false*44.0824*1.14**1.14*0.1*4.99*30.4*0.62*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 2 2013*2013-07-01*2013-12-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.28*0.0**650850.65*2218*0.0*36610000*false*56.2491*1.13**1.13*0.1*6.19*11.03*0.62*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 3 2013*2013-07-01*2013-09-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.11*0.11**605631.48*2113*0.0*32079000*false*52.9699*0.57**0.57*0.05*10.81*13.13*0.62*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 1 2013*2013-01-01*2013-06-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.3*0.11**600996.83*2110*0.0*28728000*false*47.8006*1.12**1.12*0.1*0.9*17.29*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 1 2013*2013-01-01*2013-03-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.13*0.11**602328.73*2130*0.0*28533000*false*47.3704*0.55**0.55*0.05*-0.15*15.34*0.6*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 2 2014*2014-07-01*2014-12-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.27*0.0**782119.81*2672*0.0*46118000*false*58.966*1.13**1.13*0.1*-2.49*20.48*0.62*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 3 2014*2014-07-01*2014-09-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.12*0.0**798946.34*2666*0.0*48316000*false*60.4743*0.57**0.57*0.05*-0.43*12.91*0.62*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 1 2014*2014-01-01*2014-06-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.2*0.12**730198.66*2513*0.0*44353000*false*60.7405*1.12**1.12*0.1*4.57*9.06*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 1 2014*2014-01-01*2014-03-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.11*0.17**668874.88*2283*0.0*38851000*false*58.0847*0.55**0.55*0.05*3.26*13.19*0.6*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 2 2015*2015-07-01*2015-12-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.16*0.0**1107474.9*3746*0.0*65674000*false*59.301*1.13**1.13*0.1*3.62*19.32*0.62*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 3 2015*2015-07-01*2015-09-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.07*0.0**1030806.1*3552*0.0*58992000*false*57.2287*0.57**0.57*0.05*-9.4*27.13*0.62*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 1 2015*2015-01-01*2015-06-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.18*0.0**937399.03*3260*0.0*59217000*false*63.1718*1.12**1.12*0.1*-5.18*17.71*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 1 2015*2015-01-01*2015-03-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.11*0.0**826028.75*2809*0.0*55037000*false*66.6286*0.55**0.55*0.05*12.99*15.76*0.6*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 2 2016*2016-07-01*2016-12-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.0*0.0**1118983.28*3416*0.0*69530000*false*62.1365*1.13**1.13*0.1*11.4*12.29*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 3 2016*2016-07-01*2016-09-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.0*0.0**1137170.92*3464*0.0*63424000*false*55.7739*0.57**0.57*0.05*3.24*16.34*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 1 2016*2016-01-01*2016-06-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.01*0.0**1179049.87*3564*0.0*63694000*false*54.0218*1.12**1.12*0.1*-1.78*30.17*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 1 2016*2016-01-01*2016-03-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.02*0.0**1213694.93*3659*0.0*66760000*false*55.0056*0.56**0.56*0.05*-7.24*26.71*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 3 2017*2017-07-01*2017-09-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.14*0.0**1206232.42*3584*0.0*80936000*false*67.0979*0.57**0.57*0.05*2.45*8.99*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 1 2017*2017-01-01*2017-06-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.38*0.0**1136310.89*3471*0.0*74416000*false*65.4893*1.12**1.12*0.1*-0.04*10.61*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 1 2017*2017-01-01*2017-03-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.23*0.0**1105034.9*3365*0.0*72400000*false*65.5185*0.56**0.56*0.05*5.44*9.55*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 2 2016*2016-07-01*2016-12-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.0*0.0**1118983.28*3416*0.0*69530000*false*62.1365*1.13**1.13*0.1*11.4*12.29*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE BOLSA EUROPA, F.I.*81008195*Semester 2 2018*2018-07-01*2018-12-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.4*0.0**1344657.14*3152*0.0*74760000*false*55.5981*1.14**1.14*0.1*-12.81*15.34*0.62*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE BOLSA EUROPA, F.I.*81008195*Trimester 3 2018*2018-07-01*2018-09-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.09*0.0**1673764.85*3305*0.0*106731000*false*63.7672*0.57**0.57*0.05*-1.76*9.91*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE BOLSA EUROPA, F.I.*81008195*Semester 1 2018*2018-01-01*2018-06-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.35*0.0**1710185.82*3427*0.0*111011000*false*64.9116*1.11**1.11*0.1*3.12*10.98*0.6*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE BOLSA EUROPA, F.I.*81008195*Trimester 1 2018*2018-01-01*2018-03-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.02*0.0**1349674.37*3624*0.0*84958000*false*62.947*0.55**0.55*0.05***0.6*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE BOLSA EUROPA, F.I.*81008195*Semester 2 2019*2019-07-01*2019-12-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *5 en escala de 1 a 7*0.22*0.0**2164056.34*2798*0.0*151964000*false*70.2216*1.13**1.13*0.1*5.35*11.62*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE BOLSA EUROPA, F.I.*81008195*Trimester 3 2019*2019-07-01*2019-09-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *5 en escala de 1 a 7*0.16*0.0**1811950.87*2859*0.0*120776000*false*66.6554*0.57**0.57*0.05*3.06*12.53*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE BOLSA EUROPA, F.I.*81008195*Semester 1 2019*2019-01-01*2019-06-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.54*0.0**1799751.21*2935*0.0*116397000*false*64.6742*1.11**1.11*0.1*2.59*10.53*0.6*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE BOLSA EUROPA, F.I.*81008195*Trimester 1 2019*2019-01-01*2019-03-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.12*0.0**1303637.49*3015*0.0*82176000*false*63.036*0.55**0.55*0.05*13.37*12.8*0.6*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE BOLSA EUROPA, F.I.*81008195*Semester 2 2020*2020-07-01*2020-12-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *6 en escala de 1 a 7*0.08*-0.72**2163044.71*2618*0.0*152077000*false*70.3071*1.13**1.13*0.1*9.02*16.79*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE BOLSA EUROPA, F.I.*81008195*Trimester 3 2020*2020-07-01*2020-09-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *6 en escala de 1 a 7*0.0*-0.3**2124745.56*2712*0.0*137024000*false*64.4898*0.57**0.57*0.05*1.22*16.73*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE BOLSA EUROPA, F.I.*81008195*Semester 1 2020*2020-01-01*2020-06-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *5 en escala de 1 a 7*0.31*-0.51**2061343.79*2743*0.0*131332000*false*63.7116*1.12**1.12*0.1*13.37*26.42*0.6*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE BOLSA EUROPA, F.I.*81008195*Trimester 1 2020*2020-01-01*2020-03-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *5 en escala de 1 a 7*0.24*-0.57**2136912.02*2732*0.0*120085000*false*56.1955*0.56**0.56*0.05*-19.97*42.6*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
