fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 2 2010*2010-07-01*2010-12-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.0*0.0**100000.0*1*0.0*499034*false*4.9903***0.0*0.0****UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Trimester 1 2014*2014-01-01*2014-03-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.27*0.09**5284842.62*124*0.0*29311838*false*5.5464*0.22*0.16*0.38*0.02***0.34*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 2 2013*2013-07-01*2013-12-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.09*0.05**5276640.64*122*0.0*28780421*false*5.4543*0.45*0.55*1.0*0.04*2.91*2.91*0.36*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 2 2015*2015-07-01*2015-12-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.49*0.0**7999330.58*156*0.0*47922737*false*5.9908*0.44*-0.01*0.43*0.04*4.72*7.95*0.38*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Trimester 3 2015*2015-07-01*2015-09-30*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.3*0.0**7208988.13*142*0.0*41242892*false*5.721*0.22*-0.42*-0.2*0.02*-4.56*11.57*0.33*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 1 2015*2015-01-01*2015-06-30*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.12*0.0**7171895.02*142*0.0*42990145*false*5.9943*0.44*0.47*0.91*0.04*-1.85*6.56*0.34*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Trimester 1 2015*2015-01-01*2015-03-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.01*-0.01**6928694.46*142*0.0*42314003*false*6.1071*0.22*0.7*0.92*0.02*8.17*6.71*0.35*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 2 2016*2016-07-01*2016-12-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.08*0.0**7917510.9*158*0.0*48320490*false*6.103*0.45*0.15*0.6*0.04*3.5*5.07*0.41*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Trimester 3 2016*2016-07-01*2016-09-30*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.04*0.0**8003571.91*162*0.0*47193958*false*5.8966*0.23**0.23*0.02*2.95*5.55*0.38*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 1 2016*2016-01-01*2016-06-30*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.23*0.0**7883238.84*158*0.0*45152826*false*5.7277*0.44**0.44*0.04*-0.56*8.52*0.37*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Trimester 1 2016*2016-01-01*2016-03-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.09*0.0**7971653.48*157*0.0*45918550*false*5.7602*0.22**0.22*0.02*-3.85*12.66*0.37*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 2 2017*2017-07-01*2017-12-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.05*0.0**8352777.47*155*0.0*53633695*false*6.4211*0.45*0.21*0.66*0.04*0.65*3.37*0.42*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Trimester 3 2017*2017-07-01*2017-09-30*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.0*0.0**7962732.26*155*0.0*50798560*false*6.3795*0.23*0.15*0.38*0.02*1.61*3.47*0.42*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 1 2017*2017-01-01*2017-06-30*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.08*0.0**7966429.61*154*0.0*50015131*false*6.2782*0.45*0.25*0.7*0.04*0.23*3.04*0.43*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Trimester 1 2017*2017-01-01*2017-03-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.08*0.0**8065204.23*162*0.0*50516693*false*6.2635*0.22*0.24*0.46*0.02*2.63*3.29*0.41*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 2 2018*2018-07-01*2018-12-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.16*0.0**8312938.28*140*0.0*48346642*false*5.8158*0.44*-0.01*0.43*0.04*-8.94*8.35*0.41*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Trimester 3 2018*2018-07-01*2018-09-30*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.01*0.0**8403286.66*147*0.0*53668595*false*6.3866*0.22*0.02*0.24*0.02*0.17*3.14*0.42*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 1 2018*2018-01-01*2018-06-30*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.0*0.0**8396828.06*148*0.0*53536707*false*6.3758*0.44*0.01*0.45*0.04*1.63*3.99*0.37*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Trimester 1 2018*2018-01-01*2018-03-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.0*0.0**12651281.04*153*0.0*79370590*false*6.2737*0.22**0.22*0.02*-2.29*5.87*0.36*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 2 2019*2019-07-01*2019-12-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.13*-0.33**7493540.52*121*0.0*47102156*false*6.2857*0.44**0.44*0.04*3.35*5.04*0.41*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Trimester 3 2019*2019-07-01*2019-09-30*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.17*-0.39**8197689.85*129*0.0*49855590*false*6.0817*0.22**0.22*0.02*-0.4*5.41*0.41*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 1 2019*2019-01-01*2019-06-30*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.19*-0.16**8083492.4*131*0.0*49360496*false*6.1063*0.44**0.44*0.04*-0.24*4.05*0.42*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Trimester 1 2019*2019-01-01*2019-03-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.09*0.0**8201190.12*133*0.0*50197262*false*6.1207*0.22**0.22*0.02*5.24*5.04*0.4*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 2 2020*2020-07-01*2020-12-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.12*-0.45**7549438.39*103*0.0*47231700*false*6.2563*0.44**0.44*0.04*8.62*7.62*0.39*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Trimester 3 2020*2020-07-01*2020-09-30*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.07*-0.45**7627488.92*104*0.0*43933874*false*5.7599*0.22**0.22*0.02*1.46*7.19*0.39*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Semester 1 2020*2020-01-01*2020-06-30*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.25*-0.43**7810858.27*110*0.0*44343971*false*5.6772*0.44**0.44*0.04*9.05*12.5*0.4*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
GLOBAL VALUE SELECTION FI*GLOBAL VALUE SELECTION FI*86111689*Trimester 1 2020*2020-01-01*2020-03-31*4305*departamento.atencion-cliente@ubs.com*n.d.*Muy Alto*0.04*-0.41**7831876.89*115*0.0*40774442*false*5.2062*0.22**0.22*0.02*-17.17*20.53*0.42*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0142338005
