fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 2 2009*2009-07-01*2009-12-31*249*info@profitgestion.es*n.d.*Medio*0.2*0.3**113767.55*334*0.0*179975273*false *1581.9561***0.46*0.04*1.94*3.37*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 3 2012*2012-07-01*2012-09-30*249*info@profitgestion.es*n.d.*Medio*0.14*0.36**111467.22*335*0.0*187640717*false *1683.3713*0.23*0.14*0.37*0.02*2.9*4.82*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 1 2012*2012-01-01*2012-06-30*249*info@profitgestion.es*n.d.*Medio*0.31*0.22**113104.09*333*0.0*185021696*false *1635.8533*0.45*0.1*0.55*0.03*-2.09*4.49*0.24*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 1 2012*2012-01-01*2012-03-31*249*info@profitgestion.es*n.d.*Medio*0.11*0.19**113332.93*331*0.0*189351853*false *1670.7576*0.22*0.2*0.42*0.02*4.19*3.07*0.24*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 2 2011*2011-07-01*2011-12-31*249*info@profitgestion.es*n.d.*Medio*0.19*0.83**114651.54*337*0.0*183843886*false *1603.5012*0.45*-0.1*0.35*0.04*2.75*7.96*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 1 2008*2008-01-01*2012-12-31*249*info@profitgestion.es*n.d.*MEDIO*****************GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 1 2011*2011-01-01*2011-12-31*249*info@profitgestion.es*n.d.*MEDIO**************0.02*6.66*0.89*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 1 2010*2010-01-01*2012-12-31*249*info@profitgestion.es*n.d.*MEDIO*****************GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 1 2010*2010-01-01*2012-12-31*249*info@profitgestion.es*n.d.*MEDIO*****************GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 2 2014*2014-07-01*2014-12-31*249*info@profitgestion.es*n.d.*MEDIO*0.02*0.01**125179.64*427*0.0*242909476*false*1940.487*0.45*0.06*0.51*0.04*0.28*4.74*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 3 2014*2014-07-01*2014-09-30*249*info@profitgestion.es*n.d.*MEDIO*0.0*0.01**122921.23*419*0.0*237868961*false*1935.1333*0.23*0.05*0.28*0.02*0.91*2.38*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 1 2014*2014-01-01*2014-06-30*249*info@profitgestion.es*n.d.*MEDIO*0.1*0.08**121601.75*415*0.0*233196565*false*1917.7074*0.45*0.15*0.6*0.03*2.46*2.2*0.24*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 1 2014*2014-01-01*2014-03-31*249*info@profitgestion.es*n.d.*MEDIO*0.05*0.08**119796.47*406*0.0*224225169*false*1871.7177*0.22*0.03*0.25*0.02*0.61*3.46*0.24*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 2 2015*2015-07-01*2015-12-31*249*info@profitgestion.es*n.d.*4 en una escala de 1 al 7*0.0*0.0**127767.76*446*0.0*249495584*false*1952.7272*0.45*-0.09*0.36*0.04*2.05*5.62*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 3 2015*2015-07-01*2015-09-30*249*info@profitgestion.es*n.d.*4 en una escala de 1 al 7*0.05*0.0**130108.82*447*0.0*248955536*false*1913.4409*0.23*-0.11*0.12*0.02*-3.75*7.19*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 1 2015*2015-01-01*2015-06-30*249*info@profitgestion.es*n.d.*MEDIO*0.0*0.0**129312.13*433*0.0*257082186*false*1988.0748*0.45*0.11*0.56*0.03*-1.09*4.22*0.24*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 1 2015*2015-01-01*2015-03-31*249*info@profitgestion.es*n.d.*MEDIO*0.0*0.01**125827.81*434*0.0*252904597*false*2009.9262*0.22*0.17*0.39*0.02*3.58*4.4*0.24*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 2 2016*2016-07-01*2016-12-31*249*info@profitgestion.es*n.d.*4 en una escala de 1 al 7*0.0*0.0**140587.29*448*0.0*283601617*false*2017.2635*0.45*0.17*0.62*0.04*2.29*2.74*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 3 2016*2016-07-01*2016-09-30*249*info@profitgestion.es*n.d.*4 en una escala de 1 al 7*0.0*0.0**138118.52*443*0.0*272389273*false*1972.1415*0.23*0.06*0.29*0.02*1.6*3.35*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 1 2016*2016-01-01*2016-06-30*249*info@profitgestion.es*n.d.*4 en una escala de 1 al 7*0.0*0.0**137339.55*445*0.0*266588060*false*1941.0874*0.45*0.0*0.45*0.03*0.43*6.67*0.24*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 1 2016*2016-01-01*2016-03-31*249*info@profitgestion.es*n.d.*4 en una escala de 1 al 7*0.0*0.0**136078.41*444*0.0*263017536*false*1932.8381*0.22*0.0*0.22*0.02*-1.02*7.61*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 2 2017*2017-07-01*2017-12-31*249*N/D*Baa2 (Moody's)*4 en una escala del 1 al 7*0.0*0.14**141029.51*447*0.0*291364582*false*2065.9832*0.4*0.09*0.49*0.04*1.03*2.12*0.22*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 3 2017*2017-07-01*2017-09-30*249*N/D*Baa2 (Moody's)*4 en una escala del 1 al 7*0.07*0.01**144246.31*444*0.0*294981092*false*2044.982*0.2*0.04*0.24*0.02*0.82*2.06*0.22*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 1 2017*2017-01-01*2017-06-30*249*N/D*Baa2 (Moody's)*4 en una escala del 1 al 7*0.1*-0.2**144033.87*449*0.0*292156394*false*2028.3868*0.39*0.03*0.42*0.03*-0.6*2.29*0.22*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 1 2017*2017-01-01*2017-03-31*249*N/D*Baa2 (Moody's)*4 en una escala del 1 al 7*0.06*-0.23**141875.23*443*0.0*289523234*false*2040.6891*0.19*0.06*0.25*0.02*1.16*2.22*0.21*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 2 2018*2018-07-01*2018-12-31*249*N/D*Baa2 (Moody's)*4 en una escala del 1 al 7*0.06*0.5**136963.62*447*0.0*270474198*false*1974.7886*0.4*0.0*0.4*0.04*-4.73*4.87*0.22*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 3 2018*2018-07-01*2018-09-30*249*N/D*Baa2 (Moody's)*4 en una escala del 1 al 7*0.01*0.49**139582.76*449*0.0*289329640*false*2072.8179*0.2*0.02*0.22*0.02*0.94*2.58*0.22*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 1 2018*2018-01-01*2018-06-30*249*N/D*Baa2 (Moody's)*4 en una escala del 1 al 7*0.22*0.38**139083.81*453*0.0*285599663*false*2053.4357*0.39*0.0*0.39*0.03*0.42*3.28*0.22*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 1 2018*2018-01-01*2018-03-31*249*N/D*Baa2 (Moody's)*4 en una escala del 1 al 7*0.15*0.42**141634.92*449*0.0*289633723*false*2044.9316*0.19*0.0*0.19*0.02*-1.02*3.3*0.21*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
