fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 2 2009*2009-07-01*2009-12-31*2295*35049900@bancopopular.es*Aa3*Medio*0.47*0.3**158551.58*2988*0.0*50786138*false*320.313***0.68*0.08*15.97*20.6*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 2 2012*2012-07-01*2012-12-31*2295*35049900@bancopopular.es*BB+*Alto*0.36*0.01**83271.41*1746*0.0*28360228*false*340.5758*0.68**0.68*0.08*3.14*8.81*0.43*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 3 2012*2012-07-01*2012-09-30*2295*35049900@bancopopular.es*BB+*Alto*0.2*0.02**89958.17*1892*0.0*29705709*false*330.2169*0.34**0.34*0.04*4.85*13.47*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 1 2012*2012-01-01*2012-06-30*2295*35049900@bancopopular.es*BBB-*Alto*0.39*0.18**92899.67*1959*0.0*29258767*false*314.9502*0.67**0.67*0.07*-9.07*13.64*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 1 2012*2012-01-01*2012-03-31*2295*35049900@bancopopular.es*BBB-*Alto*0.19*0.33**109578.9*2199*0.0*37953715*false*346.3597*0.34**0.34*0.04*11.06*14.77*0.47*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 3 2013*2013-07-01*2013-09-30*2295*35049900@bancopopular.es*BB-*Muy alto*0.2*0.01**60943.55*1469*0.0*18100272*false*297.0006*0.34**0.34*0.04*-0.01*17.34*0.42*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 1 2013*2013-01-01*2013-06-30*2295*35049900@bancopopular.es*BB-*Muy alto*0.24*0.02**73212.22*1613*0.0*21746781*false*297.0376*0.67**0.67*0.07*-16.83*17.69*0.41*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 1 2013*2013-01-01*2013-03-31*2295*35049900@bancopopular.es*BB+*Muy alto*0.1*0.02**82667.41*1748*0.0*29525204*false*357.1565*0.33**0.33*0.04*4.87*10.19*0.41*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 2 2012*2012-07-01*2012-12-31*2295*35049900@bancopopular.es*BB+*Alto*0.36*0.01**83271.41*1746*0.0*28360228*false*340.5758*0.68**0.68*0.08*3.14*8.81*0.43*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 2 2014*2014-07-01*2014-12-31*2295*35049900@bancopopular.es*A+*Muy alto*0.45*0.01**31219.33*964*0.0*8583020*false*274.9265*0.68**0.68*0.08*-8.18*28.2*0.57*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 3 2014*2014-07-01*2014-09-30*2295*35049900@bancopopular.es*A+*Muy alto*0.23*0.02**34126.93*1054*0.0*10218355*false*299.422*0.34*0.29*0.63*0.04*0.61*16.01*0.58*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 1 2014*2014-01-01*2014-06-30*2295*35049900@bancopopular.es*A+*Muy alto*0.71*0.04**34420.77*1040*0.0*10243877*false*297.6074*0.67**0.67*0.07*7.55*11.31*0.57*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 1 2014*2014-01-01*2014-03-31*2295*35049900@bancopopular.es*B+*Muy alto*0.54*0.02**36126.42*1089*0.0*9996533*false*276.7098*0.33**0.33*0.04*-1.8*15.08*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 2 2015*2015-07-01*2015-12-31*2295*35049900@bancopopular.es*A+*6*0.51*0.0**22751.2*721*0.0*4852657*false*213.2923*0.68**0.68*0.08*0.26*24.28*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 3 2015*2015-07-01*2015-09-30*2295*35049900@bancopopular.es*A+*6*0.45*0.0**23787.53*761*0.0*5060561*false*212.7401*0.34**0.34*0.04*-22.61*30.23*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 1 2015*2015-01-01*2015-06-30*2295*35049900@bancopopular.es*A+*6*0.27*0.0**26182.69*813*0.0*7197742*false*274.9046*0.67**0.67*0.07*-1.33*14.42*0.57*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 1 2015*2015-01-01*2015-03-31*2295*35049900@bancopopular.es*A+*6*0.14*0.0**27167.28*838*0.0*7569276*false*278.6174*0.34*0.12*0.46*0.04*1.34*19.65*0.57*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 2 2016*2016-07-01*2016-12-31*2295*35049900@bancopopular.es*A+*6*0.62*0.0**35418.21*937*0.0*9381955*false*264.8907*0.68*0.42*1.1*0.08*2.11*22.42*0.58*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 3 2016*2016-07-01*2016-09-30*2295*35049900@bancopopular.es*A+*6*0.55*0.0**37430.82*964*0.0*9709870*false*259.4084*0.34*0.28*0.62*0.04*4.4*16.39*0.58*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 1 2016*2016-01-01*2016-06-30*2295*35049900@bancopopular.es*A+*6*0.29*0.0**23633.9*725*0.0*5872604*false*248.4822*0.67*1.39*2.06*0.07*6.07*18.98*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 1 2016*2016-01-01*2016-03-31*2295*35049900@bancopopular.es*A+*6*0.09*0.0**22603.77*712*0.0*5295363*false*234.269*0.34*0.86*1.2*0.04*9.83*27.54*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 3 2017*2017-07-01*2017-09-30*2295*35049900@bancopopular.es*A+*6*0.18*0.0**38314.04*911*0.0*11422098*false*298.1178*0.34*0.83*1.17*0.04*9.94*11.52*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 1 2017*2017-01-01*2017-06-30*2295*35049900@bancopopular.es*A+*6*0.41*0.0**37454.38*921*0.0*10156020*false*271.1571*0.67*0.08*0.75*0.07*-7.48*21.23*0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 1 2017*2017-01-01*2017-03-31*2295*35049900@bancopopular.es*A+*6*0.24*0.0**42215.98*1043*0.0*12372816*false*293.0837*0.33*0.84*1.17*0.04*10.64*14.8*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 2 2016*2016-07-01*2016-12-31*2295*35049900@bancopopular.es*A+*6*0.62*0.0**35418.21*937*0.0*9381955*false*264.8907*0.68*0.42*1.1*0.08*2.11*22.42*0.58*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 2 2018*2018-07-01*2018-12-31*2295*35049900@bancopopular.es*A+*6*0.25*0.0**28552.91*731*0.0*7897279*false*276.5841*0.68**0.68*0.08*3.05*20.86*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 3 2018*2018-07-01*2018-09-30*2295*35049900@bancopopular.es*A+*6*0.11*0.0**29749.01*749*0.0*7984661*false*268.4009*0.34**0.34*0.04*5.8*18.44*0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 1 2018*2018-01-01*2018-06-30*2295*35049900@bancopopular.es*A+*6*0.76*0.0**33267.24*805*0.0*8439856*false*253.6987*0.67**0.67*0.07*-14.22*19.61*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 1 2018*2018-01-01*2018-03-31*2295*35049900@bancopopular.es*A+*6*0.29*0.0**41787.89*911*0.0*12359070*false*295.7572*0.33*0.26*0.59*0.04*3.44*14.72*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 2 2019*2019-07-01*2019-12-31*2295*35049900@bancopopular.es*A+*6*0.25*0.0**24179.8*638*0.0*7981469*false*330.0883*0.68*0.48*1.16*0.08*7.0*12.3*0.62*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 3 2019*2019-07-01*2019-09-30*2295*35049900@bancopopular.es*A+*6*0.1*0.0**25520.62*682*0.0*7872907*false*308.492*0.34*-0.13*0.21*0.04*-1.37*18.29*0.6*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 1 2019*2019-01-01*2019-06-30*2295*35049900@bancopopular.es*A+*6*0.29*0.0**26509.35*717*0.0*8291404*false*312.7728*0.67*0.78*1.45*0.07*4.27*13.22*0.58*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 1 2019*2019-01-01*2019-03-31*2295*35049900@bancopopular.es*A+*6*0.19*0.0**28690.18*758*0.0*8605802*false*299.9564*0.34*0.4*0.74*0.04*8.45*17.82*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
