fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 2 2009*2009-07-01*2009-12-31*3492*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Bajo*0.07*0.44**5712.67*1925*0.0*46290730*false*8103.1687***0.5*0.0*-0.07*0.32*0.28*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 2 2012*2012-07-01*2012-12-31*3492*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio / Bajo*0.15*0.13**2928.52*1159*0.0*24317596*false*8303.7061*0.5**0.5*0.0*0.36*0.17*0.25*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 3 2012*2012-07-01*2012-09-30*3492*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio / Bajo*0.12*0.16**3012.98*1190*0.0*24927933*false*8273.5273*0.25**0.25*0.0*0.51*0.4*0.26*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 1 2012*2012-01-01*2012-06-30*3492*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Bajo*0.21*0.35**3126.45*1244*0.0*25736003*false*8231.693*0.5**0.5*0.0*-0.37*0.62*0.25*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 1 2012*2012-01-01*2012-03-31*3492*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Bajo*0.26*0.37**3497.59*1327*0.0*28897671*false*8262.1775*0.25**0.25*0.0*0.75*0.24*0.25*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 3 2013*2013-07-01*2013-09-30*3492*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*2 en una escala del 1 al 7*0.0*0.09**2637.45*1069*0.0*21999394*false*8341.1549*0.25**0.25*0.0*0.21*0.13*0.26*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 1 2013*2013-01-01*2013-06-30*3492*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio / Bajo*0.22*0.08**2744.46*1098*0.0*22844823*false*8323.9793*0.5**0.5*0.0*0.11*0.19*0.25*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 1 2013*2013-01-01*2013-03-31*3492*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio / Bajo*0.12*0.08**2829.92*1122*0.0*23530647*false*8314.9636*0.25**0.25*0.0*0.14*0.21*0.25*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 2 2012*2012-07-01*2012-12-31*3492*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio / Bajo*0.15*0.13**2928.52*1159*0.0*24317596*false*8303.7061*0.5**0.5*0.0*0.36*0.17*0.25*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 3 2014*2014-07-01*2014-09-30*3492*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.62*0.03**2385.26*988*0.0*20014327*false*8390.8437*0.18**0.18*0.01***0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 1 2014*2014-01-01*2014-06-30*3492*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*2 en una escala del 1 al 7*2.03*0.22**2382.01*1004*0.0*19954196*false*8377.0392*0.47**0.47*0.0*0.2*0.45*0.23*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 1 2014*2014-01-01*2014-03-31*3492*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*2 en una escala del 1 al 7*0.1*0.2**2460.0*1015*0.0*20565384*false*8359.9102*0.25**0.25*0.0*0.13*0.11*0.25*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 2 2013*2013-07-01*2013-12-31*3492*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*2 en una escala del 1 al 7*0.0*0.11**2541.67*1048*0.0*21219527*false*8348.6419*0.5**0.5*0.0*0.09*0.1*0.26*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 2 2015*2015-07-01*2015-12-31*3492*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.0**2736.4*1010*0.0*22921784*false*8376.6203*0.35**0.35*0.03*-0.27*0.7*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 3 2015*2015-07-01*2015-09-30*3492*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.09*0.0**2585.58*1000*0.0*21717820*false*8399.5774*0.18**0.18*0.01*0.04*0.24*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 1 2015*2015-01-01*2015-06-30*3492*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.01**2619.88*1010*0.0*21997770*false*8396.4764*0.35**0.35*0.02*-0.21*0.27*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 1 2015*2015-01-01*2015-03-31*3492*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.01**2609.76*1007*0.0*21958984*false*8414.1868*0.17**0.17*0.01*0.32*0.18*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 2 2016*2016-07-01*2016-12-31*3492*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*3 en una escala del 1 al 7*0.12*0.0**3504.44*1150*0.0*29430527*false*8398.0626*0.35**0.35*0.03*-0.16*0.46*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 3 2016*2016-07-01*2016-09-30*3492*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.0**3212.27*1093*0.0*27019657*false*8411.384*0.18**0.18*0.01*0.2*0.32*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 1 2016*2016-01-01*2016-06-30*3492*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.75*0.0**3168.85*1063*0.0*26600003*false*8394.2082*0.35**0.35*0.02*-0.02*0.54*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 1 2016*2016-01-01*2016-03-31*3492*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.37*0.0**2812.85*1009*0.0*23616189*false*8395.8294*0.17**0.17*0.01*0.23*0.36*0.2*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 2 2017*2017-07-01*2017-12-31*3492*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala del 1 al 7*0.02*-0.08**3718.63*1128*0.0*31333006*false*8425.965*0.35**0.35*0.03*-0.04*0.17*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 3 2017*2017-07-01*2017-09-30*3492*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala del 1 al 7*0.0*0.0**3693.52*1147*0.0*31135009*false*8429.6303*0.18**0.18*0.01*0.08*0.21*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 1 2017*2017-01-01*2017-06-30*3492*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala del 1 al 7*0.49*0.0**3515.45*1148*0.0*29609697*false*8422.7227*0.35**0.35*0.02*0.28*0.24*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 1 2017*2017-01-01*2017-03-31*3492*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*3 en una escala del 1 al 7*0.43*0.0**3286.54*1107*0.0*27604204*false*8399.1634*0.17**0.17*0.01*0.01*0.36*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 2 2018*2018-07-01*2018-12-31*3492*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala del 1 al 7*0.49*-0.11**2847.22*982*0.0*23601678*false*8289.3862*0.35**0.35*0.03*-0.62*0.49*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 3 2018*2018-07-01*2018-09-30*3492*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala del 1 al 7*0.27*-0.11**3226.58*1040*0.0*26912904*false*8340.9936*0.18**0.18*0.01*-0.07*0.29*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 1 2018*2018-01-01*2018-06-30*3492*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala del 1 al 7*0.33*-0.24**3600.94*1074*0.0*30055954*false*8346.6906*0.35**0.35*0.02*-0.73*0.73*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 1 2018*2018-01-01*2018-03-31*3492*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala del 1 al 7*0.25*-0.2**3722.58*1105*0.0*31300210*false*8408.208*0.17**0.17*0.01*-0.21*0.24*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 2 2019*2019-07-01*2019-12-31*3492*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala del 1 al 7*0.79*-0.08**2951.77*942*0.0*24450034*false*8283.1678*0.35**0.35*0.03*-0.13*0.16*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 3 2019*2019-07-01*2019-09-30*3492*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala del 1 al 7*0.38*-0.14**2970.87*960*0.0*24640038*false*8293.8846*0.18**0.18*0.01*-0.11*0.17*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 1 2019*2019-01-01*2019-06-30*3492*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala del 1 al 7*0.55*-0.21**2863.45*953*0.0*23775915*false*8303.2461*0.35**0.35*0.02*-0.03*0.26*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 1 2019*2019-01-01*2019-03-31*3492*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala del 1 al 7*0.23*-0.19**2805.66*970*0.0*23303747*false*8305.9706*0.17**0.17*0.01*0.2*0.22*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 3 2020*2020-07-01*2020-09-30*3492*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala del 1 al 7*0.13*-0.37**2667.85*970*0.0*21841054*false*8186.7569*0.18**0.18*0.01**0.26*0.2*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 1 2020*2020-01-01*2020-06-30*3492*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala del 1 al 7*0.2*-0.29**2752.05*991*0.0*22529463*false*8186.424*0.35**0.35*0.02*0.73*0.51*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 1 2020*2020-01-01*2020-03-31*3492*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala del 1 al 7*0.0*-0.21**3016.2*1032*0.0*24513301*false*8127.2079*0.17**0.17*0.01*-1.88*1.27*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 2 2019*2019-07-01*2019-12-31*3492*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala del 1 al 7*0.79*-0.08**2951.77*942*0.0*24450034*false*8283.1678*0.35**0.35*0.03*-0.13*0.16*0.19*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
