fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.M.F*2009 T3*2009-07-01*2009-09-30*ALTO*0.21*0.24**1540365.08*166*0.0*15521130*false*10.0763***0.18*0.0*2.03*1.56*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.M.F*2009 S1*2009-01-01*2009-06-30*ALTO*1.02*0.75**1218649.09*160*0.0*12034886*false*9.8756***0.35*0.0*3.72*3.07*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2010 S2*2010-07-01*2010-12-31*Alto*0.64*0.35**2100540.18*157*0.0*21329557*false*10.1543***0.35*0.0*1.38*5.5*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2010 T3*2010-07-01*2010-09-30*Alto*0.18*0.34**2147720.16*167*0.0*21512734*false*10.0165***0.18*0.0*-0.18*3.93*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2010 S1*2010-01-01*2010-06-30*Alto*0.74*0.24**2131986.23*166*0.0*21393324*false*10.0345***0.35*0.0*-0.72*4.56*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.M.F*2010 T1*2010-01-01*2010-03-31*Alto*0.32*0.23**2168781.85*174*0.0*21919370*false*10.1068***0.17*0.0*-0.23*2.28*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2011 T3*2011-07-01*2011-09-30*Alto*0.12*0.65**427059.64*113*0.0*3925807*false*9.1926***0.18*0.0*-6.6*8.18*0.19*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2011 S1*2011-01-01*2011-06-30*Alto*0.82*0.51**1627125.19*131*0.0*16014668*false*9.8423***0.35*0.0*-0.68*4.27*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2011 T1*2011-01-01*2011-03-31*Alto*0.45*0.4**2030621.43*149*0.0*20122570*false*9.9096***0.17*0.0*-2.41*4.97*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2014 S1*2014-01-01*2014-06-30*3, en una escala del 1 al 7*1.59*0.1**1850304.22*105*0.0*19523390*false*10.5514*0.3**0.3*0.05*1.89*2.97*0.26*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2014 T1*2014-01-01*2014-03-31*3, en una escala del 1 al 7*0.59*0.11**1861480.86*105*0.0*19276865*false*10.3557*0.15**0.15*0.02*2.05*3.79*0.25*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2015 S2*2015-07-01*2015-12-31*3, en una escala del 1 al 7*1.71*0.0**3036184.03*143*0.0*33582112*false*11.0606*0.3**0.3*0.05*2.37*6.35*0.21*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2015 T3*2015-07-01*2015-09-30*3, en una escala del 1 al 7*0.97*0.0**3058967.96*149*0.0*33051089*false*10.8047*0.15**0.15*0.03*-1.81*9.39*0.22*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2015 S1*2015-01-01*2015-06-30*3, en una escala del 1 al 7*1.29*0.0**3061830.33*152*0.0*33693160*false*11.0043*0.3**0.3*0.05*-2.72*7.53*0.22*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2015 T1*2015-01-01*2015-03-31*3, en una escala del 1 al 7*0.49*0.0**2723940.96*134*0.0*30813408*false*11.3121*0.15**0.15*0.02*5.06*5.44*0.23*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2016 S2*2016-07-01*2016-12-31*4, en una escala del 1 al 7*1.17*-0.01**2814585.42*135*0.0*31833712*false*11.3103*0.3**0.3*0.05*2.12*3.31*0.22*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2016 T3*2016-07-01*2016-09-30*3, en una escala del 1 al 7*0.62*0.0**2449912.04*131*0.0*27133707*false*11.0754*0.15**0.15*0.03*1.55*2.65*0.21*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2016 S1*2016-01-01*2016-06-30*3, en una escala del 1 al 7*1.6*0.0**2844936.26*132*0.0*31027423*false*10.9062*0.3**0.3*0.05*1.35*7.59*0.2*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2016 T1*2016-01-01*2016-03-31*3, en una escala del 1 al 7*0.6*0.0**2885091.59*139*0.0*31046827*false*10.7611*0.15**0.15*0.02*-2.71*10.22*0.21*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2017 S2*2017-07-01*2017-12-31*4, en una escala del 1 al 7*1.5*-0.03**3401445.0*124*0.0*39274512*false*11.5464*0.3**0.3*0.05*0.72*2.16*0.22*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2017 T3*2017-07-01*2017-09-30*4, en una escala del 1 al 7*0.65*-0.01**3414907.2*132*0.0*39147502*false*11.4637*0.15**0.15*0.03*-0.02*2.99*0.22*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2017 S1*2017-01-01*2017-06-30*4, en una escala del 1 al 7*1.19*0.0**3400362.18*132*0.0*38987948*false*11.4658*0.3**0.3*0.05*0.44*2.39*0.21*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2017 T1*2017-01-01*2017-03-31*4, en una escala del 1 al 7*0.37*0.0**3243924.52*134*0.0*37031405*false*11.4156*0.15**0.15*0.02*0.93*1.4*0.21*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I. A*2018 T3*2018-07-01*2018-09-30*4, en una escala del 1 al 7*0.42*0.0**807721.27*117*0.0*9164722*false*11.3464*0.3*0.0*0.3*0.01*-0.07*3.36*0.36*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I. B*2018 T3*2018-07-01*2018-09-30*4, en una escala del 1 al 7*0.42*0.0**2612734.47*4*0.0*29698560*false*11.3668*0.18*0.0*0.18*0.01*0.05*3.35*0.24*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I. L*2018 T3*2018-07-01*2018-09-30*4, en una escala del 1 al 7*0.42*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T32018_V-81218596_da"" decimals=""2"" unitref=""pure"">-0.07</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_T32018_V-81218596_da"" decimals=""2"" unitref=""pure"">0.05</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32018_V-81218596_da"" decimals=""2"" unitref=""pure"">3.36</iic-com-fon:volatilidadvalorliquidativo>, <iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32018_V-81218596_da"" decimals=""2"" unitref=""pure"">3.35</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_T32018_V-81218596_da"" decimals=""2"" unitref=""pure"">0.36</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_T32018_V-81218596_da"" decimals=""2"" unitref=""pure"">0.24</iic-com:ratiototalgastos>]"*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO A MODERADO F.I. S/*2018 S1*2018-01-01*2018-06-30*4, en una escala del 1 al 7*0.0*0.0**815731.16*119*0.0*9262526*false*11.3549*0.49*0.0*0.49*0.06*[]*[]*0.6*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO B MODERADO F.I. S/*2018 S1*2018-01-01*2018-06-30*4, en una escala del 1 al 7*0.0*0.0**2658754.89*4*0.0*30206178*false*11.361*0.09*0.0*0.09*0.01*[]*[]*0.15*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO L MODERADO F.I. S/*2018 S1*2018-01-01*2018-06-30*4, en una escala del 1 al 7*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*"[<iic-com:ratiototalgastos contextref=""FIM_S12018_V-81218596_daq"" decimals=""2"" unitref=""pure"">0.60</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_S12018_V-81218596_daq"" decimals=""2"" unitref=""pure"">0.15</iic-com:ratiototalgastos>]"*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2018 T1*2018-01-01*2018-03-31*4, en una escala del 1 al 7*0.54*0.0**3497311.14*122*0.0*39882367*false*11.4037*0.15**0.15*0.02*-1.24*3.55*0.22*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2019 S2*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.4*-0.28**665109.9*103*0.0*7760077*false*11.6674*0.6*0.1*0.7*0.03*1.03*2.45*0.37*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2019 S2*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.4*-0.28**1521279.84*4*0.0*17892948*false*11.7618*0.35*0.16*0.51*0.03*1.16*2.45*0.24*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2019 S2*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.4*-0.28**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*"[<iic-com:ratiototalgastos contextref=""FIM_S22019_V-81218596_daq"" decimals=""2"" unitref=""pure"">0.37</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_S22019_V-81218596_daq"" decimals=""2"" unitref=""pure"">0.24</iic-com:ratiototalgastos>]"*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2019 T3*2019-07-01*2019-09-30*3, en una escala del 1 al 7*0.23*-0.27**667239.9*108*0.0*7705777*false*11.5487*0.3*0.0*0.3*0.01*1.2*3.31*0.37*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2019 T3*2019-07-01*2019-09-30*3, en una escala del 1 al 7*0.23*-0.27**1521279.84*4*0.0*17688717*false*11.6275*0.18*0.06*0.24*0.01*1.33*3.31*0.24*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2019 T3*2019-07-01*2019-09-30*3, en una escala del 1 al 7*0.23*-0.27**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*"[<iic-com:ratiototalgastos contextref=""FIM_T32019_V-81218596_da"" decimals=""2"" unitref=""pure"">0.37</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_T32019_V-81218596_da"" decimals=""2"" unitref=""pure"">0.24</iic-com:ratiototalgastos>]"*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2019 S1*2019-01-01*2019-06-30*4, en una escala del 1 al 7*0.44*-0.18**667661.73*92*0.0*7619373*false*11.412*0.6*0.0*0.6*0.02*1.21*2.97*0.36*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2019 S1*2019-01-01*2019-06-30*4, en una escala del 1 al 7*0.44*-0.18**1570574.54*4*0.0*18022987*false*11.4754*0.35*0.0*0.35*0.02*1.34*2.97*0.24*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2019 S1*2019-01-01*2019-06-30*4, en una escala del 1 al 7*0.44*-0.18**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*"[<iic-com:ratiototalgastos contextref=""FIM_S12019_V-81218596_daq"" decimals=""2"" unitref=""pure"">0.36</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_S12019_V-81218596_daq"" decimals=""2"" unitref=""pure"">0.24</iic-com:ratiototalgastos>]"*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2019 T1*2019-01-01*2019-03-31*4, en una escala del 1 al 7*0.34*-0.06**680250.29*98*0.0*7669970*false*11.2752*0.3*0.0*0.3*0.01*4.6*3.37*0.35*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2019 T1*2019-01-01*2019-03-31*4, en una escala del 1 al 7*0.34*-0.06**2447574.54*4*0.0*27715723*false*11.3238*0.17*0.0*0.17*0.01*4.73*3.37*0.23*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2019 T1*2019-01-01*2019-03-31*4, en una escala del 1 al 7*0.34*-0.06**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T12019_V-81218596_da"" decimals=""2"" unitref=""pure"">4.60</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_T12019_V-81218596_da"" decimals=""2"" unitref=""pure"">4.73</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12019_V-81218596_da"" decimals=""2"" unitref=""pure"">3.37</iic-com-fon:volatilidadvalorliquidativo>, <iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12019_V-81218596_da"" decimals=""2"" unitref=""pure"">3.37</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_T12019_V-81218596_da"" decimals=""2"" unitref=""pure"">0.35</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_T12019_V-81218596_da"" decimals=""2"" unitref=""pure"">0.23</iic-com:ratiototalgastos>]"*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2020 S2*2020-07-01*2020-12-31*3, en una escala del 1 al 7*0.72*-0.36**604213.45*84*0.0*7059763*false*11.6842*0.6*0.0*0.6*0.03*3.95*4.59*0.39*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2020 S2*2020-07-01*2020-12-31*3, en una escala del 1 al 7*0.72*-0.36**955034.99*1*0.0*11305505*false*11.8378*0.35*0.0*0.35*0.03*4.09*4.58*0.26*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2020 S2*2020-07-01*2020-12-31*3, en una escala del 1 al 7*0.72*-0.36**3882.39*1*0.0*45406*false*11.6953*0.05*0.15*0.2*0.01*"[<iic-com:rentabilidadiic contextref=""FIM_S22020_V-81218596_daq"" decimals=""2"" unitref=""pure"">3.95</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_S22020_V-81218596_daq"" decimals=""2"" unitref=""pure"">4.09</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S22020_V-81218596_daq"" decimals=""2"" unitref=""pure"">4.59</iic-com-fon:volatilidadvalorliquidativo>, <iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S22020_V-81218596_daq"" decimals=""2"" unitref=""pure"">4.58</iic-com-fon:volatilidadvalorliquidativo>]"*0.13*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2020 T3*2020-07-01*2020-09-30*3, en una escala del 1 al 7*0.38*-0.35**708256.91*93*0.0*7960589*false*11.2397*0.3*0.0*0.3*0.01*0.88*4.54*0.38*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2020 T3*2020-07-01*2020-09-30*3, en una escala del 1 al 7*0.38*-0.35**1046184.17*1*0.0*11898382*false*11.3731*0.18*0.0*0.18*0.01*1.01*4.55*0.26*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2020 T3*2020-07-01*2020-09-30*3, en una escala del 1 al 7*0.38*-0.35**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T32020_V-81218596_da"" decimals=""2"" unitref=""pure"">0.88</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_T32020_V-81218596_da"" decimals=""2"" unitref=""pure"">1.01</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32020_V-81218596_da"" decimals=""2"" unitref=""pure"">4.54</iic-com-fon:volatilidadvalorliquidativo>, <iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32020_V-81218596_da"" decimals=""2"" unitref=""pure"">4.55</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_T32020_V-81218596_da"" decimals=""2"" unitref=""pure"">0.38</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_T32020_V-81218596_da"" decimals=""2"" unitref=""pure"">0.26</iic-com:ratiototalgastos>]"*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2020 S1*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.58*-0.38**701599.33*94*0.0*7816874*false*11.1415*0.6*0.0*0.6*0.02*7.08*7.68*0.38*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2020 S1*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.58*-0.38**1258014.16*2*0.0*14164760*false*11.2596*0.35*0.0*0.35*0.02*7.22*7.69*0.25*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2020 S1*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.58*-0.38**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_S12020_V-81218596_daq"" decimals=""2"" unitref=""pure"">7.08</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_S12020_V-81218596_daq"" decimals=""2"" unitref=""pure"">7.22</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S12020_V-81218596_daq"" decimals=""2"" unitref=""pure"">7.68</iic-com-fon:volatilidadvalorliquidativo>, <iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S12020_V-81218596_daq"" decimals=""2"" unitref=""pure"">7.69</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_S12020_V-81218596_daq"" decimals=""2"" unitref=""pure"">0.38</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_S12020_V-81218596_daq"" decimals=""2"" unitref=""pure"">0.25</iic-com:ratiototalgastos>]"*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2020 T1*2020-01-01*2020-03-31*3, en una escala del 1 al 7*0.21*-0.38**709593.43*97*0.0*7382865*false*10.4044*0.3*0.0*0.3*0.01*-10.83*14.14*0.37*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2020 T1*2020-01-01*2020-03-31*3, en una escala del 1 al 7*0.21*-0.38**1258014.16*2*0.0*13211153*false*10.5016*0.17*0.0*0.17*0.01*-10.71*14.13*0.25*True
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2020 T1*2020-01-01*2020-03-31*3, en una escala del 1 al 7*0.21*-0.38**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*"[<iic-com:ratiototalgastos contextref=""FIM_T12020_V-81218596_da"" decimals=""2"" unitref=""pure"">0.37</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_T12020_V-81218596_da"" decimals=""2"" unitref=""pure"">0.25</iic-com:ratiototalgastos>]"*True
