fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 2 2009*2009-07-01*2009-12-31*2469*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.05*0.84**3136671.67*1292*0.0*16869770*false*5.3785***1.13*0.02*6.23*8.54*0.75*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 2 2012*2012-07-01*2012-12-31*2469*FondosdeInversion@cajalaboral.es*BBB*6 (En una escala del 1 al 7) *0.17*0.35**2716863.34*1042*0.0*16903348*false*6.2216*1.14*0.0*1.14*0.03*-0.9*9.63*0.79*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Trimester 3 2012*2012-07-01*2012-09-30*2469*FondosdeInversion@cajalaboral.es*BBB*Alto*0.12*0.43**2927754.71*1144*0.0*18380979*false*6.2782*0.57*0.0*0.57*0.01*4.75*9.76*0.8*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 1 2012*2012-01-01*2012-06-30*2469*FondosdeInversion@cajalaboral.es*BBB*Alto*0.2*1.02**3282739.32*1329*0.0*19675629*false*5.9937*1.12*0.0*1.12*0.02*-6.37*12.62*0.81*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Trimester 1 2012*2012-01-01*2012-03-31*2469*FondosdeInversion@cajalaboral.es*BBB+*Alto*0.0*1.16**3612939.15*1504*0.0*23129212*false*6.4018*0.56*0.0*0.56*0.01*13.71*8.37*0.82*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 2 2013*2013-07-01*2013-12-31*2469*FondosdeInversion@cajalaboral.es*BBB*6 (En una escala del 1 al 7) *0.18*0.26**1121452.51*858*0.0*8959721*false*7.9894*1.13*0.0*1.13*0.03*8.28*7.95*0.77*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Trimester 3 2013*2013-07-01*2013-09-30*2469*FondosdeInversion@cajalaboral.es*BBB*6 (En una escala del 1 al 7) *0.18*0.26**1284159.77*928*0.0*9475082*false*7.3782*0.57*0.0*0.57*0.01*6.95*7.66*0.77*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 1 2013*2013-01-01*2013-06-30*2469*FondosdeInversion@cajalaboral.es*BBB*6 (En una escala del 1 al 7) *0.02*0.25**1344583.95*962*0.0*9276267*false*6.899*1.12*0.0*1.12*0.02*1.93*10.78*0.77*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Trimester 1 2013*2013-01-01*2013-03-31*2469*FondosdeInversion@cajalaboral.es*BBB*6 (En una escala del 1 al 7) *0.0*0.25**1515068.5*995*0.0*10254854*false*6.7686*0.56*0.0*0.56*0.01*8.79*8.16*0.76*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 2 2014*2014-07-01*2014-12-31*2469*FondosdeInversion@laboralkutxa.com*BBB+*6 (En una escala del 1 al 7) *0.0*0.25**967637.44*720*0.0*8410894*false*8.6922*1.13*0.0*1.13*0.03*4.59*11.96*0.77*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Trimester 3 2014*2014-07-01*2014-09-30*2469*FondosdeInversion@laboralkutxa.com*BBB+*6 (En una escala del 1 al 7) *0.0*0.25**978184.17*745*0.0*8133228*false*8.3109*0.57*0.0*0.57*0.01*0.25*7.0*0.77*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 1 2014*2014-01-01*2014-06-30*2469*FondosdeInversion@cajalaboral.es*BBB+*6 (En una escala del 1 al 7) *0.06*0.24**973749.39*773*0.0*8072486*false*8.2901*1.12*0.0*1.12*0.02*3.24*8.66*0.78*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Trimester 1 2014*2014-01-01*2014-03-31*2469*FondosdeInversion@cajalaboral.es*BBB*6 (En una escala del 1 al 7) *0.0*0.25**1120503.62*824*0.0*8997680*false*8.03*0.55*0.0*0.55*0.01*0.51*9.24*0.76*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Trimester 3 2015*2015-07-01*2015-09-30*2469*FondosdeInversion@laboralkutxa.com*BBB+*6 (En una escala del 1 al 7) *0.0*0.25**826671.95*491*0.0*6698785*false*8.1033*0.57*0.0*0.57*0.01*-8.46*20.51*0.77*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 1 2015*2015-01-01*2015-06-30*2469*FondosdeInversion@laboralkutxa.com*BBB+*6 (En una escala del 1 al 7) *0.07*0.25**869961.25*506*0.0*7700911*false*8.852*1.12*0.0*1.12*0.02*-1.59*10.09*0.76*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Trimester 1 2015*2015-01-01*2015-03-31*2469*FondosdeInversion@laboralkutxa.com*BBB+*6 (En una escala del 1 al 7) *0.1*0.25**946149.38*525*0.0*8511007*false*8.9954*0.55*0.0*0.55*0.01*3.49*11.34*0.75*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 2 2014*2014-07-01*2014-12-31*2469*FondosdeInversion@laboralkutxa.com*BBB+*6 (En una escala del 1 al 7) *0.0*0.25**967637.44*720*0.0*8410894*false*8.6922*1.13*0.0*1.13*0.03*4.59*11.96*0.77*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Trimester 3 2016*2016-07-01*2016-09-30*2469*FondosdeInversion@laboralkutxa.com*Ba1 (Moody's)*5 (En una escala del 1 al 7)*0.0*0.0**648302.79*422*0.0*5780130*false*8.9158*0.57*0.0*0.57*0.01*3.04*8.0*0.72*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Semester 1 2016*2016-01-01*2016-06-30*2469*FondosdeInversion@laboralkutxa.com*Ba1 (Moody's)*5 (En una escala del 1 al 7)*0.0*0.0**669306.27*419*0.0*5791260*false*8.6526*1.12*0.0*1.12*0.02*1.61*12.09*0.7*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Laboral Kutxa Bolsa USA, FI*20729570*Trimester 1 2016*2016-01-01*2016-03-31*2469*FondosdeInversion@laboralkutxa.com*BBB+*5 (En una escala del 1 al 7) *0.02*0.0**684992.23*428*0.0*5832914*false*8.5153*0.56*0.0*0.56*0.01*-2.51*19.62*0.71*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Laboral Kutxa Bolsa USA, FI*20729570*Semester 2 2015*2015-07-01*2015-12-31*2469*FondosdeInversion@laboralkutxa.com*BBB+*5 (En una escala del 1 al 7) *1.69*0.2**718720.21*454*0.0*6277873*false*8.7348*1.14*0.0*1.14*0.03*7.79*15.37*0.72*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Semester 2 2017*2017-07-01*2017-12-31*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.0*0.0**494713.17*373*0.0*5185596*false*10.482*1.13*0.0*1.13*0.03*5.44*6.38*0.69*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Trimester 3 2017*2017-07-01*2017-09-30*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.02*0.0**504540.52*377*0.0*5015845*false*9.9414*0.57*0.0*0.57*0.01*1.86*7.23*0.68*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Semester 1 2017*2017-01-01*2017-06-30*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.16*0.0**531671.02*384*0.0*5188959*false*9.7597*1.12*0.0*1.12*0.02*-0.64*6.03*0.67*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Trimester 1 2017*2017-01-01*2017-03-31*2469*FondosdeInversion@laboralkutxa.com*Ba1 (Moody's)*5 (En una escala del 1 al 7)*0.16*0.0**570595.19*402*0.0*5604870*false*9.8228*0.56*0.0*0.56*0.01*4.09*8.02*0.67*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Semester 2 2018*2018-07-01*2018-12-31*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.0*0.0**516273.06*450*0.0*4964046*false*9.6152*1.13*0.0*1.13*0.03*-14.93*17.41*0.67*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Trimester 3 2018*2018-07-01*2018-09-30*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.0*0.0**517872.53*436*0.0*5853240*false*11.3025*0.57*0.0*0.57*0.01*5.86*6.57*0.68*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Semester 1 2018*2018-01-01*2018-06-30*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.0*0.0**502541.98*407*0.0*5365494*false*10.6767*1.12*0.0*1.12*0.02*5.31*11.6*0.67*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Trimester 1 2018*2018-01-01*2018-03-31*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.0*0.0**503066.88*407*0.0*5100285*false*10.1384*0.55*0.0*0.55*0.01*-3.28*16.93*0.67*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Semester 2 2019*2019-07-01*2019-12-31*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.02*0.0**462320.66*422*0.0*5527636*false*11.9563*1.13*0.0*1.13*0.03*7.05*10.1*0.67*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Trimester 3 2019*2019-07-01*2019-09-30*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.03*0.0**456121.4*411*0.0*5094288*false*11.1687*0.57*0.0*0.57*0.01*0.74*12.35*0.67*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Semester 1 2019*2019-01-01*2019-06-30*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.0*0.0**483623.64*430*0.0*5361889*false*11.0869*1.11*0.0*1.11*0.02*2.65*10.1*0.67*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Trimester 1 2019*2019-01-01*2019-03-31*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.0*0.0**509838.71*449*0.0*5506499*false*10.8005*0.55*0.0*0.55*0.01*12.33*12.2*0.66*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Semester 2 2020*2020-07-01*2020-12-31*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.05*-0.26**453700.27*419*0.0*6062145*false*13.3616*1.13*0.0*1.13*0.03*9.74*15.5*0.66*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Trimester 3 2020*2020-07-01*2020-09-30*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.12*-0.13**454377.71*409*0.0*5532145*false*12.1752*0.56*0.0*0.56*0.01*8.37*16.03*0.67*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Semester 1 2020*2020-01-01*2020-06-30*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.21*0.0**449999.8*408*0.0*5055586*false*11.2346*1.12*0.0*1.12*0.02*17.14*29.07*0.66*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*LABORAL KUTXA BOLSA USA, FI*20729570*Trimester 1 2020*2020-01-01*2020-03-31*2469*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*5 (En una escala del 1 al 7)*0.23*0.0**443882.04*401*0.0*4257316*false*9.5911*0.56*0.0*0.56*0.01*-19.78*40.7*0.66*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
