fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 2 2009*2009-07-01*2009-12-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.06*0.0****0.0**false****0.71*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Trimester 3 2012*2012-07-01*2012-09-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.8*0.31**1640248.23*901*0.0*20959000*false*12.7777*0.35**0.35*0.05*1.29*0.94*0.4*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 1 2012*2012-01-01*2012-06-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.44*0.78**1671819.96*912*0.0*21089000*false*12.6142*0.7**0.7*0.1*-1.18*0.84*0.4*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Trimester 1 2012*2012-01-01*2012-03-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.07*1.07**1705930.9*933*0.0*21777000*false*12.7654*0.35**0.35*0.05*1.68*0.68*0.4*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 2 2011*2011-07-01*2011-12-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.39*0.0**1798150.34*974*0.0*22573000*false*12.5537*0.71**0.71*0.1*0.56*1.5*0.4*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 2 2013*2013-07-01*2013-12-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*1.32*0.0**1346436.42*837*0.0*17572000*false*13.0509*0.71**0.71*0.1*0.23*0.45*0.4*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Trimester 3 2013*2013-07-01*2013-09-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.87*0.11**1454764.61*872*0.0*18941000*false*13.0198*0.35**0.35*0.05*0.46*0.53*0.41*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 1 2013*2013-01-01*2013-06-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*1.71*0.1**1391780.05*843*0.0*18037000*false*12.9597*0.69**0.69*0.1*0.08*0.82*0.41*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Trimester 1 2013*2013-01-01*2013-03-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*1.16*0.1**1505114.72*856*0.0*19488000*false*12.9481*0.35**0.35*0.05*0.52*0.53*0.4*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 2 2014*2014-07-01*2014-12-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.78*0.0**2395848.41*985*0.0*31552000*false*13.1695*0.2**0.2*0.1*-0.09*0.41*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Trimester 3 2014*2014-07-01*2014-09-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.48*0.0**1882930.23*899*0.0*24821000*false*13.1824*0.1**0.1*0.05*0.27*0.31*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 1 2014*2014-01-01*2014-06-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.99*0.12**1339738.73*858*0.0*17612000*false*13.146*0.61**0.61*0.1*0.24*0.45*0.33*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Trimester 1 2014*2014-01-01*2014-03-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.67*0.17**1324744.62*840*0.0*17373000*false*13.1139*0.35**0.35*0.05*0.48*0.45*0.41*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Semester 2 2015*2015-07-01*2015-12-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.0*0.0**9827307.52*8533*0.0*129422000*false*13.1697*0.2**0.2*0.1***0.16*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Trimester 3 2015*2015-07-01*2015-09-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.0*0.0**3145815.04*1286*0.0*41417000*false*13.1657*0.1**0.1*0.05*0.13*0.29*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 1 2015*2015-01-01*2015-06-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.64*0.0**2631265.52*1100*0.0*34595000*false*13.1478*0.2**0.2*0.1*-0.43*0.57*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Trimester 1 2015*2015-01-01*2015-03-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.26*0.0**2307511.82*977*0.0*30470000*false*13.2047*0.1**0.1*0.05*0.26*0.3*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Semester 2 2016*2016-07-01*2016-12-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.44*0.0**10298686.92*8994*0.0*135593000*false*13.166*0.2**0.2*0.1*-0.16*0.56*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Trimester 3 2016*2016-07-01*2016-09-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.23*0.0**9433131.99*8636*0.0*124399000*false*13.1874*0.1**0.1*0.05*0.09*0.27*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Semester 1 2016*2016-01-01*2016-06-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*1.03*0.0**9360220.62*8838*0.0*123326000*false*13.1755*0.2**0.2*0.1*0.0*0.56*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Trimester 1 2016*2016-01-01*2016-03-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.35*0.0**9286115.58*8458*0.0*122348000*false*13.1754*0.1**0.1*0.05*0.04*0.36*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Trimester 3 2017*2017-07-01*2017-09-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.32*0.0**9328648.81*8803*0.0*122582000*false*13.1404*0.1**0.1*0.05*0.05*0.26*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Semester 1 2017*2017-01-01*2017-06-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*1.28*0.0**9280174.3*8461*0.0*121879000*false*13.1333*0.2**0.2*0.1*0.02*0.23*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Trimester 1 2017*2017-01-01*2017-03-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.69*0.0**9999183.0*8788*0.0*131289000*false*13.1299*0.1**0.1*0.05*-0.27*0.39*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Semester 2 2016*2016-07-01*2016-12-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.44*0.0**10298686.92*8994*0.0*135593000*false*13.166*0.2**0.2*0.1*-0.16*0.56*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Semester 2 2018*2018-07-01*2018-12-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.48*0.0**9034225.38*8242*0.0*116272000*false*12.8702*0.2**0.2*0.1*-0.54*0.67*0.16*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Trimester 3 2018*2018-07-01*2018-09-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.17*0.0**10560891.73*8741*0.0*136666000*false*12.9407*0.1**0.1*0.05*-0.09*0.64*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Semester 1 2018*2018-01-01*2018-06-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*1 en escala de 1 a 7*0.72*0.0**9149090.03*7575*0.0*118505000*false*12.9527*0.2**0.2*0.1*-1.36*2.38*0.16*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Trimester 1 2018*2018-01-01*2018-03-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*1 en escala de 1 a 7*0.18*0.0**10004766.49*8025*0.0*131376000*false*13.1314*0.1**0.1*0.05*0.0*0.35*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Semester 2 2019*2019-07-01*2019-12-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*0.44*0.0**7057612.13*7548*0.0*90910000*false*12.8811*0.2**0.2*0.1*-0.24*0.11*0.16*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Trimester 3 2019*2019-07-01*2019-09-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*0.2*0.0**7278550.86*7777*0.0*93985000*false*12.9125*0.1**0.1*0.05*-0.06*0.24*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Semester 1 2019*2019-01-01*2019-06-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.59*0.0**6998023.77*7682*0.0*90422000*false*12.921*0.2**0.2*0.1*0.12*0.21*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Trimester 1 2019*2019-01-01*2019-03-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*2 en escala de 1 a 7*0.44*0.0**8565246.46*7916*0.0*110534000*false*12.905*0.1**0.1*0.05*0.27*0.31*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Semester 2 2020*2020-07-01*2020-12-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*1.11*-1.05**6688926.0*6973*0.0*85579000*false*12.7942*0.2**0.2*0.1*-0.04*0.11*0.16*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Trimester 3 2020*2020-07-01*2020-09-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*0.44*-0.51**6934408.15*7177*0.0*88763000*false*12.8003*0.1**0.1*0.05*0.04*0.12*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Semester 1 2020*2020-01-01*2020-06-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*0.82*-0.38**6975764.52*7248*0.0*89249000*false*12.7942*0.2**0.2*0.1*0.76*0.44*0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE RENTA CORTO F.I.*80480593*Trimester 1 2020*2020-01-01*2020-03-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *2 en escala de 1 a 7*0.61*-0.44**7471201.73*7423*0.0*94861000*false*12.6968*0.1**0.1*0.05***0.15*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
