fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Semester 2 2009*2009-07-01*2009-12-31*3721*info@profitgestion.es*n.d.*Bajo*0.4*0.58**44697.84*312*0.0*66526011*false *1488.3496***0.15*0.04*0.32*0.15*0.09*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, FIAMM*80031107*Semester 1 2009*2009-01-01*2009-12-31*3721*info@profitgestion.es*n.d.*BAJO**************2.39*0.19**GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Semester 2 2015*2015-07-01*2015-12-31*3721*info@profitgestion.es*n.d.*2 en una escala del 1 al 7*0.0*0.03**38531.31*282*0.0*63624991*false*1651.2542*0.13*0.0*0.13*0.04*0.09*0.07*0.09*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Trimester 3 2015*2015-07-01*2015-09-30*3721*info@profitgestion.es*n.d.*2 en una escala del 1 al 7*0.01*0.04**36304.92*288*0.0*59897619*false*1649.8486*0.06*0.0*0.06*0.02***0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, FI*80031107*Semester 1 2015*2015-01-01*2015-06-30*3721*info@profitgestion.es*n.d.*BAJO*0.0*0.01**37185.34*293*0.0*61281226*false*1647.9944*0.12*0.01*0.13*0.03*0.03*0.09*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, FI*80031107*Trimester 1 2015*2015-01-01*2015-03-31*3721*info@profitgestion.es*n.d.*BAJO*0.0*0.03**39415.72*301*0.0*64938889*false*1647.538*0.06*0.0*0.06*0.02*0.18*0.07*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Semester 2 2016*2016-07-01*2016-12-31*3721*info@profitgestion.es*n.d.*2 en una escala del 1 al 7*0.03*0.0**39070.53*284*0.0*64749114*false*1657.2367*0.13*0.0*0.13*0.04*0.08*0.11*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Trimester 3 2016*2016-07-01*2016-09-30*3721*info@profitgestion.es*n.d.*2 en una escala del 1 al 7*0.0*0.0**38789.36*281*0.0*64233449*false*1655.9553*0.06*0.0*0.06*0.02*0.11*0.13*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Semester 1 2016*2016-01-01*2016-06-30*3721*info@profitgestion.es*n.d.*2 en una escala del 1 al 7*0.09*0.01**38031.11*279*0.0*62906322*false*1654.0753*0.12*0.0*0.12*0.03*0.05*0.16*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Trimester 1 2016*2016-01-01*2016-03-31*3721*info@profitgestion.es*n.d.*2 en una escala del 1 al 7*0.0*0.01**38436.79*280*0.0*63546304*false*1653.2676*0.06*0.0*0.06*0.02*0.12*0.09*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Semester 2 2017*2017-07-01*2017-12-31*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.07*-0.28**38619.49*280*0.0*64245552*false*1663.5527*0.13*0.0*0.13*0.04*0.06*0.06*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Trimester 3 2017*2017-07-01*2017-09-30*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.12*-0.31**38755.86*284*0.0*64434607*false*1662.5772*0.06*0.0*0.07*0.02*0.11*0.07*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Semester 1 2017*2017-01-01*2017-06-30*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.18*-0.27**38861.71*282*0.0*64536756*false*1660.6774*0.12*0.01*0.13*0.03*0.12*0.12*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Trimester 1 2017*2017-01-01*2017-03-31*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.07*-0.22**37884.82*280*0.0*62836085*false*1658.6085*0.06*0.0*0.06*0.02*0.08*0.09*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Semester 2 2018*2018-07-01*2018-12-31*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.17*-0.27**36094.78*267*0.0*59024902*false*1635.2751*0.0*0.0*0.0*0.04*-0.91*0.61*0.02*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Trimester 3 2018*2018-07-01*2018-09-30*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.01*-0.27**37261.73*263*0.0*61492284*false*1650.2799*0.0*0.0*0.0*0.02*0.17*0.29*0.02*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Semester 1 2018*2018-01-01*2018-06-30*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.35*-0.24**37989.65*265*0.0*62587686*false*1647.4929*0.06*0.0*0.06*0.03*-0.69*0.69*0.02*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Trimester 1 2018*2018-01-01*2018-03-31*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.13*-0.21**39098.42*272*0.0*64861219*false*1658.9217*0.06*0.0*0.06*0.02*-0.28*0.17*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Semester 2 2019*2019-07-01*2019-12-31*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.0*-0.39**35814.81*258*0.0*59859329*false*1671.3569*0.13*0.01*0.14*0.04*0.01*0.09*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Trimester 3 2019*2019-07-01*2019-09-30*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.12*-0.32**35514.43*262*0.0*59350469*false*1671.1648*0.06*0.01*0.07*0.02*0.43*0.26*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Semester 1 2019*2019-01-01*2019-06-30*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.41*-0.27**35972.24*260*0.0*59857483*false*1663.9911*0.0*0.0*0.0*0.03*0.55*0.35*0.02*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Trimester 1 2019*2019-01-01*2019-03-31*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.26*-0.33**35997.9*260*0.0*59574109*false*1654.9331*0.0*0.0*0.0*0.02*1.2*0.55*0.02*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Semester 2 2020*2020-07-01*2020-12-31*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.31*-0.44**36729.23*272*0.0*61638979*false*1678.1997*0.08*0.01*0.09*0.04*0.37*0.15*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Trimester 3 2020*2020-07-01*2020-09-30*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.17*-0.42**36985.39*269*0.0*61842047*false*1672.0668*0.02*0.0*0.02*0.02*0.72*0.21*0.04*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Semester 1 2020*2020-01-01*2020-06-30*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.32*-0.4**36229.49*264*0.0*60144262*false*1660.0912*0.04*0.0*0.04*0.03*1.82*1.08*0.02*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT CORTO PLAZO, FI*80031107*Trimester 1 2020*2020-01-01*2020-03-31*3721*N/D*Baa2 (Moody's)*2 en una escala del 1 al 7*0.13*-0.37**36330.96*262*0.0*59236843*false*1630.4783*0.04*0.0*0.04*0.02***0.06*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
