fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*2009 S2*2009-07-01*2009-12-31*Alto*0.33*0.23**985374.34*1022*0.0*6075171*false*6.1653***0.68*0.1*8.84*11.5*0.41*False
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*2009 T3*2009-07-01*2009-09-30*Alto*0.14*0.41**909418.3*1055*0.0*5151275*false*5.6644***0.34*0.05*9.19*14.04*0.41*False
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*2009 S1*2009-01-01*2009-06-30*Alto*0.51*1.16**883874.09*1075*0.0*4585269*false*5.1877***0.67*0.1*5.68*17.25*0.41*False
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010 S2*2010-07-01*2010-12-31*Alto*0.34*0.22**1587750.99*1058*0.0*10979842*false*6.9153***0.83*0.1*6.7*11.14*0.48*False
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010 T3*2010-07-01*2010-09-30*Alto*0.17*0.15**1445719.8*1073*0.0*9369499*false*6.4809***0.42*0.05*-0.94*15.31*0.48*False
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010 S1*2010-01-01*2010-06-30*Alto*0.34*0.06**1439111.66*1098*0.0*9415537*false*6.5426***0.72*0.1*-4.56*16.0*0.45*False
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*2010 T1*2010-01-01*2010-03-31*Alto*0.29*0.03**1242735.12*1059*0.0*8519427*false*6.8554***0.33*0.05*11.19*12.58*0.4*False
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2014 S2*2014-07-01*2014-12-31*5 - Medio-alto*2.68*0.05**19339254.14*14814*0.0*281476178*false*14.5547*0.83*0.0*0.83*0.1*4.72*16.23*0.47*False
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2014 T3*2014-07-01*2014-09-30*5 - Medio-alto*1.42*0.06**13871192.8*10429*0.0*192797535*false*13.8991*0.41*0.0*0.41*0.05*13.45*9.18*0.47*False
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2014 S1*2014-01-01*2014-06-30*5 - Medio-alto*4.48*0.11**9202112.08*7481*0.0*112739104*false*12.2514*0.82*0.0*0.82*0.1*7.1*9.16*0.46*False
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2014 T1*2014-01-01*2014-03-31*5 - Medio-alto*2.53*0.1**7597122.36*6258*0.0*86908347*false*11.4396*0.41*0.0*0.41*0.05*2.78*11.32*0.46*False
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2015 S2*2015-07-01*2015-12-31*5 - Medio-alto*3.2*0.08**33676730.51*31089*0.0*576227642*false*17.1106*0.83*0.0*0.83*0.1*6.55*17.36*0.47*False
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2015 T3*2015-07-01*2015-09-30*5 - Medio-alto*1.44*0.06**33497742.29*30785*0.0*537952600*false*16.0594*0.42*0.0*0.42*0.05*-7.79*24.8*0.47*False
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2015 S1*2015-01-01*2015-06-30*5 - Medio-alto*2.8*0.07**32252753.23*29524*0.0*561709488*false*17.4159*0.82*0.0*0.82*0.1*-2.16*15.93*0.46*False
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2015 T1*2015-01-01*2015-03-31*5 - Medio-alto*1.71*0.04**32166174.89*27234*0.0*572561940*false*17.8001*0.4*0.0*0.4*0.05*22.3*13.56*0.46*False
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2016 S2*2016-07-01*2016-12-31*5 - Medio-alto*2.27*0.23**17384209.5*23879*0.0*297887991*false*17.1356*0.85*0.0*0.85*0.09*2.41*18.27*0.47*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2016 T3*2016-07-01*2016-09-30*5 - Medio-alto*0.66*0.2**18554017.49*25002*0.0*310464197*false*16.733*0.42*0.0*0.42*0.04*3.75*11.62*0.47*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2016 S1*2016-01-01*2016-06-30*5 - Medio-alto*2.46*0.16**26247223.73*27230*0.0*423335332*false*16.1288*0.83*0.0*0.83*0.09*5.01*16.79*0.46*True
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2016 T1*2016-01-01*2016-03-31*5 - Medio-alto*1.11*0.19**28965626.24*28794*0.0*444902021*false*15.3597*0.41*0.0*0.41*0.05*-10.23*20.61*0.46*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2017 S2*2017-07-01*2017-12-31*5 - Medio-alto*3.67*0.29**13232836.14*21026*0.0*235945675*false*17.8303*0.84*0.0*0.84*0.09*-0.35*9.04*0.47*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2017 T3*2017-07-01*2017-09-30*5 - Medio-alto*1.43*0.31**14462873.9*22773*0.0*258777296*false*17.8925*0.42*0.0*0.42*0.04*-4.35*9.98*0.47*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2017 S1*2017-01-01*2017-06-30*5 - Medio-alto*2.35*0.47**14619388.11*22907*0.0*273473763*false*18.7062*0.83*0.0*0.83*0.09*1.53*10.48*0.46*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2017 T1*2017-01-01*2017-03-31*5 - Medio-alto*1.26*0.46**16393491.47*23356*0.0*302041876*false*18.4245*0.41*0.0*0.41*0.04*7.52*10.36*0.46*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2018 T3*2018-07-01*2018-09-30*5 - Medio-alto*1.63*0.52**10691898.06*17927*0.0*217219020*false*20.3162*0.42*0.0*0.42*0.04*10.71*9.18*0.47*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2018 S1*2018-01-01*2018-06-30*5 - Medio-alto*4.17*0.56**10680858.04*17672*0.0*195997747*false*18.3504*0.83*0.0*0.83*0.09*7.83*12.34*0.46*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2018 T1*2018-01-01*2018-03-31*5 - Medio-alto*2.03*0.63**11846039.74*19311*0.0*201598145*false*17.0182*0.41*0.0*0.41*0.04*-4.55*16.64*0.46*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2019 S2*2019-07-01*2019-12-31*6 - Alto*3.75*1.08**11378972.56*18666*0.0*237353972*false*20.859*0.84*0.0*0.84*0.09*11.62*10.03*0.48*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2019 T3*2019-07-01*2019-09-30*6 - Alto*2.06*1.27**12237433.22*19688*0.0*228691835*false*18.6879*0.42*0.0*0.42*0.04*4.85*10.83*0.48*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2019 S1*2019-01-01*2019-06-30*6 - Alto*2.6*1.4**12628510.18*20469*0.0*225080934*false*17.8232*0.83*0.0*0.83*0.09*-6.9*12.41*0.47*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2019 T1*2019-01-01*2019-03-31*6 - Alto*1.46*1.33**12025837.39*20044*0.0*230212697*false*19.1432*0.41*0.0*0.41*0.04*10.54*12.32*0.47*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2020 S2*2020-07-01*2020-12-31*6 - Alto*3.13*-0.22**11675419.21*19928*0.0*236898981*false*20.2904*0.84*0.0*0.84*0.09*2.92*17.53*0.48*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2020 T3*2020-07-01*2020-09-30*6 - Alto*1.38*-0.05**12754165.48*21488*0.0*251454803*false*19.7155*0.42*0.0*0.42*0.04*-5.57*14.29*0.48*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2020 S1*2020-01-01*2020-06-30*6 - Alto*4.14*0.37**13051570.04*21892*0.0*272484656*false*20.8775*0.83*0.0*0.83*0.09*11.03*25.15*0.47*True
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2020 T1*2020-01-01*2020-03-31*6 - Alto*2.9*0.74**10830631.21*18390*0.0*203653034*false*18.8034*0.42*0.0*0.42*0.04*-9.85*43.36*0.47*True
