fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2010*2010-07-01*2010-12-31*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.0*0.43**41025.18*3*0.0*410774*false*10.0127***0.24*0.02***0.96
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2011*2011-07-01*2011-12-31*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.58*0.19**108452.66*35*0.0*1091964*false*10.0686*0.5*0.0*0.5*0.05*6.77*19.73*0.4
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 3 2011*2011-07-01*2011-09-30*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.15*0.11**101939.07*30*0.0*961294*false*9.4301***0.25*0.03*-9.38*20.15*0.38
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 1 2011*2011-01-01*2011-06-30*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.47*0.66**97999.09*27*0.0*1019795*false*10.4062***0.5*0.05*1.26*5.73*0.34
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 1 2011*2011-01-01*2011-03-31*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.03*0.52**91625.44*23*0.0*941564*false*10.2762***0.25*0.02*2.63*4.9*0.4
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 3 2012*2012-07-01*2012-09-30*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.22*0.0**172475.01*51*0.0*1747348*false*10.131*0.25*0.0*0.25*0.03*5.36*10.98*0.37
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 1 2012*2012-01-01*2012-06-30*4269*atencionalcliente@gesiuris.com*ND*Muy alto*1.03*0.09**168784.98*44*0.0*1623009*false*9.6158*0.5*0.0*0.5*0.05*-7.16*17.58*0.36
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 1 2012*2012-01-01*2012-03-31*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.11*0.17**172003.2*43*0.0*1781526*false*10.3575*0.25*0.0*0.25*0.02*2.87*7.29*0.36
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2011*2011-07-01*2011-12-31*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.58*0.19**108452.66*35*0.0*1091964*false*10.0686*0.5*0.0*0.5*0.05*6.77*19.73*0.4
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 1 2015*2015-01-01*2015-06-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.04*-0.05**454434.63*128*0.0*5995081*false*13.1924*0.5*0.0*0.5*0.05*-1.54*8.7*0.29
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 1 2015*2015-01-01*2015-03-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.0*0.0**412657.66*120*0.0*5528866*false*13.3982*0.25*0.0*0.25*0.02*7.96*9.57*0.29
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2016*2016-07-01*2016-12-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.0*-0.28**568520.01*164*0.0*7966037*false*14.0119*0.5*0.0*0.5*0.05*4.53*7.38*0.29
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 3 2016*2016-07-01*2016-09-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.0*-0.29**539100.57*153*0.0*7226554*false*13.4048*0.25*0.0*0.25*0.03*7.37*9.53*0.3
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 1 2016*2016-01-01*2016-06-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.2*-0.26**495292.79*144*0.0*6183643*false*12.4848*0.5*0.0*0.5*0.05*-0.3*18.14*0.3
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 1 2016*2016-01-01*2016-03-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.11*-0.22**486215.73*145*0.0*6088770*false*12.5228*0.25*0.0*0.25*0.02*-5.16*19.31*0.3
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2017*2017-07-01*2017-12-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1 al 7,*0.0*-0.29**799104.78*234*0.0*11788364*false*14.752*0.5*0.0*0.5*0.04*-1.43*5.77*0.28
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 3 2017*2017-07-01*2017-09-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.02*-0.35**728180.14*224*0.0*10897670*false*14.9656*0.25*0.0*0.25*0.02*0.64*5.58*0.29
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 1 2017*2017-01-01*2017-06-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.0*0.0**675060.5*203*0.0*10038166*false*14.87*0.5*0.0*0.5*0.04*0.58*5.69*0.28
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 1 2017*2017-01-01*2017-03-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.0*-0.39**592502.23*175*0.0*8759373*false*14.7837*0.25*0.0*0.25*0.02*5.51*5.61*0.29
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2018*2018-07-01*2018-12-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1 al 7,*0.02*-0.36**780459.64*246*0.0*10466961*false*13.4113*0.5*0.0*0.5*0.04*-8.52*11.47*0.28
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 3 2018*2018-07-01*2018-09-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1 al 7,*0.0*-0.26**832929.24*248*0.0*12210863*false*14.6601*0.25*0.0*0.25*0.02*-1.13*4.98*0.28
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 1 2018*2018-01-01*2018-06-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1 al 7,*0.01*-0.13**859478.16*241*0.0*12743576*false*14.8271*0.5*0.0*0.5*0.04*3.29*6.6*0.28
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 1 2018*2018-01-01*2018-03-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1 al 7*0.0*-0.22**827446.44*236*0.0*11877600*false*14.3545*0.25*0.0*0.25*0.02*-2.69*10.22*0.28
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2019*2019-07-01*2019-12-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1 al 7*0.16*-0.36**657153.35*227*0.0*10115661*false*15.3932*0.5*0.0*0.5*0.04*4.63*6.97*0.29
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 3 2019*2019-07-01*2019-09-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1 al 7,*0.15*-0.33**667026.16*220*0.0*9812883*false*14.7114*0.25*0.0*0.25*0.02*1.1*8.59*0.29
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 1 2019*2019-01-01*2019-06-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1 al 7,*0.05*-0.38**714881.73*217*0.0*10402192*false*14.5509*0.5*0.0*0.5*0.04*0.3*7.51*0.28
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 1 2019*2019-01-01*2019-03-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1 al 7,*0.0*-0.38**734355.39*227*0.0*10653286*false*14.507*0.25*0.0*0.25*0.02*8.17*8.57*0.28
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2020*2020-07-01*2020-12-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.13*-0.21**535743.9*209*0.0*8332959*false*15.554*0.5*0.0*0.5*0.04*10.42*10.4*0.29
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 3 2020*2020-07-01*2020-09-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.16*-0.29**554143.25*221*0.0*7805958*false*14.0865*0.25*0.0*0.25*0.02*2.22*7.77*0.29
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 1 2020*2020-01-01*2020-06-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1 al 7,*0.57*-0.23**570414.86*225*0.0*7860645*false*13.7806*0.5*0.0*0.5*0.04*10.79*16.34*0.29
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 1 2020*2020-01-01*2020-03-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1 al 7*0.14*-0.27**603359.51*236*0.0*7504559*false*12.438*0.25*0.0*0.25*0.02*-19.2*30.78*0.28
