fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Semester 2 2009*2009-07-01*2009-12-31*1920*informesfondos@gruposantander.com*Aa2*Alto*0.0*0.32**618867.87*3080*0.0*13798952*false*22.2971***1.12*0.05*-1.94*12.05*0.74*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 1 2015*2015-01-01*2015-03-31*1920*comsanassetm@gruposantander.com*Baa1*6 en una escala del 1 al 7*0.0*-0.01**433434.03*2176*0.0*15984970*false*36.8798*0.54**0.54*0.02*23.31*14.64*0.71*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIï¿½N RV JAPï¿½N, F.I.*82424706*Semester 2 2016*2016-07-01*2016-12-31*1920*comsanassetm@gruposantander.com*A3*6 en una escala del 1 al 7*0.6*-0.05**484281.85*2099*0.0*17847597*false*36.8537*1.11**1.11*0.05*5.06*10.35*0.73*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 3 2016*2016-07-01*2016-09-30*1920*comsanassetm@gruposantander.com*A3*6 en una escala del 1 al 7*0.21*0.0**500619.07*2150*0.0*17560423*false*35.0774*0.55**0.55*0.03*7.62*13.8*0.72*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Semester 1 2016*2016-01-01*2016-06-30*1920*comsanassetm@gruposantander.com*A3*6 en una escala del 1 al 7*0.11*0.0**548481.25*2242*0.0*17877045*false*32.5937*1.1**1.1*0.05*2.23*17.45*0.72*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 1 2016*2016-01-01*2016-03-31*1920*comsanassetm@gruposantander.com*A 3*6 en una escala del 1 al 7*0.13*0.0**570922.04*2291*0.0*18201781*false*31.8814*0.55**0.55*0.02*-10.78*27.91*0.71*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selecciï¿½n Rv Japï¿½n, F.I.*82424706*Semester 2 2017*2017-07-01*2017-12-31*1920*comsanassetm@gruposantander.com*A3*6 en una escala del 1 al 7*0.35*-0.27**474457.48*2027*0.0*19089891*false*40.2352*1.11**1.11*0.05*6.76*10.42*0.73*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selección Rv Japón, F.I.*82424706*Trimester 3 2017*2017-07-01*2017-09-30*1920*comsanassetm@gruposantander.com*A3*6 en una escala del 1 al 7*0.35*-0.27**437828.25*1993*0.0*16500719*false*37.6877*0.55**0.55*0.03*0.65*7.33*0.74*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Semester 1 2017*2017-01-01*2017-06-30*1920*comsanassetm@gruposantander.com*A3*6 en una escala del 1 al 7*0.0*-0.27**452835.88*2052*0.0*16956221*false*37.4445*1.09**1.09*0.05*-1.62*9.05*0.73*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 1 2017*2017-01-01*2017-03-31*1920*comsanassetm@gruposantander.com*A3*6 en una escala del 1 al 7*0.0*-0.27**485003.53*2109*0.0*18459283*false*38.0601*0.54**0.54*0.02*3.27*10.94*0.72*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selección Rv Japón,  F.I.*82424706*Trimester 3 2018*2018-07-01*2018-09-30*1920*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.0*-0.3**494515.59*2009*0.0*20148524*false*40.744*0.55**0.55*0.03*2.78*11.01*0.73*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selección Rv Japón,  F.I.*82424706*Semester 1 2018*2018-01-01*2018-06-30*1920*comsanassetm@gruposantander.com*A 2*6 en una escala del 1 al 7*0.0*-0.29**498136.6*2058*0.0*19746467*false*39.6407*1.09**1.09*0.05*1.57*8.59*0.72*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selección Rv Japón,  F.I.*82424706*Trimester 1 2018*2018-01-01*2018-03-31*1920*comsanassetm@gruposantander.com*A3*6 en una escala del 1 al 7*0.0*-0.28**498611.05*2081*0.0*19459865*false*39.0281*0.54**0.54*0.02*-3.0*16.11*0.7*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selecciï¿½n Rv Japï¿½n, F.I.*82424706*Semester 2 2017*2017-07-01*2017-12-31*1920*comsanassetm@gruposantander.com*A3*6 en una escala del 1 al 7*0.35*-0.27**474457.48*2027*0.0*19089891*false*40.2352*1.11**1.11*0.05*6.76*10.42*0.73*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selección Rv Japón,  F.I.*82424706*Trimester 3 2019*2019-07-01*2019-09-30*1920*comsanassetm@gruposantander.com*A 2*6 en una escala del 1 al 7*0.15*-0.3**441963.64*1809*0.0*17227100*false*38.9785*0.55**0.55*0.03*5.93*10.88*0.74*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selección Rv Japón,  F.I.*82424706*Semester 1 2019*2019-01-01*2019-06-30*1920*comsanassetm@gruposantander.com*A 2*6 en una escala del 1 al 7*0.27*-0.34**461412.26*1881*0.0*16977944*false*36.7956*1.09**1.09*0.05*-1.7*9.03*0.73*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selección Rv Japón,  F.I.*82424706*Trimester 1 2019*2019-01-01*2019-03-31*1920*comsanassetm@gruposantander.com*A 2*6 en una escala del 1 al 7*0.0*-0.3**476987.31*1931*0.0*17853894*false*37.4305*0.54**0.54*0.02*7.88*12.53*0.7*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selecciï¿½n Rv Japï¿½n,  F.I.*82424706*Semester 2 2018*2018-07-01*2018-12-31*1920*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.0*-0.3**493056.65*1964*0.0*17107086*false*34.696*1.11**1.11*0.05*-14.84*15.7*0.72*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selecciï¿½n Rv Japï¿½n,  F.I.*82424706*Semester 2 2020*2020-07-01*2020-12-31*1920*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.36*-0.5**500892.66*2015*0.0*20952338*false*41.83*1.11**1.11*0.05*8.65*11.89*0.72*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selección Rv Japón,  F.I.*82424706*Trimester 3 2020*2020-07-01*2020-09-30*1920*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.0*-0.5**392672.26*1647*0.0*15118094*false*38.5005*0.55**0.55*0.03*2.78*12.94*0.7*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selección Rv Japón,  F.I.*82424706*Semester 1 2020*2020-01-01*2020-06-30*1920*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.26*-0.47**394620.54*1670*0.0*14781604*false*37.4578*1.09**1.09*0.05*11.26*19.55*0.69*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*Santander Selección Rv Japón,  F.I.*82424706*Trimester 1 2020*2020-01-01*2020-03-31*1920*comsanassetm@gruposantander.com*A2*6 en una escala del 1 al 7*0.29*-0.45**398282.44*1666*0.0*13409373*false*33.668*0.55**0.55*0.02*-16.93*26.53*0.7*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
