fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Semester 2 2013*2013-07-01*2013-12-31*4604*edm@edm.es*n.d.*Alto*0.3*0.0**885498.7*36*0.0*10026167*false*11.3226*0.25**0.25*0.04*9.22*8.02*-0.26*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Semester 2 2016*2016-07-01*2016-12-31*4604*edm@edm.es*n.d.*Alto*0.36*0.0**945780.95*119*0.0*11586315*false*12.2505*0.35**0.35*0.04*3.67*8.94*0.22*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Trimester 3 2016*2016-07-01*2016-09-30*4604*edm@edm.es*n.d.*Alto*0.13*0.0**1006585.25*122*0.0*11894188*false*11.8164*0.18**0.18*0.02*3.94*10.45*0.21*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Semester 1 2016*2016-01-01*2016-06-30*4604*edm@edm.es*n.d.*Alto*0.16*0.0**1027885.3*124*0.0*11685879*false*11.3689*0.35**0.35*0.03*-2.78*18.2*0.22*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Trimester 1 2016*2016-01-01*2016-03-31*4604*edm@edm.es*n.d.*Alto*0.09*0.0**1043655.69*124*0.0*12204576*false*11.6941*0.17**0.17*0.02*-4.58*18.67*0.22*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Semester 2 2017*2017-07-01*2017-12-31*4604*edm@edm.es*n.d.*Alto*0.18*0.0**948296.4*113*0.0*13298190*false*14.0232*0.35**0.35*0.04*1.11*5.95*0.22*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Trimester 3 2017*2017-07-01*2017-09-30*4604*edm@edm.es*n.d.*Alto*0.11*0.0**949766.71*116*0.0*13172000*false*13.8687*0.18**0.18*0.02*2.4*7.15*0.21*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Semester 1 2017*2017-01-01*2017-06-30*4604*edm@edm.es*n.d.*Alto*0.34*0.0**851299.11*116*0.0*11529931*false*13.5439*0.35**0.35*0.03*2.1*7.46*0.22*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Trimester 1 2017*2017-01-01*2017-03-31*4604*edm@edm.es*n.d.*Alto*0.12*0.0**851227.77*114*0.0*11292154*false*13.2657*0.17**0.17*0.02*8.29*6.37*0.21*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INTERNACIONAL, FI*66053737*Trimester 3 2018*2018-07-01*2018-09-30*4604*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.04*0.0**1116761.93*167*0.0*16765251*false*15.0124*0.18*0.0*0.18*0.02*2.72*7.63*0.2*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Semester 1 2018*2018-01-01*2018-06-30*4604*edm@edm.es*n.d.*Alto*0.2*0.0**1163646.87*171*0.0*17007145*false*14.6154*0.36**0.36*0.04*4.77*9.79*0.21*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Trimester 1 2018*2018-01-01*2018-03-31*4604*edm@edm.es*n.d.*Alto*0.05*0.0**1208610.77*169*0.0*16859398*false*13.9494*0.19**0.19*0.02*-0.53*12.58*0.33*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Semester 2 2017*2017-07-01*2017-12-31*4604*edm@edm.es*n.d.*Alto*0.18*0.0**948296.4*113*0.0*13298190*false*14.0232*0.35**0.35*0.04*1.11*5.95*0.22*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INTERNACIONAL, FI*66053737*Trimester 3 2019*2019-07-01*2019-09-30*4604*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.04*-0.4**1210452.27*179*0.0*18577586*false*15.3476*0.18*0.0*0.18*0.02*2.01*13.2*0.22*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INTERNACIONAL, FI*66053737*Semester 1 2019*2019-01-01*2019-06-30*4604*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.0*-0.4**1163759.77*176*0.0*17509162*false*15.0453*0.35*0.0*0.35*0.03*3.53*9.74*0.22*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INTERNACIONAL, FI*66053737*Trimester 1 2019*2019-01-01*2019-03-31*4604*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.0*0.0**1299305.41*176*0.0*18881831*false*14.5323*0.17*0.0*0.17*0.02*14.57*11.7*0.22*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INTERNACIONAL, FI*66053737*Semester 2 2018*2018-07-01*2018-12-31*4604*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.24*0.0**1142282.03*172*0.0*14488324*false*12.6837*0.35*0.0*0.35*0.04*-15.51*18.24*0.24*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
