fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SMART-ISH FONDO DE GESTORES F.I.*GESTIOHNA DINERO F.I.*85264687*Trimester 3 2009*2009-07-01*2009-09-30*3956*info@abanteasesores.com*A (Standard & Poor's)*Bajo*0.0*0.24**262669.71*96*0.0*2713000*false*10.3292***0.09*0.01*0.04*0.01*0.13*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 1 2012*2012-01-01*2012-06-30*3956*info@abanteasesores.com*BB+ (S&P)*Alto*0.0*0.32**663866.84*309*0.0*6160534*false*9.2798*0.62*0.0*0.62*0.05*-2.9*11.43*0.67*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 1 2012*2012-01-01*2012-03-31*3956*info@abanteasesores.com*BBB (S&P)*Alto*0.0*0.32**740372.41*338*0.0*7075937*false*9.5573*0.31*0.0*0.31*0.02*2.43*5.98*0.62*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 2 2011*2011-07-01*2011-12-31*3956*info@abanteasesores.com*BBB+(S&P)*Alto*0.0*1.19**743220.05*343*0.0*6934944*false*9.3309*0.63*0.0*0.63*0.05*2.05*13.42*0.71*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 3 2013*2013-07-01*2013-09-30*3956*info@abanteasesores.com*BB (S&P)*6 en una escala de 1 a 7*-0.0*0.12**451344.15*214*0.0*4808402*false*10.6535*0.32*0.27*0.59*0.03*5.83*5.14*0.7*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 1 2013*2013-01-01*2013-06-30*3956*info@abanteasesores.com*BB*6 en una escala de 1 a 7*0.0*0.1**595803.18*258*0.0*5997551*false*10.0663*0.62*0.0*0.62*0.05*0.13*6.52*0.64*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 1 2013*2013-01-01*2013-03-31*3956*info@abanteasesores.com*BB*6 en una escala de 1 a 7*0.0*0.08**646003.74*272*0.0*6494256*false*10.053*0.31*0.0*0.31*0.02*3.09*5.09*0.68*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 2 2012*2012-07-01*2012-12-31*3956*info@abanteasesores.com*BB (S&P)*Alto*0.1*0.18**577206.39*269*0.0*5628512*false*9.7513*0.63*0.0*0.63*0.05*1.78*4.39*0.65*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 3 2014*2014-07-01*2014-09-30*3956*info@abanteasesores.com*BB+ (S&P)*5 en una escala de 1 a 7*0.06*0.16**826274.95*318*0.0*9407734*false*11.3857*0.31*-0.12*0.19*0.03*-1.33*5.44*0.71*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 1 2014*2014-01-01*2014-06-30*3956*info@abanteasesores.com*BB+ (S&P)*5 en una escala de 1 a 7*0.0*0.18**762568.1*293*0.0*8799564*false*11.5394*0.62*0.39*1.01*0.05*1.51*4.3*0.66*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 1 2014*2014-01-01*2014-03-31*3956*info@abanteasesores.com*BB*6 en una escala de 1 a 7*0.0*0.12**635341.69*254*0.0*7222475*false*11.3679*0.31*0.29*0.6*0.02*3.32*6.02*0.63*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 2 2013*2013-07-01*2013-12-31*3956*info@abanteasesores.com*BB*6 en una escala de 1 a 7*0.07*0.12**385454.49*197*0.0*4240876*false*11.0023*0.63*0.56*1.19*0.05*3.27*4.0*0.74*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 3 2015*2015-07-01*2015-09-30*3956*info@abanteasesores.com*BBB-*5 en una escala de 1 a 7*0.0*0.0**933275.39*327*0.0*10501791*false*11.2526*0.32*-0.59*-0.27*0.03*-7.12*14.46*0.62*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 1 2015*2015-01-01*2015-06-30*3956*info@abanteasesores.com*BBB- (S&P)*5 en una escala de 1 a 7*0.04*0.0**953052.72*334*0.0*11546137*false*12.1149*0.62*0.56*1.18*0.05*-1.13*7.56*0.6*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 1 2015*2015-01-01*2015-03-31*3956*info@abanteasesores.com*BBB- (S&P)*5 en una escala de 1 a 7*0.09*0.0**994764.94*344*0.0*12188767*false*12.2529*0.31*0.66*0.97*0.02*7.7*6.71*0.57*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 2 2014*2014-07-01*2014-12-31*3956*info@abanteasesores.com*BBB- (S&P)*5 en una escala de 1 a 7*0.02*0.1**988939.07*349*0.0*11250740*false*11.3766*0.63*-0.1*0.53*0.05*-0.08*9.38*0.61*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 3 2016*2016-07-01*2016-09-30*3956*info@abanteasesores.com*BBB- (S&P)*4 en una escala de 1 a 7*0.03*0.0**768386.4*269*0.0*9069922*false*11.8039*0.31*0.03*0.34*0.03*4.58*7.06*0.63*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 1 2016*2016-01-01*2016-06-30*3956*info@abanteasesores.com*BBB- (S&P)*4 en una escala de 1 a 7*0.19*0.1**808998.15*281*0.0*9130946*false*11.2867*0.62*0.0*0.62*0.05*-1.08*12.81*0.37*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 1 2016*2016-01-01*2016-03-31*3956*info@abanteasesores.com*BBB-*4 en una escala de 1 a 7*0.03*0.12**863718.55*294*0.0*9855232*false*11.4102*0.31*0.0*0.31*0.02*-2.46*14.38*0.62*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 2 2015*2015-07-01*2015-12-31*3956*info@abanteasesores.com*BBB-*5 en una escala de 1 a 7*0.0*0.06**920354.48*307*0.0*10766331*false*11.698*0.63*-0.34*0.29*0.05*3.96*9.07*0.66*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 2 2017*2017-07-01*2017-12-31*3956*info@abanteasesores.com*BBB*4 en una escala de 1 a 7*0.0*0.0**981279.27*319*0.0*12979733*false*13.2274*0.63*0.25*0.88*0.05*1.03*3.77*0.57*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 3 2017*2017-07-01*2017-09-30*3956*info@abanteasesores.com*BBB*4 en una escala de 1 a 7*0.0*0.0**808307.97*276*0.0*10582686*false*13.0924*0.31*0.15*0.46*0.03*1.7*3.78*0.57*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 1 2017*2017-01-01*2017-06-30*3956*info@abanteasesores.com*BBB*4 en una escala de 1 a 7*0.43*0.0**774251.84*265*0.0*9967418*false*12.8736*0.62*0.37*0.99*0.05*1.17*3.57*0.63*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 1 2017*2017-01-01*2017-03-31*3956*info@abanteasesores.com*BBB (S&P)*4 en una escala de 1 a 7*0.0*0.0**727304.93*257*0.0*9254962*false*12.725*0.31*0.27*0.58*0.02*3.11*4.39*0.62*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 2 2018*2018-07-01*2018-12-31*3956*info@abanteasesores.com*BBB+*4 en una escala de 1 a 7*0.0*0.0**1750942.44*481*0.0*20582209*false*11.7549*0.63*-0.06*0.57*0.05*-10.66*9.33*0.63*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 3 2018*2018-07-01*2018-09-30*3956*info@abanteasesores.com*BBB+ (S&P)*4 en una escala de 1 a 7*0.01*0.0**1850644.19*493*0.0*24349410*false*13.1573*0.31*-0.06*0.25*0.03*-1.47*3.79*0.58*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 1 2018*2018-01-01*2018-06-30*3956*info@abanteasesores.com*BBB+ (S&P)*4 en una escala de 1 a 7*0.0*0.0**1616227.16*442*0.0*21581720*false*13.3531*0.62*0.09*0.71*0.05*3.19*5.17*0.58*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 1 2018*2018-01-01*2018-03-31*3956*info@abanteasesores.com*BBB (S&P)*4 en una escala de 1 a 7*0.0*0.0**1346610.86*397*0.0*17424797*false*12.9397*0.31*0.0*0.31*0.02*-2.18*6.48*0.56*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 3 2019*2019-07-01*2019-09-30*3956*info@abanteasesores.com*BBB+*4 en una escala de 1 a 7*0.03*0.0**1027547.48*326*0.0*12325311*false*11.9949*0.32*0.0*0.32*0.03*-2.31*6.7*0.62*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 1 2019*2019-01-01*2019-06-30*3956*info@abanteasesores.com*BBB+ (S&P)*4 en una escala de 1 a 7*0.0*0.0**1343916.09*391*0.0*16501169*false*12.2784*0.62*0.0*0.62*0.05*-0.72*4.29*0.62*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 1 2019*2019-01-01*2019-03-31*3956*info@abanteasesores.com*BBB+ (S&P)*4 en una escala de 1 a 7*0.0*0.0**1721069.61*465*0.0*21284564*false*12.3671*0.31*0.0*0.31*0.02*5.21*6.15*0.59*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 2 2018*2018-07-01*2018-12-31*3956*info@abanteasesores.com*BBB+*4 en una escala de 1 a 7*0.0*0.0**1750942.44*481*0.0*20582209*false*11.7549*0.63*-0.06*0.57*0.05*-10.66*9.33*0.63*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 2 2020*2020-07-01*2020-12-31*3956*info@abanteasesores.com*BBB+*5 en una escala de 1 a 7*0.12*0.0**123948.13*120*0.0*1527383*false*12.3228*0.63*0.0*0.63*0.05*13.67*12.55*0.68*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 3 2020*2020-07-01*2020-09-30*3956*info@abanteasesores.com*BBB+*5 en una escala de 1 a 7*0.12*0.0**202735.08*146*0.0*2197769*false*10.8406*0.31*0.0*0.31*0.03*0.05*9.06*0.64*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Semester 1 2020*2020-01-01*2020-06-30*3956*info@abanteasesores.com*BBB+*4 en una escala de 1 a 7*0.0*0.0**244318.88*169*0.0*2647171*false*10.8349*0.62*0.0*0.62*0.05*12.54*20.2*0.64*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 1 2020*2020-01-01*2020-03-31*3956*info@abanteasesores.com*BBB+ (S&P)*4 en una escala de 1 a 7*0.0*0.0**443383.61*206*0.0*4268618*false*9.6274*0.31*0.0*0.31*0.02*-24.33*32.22*0.61*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
